gene,frequency,go_terms
Kalrn,14,"regulation of synapse organization (GO:0050807, p=5.79e-10); regulation of synapse structure or activity (GO:0050803, p=9.70e-10); axonogenesis (GO:0007409, p=2.71e-07); learning or memory (GO:0007611, p=5.53e-06); cognition (GO:0050890, p=2.77e-05); learning (GO:0007612, p=2.04e-04); memory (GO:0007613, p=3.69e-03); regulation of postsynapse organization (GO:0099175, p=9.77e-03); dendrite development (GO:0016358, p=1.30e-02); positive regulation of dendritic spine morphogenesis (GO:0061003, p=1.52e-02); regulation of dendritic spine development (GO:0060998, p=2.81e-02); regulation of dendritic spine morphogenesis (GO:0061001, p=3.36e-02); postsynapse organization (GO:0099173, p=3.40e-02); locomotory behavior (GO:0007626, p=3.67e-02)"
Ephb2,14,"regulation of synapse organization (GO:0050807, p=5.79e-10); regulation of synapse structure or activity (GO:0050803, p=9.70e-10); axonogenesis (GO:0007409, p=2.71e-07); learning or memory (GO:0007611, p=5.53e-06); cognition (GO:0050890, p=2.77e-05); learning (GO:0007612, p=2.04e-04); regulation of postsynapse organization (GO:0099175, p=9.77e-03); dendrite development (GO:0016358, p=1.30e-02); positive regulation of dendritic spine morphogenesis (GO:0061003, p=1.52e-02); trans-synaptic signaling, modulating synaptic transmission (GO:0099550, p=1.86e-02); regulation of dendritic spine development (GO:0060998, p=2.81e-02); regulation of dendritic spine morphogenesis (GO:0061001, p=3.36e-02); postsynapse organization (GO:0099173, p=3.40e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=4.25e-02)"
Nrxn1,13,"regulation of synapse organization (GO:0050807, p=5.79e-10); regulation of synapse structure or activity (GO:0050803, p=9.70e-10); learning or memory (GO:0007611, p=5.53e-06); cognition (GO:0050890, p=2.77e-05); learning (GO:0007612, p=2.04e-04); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=2.92e-03); neuromuscular process (GO:0050905, p=8.80e-03); regulation of postsynapse organization (GO:0099175, p=9.77e-03); trans-synaptic signaling, modulating synaptic transmission (GO:0099550, p=1.86e-02); synaptic transmission, glutamatergic (GO:0035249, p=2.73e-02); postsynapse organization (GO:0099173, p=3.40e-02); startle response (GO:0001964, p=3.85e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=4.25e-02)"
Grin2a,10,"learning or memory (GO:0007611, p=5.53e-06); cognition (GO:0050890, p=2.77e-05); learning (GO:0007612, p=2.04e-04); memory (GO:0007613, p=3.69e-03); neuromuscular process (GO:0050905, p=8.80e-03); synaptic transmission, glutamatergic (GO:0035249, p=2.73e-02); postsynapse organization (GO:0099173, p=3.40e-02); locomotory behavior (GO:0007626, p=3.67e-02); startle response (GO:0001964, p=3.85e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=4.25e-02)"
Tuba1a,9,"regulation of synapse organization (GO:0050807, p=5.79e-10); regulation of synapse structure or activity (GO:0050803, p=9.70e-10); learning or memory (GO:0007611, p=5.53e-06); cognition (GO:0050890, p=2.77e-05); learning (GO:0007612, p=2.04e-04); memory (GO:0007613, p=3.69e-03); neuromuscular process (GO:0050905, p=8.80e-03); locomotory behavior (GO:0007626, p=3.67e-02); startle response (GO:0001964, p=3.85e-02)"
Pak3,9,"regulation of synapse organization (GO:0050807, p=5.79e-10); regulation of synapse structure or activity (GO:0050803, p=9.70e-10); axonogenesis (GO:0007409, p=2.71e-07); regulation of postsynapse organization (GO:0099175, p=9.77e-03); dendrite development (GO:0016358, p=1.30e-02); positive regulation of dendritic spine morphogenesis (GO:0061003, p=1.52e-02); regulation of dendritic spine development (GO:0060998, p=2.81e-02); regulation of dendritic spine morphogenesis (GO:0061001, p=3.36e-02); postsynapse organization (GO:0099173, p=3.40e-02)"
Cfl1,8,"regulation of synapse organization (GO:0050807, p=5.79e-10); regulation of synapse structure or activity (GO:0050803, p=9.70e-10); regulation of postsynapse organization (GO:0099175, p=9.77e-03); dendrite development (GO:0016358, p=1.30e-02); regulation of dendritic spine development (GO:0060998, p=2.81e-02); regulation of dendritic spine morphogenesis (GO:0061001, p=3.36e-02); postsynapse organization (GO:0099173, p=3.40e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=4.25e-02)"
Marcks,8,"regulation of synapse organization (GO:0050807, p=5.79e-10); regulation of synapse structure or activity (GO:0050803, p=9.70e-10); regulation of postsynapse organization (GO:0099175, p=9.77e-03); dendrite development (GO:0016358, p=1.30e-02); positive regulation of dendritic spine morphogenesis (GO:0061003, p=1.52e-02); regulation of dendritic spine development (GO:0060998, p=2.81e-02); regulation of dendritic spine morphogenesis (GO:0061001, p=3.36e-02); postsynapse organization (GO:0099173, p=3.40e-02)"
Cask,8,"regulation of synapse organization (GO:0050807, p=5.79e-10); regulation of synapse structure or activity (GO:0050803, p=9.70e-10); regulation of postsynapse organization (GO:0099175, p=9.77e-03); dendrite development (GO:0016358, p=1.30e-02); positive regulation of dendritic spine morphogenesis (GO:0061003, p=1.52e-02); regulation of dendritic spine development (GO:0060998, p=2.81e-02); regulation of dendritic spine morphogenesis (GO:0061001, p=3.36e-02); postsynapse organization (GO:0099173, p=3.40e-02)"
Grm5,7,"learning or memory (GO:0007611, p=5.53e-06); cognition (GO:0050890, p=2.77e-05); learning (GO:0007612, p=2.04e-04); trans-synaptic signaling, modulating synaptic transmission (GO:0099550, p=1.86e-02); synaptic transmission, glutamatergic (GO:0035249, p=2.73e-02); locomotory behavior (GO:0007626, p=3.67e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=4.25e-02)"
