gene,frequency,go_terms
Grin1,14,"axonogenesis (GO:0007409, p=8.77e-18); regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); postsynapse organization (GO:0099173, p=1.39e-10); synapse assembly (GO:0007416, p=4.33e-10); cell junction assembly (GO:0034329, p=5.61e-10); regulation of synapse organization (GO:0050807, p=5.32e-08); regulation of synapse structure or activity (GO:0050803, p=9.10e-08); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); cognition (GO:0050890, p=8.85e-07); calcium ion transport (GO:0006816, p=1.25e-06); dendrite morphogenesis (GO:0048813, p=2.02e-06)"
Cacna1a,11,"axonogenesis (GO:0007409, p=8.77e-18); regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); synapse assembly (GO:0007416, p=4.33e-10); cell junction assembly (GO:0034329, p=5.61e-10); transmission of nerve impulse (GO:0019226, p=5.31e-09); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); calcium ion transport (GO:0006816, p=1.25e-06); dendrite morphogenesis (GO:0048813, p=2.02e-06)"
Cntnap2,10,"axonogenesis (GO:0007409, p=8.77e-18); regulation of membrane potential (GO:0042391, p=5.22e-16); locomotory behavior (GO:0007626, p=2.02e-12); action potential (GO:0001508, p=2.53e-11); postsynapse organization (GO:0099173, p=1.39e-10); synapse assembly (GO:0007416, p=4.33e-10); cell junction assembly (GO:0034329, p=5.61e-10); transmission of nerve impulse (GO:0019226, p=5.31e-09); cognition (GO:0050890, p=8.85e-07); dendrite morphogenesis (GO:0048813, p=2.02e-06)"
Robo1,10,"axonogenesis (GO:0007409, p=8.77e-18); axon guidance (GO:0007411, p=1.11e-10); neuron projection guidance (GO:0097485, p=1.11e-10); synapse assembly (GO:0007416, p=4.33e-10); cell junction assembly (GO:0034329, p=5.61e-10); regulation of synapse organization (GO:0050807, p=5.32e-08); regulation of synapse structure or activity (GO:0050803, p=9.10e-08); developmental cell growth (GO:0048588, p=3.60e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=3.80e-07); dendrite morphogenesis (GO:0048813, p=2.02e-06)"
Epha7,9,"axonogenesis (GO:0007409, p=8.77e-18); axon guidance (GO:0007411, p=1.11e-10); neuron projection guidance (GO:0097485, p=1.11e-10); postsynapse organization (GO:0099173, p=1.39e-10); synapse assembly (GO:0007416, p=4.33e-10); cell junction assembly (GO:0034329, p=5.61e-10); regulation of synapse organization (GO:0050807, p=5.32e-08); regulation of synapse structure or activity (GO:0050803, p=9.10e-08); developmental cell growth (GO:0048588, p=3.60e-07)"
Grin2a,9,"regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); action potential (GO:0001508, p=2.53e-11); postsynapse organization (GO:0099173, p=1.39e-10); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); cognition (GO:0050890, p=8.85e-07); calcium ion transport (GO:0006816, p=1.25e-06)"
Grin2b,9,"regulation of membrane potential (GO:0042391, p=5.22e-16); action potential (GO:0001508, p=2.53e-11); postsynapse organization (GO:0099173, p=1.39e-10); regulation of synapse organization (GO:0050807, p=5.32e-08); regulation of synapse structure or activity (GO:0050803, p=9.10e-08); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); cognition (GO:0050890, p=8.85e-07); calcium ion transport (GO:0006816, p=1.25e-06)"
Cacnb4,8,"regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); action potential (GO:0001508, p=2.53e-11); transmission of nerve impulse (GO:0019226, p=5.31e-09); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); calcium ion transport (GO:0006816, p=1.25e-06)"
Ank3,7,"axonogenesis (GO:0007409, p=8.77e-18); regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); action potential (GO:0001508, p=2.53e-11); axon guidance (GO:0007411, p=1.11e-10); neuron projection guidance (GO:0097485, p=1.11e-10); transmission of nerve impulse (GO:0019226, p=5.31e-09)"
Dscam,7,"axonogenesis (GO:0007409, p=8.77e-18); locomotory behavior (GO:0007626, p=2.02e-12); axon guidance (GO:0007411, p=1.11e-10); neuron projection guidance (GO:0097485, p=1.11e-10); developmental cell growth (GO:0048588, p=3.60e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=3.80e-07); dendrite morphogenesis (GO:0048813, p=2.02e-06)"
