gene,frequency,go_terms
Ephb2,15,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); postsynapse organization (GO:0099173, p=6.62e-17); axonogenesis (GO:0007409, p=4.79e-16); learning or memory (GO:0007611, p=1.40e-14); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); cognition (GO:0050890, p=2.20e-13); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of synapse assembly (GO:0051963, p=5.22e-10)"
Nrxn1,14,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); postsynapse organization (GO:0099173, p=6.62e-17); learning or memory (GO:0007611, p=1.40e-14); cognition (GO:0050890, p=2.20e-13); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=1.15e-12); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of synapse assembly (GO:0051963, p=5.22e-10)"
Ptk2b,13,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); postsynapse organization (GO:0099173, p=6.62e-17); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10); regulation of synapse assembly (GO:0051963, p=5.22e-10)"
Mef2c,13,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); axonogenesis (GO:0007409, p=4.79e-16); learning or memory (GO:0007611, p=1.40e-14); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); cognition (GO:0050890, p=2.20e-13); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of synapse assembly (GO:0051963, p=5.22e-10)"
Snca,13,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of transporter activity (GO:0032409, p=3.77e-12); locomotory behavior (GO:0007626, p=2.96e-11); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10); regulation of synapse assembly (GO:0051963, p=5.22e-10)"
Fgf13,13,"synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); axonogenesis (GO:0007409, p=4.79e-16); learning or memory (GO:0007611, p=1.40e-14); cognition (GO:0050890, p=2.20e-13); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10); developmental growth involved in morphogenesis (GO:0060560, p=5.26e-10)"
Prnp,12,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); postsynapse organization (GO:0099173, p=6.62e-17); learning or memory (GO:0007611, p=1.40e-14); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); cognition (GO:0050890, p=2.20e-13); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of metal ion transport (GO:0010959, p=1.91e-10)"
Grin2a,11,"postsynapse organization (GO:0099173, p=6.62e-17); learning or memory (GO:0007611, p=1.40e-14); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); cognition (GO:0050890, p=2.20e-13); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); locomotory behavior (GO:0007626, p=2.96e-11); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11)"
Gsk3b,10,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); axonogenesis (GO:0007409, p=4.79e-16); regulation of synaptic plasticity (GO:0048167, p=1.15e-13); protein localization to cell periphery (GO:1990778, p=5.69e-13); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of synapse assembly (GO:0051963, p=5.22e-10); developmental growth involved in morphogenesis (GO:0060560, p=5.26e-10)"
Asic2,10,"regulation of synapse organization (GO:0050807, p=1.24e-21); regulation of synapse structure or activity (GO:0050803, p=4.80e-21); synapse assembly (GO:0007416, p=1.18e-20); cell junction assembly (GO:0034329, p=5.37e-18); regulation of membrane potential (GO:0042391, p=8.08e-13); regulation of transmembrane transporter activity (GO:0022898, p=8.59e-13); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.62e-12); regulation of transporter activity (GO:0032409, p=3.77e-12); regulation of monoatomic ion transmembrane transport (GO:0034765, p=9.61e-11); regulation of synapse assembly (GO:0051963, p=5.22e-10)"
