gene,frequency,go_terms
Sema4d,18,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Sema6d,16,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
Sema3c,16,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
Sema3e,16,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
Sema5a,16,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
Ttc3,14,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
Rufy3,14,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
D130043K22Rik,14,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
Map2,14,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
Myo5b,13,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
