gene,frequency,go_terms
Ephb2,15,"axonogenesis (GO:0007409, p=4.01e-19); negative regulation of cell projection organization (GO:0031345, p=3.59e-11); regulation of synapse organization (GO:0050807, p=2.49e-09); negative regulation of neuron projection development (GO:0010977, p=3.35e-09); regulation of axonogenesis (GO:0050770, p=4.65e-09); regulation of synapse structure or activity (GO:0050803, p=4.77e-09); postsynapse organization (GO:0099173, p=9.36e-09); positive regulation of cell projection organization (GO:0031346, p=1.13e-08); cell junction assembly (GO:0034329, p=3.21e-08); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.03e-07); regulation of transmembrane transporter activity (GO:0022898, p=1.97e-07); axon guidance (GO:0007411, p=2.77e-07); neuron projection guidance (GO:0097485, p=2.77e-07); regulation of transporter activity (GO:0032409, p=4.63e-07); synapse assembly (GO:0007416, p=8.28e-07)"
Epha7,14,"axonogenesis (GO:0007409, p=4.01e-19); developmental cell growth (GO:0048588, p=2.98e-11); negative regulation of cell projection organization (GO:0031345, p=3.59e-11); developmental growth involved in morphogenesis (GO:0060560, p=2.82e-10); regulation of synapse organization (GO:0050807, p=2.49e-09); negative regulation of neuron projection development (GO:0010977, p=3.35e-09); regulation of axonogenesis (GO:0050770, p=4.65e-09); regulation of synapse structure or activity (GO:0050803, p=4.77e-09); postsynapse organization (GO:0099173, p=9.36e-09); cell junction assembly (GO:0034329, p=3.21e-08); axon guidance (GO:0007411, p=2.77e-07); neuron projection guidance (GO:0097485, p=2.77e-07); regulation of extent of cell growth (GO:0061387, p=2.86e-07); synapse assembly (GO:0007416, p=8.28e-07)"
Ptprs,13,"axonogenesis (GO:0007409, p=4.01e-19); developmental cell growth (GO:0048588, p=2.98e-11); negative regulation of cell projection organization (GO:0031345, p=3.59e-11); developmental growth involved in morphogenesis (GO:0060560, p=2.82e-10); regulation of synapse organization (GO:0050807, p=2.49e-09); negative regulation of neuron projection development (GO:0010977, p=3.35e-09); neuron projection extension (GO:1990138, p=4.61e-09); regulation of axonogenesis (GO:0050770, p=4.65e-09); regulation of synapse structure or activity (GO:0050803, p=4.77e-09); postsynapse organization (GO:0099173, p=9.36e-09); cell junction assembly (GO:0034329, p=3.21e-08); regulation of extent of cell growth (GO:0061387, p=2.86e-07); synapse assembly (GO:0007416, p=8.28e-07)"
Efna5,12,"axonogenesis (GO:0007409, p=4.01e-19); developmental cell growth (GO:0048588, p=2.98e-11); developmental growth involved in morphogenesis (GO:0060560, p=2.82e-10); regulation of synapse organization (GO:0050807, p=2.49e-09); regulation of axonogenesis (GO:0050770, p=4.65e-09); regulation of synapse structure or activity (GO:0050803, p=4.77e-09); positive regulation of cell projection organization (GO:0031346, p=1.13e-08); cell junction assembly (GO:0034329, p=3.21e-08); axon guidance (GO:0007411, p=2.77e-07); neuron projection guidance (GO:0097485, p=2.77e-07); regulation of extent of cell growth (GO:0061387, p=2.86e-07); synapse assembly (GO:0007416, p=8.28e-07)"
Robo1,12,"axonogenesis (GO:0007409, p=4.01e-19); developmental cell growth (GO:0048588, p=2.98e-11); developmental growth involved in morphogenesis (GO:0060560, p=2.82e-10); regulation of synapse organization (GO:0050807, p=2.49e-09); neuron projection extension (GO:1990138, p=4.61e-09); regulation of axonogenesis (GO:0050770, p=4.65e-09); regulation of synapse structure or activity (GO:0050803, p=4.77e-09); positive regulation of cell projection organization (GO:0031346, p=1.13e-08); cell junction assembly (GO:0034329, p=3.21e-08); axon guidance (GO:0007411, p=2.77e-07); neuron projection guidance (GO:0097485, p=2.77e-07); synapse assembly (GO:0007416, p=8.28e-07)"
Fgf13,12,"axonogenesis (GO:0007409, p=4.01e-19); developmental cell growth (GO:0048588, p=2.98e-11); negative regulation of cell projection organization (GO:0031345, p=3.59e-11); developmental growth involved in morphogenesis (GO:0060560, p=2.82e-10); negative regulation of neuron projection development (GO:0010977, p=3.35e-09); regulation of axonogenesis (GO:0050770, p=4.65e-09); cell junction assembly (GO:0034329, p=3.21e-08); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.03e-07); regulation of transmembrane transporter activity (GO:0022898, p=1.97e-07); regulation of extent of cell growth (GO:0061387, p=2.86e-07); regulation of transporter activity (GO:0032409, p=4.63e-07); synapse assembly (GO:0007416, p=8.28e-07)"
Dvl1,12,"axonogenesis (GO:0007409, p=4.01e-19); developmental cell growth (GO:0048588, p=2.98e-11); developmental growth involved in morphogenesis (GO:0060560, p=2.82e-10); regulation of synapse organization (GO:0050807, p=2.49e-09); neuron projection extension (GO:1990138, p=4.61e-09); regulation of synapse structure or activity (GO:0050803, p=4.77e-09); postsynapse organization (GO:0099173, p=9.36e-09); positive regulation of cell projection organization (GO:0031346, p=1.13e-08); cell junction assembly (GO:0034329, p=3.21e-08); axon guidance (GO:0007411, p=2.77e-07); neuron projection guidance (GO:0097485, p=2.77e-07); synapse assembly (GO:0007416, p=8.28e-07)"
Nrxn1,11,"negative regulation of cell projection organization (GO:0031345, p=3.59e-11); regulation of synapse organization (GO:0050807, p=2.49e-09); regulation of synapse structure or activity (GO:0050803, p=4.77e-09); postsynapse organization (GO:0099173, p=9.36e-09); positive regulation of cell projection organization (GO:0031346, p=1.13e-08); cell junction assembly (GO:0034329, p=3.21e-08); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=1.03e-07); regulation of transmembrane transporter activity (GO:0022898, p=1.97e-07); regulation of transporter activity (GO:0032409, p=4.63e-07); protein localization to synapse (GO:0035418, p=7.88e-07); synapse assembly (GO:0007416, p=8.28e-07)"
Sema6a,10,"axonogenesis (GO:0007409, p=4.01e-19); developmental cell growth (GO:0048588, p=2.98e-11); negative regulation of cell projection organization (GO:0031345, p=3.59e-11); developmental growth involved in morphogenesis (GO:0060560, p=2.82e-10); negative regulation of neuron projection development (GO:0010977, p=3.35e-09); neuron projection extension (GO:1990138, p=4.61e-09); regulation of axonogenesis (GO:0050770, p=4.65e-09); axon guidance (GO:0007411, p=2.77e-07); neuron projection guidance (GO:0097485, p=2.77e-07); regulation of extent of cell growth (GO:0061387, p=2.86e-07)"
Slit1,10,"axonogenesis (GO:0007409, p=4.01e-19); developmental cell growth (GO:0048588, p=2.98e-11); negative regulation of cell projection organization (GO:0031345, p=3.59e-11); developmental growth involved in morphogenesis (GO:0060560, p=2.82e-10); negative regulation of neuron projection development (GO:0010977, p=3.35e-09); neuron projection extension (GO:1990138, p=4.61e-09); regulation of axonogenesis (GO:0050770, p=4.65e-09); axon guidance (GO:0007411, p=2.77e-07); neuron projection guidance (GO:0097485, p=2.77e-07); regulation of extent of cell growth (GO:0061387, p=2.86e-07)"
