gene,frequency,go_terms
Grid2,15,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.08e-07); regulation of synapse organization (GO:0050807, p=6.76e-04); regulation of synapse structure or activity (GO:0050803, p=8.43e-04); postsynapse organization (GO:0099173, p=1.88e-03); startle response (GO:0001964, p=7.57e-03); synapse assembly (GO:0007416, p=7.99e-03); positive regulation of synapse assembly (GO:0051965, p=8.48e-03); cell junction assembly (GO:0034329, p=1.39e-02); postsynaptic density organization (GO:0097106, p=1.87e-02); heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157, p=2.23e-02); neuromuscular process (GO:0050905, p=2.95e-02); central nervous system neuron differentiation (GO:0021953, p=3.36e-02); presynapse assembly (GO:0099054, p=3.61e-02); cerebellum morphogenesis (GO:0021587, p=4.49e-02); postsynaptic specialization organization (GO:0099084, p=4.49e-02)"
Nlgn1,14,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.08e-07); regulation of synapse organization (GO:0050807, p=6.76e-04); regulation of synapse structure or activity (GO:0050803, p=8.43e-04); postsynapse organization (GO:0099173, p=1.88e-03); trans-synaptic signaling by trans-synaptic complex (GO:0099545, p=7.22e-03); synaptic membrane adhesion (GO:0099560, p=7.57e-03); synapse assembly (GO:0007416, p=7.99e-03); positive regulation of synapse assembly (GO:0051965, p=8.48e-03); cell junction assembly (GO:0034329, p=1.39e-02); retrograde trans-synaptic signaling (GO:0098917, p=1.58e-02); postsynaptic density organization (GO:0097106, p=1.87e-02); heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157, p=2.23e-02); presynapse assembly (GO:0099054, p=3.61e-02); postsynaptic specialization organization (GO:0099084, p=4.49e-02)"
Cadm1,11,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.08e-07); postsynapse organization (GO:0099173, p=1.88e-03); trans-synaptic signaling by trans-synaptic complex (GO:0099545, p=7.22e-03); synaptic membrane adhesion (GO:0099560, p=7.57e-03); synapse assembly (GO:0007416, p=7.99e-03); cell junction assembly (GO:0034329, p=1.39e-02); retrograde trans-synaptic signaling (GO:0098917, p=1.58e-02); postsynaptic density organization (GO:0097106, p=1.87e-02); heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157, p=2.23e-02); presynapse assembly (GO:0099054, p=3.61e-02); postsynaptic specialization organization (GO:0099084, p=4.49e-02)"
Adgrl3,9,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.08e-07); regulation of synapse organization (GO:0050807, p=6.76e-04); regulation of synapse structure or activity (GO:0050803, p=8.43e-04); postsynapse organization (GO:0099173, p=1.88e-03); synapse assembly (GO:0007416, p=7.99e-03); positive regulation of synapse assembly (GO:0051965, p=8.48e-03); cell junction assembly (GO:0034329, p=1.39e-02); postsynaptic density organization (GO:0097106, p=1.87e-02); postsynaptic specialization organization (GO:0099084, p=4.49e-02)"
Slit2,8,"regulation of synapse organization (GO:0050807, p=6.76e-04); regulation of synapse structure or activity (GO:0050803, p=8.43e-04); synapse assembly (GO:0007416, p=7.99e-03); positive regulation of synapse assembly (GO:0051965, p=8.48e-03); cell junction assembly (GO:0034329, p=1.39e-02); axonogenesis (GO:0007409, p=2.18e-02); pallium development (GO:0021543, p=3.05e-02); central nervous system neuron differentiation (GO:0021953, p=3.36e-02)"
Tuba1a,6,"regulation of synapse organization (GO:0050807, p=6.76e-04); regulation of synapse structure or activity (GO:0050803, p=8.43e-04); startle response (GO:0001964, p=7.57e-03); neuromuscular process (GO:0050905, p=2.95e-02); pallium development (GO:0021543, p=3.05e-02); cerebellum morphogenesis (GO:0021587, p=4.49e-02)"
Pcdh17,5,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.08e-07); synaptic membrane adhesion (GO:0099560, p=7.57e-03); synapse assembly (GO:0007416, p=7.99e-03); cell junction assembly (GO:0034329, p=1.39e-02); presynapse assembly (GO:0099054, p=3.61e-02)"
Tenm2,5,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.08e-07); trans-synaptic signaling by trans-synaptic complex (GO:0099545, p=7.22e-03); retrograde trans-synaptic signaling (GO:0098917, p=1.58e-02); axonogenesis (GO:0007409, p=2.18e-02); heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157, p=2.23e-02)"
Adgrl2,5,"regulation of synapse organization (GO:0050807, p=6.76e-04); regulation of synapse structure or activity (GO:0050803, p=8.43e-04); synapse assembly (GO:0007416, p=7.99e-03); positive regulation of synapse assembly (GO:0051965, p=8.48e-03); cell junction assembly (GO:0034329, p=1.39e-02)"
Dab1,4,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.08e-07); axonogenesis (GO:0007409, p=2.18e-02); pallium development (GO:0021543, p=3.05e-02); cerebellum morphogenesis (GO:0021587, p=4.49e-02)"
