gene,frequency,go_terms
Ephb2,9,"axonogenesis (GO:0007409, p=2.09e-04); regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); learning (GO:0007612, p=3.54e-03); dendrite development (GO:0016358, p=4.25e-03); regulation of NMDA receptor activity (GO:2000310, p=1.41e-02); regulation of synaptic plasticity (GO:0048167, p=3.75e-02); cell junction assembly (GO:0034329, p=3.94e-02)"
Cfl1,8,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); dendrite development (GO:0016358, p=4.25e-03); protein depolymerization (GO:0051261, p=5.20e-03); regulation of NMDA receptor activity (GO:2000310, p=1.41e-02); regulation of synaptic plasticity (GO:0048167, p=3.75e-02); cell junction assembly (GO:0034329, p=3.94e-02)"
Mef2c,7,"axonogenesis (GO:0007409, p=2.09e-04); regulation of synapse organization (GO:0050807, p=1.62e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); dendrite development (GO:0016358, p=4.25e-03); regulation of NMDA receptor activity (GO:2000310, p=1.41e-02); regulation of synaptic plasticity (GO:0048167, p=3.75e-02); cell junction assembly (GO:0034329, p=3.94e-02)"
Ptprs,6,"axonogenesis (GO:0007409, p=2.09e-04); regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); dendrite development (GO:0016358, p=4.25e-03); cell junction assembly (GO:0034329, p=3.94e-02)"
Ephb1,6,"axonogenesis (GO:0007409, p=2.09e-04); regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); dendrite development (GO:0016358, p=4.25e-03); cell junction assembly (GO:0034329, p=3.94e-02)"
Nrxn1,6,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); learning (GO:0007612, p=3.54e-03); regulation of NMDA receptor activity (GO:2000310, p=1.41e-02); cell junction assembly (GO:0034329, p=3.94e-02)"
Adgrb3,5,"regulation of synapse organization (GO:0050807, p=1.62e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); learning (GO:0007612, p=3.54e-03); dendrite development (GO:0016358, p=4.25e-03); cell junction assembly (GO:0034329, p=3.94e-02)"
Flrt2,4,"axonogenesis (GO:0007409, p=2.09e-04); regulation of synapse organization (GO:0050807, p=1.62e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); cell junction assembly (GO:0034329, p=3.94e-02)"
Hspa8,4,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); protein depolymerization (GO:0051261, p=5.20e-03)"
Marcks,4,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); dendrite development (GO:0016358, p=4.25e-03)"
Rapgef4,4,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); dendrite development (GO:0016358, p=4.25e-03)"
Snca,4,"regulation of synapse organization (GO:0050807, p=1.62e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); regulation of synaptic plasticity (GO:0048167, p=3.75e-02); cell junction assembly (GO:0034329, p=3.94e-02)"
Ngef,4,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); dendrite development (GO:0016358, p=4.25e-03)"
Asap1,4,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); dendrite development (GO:0016358, p=4.25e-03)"
Actb,3,"axonogenesis (GO:0007409, p=2.09e-04); postsynapse organization (GO:0099173, p=1.96e-03); cell junction assembly (GO:0034329, p=3.94e-02)"
Epha5,3,"axonogenesis (GO:0007409, p=2.09e-04); postsynapse organization (GO:0099173, p=1.96e-03); dendrite development (GO:0016358, p=4.25e-03)"
Tuba1a,3,"regulation of synapse organization (GO:0050807, p=1.62e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); learning (GO:0007612, p=3.54e-03)"
Lrfn2,3,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03)"
Grid1,3,"regulation of synapse organization (GO:0050807, p=1.62e-03); postsynapse organization (GO:0099173, p=1.96e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03)"
Lingo2,3,"regulation of synapse organization (GO:0050807, p=1.62e-03); regulation of synapse structure or activity (GO:0050803, p=2.45e-03); cell junction assembly (GO:0034329, p=3.94e-02)"
Nrxn3,3,"postsynapse organization (GO:0099173, p=1.96e-03); learning (GO:0007612, p=3.54e-03); cell junction assembly (GO:0034329, p=3.94e-02)"
Zdhhc2,3,"postsynapse organization (GO:0099173, p=1.96e-03); regulation of synaptic plasticity (GO:0048167, p=3.75e-02); cell junction assembly (GO:0034329, p=3.94e-02)"
Sgk1,3,"learning (GO:0007612, p=3.54e-03); dendrite development (GO:0016358, p=4.25e-03); protein depolymerization (GO:0051261, p=5.20e-03)"
