gene,frequency,go_terms
Nrcam,11,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.19e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03); retinal ganglion cell axon guidance (GO:0031290, p=1.46e-03); neuron recognition (GO:0008038, p=2.41e-03)"
Nedd4l,11,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); developmental cell growth (GO:0048588, p=3.42e-04); cell junction assembly (GO:0034329, p=4.18e-04); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); neuron projection extension (GO:1990138, p=3.47e-03); regulation of transporter activity (GO:0032409, p=3.81e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Epha7,9,"axonogenesis (GO:0007409, p=1.07e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); developmental cell growth (GO:0048588, p=3.42e-04); cell junction assembly (GO:0034329, p=4.18e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03); retinal ganglion cell axon guidance (GO:0031290, p=1.46e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Nrp1,9,"axonogenesis (GO:0007409, p=1.07e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); developmental cell growth (GO:0048588, p=3.42e-04); cell junction assembly (GO:0034329, p=4.18e-04); retinal ganglion cell axon guidance (GO:0031290, p=1.46e-03); neuron recognition (GO:0008038, p=2.41e-03); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Ptprs,8,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); developmental cell growth (GO:0048588, p=3.42e-04); cell junction assembly (GO:0034329, p=4.18e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Cntn5,7,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); cell junction assembly (GO:0034329, p=4.18e-04); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.19e-04); neuron recognition (GO:0008038, p=2.41e-03)"
Robo2,7,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.19e-04); retinal ganglion cell axon guidance (GO:0031290, p=1.46e-03); neuron recognition (GO:0008038, p=2.41e-03)"
Hcn1,7,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03)"
Grin2a,7,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03)"
Cacna2d1,7,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03)"
Slit3,6,"axonogenesis (GO:0007409, p=1.07e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); developmental cell growth (GO:0048588, p=3.42e-04); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Plxna4,6,"axonogenesis (GO:0007409, p=1.07e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); developmental cell growth (GO:0048588, p=3.42e-04); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Foxp1,6,"axonogenesis (GO:0007409, p=1.07e-07); action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); developmental cell growth (GO:0048588, p=3.42e-04)"
Epha3,6,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); cell junction assembly (GO:0034329, p=4.18e-04); neuron recognition (GO:0008038, p=2.41e-03)"
Cacnb2,6,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03)"
Atp1b1,6,"regulation of membrane potential (GO:0042391, p=1.08e-06); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03)"
Nr3c2,6,"regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03)"
Cdh8,5,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); cell junction assembly (GO:0034329, p=4.18e-04); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.19e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03)"
Clstn2,5,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); cell junction assembly (GO:0034329, p=4.18e-04); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.19e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03)"
Grin2b,5,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03)"
Map1b,4,"axonogenesis (GO:0007409, p=1.07e-07); developmental cell growth (GO:0048588, p=3.42e-04); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Unc5d,4,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06)"
Hsp90ab1,4,"axonogenesis (GO:0007409, p=1.07e-07); developmental cell growth (GO:0048588, p=3.42e-04); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Cdh11,4,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); cell junction assembly (GO:0034329, p=4.18e-04); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.19e-04)"
Kcnn2,4,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03)"
Kcnh7,4,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03)"
Hecw1,4,"regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03)"
Epha6,3,"axonogenesis (GO:0007409, p=1.07e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06)"
Cdh12,3,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); cell junction assembly (GO:0034329, p=4.18e-04); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.19e-04)"
Gabra2,3,"regulation of membrane potential (GO:0042391, p=1.08e-06); cell junction assembly (GO:0034329, p=4.18e-04); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03)"
Syt1,3,"developmental cell growth (GO:0048588, p=3.42e-04); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03)"
Lingo2,3,"cell junction assembly (GO:0034329, p=4.18e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03)"
Chrm3,3,"regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of transporter activity (GO:0032409, p=3.81e-03)"
Celf4,2,"regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03)"
Gabrg3,2,"regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03)"
Tuba1a,2,"regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03)"
Frmpd4,2,"regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03)"
Malat1,2,"regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03)"
Apc,1,"axonogenesis (GO:0007409, p=1.07e-07)"
Tenm4,1,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07)"
Cacna1b,1,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03)"
