"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","42/565","262/17643",4.55574400857131e-18,1.96853698610366e-14,1.6674023071371e-14,"Magi2/Syt1/Rims2/Stxbp5l/Nrg1/Rimbp2/Prkcg/Mapk10/Syt4/Ppfia2/Btbd9/Prepl/Ap2b1/Atp2a2/Snap25/Actg1/Ppp3r1/Cacna1a/Atp6v1a/Atp6v0a1/Cltc/Trim9/Snca/Slc17a7/Rab3a/Actb/Nsg1/Caly/Ppp3cb/Atp6v1h/Braf/Rims1/Dnm2/Unc13b/Clcn3/Cacna1b/Dvl1/Vamp2/Atp6ap2/Rap1a/Pfn2/Ctnnb1",42,13.7058564210008,0.0743362831858407,0.0148500821855693,5.00578261163278,68.6085377497815,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0099504","GO:0099504","synaptic vesicle cycle","38/565","222/17643",1.91766095316439e-17,8.28621297862333e-14,3.50931954429084e-14,"Magi2/Syt1/Rims2/Stxbp5l/Rimbp2/Prkcg/Syt4/Ppfia2/Btbd9/Prepl/Ap2b1/Atp2a2/Snap25/Actg1/Ppp3r1/Cacna1a/Atp6v1a/Atp6v0a1/Cltc/Trim9/Snca/Slc17a7/Rab3a/Actb/Ppp3cb/Atp6v1h/Braf/Rims1/Dnm2/Unc13b/Clcn3/Cacna1b/Dvl1/Vamp2/Atp6ap2/Rap1a/Pfn2/Ctnnb1",38,13.0816439083232,0.0672566371681416,0.0125828940656351,5.34508490791677,69.9224974251199,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0007409","GO:0007409","axonogenesis","48/565","456/17643",3.99827181631968e-13,1.72765325183173e-09,4.87789161591001e-10,"Hsp90aa1/Slit3/Cck/Cntnap2/Slit1/Chl1/Nfix/Dpysl5/Rufy3/Bcl11a/Plxna4/Zeb2/Actg1/L1cam/Etv1/Cacna1a/Hsp90ab1/Vcl/Pak3/Rab3a/Mapt/Megf9/Ephb2/Aplp1/Foxp1/Actb/Plxna1/Flrt2/Adcy1/Tubb2b/Uchl1/D130043K22Rik/Map2/Braf/Eif4g2/Dnm2/Actr3/Tubb3/Aplp2/Bsg/Dvl1/Ntng1/Macf1/Kif5a/Ptk2/Map1b/Thy1/Olfm1",48,8.76254341806501,0.0849557522123894,0.0258459445672505,3.28700512342804,28.8025251094403,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","38/565","306/17643",8.12652928256594e-13,3.51147330299674e-09,7.43577429354783e-10,"Magi2/Tanc1/Gpm6a/Lrfn5/Hspa8/Nrg1/Mdga2/Cfl1/Pgrmc1/Ppfia2/Homer1/Frmpd4/Chd4/Ywhaz/Snca/Slc17a7/Prnp/Pak3/Tuba1a/Ephb2/Flrt2/Actr2/Hnrnpk/Il1rapl2/Dgkb/Rock2/Wasl/Adgrb1/Ptprt/Actr3/Shank2/Rheb/Dvl1/Il1rapl1/Zfp804a/Adgrb2/Ptk2/Ctnnb1",38,8.45451062908602,0.0672566371681416,0.017343989117497,3.8778066979004,32.7849579449399,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0050807","GO:0050807","regulation of synapse organization","37/565","298/17643",1.64844719960419e-12,7.12294034948969e-09,1.20666335011026e-09,"Magi2/Tanc1/Gpm6a/Lrfn5/Hspa8/Nrg1/Mdga2/Cfl1/Pgrmc1/Ppfia2/Homer1/Frmpd4/Chd4/Ywhaz/Snca/Prnp/Pak3/Tuba1a/Ephb2/Flrt2/Actr2/Hnrnpk/Il1rapl2/Dgkb/Rock2/Wasl/Adgrb1/Ptprt/Actr3/Shank2/Rheb/Dvl1/Il1rapl1/Zfp804a/Adgrb2/Ptk2/Ctnnb1",37,8.14734069260559,0.0654867256637168,0.0168905514935102,3.87712181505019,31.5882323339472,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","22/565","110/17643",4.84289829931003e-12,2.09261635513186e-08,2.95416796257912e-09,"Syt1/Rims2/Stxbp5l/Rimbp2/Prkcg/Syt4/Ppfia2/Prepl/Atp2a2/Snap25/Cacna1a/Trim9/Snca/Rab3a/Braf/Rims1/Unc13b/Cacna1b/Dvl1/Vamp2/Rap1a/Pfn2",22,7.67931038471496,0.0389380530973451,0.00623476732981919,6.24530973451327,47.9596719000092,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0048588","GO:0048588","developmental cell growth","34/565","270/17643",9.05859680550623e-12,3.91421967965924e-08,4.73635204402183e-09,"Hsp90aa1/Slit3/Syt1/Rims2/Syt4/Slit1/Nfix/Rufy3/Bcl11a/Nr3c1/Plxna4/Zeb2/L1cam/Hsp90ab1/Vcl/Mapt/Foxp1/Plxna1/Hnrnpk/D130043K22Rik/Map2/Rasal1/Tmem108/Rims1/Eif4g2/Dnm2/Actr3/Dvl1/Macf1/Slc25a4/Pum2/Map1b/Ctnnb1/Olfm1",34,7.40735480387309,0.0601769911504425,0.0153035198095562,3.93223205506391,29.1274380030214,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0099173","GO:0099173","postsynapse organization","32/565","248/17643",1.95867975132926e-11,8.46345520549373e-08,8.96095986233136e-09,"Magi2/Tanc1/Hspa8/Cnksr2/Cntnap2/Cfl1/Ppfia2/Homer1/Frmpd4/Nos1ap/Prnp/Pak3/Ephb2/Actb/Actr2/Hnrnpk/Dgkb/Rock2/Wasl/Arhgap39/Adgrb1/Tmem108/Actr3/Shank2/Rheb/Dvl1/Il1rapl1/Nptxr/Zfp804a/Nrxn2/Shank1/Sorbs1",32,7.0724523000422,0.0566371681415929,0.0140565663435924,4.02923208678276,28.4965517395705,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","29/565","209/17643",2.92841075787249e-11,1.2653662884767e-07,1.19088704153481e-08,"Syt1/Rims2/Stxbp5l/Rimbp2/Prkcg/Syt4/Ppfia2/Prepl/Atp2a2/Snap25/Cacna1a/Gpm6b/Trim9/Snca/Slc17a7/Rab3a/Gabra2/Braf/Pebp1/Ptprn2/Rims1/Grm8/Unc13b/Cacna1b/Dvl1/Vamp2/Nrxn2/Rap1a/Pfn2",29,6.89778374007093,0.0513274336283186,0.0118460579266565,4.33287038997332,29.8872029237928,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:1990138","GO:1990138","neuron projection extension","28/565","200/17643",5.20348697478319e-11,2.24842672180382e-07,1.90447623277065e-08,"Hsp90aa1/Slit3/Syt1/Rims2/Syt4/Slit1/Rufy3/Bcl11a/Plxna4/L1cam/Hsp90ab1/Vcl/Mapt/Plxna1/Hnrnpk/D130043K22Rik/Map2/Rasal1/Tmem108/Rims1/Eif4g2/Dnm2/Actr3/Dvl1/Macf1/Map1b/Ctnnb1/Olfm1",28,6.64812126190295,0.0495575221238938,0.0113359405996713,4.37171681415929,29.063703503231,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0006836","GO:0006836","neurotransmitter transport","29/565","217/17643",7.41156861926748e-11,3.20253880038548e-07,2.46603101331991e-08,"Syt1/Rims2/Stxbp5l/Rimbp2/Prkcg/Syt4/Ppfia2/Prepl/Atp2a2/Snap25/Cacna1a/Gpm6b/Trim9/Snca/Slc17a7/Rab3a/Gabra2/Braf/Ptprn2/Rims1/Grm8/Unc13b/Slc6a17/Cacna1b/Dvl1/Vamp2/Nrxn2/Rap1a/Pfn2",29,6.49450559985299,0.0513274336283186,0.0122994955506433,4.17313323273928,27.1024371489579,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0048167","GO:0048167","regulation of synaptic plasticity","31/565","248/17643",9.20930152838499e-11,3.97933919041515e-07,2.64722468796555e-08,"Rims2/Prrt1/Prkcg/Slc4a10/Kcnn2/Syt4/Cfl1/Jph4/Ncdn/Nr3c1/Snap25/Rasgrf1/Snca/Prnp/Rab3a/Kcnq3/Mapt/Ephb2/Chrd/Nsg1/Hnrnpk/Adcy1/Mir124a-1hg/Braf/Adgrb1/Rims1/Nrgn/Shank2/Unc13b/Vamp2/Cpeb1",31,6.40018904093722,0.0548672566371681,0.0140565663435924,3.9033185840708,24.9819768250565,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0007269","GO:0007269","neurotransmitter secretion","25/565","165/17643",1.01259960741852e-10,4.37544290365541e-07,2.64722468796555e-08,"Syt1/Rims2/Stxbp5l/Rimbp2/Prkcg/Syt4/Ppfia2/Prepl/Atp2a2/Snap25/Cacna1a/Trim9/Snca/Rab3a/Braf/Ptprn2/Rims1/Grm8/Unc13b/Cacna1b/Dvl1/Vamp2/Nrxn2/Rap1a/Pfn2",25,6.35897797901243,0.0442477876106195,0.00935215099472879,4.73129525341915,30.0862023286984,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0099643","GO:0099643","signal release from synapse","25/565","165/17643",1.01259960741852e-10,4.37544290365541e-07,2.64722468796555e-08,"Syt1/Rims2/Stxbp5l/Rimbp2/Prkcg/Syt4/Ppfia2/Prepl/Atp2a2/Snap25/Cacna1a/Trim9/Snca/Rab3a/Braf/Ptprn2/Rims1/Grm8/Unc13b/Cacna1b/Dvl1/Vamp2/Nrxn2/Rap1a/Pfn2",25,6.35897797901243,0.0442477876106195,0.00935215099472879,4.73129525341915,30.0862023286984,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
