"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0099173","GO:0099173","postsynapse organization","26/317","248/17643",4.74482369943842e-13,1.50932841879136e-09,1.32255717432768e-09,"Cnksr2/Epha5/Actb/Homer1/Sptbn2/Dgkz/Adgrl3/Epha7/Nrxn3/Kalrn/Grin2a/Arhgap39/Frmpd4/Zfp804a/Cadm1/Tanc1/Il1rapl1/Rock2/Epha4/Cdkl5/Ptprs/Cntnap2/Actr3/Nos1ap/Asap1/Nrxn2",26,8.8212162506485,0.082018927444795,0.0140565663435924,5.83491910043757,51.4710831899992,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0007611","GO:0007611","learning or memory","22/317","308/17643",4.30285279247809e-08,0.000136873747328728,5.99681799709578e-05,"Brinp1/Tuba1a/Dgki/Atxn1/Pde4d/Nrxn3/Itga8/Kalrn/Grin2a/Cacna1c/Pja2/Plcb1/Plk2/Prrt1/Tanc1/Slc24a2/Braf/Adcy8/Prkca/Cntnap2/Syt4/Nrxn2",22,3.8636798424694,0.0694006309148265,0.0174573485234937,3.97543938711131,15.3598250249409,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0050890","GO:0050890","cognition","23/317","343/17643",6.73033828710849e-08,0.000214092060912921,6.25331080149588e-05,"Brinp1/Tuba1a/Dgki/Atxn1/Pde4d/Nrxn3/Itga8/Kalrn/Grin2a/Rtl4/Cacna1c/Pja2/Plcb1/Plk2/Prrt1/Tanc1/Slc24a2/Braf/Adcy8/Prkca/Cntnap2/Syt4/Nrxn2",23,3.66939943716907,0.0725552050473186,0.0194411381284362,3.73204513892082,13.6943643322456,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0042391","GO:0042391","regulation of membrane potential","25/317","455/17643",7.92399214281354e-07,0.00252062190062899,0.000552177136688691,"Kcnh7/Kcnd2/Pex5l/Dgki/Kcnn2/Trpc4/Dmd/Atxn1/Rgs7bp/Grin2a/Pkp2/Trpc5/Cacna1c/Rgs7/Hcn1/Plk2/Parp1/Pid1/Cntnap2/Kcnk2/Ryr2/Nos1ap/Gabra1/Gabra4/Cacna1d",25,2.59849229465894,0.0788643533123028,0.0257892648642521,3.05803029777793,7.94626816560954,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0050807","GO:0050807","regulation of synapse organization","19/317","298/17643",2.02835720488927e-06,0.00645220426875278,0.00113075576390459,"Tuba1a/Tubb5/Homer1/Syndig1/Adgrl3/Epha7/Kalrn/Negr1/Frmpd4/Zfp804a/Tanc1/Il1rapl1/Prkca/Rock2/Epha4/Cdkl5/Ptprs/Actr3/Asap1",19,2.19029189184292,0.0599369085173502,0.0168905514935102,3.54854656701882,7.77235277356836,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0099504","GO:0099504","synaptic vesicle cycle","16/317","222/17643",2.75650837790745e-06,0.00876845315012359,0.0011921833661794,"Stxbp5l/Actb/Prepl/Sptbn2/Syndig1/Ap2b1/Camk2a/Prkcb/Braf/Prkca/Atp6v1a/Mff/Rap1a/Rab27b/Syt4/Ppp3r1",16,2.057077014116,0.0504731861198738,0.0125828940656351,4.01125415636457,8.25145872283484,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","19/317","306/17643",2.99396502458195e-06,0.0095238027431952,0.0011921833661794,"Tuba1a/Tubb5/Homer1/Syndig1/Adgrl3/Epha7/Kalrn/Negr1/Frmpd4/Zfp804a/Tanc1/Il1rapl1/Prkca/Rock2/Epha4/Cdkl5/Ptprs/Actr3/Asap1",19,2.0211896082723,0.0599369085173502,0.017343989117497,3.45577410775036,6.98477471512151,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0030534","GO:0030534","adult behavior","14/317","180/17643",4.82631257140042e-06,0.0153525002896247,0.00140989430976921,"Tuba1a/Homer1/Sptbn2/Atxn1/Nrxn3/Kalrn/Cacna1c/Parp1/Epha4/Homer2/Cntnap2/Nr4a3/Abhd12/Nrxn2",14,1.81382088575283,0.0441640378548896,0.0102023465397041,4.32881177707676,7.85168921175467,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0043270","GO:0043270","positive regulation of monoatomic ion transport","16/317","234/17643",5.42790946291277e-06,0.0172661800015255,0.00140989430976921,"Atp2b1/Akt3/Homer1/Kcnn2/Trpc4/Dmd/Vmp1/Cacna1c/Plcb1/Rgs7/Camk2a/Hcn1/Ryr2/Asph/Ppp3r1/Cacna1d",16,1.76280373584107,0.0504731861198738,0.0132630505016154,3.80554881501254,6.70843566802965,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","17/317","262/17643",5.57854214133834e-06,0.0177453425515973,0.00140989430976921,"Stxbp5l/Actb/Prepl/Sptbn2/Syndig1/Mapk10/Ap2b1/Camk2a/Prkcb/Braf/Prkca/Atp6v1a/Mff/Rap1a/Rab27b/Syt4/Ppp3r1",17,1.75091561272481,0.0536277602523659,0.0148500821855693,3.6112770005057,6.32304128205944,"ExcitatoryNeuronsCA1","PTZvsSAL_1hr"
