"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0050807","GO:0050807","regulation of synapse organization","20/118","298/17643",8.70463620607814e-15,1.81317572172608e-11,1.25545002033074e-11,"Malat1/Tuba1a/Nrxn1/Tubb5/Ctnna2/Lrfn5/Cfl1/Mycbp2/Kalrn/Marcks/Prkca/Hspa8/Ywhaz/Ephb2/Cask/Mdga2/Pak3/Ppfia2/Ptprt/Pgrmc1",20,10.7415601047418,0.169491525423729,0.0168905514935102,10.0346945739961,107.788274899306,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","20/118","306/17643",1.44130213814406e-14,3.00223235375407e-11,1.25545002033074e-11,"Malat1/Tuba1a/Nrxn1/Tubb5/Ctnna2/Lrfn5/Cfl1/Mycbp2/Kalrn/Marcks/Prkca/Hspa8/Ywhaz/Ephb2/Cask/Mdga2/Pak3/Ppfia2/Ptprt/Pgrmc1",20,10.522555699152,0.169491525423729,0.017343989117497,9.77234961781323,102.830093165026,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0007409","GO:0007409","axonogenesis","17/118","456/17643",9.67183559611641e-09,2.01464335467105e-05,5.61645189879742e-06,"Tubb2b/Actg1/Cacna1a/Ctnna2/Mycbp2/Kalrn/Prkca/Ndn/Ephb2/Uchl1/Tubb3/Pak3/Neo1/Bcl11a/Hsp90aa1/Alcam/Rufy3",17,4.6958018243652,0.144067796610169,0.0258459445672505,5.57409678858162,26.1748538690098,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0061001","GO:0061001","regulation of dendritic spine morphogenesis","7/118","59/17643",1.28023672421065e-07,0.000266673309653078,5.10300253184433e-05,"Cfl1/Kalrn/Marcks/Ephb2/Cask/Pak3/Ppfia2",7,3.57402044906619,0.0593220338983051,0.00334410247690302,17.7392990519966,63.4006175639361,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0007611","GO:0007611","learning or memory","13/118","308/17643",1.46460797741756e-07,0.000305077841696077,5.10300253184433e-05,"Tuba1a/Nrxn1/Tafa2/Grm5/Kalrn/Syt4/Pja2/Meis2/Prkca/Ephb2/Prrt1/Pgrmc1/Itga8",13,3.51558933473252,0.110169491525424,0.0174573485234937,6.31078032137354,22.1861119916607,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099175","GO:0099175","regulation of postsynapse organization","9/118","138/17643",3.66388711710377e-07,0.000763187686492715,0.000106381283838715,"Nrxn1/Cfl1/Kalrn/Marcks/Hspa8/Ephb2/Cask/Pak3/Ppfia2",9,3.11736864528956,0.076271186440678,0.00782179901377317,9.75110537951363,30.3977901670101,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0050890","GO:0050890","cognition","13/118","343/17643",5.0126211668308e-07,0.00104412898905086,0.000124750195956466,"Tuba1a/Nrxn1/Tafa2/Grm5/Kalrn/Syt4/Pja2/Meis2/Prkca/Ephb2/Prrt1/Pgrmc1/Itga8",13,2.98124584637913,0.110169491525424,0.0194411381284362,5.66682314572318,16.8941929653523,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0060997","GO:0060997","dendritic spine morphogenesis","7/118","75/17643",6.82005969893688e-07,0.00142061843528855,0.000148515773707112,"Cfl1/Kalrn/Marcks/Ephb2/Cask/Pak3/Ppfia2",7,2.84752255381141,0.0593220338983051,0.00425097772487672,13.9549152542373,39.7369359229675,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","14/118","440/17643",1.43939903721275e-06,0.00299826819451416,0.000266915217249574,"Tubb2b/Nrxn1/Tenm1/Tenm3/Cfl1/Kalrn/Stmn2/Marcks/Ephb2/Cask/Pak3/Bcl11a/Hsp90aa1/Rufy3",14,2.52312952219219,0.11864406779661,0.0249390693192768,4.75735747303544,12.0034290878373,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0061003","GO:0061003","positive regulation of dendritic spine morphogenesis","5/118","30/17643",1.53214173043562e-06,0.0031914512244974,0.000266915217249574,"Kalrn/Marcks/Ephb2/Cask/Pak3",5,2.49601178858135,0.0423728813559322,0.00170039108995069,24.9194915254237,62.1993446129106,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0060998","GO:0060998","regulation of dendritic spine development","7/118","86/17643",1.73778429948072e-06,0.00361980469581833,0.000275218470396228,"Cfl1/Kalrn/Marcks/Ephb2/Cask/Pak3/Ppfia2",7,2.44131486090787,0.0593220338983051,0.00487445445785864,12.1699842333465,29.7107633658832,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099550","GO:0099550","trans-synaptic signaling, modulating synaptic transmission","4/118","15/17643",2.45172255903057e-06,0.00510693809046067,0.000355929897824174,"Nrxn1/Grm5/Syt4/Ephb2",4,2.29183940690543,0.0338983050847458,0.000850195544975344,39.871186440678,91.3783562848193,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0010976","GO:0010976","positive regulation of neuron projection development","10/118","231/17643",3.45541355283276e-06,0.00719762643055063,0.000463053395136697,"Tubb2b/Nrxn1/Tenm3/Kalrn/Stmn2/Marcks/Ephb2/Cask/Pak3/Bcl11a",10,2.14281069774432,0.0847457627118644,0.0130930113926203,6.47259520140876,13.8695462397473,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0048813","GO:0048813","dendrite morphogenesis","9/118","187/17643",4.61164600319705e-06,0.00960605862465946,0.000573855198142189,"Cacna1a/Ctnna2/Cfl1/Kalrn/Marcks/Ephb2/Cask/Pak3/Ppfia2",9,2.01745476724022,0.076271186440678,0.0105991044606926,7.19600290038974,14.5176103564657,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0060999","GO:0060999","positive regulation of dendritic spine development","6/118","66/17643",5.15904494916808e-06,0.0107462906291171,0.000599173290587591,"Cfl1/Kalrn/Marcks/Ephb2/Cask/Pak3",6,1.96874141828854,0.0508474576271186,0.00374086039789152,13.5924499229584,26.760019139341,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","9/118","192/17643",5.71671308182162e-06,0.0119079133494344,0.000622444746737814,"Nrxn1/Tenm1/Tenm3/Lrfn5/Kirrel3/Mdga2/Cxadr/Ptprt/Alcam",9,1.92416433425368,0.076271186440678,0.0108825029756844,7.00860699152542,13.4857116058942,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099173","GO:0099173","postsynapse organization","10/118","248/17643",6.48086782307041e-06,0.0134996476754557,0.000637727114448962,"Nrxn1/Cfl1/Kalrn/Marcks/Hspa8/Ephb2/Cask/Gphn/Pak3/Ppfia2",10,1.86967756591997,0.0847457627118644,0.0140565663435924,6.02890924002187,11.2721163530365,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0097061","GO:0097061","dendritic spine organization","7/118","105/17643",6.63055119102751e-06,0.0138114381309103,0.000637727114448962,"Cfl1/Kalrn/Marcks/Ephb2/Cask/Pak3/Ppfia2",7,1.85976109768492,0.0593220338983051,0.00595136881482741,9.96779661016949,18.5377203652289,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0007626","GO:0007626","locomotory behavior","10/118","250/17643",6.95527155033461e-06,0.014487830639347,0.000637727114448962,"Tuba1a/Oxr1/Cacna1a/Grm5/Cacna1b/Kalrn/Uchl1/Pbx3/Lsamp/Apba1",10,1.83899663950425,0.0847457627118644,0.0141699257495891,5.98067796610169,10.9984466816181,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0098885","GO:0098885","modification of postsynaptic actin cytoskeleton","4/118","20/17643",8.48010321399347e-06,0.0176640549947484,0.000711663718927622,"Ctnna2/Cfl1/Kalrn/Marcks",4,1.75290959182915,0.0338983050847458,0.00113359405996713,29.9033898305085,52.4179388621044,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099563","GO:0099563","modification of synaptic structure","5/118","42/17643",8.57866537317587e-06,0.0178693599723253,0.000711663718927622,"Ctnna2/Cfl1/Kalrn/Marcks/Pgrmc1",5,1.7478910023609,0.0423728813559322,0.00238054752593096,17.7996368038741,31.1118250147835,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0016358","GO:0016358","dendrite development","11/118","317/17643",9.18243061612062e-06,0.0191270029733792,0.000727125486587542,"Cacna1a/Ctnna2/Cfl1/Kalrn/Marcks/Ephb2/Cask/Csmd3/Pak3/Ppfia2/Bcl11a",11,1.71835307461944,0.0932203389830508,0.0179674658504789,5.18828530182324,8.91530600039079,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0106027","GO:0106027","neuron projection organization","7/118","114/17643",1.14080080959263e-05,0.0237628808638146,0.000864084823741789,"Cfl1/Kalrn/Marcks/Ephb2/Cask/Pak3/Ppfia2",7,1.62410090933839,0.0593220338983051,0.00646148614181262,9.18086529884032,14.9106516803598,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","5/118","47/17643",1.50623550478076e-05,0.0313748855645832,0.00109334200018077,"Nrxn1/Tenm1/Tenm3/Cxadr/Alcam",5,1.50341784953515,0.0423728813559322,0.00266394604092275,15.9060584204832,23.9134521451034,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0050905","GO:0050905","neuromuscular process","8/118","174/17643",2.21692117145769e-05,0.0461784680014637,0.00154484401632104,"Tuba1a/Nrxn1/Cacna1a/Ctnna2/Mycbp2/Uchl1/Tshz3/Camta1",8,1.33556047916131,0.0677966101694915,0.00986226832171399,6.87434248977206,9.1811001495589,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
