"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007269","GO:0007269","neurotransmitter secretion","15/183","165/17643",1.82090698687763e-10,4.79080628247504e-07,2.11225210477805e-07,"Stxbp5l/Nr4a1/Rph3a/Trim9/Rims2/Nrxn3/Gpr158/Cacnb4/Atp2a2/Snap25/Prkcb/Grm8/Camk2a/Rims1/Prepl",15,6.31959138959959,0.0819672131147541,0.00935215099472879,8.7645305514158,55.3882518066099,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0099643","GO:0099643","signal release from synapse","15/183","165/17643",1.82090698687763e-10,4.79080628247504e-07,2.11225210477805e-07,"Stxbp5l/Nr4a1/Rph3a/Trim9/Rims2/Nrxn3/Gpr158/Cacnb4/Atp2a2/Snap25/Prkcb/Grm8/Camk2a/Rims1/Prepl",15,6.31959138959959,0.0819672131147541,0.00935215099472879,8.7645305514158,55.3882518066099,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","16/183","209/17643",5.72251388631424e-10,1.50559340348928e-06,4.42541073874968e-07,"Stxbp5l/Slc1a2/Nr4a1/Rph3a/Trim9/Rims2/Nrxn3/Gpr158/Cacnb4/Atp2a2/Snap25/Prkcb/Grm8/Camk2a/Rims1/Prepl",16,5.82229229670274,0.087431693989071,0.0118460579266565,7.38065730645541,42.9723441799781,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0006836","GO:0006836","neurotransmitter transport","16/183","217/17643",9.93188655999884e-10,2.6130793539357e-06,5.76049420479933e-07,"Stxbp5l/Slc1a2/Nr4a1/Rph3a/Trim9/Rims2/Nrxn3/Gpr158/Cacnb4/Atp2a2/Snap25/Prkcb/Grm8/Camk2a/Rims1/Prepl",16,5.58284740142725,0.087431693989071,0.0122994955506433,7.10855934124046,39.6860020461357,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0099173","GO:0099173","postsynapse organization","16/183","248/17643",6.84328025239517e-09,1.80046703440517e-05,3.17528203711136e-06,"Cnksr2/Homer1/Asap1/Rph3a/Etv5/Nos1ap/Nrxn3/Kalrn/Ngef/Grin2a/Rheb/Nptx1/Rapgef4/Tmem108/Cadm1/Sipa1l1",16,4.74461482592113,0.087431693989071,0.0140565663435924,6.2199894235854,29.5114540362159,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","11/183","110/17643",1.93529453817921e-08,5.09175992994951e-05,6.65227856815628e-06,"Stxbp5l/Rph3a/Trim9/Rims2/Cacnb4/Atp2a2/Snap25/Prkcb/Camk2a/Rims1/Prepl",11,4.29313208097205,0.0601092896174863,0.00623476732981919,9.64098360655738,41.390016013437,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0045055","GO:0045055","regulated exocytosis","15/183","232/17643",2.00715301625405e-08,5.2808195857644e-05,6.65227856815628e-06,"Stxbp5l/Rph3a/Trim9/Rims2/Cacnb4/Pex5l/Atp2a2/Snap25/Prkcb/Camk2a/Rims1/Rapgef4/Prepl/Kcnb1/Rasgrp1",15,4.27729866952067,0.0819672131147541,0.0131496910956187,6.2333945732052,26.662090314568,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0007626","GO:0007626","locomotory behavior","15/183","250/17643",5.41676886410736e-08,0.000142515188814665,1.57086297059114e-05,"Tuba1a/Oxr1/Mapk10/Etv5/Scn8a/Cacnb4/Kcnd2/Kalrn/Snap25/Scn1a/Myo5a/Grin2a/Chl1/Rcan2/Kcnma1",15,3.84613884746691,0.0819672131147541,0.0141699257495891,5.78459016393443,22.2483369461832,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","10/183","100/17643",8.70434337828449e-08,0.000229011274282665,2.24378629306889e-05,"Stxbp5l/Rims2/Gpr158/Cacnb4/Atp2a2/Prkcb/Grm8/Camk2a/Rims1/Prepl",10,3.64014313670718,0.0546448087431694,0.00566797029983563,9.64098360655738,35.0945603065162,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0006887","GO:0006887","exocytosis","17/183","348/17643",1.36304611682123e-07,0.000358617433335666,3.16226699102526e-05,"Stxbp5l/Rph3a/Trim9/Rims2/Cacnb4/Pex5l/Atp2a2/Snap25/Myo5a/Ncam1/Prkcb/Camk2a/Rims1/Rapgef4/Prepl/Kcnb1/Rasgrp1",17,3.44536860206483,0.092896174863388,0.019724536643428,4.70967589975504,16.2265694709174,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
