gene,condition,go_term_count,ID
Apoe,Astrocytes_24hrvs1hr_PTZ,1,GO:0007613
Asic2,Astrocytes_24hrvs1hr_PTZ,2,GO:0034765
Asic2,Astrocytes_24hrvs1hr_PTZ,2,GO:0042391
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0034765
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0071805
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0003015
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0042391
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0006813
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0060047
Brinp1,Astrocytes_24hrvs1hr_PTZ,1,GO:0007613
Cacna1b,Astrocytes_24hrvs1hr_PTZ,3,GO:0060047
Cacna1b,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Cacna1b,Astrocytes_24hrvs1hr_PTZ,3,GO:0003015
Cacna1e,Astrocytes_24hrvs1hr_PTZ,3,GO:0003015
Cacna1e,Astrocytes_24hrvs1hr_PTZ,3,GO:0060047
Cacna1e,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0001508
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0042391
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0034765
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0003015
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0060047
Celf4,Astrocytes_24hrvs1hr_PTZ,1,GO:0042391
Dpp10,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Dpp10,Astrocytes_24hrvs1hr_PTZ,3,GO:0006813
Dpp10,Astrocytes_24hrvs1hr_PTZ,3,GO:0071805
Gja1,Astrocytes_24hrvs1hr_PTZ,3,GO:0003015
Gja1,Astrocytes_24hrvs1hr_PTZ,3,GO:0060047
Gja1,Astrocytes_24hrvs1hr_PTZ,3,GO:0042391
Grin2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0001508
Grin2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0034765
Grin2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0007613
Grin2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0042391
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0071805
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0034765
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0042391
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0006813
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0001508
Kcnj3,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Kcnj3,Astrocytes_24hrvs1hr_PTZ,3,GO:0006813
Kcnj3,Astrocytes_24hrvs1hr_PTZ,3,GO:0071805
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0034765
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0042391
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0006813
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0071805
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0001508
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0060047
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0003015
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0042391
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0001508
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0006813
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0034765
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0071805
Kcnq5,Astrocytes_24hrvs1hr_PTZ,3,GO:0006813
Kcnq5,Astrocytes_24hrvs1hr_PTZ,3,GO:0071805
Kcnq5,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Nedd4,Astrocytes_24hrvs1hr_PTZ,4,GO:0006813
Nedd4,Astrocytes_24hrvs1hr_PTZ,4,GO:0034765
Nedd4,Astrocytes_24hrvs1hr_PTZ,4,GO:0042391
Nedd4,Astrocytes_24hrvs1hr_PTZ,4,GO:0071805
Ntrk2,Astrocytes_24hrvs1hr_PTZ,3,GO:0007613
Ntrk2,Astrocytes_24hrvs1hr_PTZ,3,GO:0042391
Ntrk2,Astrocytes_24hrvs1hr_PTZ,3,GO:0001508
Scn2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0042391
Scn2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0007613
Scn2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0001508
Scn2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0034765
Sgcd,Astrocytes_24hrvs1hr_PTZ,2,GO:0003015
Sgcd,Astrocytes_24hrvs1hr_PTZ,2,GO:0060047
Sgcz,Astrocytes_24hrvs1hr_PTZ,2,GO:0003015
Sgcz,Astrocytes_24hrvs1hr_PTZ,2,GO:0060047
Slc1a3,Astrocytes_24hrvs1hr_PTZ,2,GO:0006813
Slc1a3,Astrocytes_24hrvs1hr_PTZ,2,GO:0071805
Snap25,Astrocytes_24hrvs1hr_PTZ,1,GO:0007613
Tuba1a,Astrocytes_24hrvs1hr_PTZ,1,GO:0007613
Actb,Astrocytes_24hrvs1hr_SAL,3,GO:0099173
Actb,Astrocytes_24hrvs1hr_SAL,3,GO:0034329
Actb,Astrocytes_24hrvs1hr_SAL,3,GO:0007409
Actg1,Astrocytes_24hrvs1hr_SAL,2,GO:0034329
Actg1,Astrocytes_24hrvs1hr_SAL,2,GO:0007409
Adam22,Astrocytes_24hrvs1hr_SAL,1,GO:0007626
Akap6,Astrocytes_24hrvs1hr_SAL,5,GO:0006816
Akap6,Astrocytes_24hrvs1hr_SAL,5,GO:0042391
Akap6,Astrocytes_24hrvs1hr_SAL,5,GO:0034765
Akap6,Astrocytes_24hrvs1hr_SAL,5,GO:0070588
Akap6,Astrocytes_24hrvs1hr_SAL,5,GO:0048588
Ank3,Astrocytes_24hrvs1hr_SAL,7,GO:0007411
Ank3,Astrocytes_24hrvs1hr_SAL,7,GO:0001508
Ank3,Astrocytes_24hrvs1hr_SAL,7,GO:0007409
Ank3,Astrocytes_24hrvs1hr_SAL,7,GO:0019226
Ank3,Astrocytes_24hrvs1hr_SAL,7,GO:0097485
Ank3,Astrocytes_24hrvs1hr_SAL,7,GO:0042391
Ank3,Astrocytes_24hrvs1hr_SAL,7,GO:0034765
Asic2,Astrocytes_24hrvs1hr_SAL,6,GO:0034765
Asic2,Astrocytes_24hrvs1hr_SAL,6,GO:0050803
Asic2,Astrocytes_24hrvs1hr_SAL,6,GO:0042391
Asic2,Astrocytes_24hrvs1hr_SAL,6,GO:0007416
Asic2,Astrocytes_24hrvs1hr_SAL,6,GO:0034329
Asic2,Astrocytes_24hrvs1hr_SAL,6,GO:0050807
Atp1b1,Astrocytes_24hrvs1hr_SAL,4,GO:0070588
Atp1b1,Astrocytes_24hrvs1hr_SAL,4,GO:0006816
Atp1b1,Astrocytes_24hrvs1hr_SAL,4,GO:0034765
Atp1b1,Astrocytes_24hrvs1hr_SAL,4,GO:0042391
Atp2b1,Astrocytes_24hrvs1hr_SAL,2,GO:0070588
Atp2b1,Astrocytes_24hrvs1hr_SAL,2,GO:0006816
Atp2c1,Astrocytes_24hrvs1hr_SAL,3,GO:0070588
Atp2c1,Astrocytes_24hrvs1hr_SAL,3,GO:0098742
Atp2c1,Astrocytes_24hrvs1hr_SAL,3,GO:0006816
Bcl11a,Astrocytes_24hrvs1hr_SAL,2,GO:0007409
Bcl11a,Astrocytes_24hrvs1hr_SAL,2,GO:0048588
Brinp1,Astrocytes_24hrvs1hr_SAL,1,GO:0050890
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0007626
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0019226
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0007416
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0035249
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0007409
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0070588
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0006816
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0048813
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0034329
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0042391
Cacna1a,Astrocytes_24hrvs1hr_SAL,11,GO:0034765
Cacna1b,Astrocytes_24hrvs1hr_SAL,4,GO:0006816
Cacna1b,Astrocytes_24hrvs1hr_SAL,4,GO:0034765
Cacna1b,Astrocytes_24hrvs1hr_SAL,4,GO:0007626
Cacna1b,Astrocytes_24hrvs1hr_SAL,4,GO:0070588
Cacna1c,Astrocytes_24hrvs1hr_SAL,7,GO:0050890
Cacna1c,Astrocytes_24hrvs1hr_SAL,7,GO:0070588
Cacna1c,Astrocytes_24hrvs1hr_SAL,7,GO:0006816
Cacna1c,Astrocytes_24hrvs1hr_SAL,7,GO:0042391
Cacna1c,Astrocytes_24hrvs1hr_SAL,7,GO:0001508
Cacna1c,Astrocytes_24hrvs1hr_SAL,7,GO:0007626
Cacna1c,Astrocytes_24hrvs1hr_SAL,7,GO:0034765
Cacna1d,Astrocytes_24hrvs1hr_SAL,5,GO:0006816
Cacna1d,Astrocytes_24hrvs1hr_SAL,5,GO:0034765
Cacna1d,Astrocytes_24hrvs1hr_SAL,5,GO:0042391
