"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",8.99730944599102,501,"axonogenesis","axonogenesis",0.68109756097561,0.314875,0
"GO:0050803","GO:0050803",2,"GO:0050803",5.93155793808134,317,"regulation of synapse structure or activity","regulation of synapse structure or activity",0.869731707317073,0.482,0
"GO:0050807","GO:0050807",2,"GO:0050803",5.74939192133881,309,"regulation of synapse organization","regulation of synapse structure or activity",0.708390243902439,0.4826,0.995
"GO:0099003","GO:0099003",3,"GO:0099003",5.20846560274216,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.921878048780488,0.509,0
"GO:0043087","GO:0043087",4,"GO:0043087",4.58871838110133,345,"regulation of GTPase activity","regulation of GTPase activity",0.955341463414634,1,0
"GO:0031345","GO:0031345",1,"GO:0007409",4.18404302041008,221,"negative regulation of cell projection organization","axonogenesis",0.751439024390244,0.371875,0.644
"GO:0048588","GO:0048588",5,"GO:0048588",3.79172341790341,291,"developmental cell growth","developmental cell growth",0.766951219512195,0.23,0
"GO:0099504","GO:0099504",3,"GO:0099003",3.75680748959173,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.91719512195122,0.509,0.982
"GO:0097485","GO:0097485",1,"GO:0007409",3.75680748959173,252,"neuron projection guidance","axonogenesis",0.698975609756098,0.341875,0.859
"GO:0007411","GO:0007411",1,"GO:0007409",3.75680748959173,252,"axon guidance","axonogenesis",0.694853658536585,0.326625,0.927
"GO:0016358","GO:0016358",1,"GO:0007409",3.45827640194687,327,"dendrite development","axonogenesis",0.721146341463415,0.401625,0.762
"GO:0031346","GO:0031346",1,"GO:0007409",3.42767273747395,463,"positive regulation of cell projection organization","axonogenesis",0.743317073170732,0.368125,0.687
"GO:0021954","GO:0021954",6,"GO:0021954",3.39330211106295,98,"central nervous system neuron development","central nervous system neuron development",0.802682926829268,0.552666666666667,0
"GO:0060560","GO:0060560",5,"GO:0048588",3.17104910714275,292,"developmental growth involved in morphogenesis","developmental cell growth",0.808024390243902,0.275,0.825
"GO:0099643","GO:0099643",7,"GO:0099643",3.13180673580887,174,"signal release from synapse","signal release from synapse",0.847780487804878,0.426666666666667,0
"GO:0007269","GO:0007269",7,"GO:0099643",3.13180673580887,174,"neurotransmitter secretion","signal release from synapse",0.754853658536585,0.423333333333333,0.998
"GO:1990138","GO:1990138",5,"GO:0048588",3.12454333743482,211,"neuron projection extension","developmental cell growth",0.647951219512195,0.209833333333333,0.973
"GO:0016049","GO:0016049",5,"GO:0048588",3.10671136361781,556,"cell growth","developmental cell growth",0.872585365853659,0.2395,0.95
"GO:0007264","GO:0007264",8,"GO:0007264",3.03991543813207,428,"small GTPase mediated signal transduction","small GTPase mediated signal transduction",0.850829268292683,0.2935,0
"GO:0001764","GO:0001764",9,"GO:0001764",3.0385963966154,206,"neuron migration","neuron migration",0.818073170731707,1,0
"GO:0051056","GO:0051056",8,"GO:0007264",2.77686673182591,230,"regulation of small GTPase mediated signal transduction","small GTPase mediated signal transduction",0.84980487804878,0.29225,0.931
"GO:0030900","GO:0030900",6,"GO:0021954",2.71352767809658,425,"forebrain development","central nervous system neuron development",0.829585365853658,0.457333333333333,0.687
"GO:0021537","GO:0021537",6,"GO:0021954",2.68952263717077,281,"telencephalon development","central nervous system neuron development",0.837024390243902,0.468,0.655
"GO:0099173","GO:0099173",10,"GO:0099173",2.65900270627255,252,"postsynapse organization","postsynapse organization",0.849,0.598,0
"GO:0007265","GO:0007265",8,"GO:0007264",2.65430780630543,342,"Ras protein signal transduction","small GTPase mediated signal transduction",0.852341463414634,0.29275,0.975
"GO:0042391","GO:0042391",2,"GO:0050803",2.59732143905407,491,"regulation of membrane potential","regulation of synapse structure or activity",0.876219512195122,0.5598,0.56
"GO:0050770","GO:0050770",1,"GO:0007409",2.35486044346493,186,"regulation of axonogenesis","axonogenesis",0.656926829268293,0.306375,0.882
"GO:0010977","GO:0010977",1,"GO:0007409",2.22906243941698,165,"negative regulation of neuron projection development","axonogenesis",0.66990243902439,0.332625,0.72
"GO:0001505","GO:0001505",2,"GO:0050803",2.20368323401901,220,"regulation of neurotransmitter levels","regulation of synapse structure or activity",0.870609756097561,0.5772,0.53
"GO:0034329","GO:0034329",10,"GO:0099173",2.07610448896322,481,"cell junction assembly","postsynapse organization",0.844512195121951,0.598,0.804
"GO:0006836","GO:0006836",11,"GO:0006836",1.88652678525029,230,"neurotransmitter transport","neurotransmitter transport",0.938390243902439,1,0
"GO:0048675","GO:0048675",5,"GO:0048588",1.74682564416841,143,"axon extension","developmental cell growth",0.652682926829268,0.227666666666667,0.946
"GO:0048167","GO:0048167",7,"GO:0099643",1.70452200531886,393,"regulation of synaptic plasticity","signal release from synapse",0.810268292682927,0.515333333333333,0.722
"GO:0008361","GO:0008361",2,"GO:0050803",1.66466900808574,222,"regulation of cell size","regulation of synapse structure or activity",0.786780487804878,0.5928,0.505
"GO:0034764","GO:0034764",12,"GO:0034764",1.62707534759773,282,"positive regulation of transmembrane transport","positive regulation of transmembrane transport",0.893024390243902,1,0
"GO:0001558","GO:0001558",5,"GO:0048588",1.55961206792851,459,"regulation of cell growth","developmental cell growth",0.717707317073171,0.254333333333333,0.926
"GO:0018105","GO:0018105",13,"GO:0018105",1.50459694681608,331,"peptidyl-serine phosphorylation","peptidyl-serine phosphorylation",0.982170731707317,1,0
"GO:0035331","GO:0035331",14,"GO:0035331",1.49758017829566,12,"negative regulation of hippo signaling","negative regulation of hippo signaling",0.887926829268293,1,0
"GO:0046578","GO:0046578",8,"GO:0007264",1.45274517534439,199,"regulation of Ras protein signal transduction","small GTPase mediated signal transduction",0.850414634146341,0.2875,0.92
"GO:0050890","GO:0050890",15,"GO:0050890",1.33227824574019,371,"cognition","cognition",0.940780487804878,1,0
"GO:0099072","GO:0099072",16,"GO:0099072",1.32250212770498,133,"regulation of postsynaptic membrane neurotransmitter receptor levels","regulation of postsynaptic membrane neurotransmitter receptor levels",0.887463414634146,1,0
