"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0050684","GO:0050684",1,"GO:0050684",4.25531128951005,139,"regulation of mRNA processing","regulation of mRNA processing",0.557588235294118,0.308,0
"GO:0000398","GO:0000398",2,"GO:0000398",3.79429783399692,304,"mRNA splicing, via spliceosome","mRNA splicing, via spliceosome",0.514058823529412,0.221666666666667,0
"GO:0000377","GO:0000377",2,"GO:0000398",3.79429783399692,304,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","mRNA splicing, via spliceosome",0.553352941176471,0.221666666666667,0.997
"GO:0000375","GO:0000375",2,"GO:0000398",3.79429783399692,304,"RNA splicing, via transesterification reactions","mRNA splicing, via spliceosome",0.553235294117647,0.2215,0.996
"GO:0048024","GO:0048024",1,"GO:0050684",3.62683066899159,114,"regulation of mRNA splicing, via spliceosome","regulation of mRNA processing",0.497882352941176,0.3145,0.985
"GO:0006397","GO:0006397",1,"GO:0050684",3.40395853637857,496,"mRNA processing","regulation of mRNA processing",0.553941176470588,0.3595,0.863
"GO:0050803","GO:0050803",3,"GO:0050803",3.20149912476213,317,"regulation of synapse structure or activity","regulation of synapse structure or activity",0.910823529411765,0.5025,0
"GO:0008380","GO:0008380",2,"GO:0000398",2.99001662404468,449,"RNA splicing","mRNA splicing, via spliceosome",0.557058823529412,0.240166666666667,0.945
"GO:0035235","GO:0035235",4,"GO:0035235",2.87121116645671,19,"ionotropic glutamate receptor signaling pathway","ionotropic glutamate receptor signaling pathway",0.891235294117647,0.5165,0
"GO:1903311","GO:1903311",1,"GO:0050684",2.61049628868497,304,"regulation of mRNA metabolic process","regulation of mRNA processing",0.620176470588235,0.331,0.92
"GO:0007409","GO:0007409",5,"GO:0007409",2.49840574657882,501,"axonogenesis","axonogenesis",0.897882352941176,0.5655,0
"GO:0050807","GO:0050807",3,"GO:0050803",2.32437965606297,309,"regulation of synapse organization","regulation of synapse structure or activity",0.847823529411765,0.5025,0.995
"GO:0043484","GO:0043484",2,"GO:0000398",2.05619343240212,187,"regulation of RNA splicing","mRNA splicing, via spliceosome",0.559529411764706,0.299,0.852
"GO:1990806","GO:1990806",4,"GO:0035235",1.97783742258604,32,"ligand-gated ion channel signaling pathway","ionotropic glutamate receptor signaling pathway",0.889117647058824,0.5165,0.967
"GO:0000380","GO:0000380",2,"GO:0000398",1.74125463969187,76,"alternative mRNA splicing, via spliceosome","mRNA splicing, via spliceosome",0.564411764705882,0.295666666666667,0.88
"GO:0001964","GO:0001964",6,"GO:0001964",1.71220410764741,38,"startle response","startle response",0.963117647058824,1,0
"GO:0048675","GO:0048675",5,"GO:0007409",1.57783816311586,143,"axon extension","axonogenesis",0.903588235294118,0.5655,0.869
