"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",15.849530545247,501,"axonogenesis","axonogenesis",0.575323076923077,0.27175,0
"GO:0048588","GO:0048588",2,"GO:0048588",10.1955877304976,291,"developmental cell growth","developmental cell growth",0.630784615384615,0.210083333333333,0
"GO:0016358","GO:0016358",1,"GO:0007409",10.0789121148583,327,"dendrite development","axonogenesis",0.624646153846154,0.355375,0.762
"GO:0060560","GO:0060560",2,"GO:0048588",9.21786950084479,292,"developmental growth involved in morphogenesis","developmental cell growth",0.680353846153846,0.241833333333333,0.825
"GO:0050770","GO:0050770",1,"GO:0007409",8.75063017303022,186,"regulation of axonogenesis","axonogenesis",0.554046153846154,0.2685,0.882
"GO:0097485","GO:0097485",1,"GO:0007409",8.69164281205907,252,"neuron projection guidance","axonogenesis",0.596446153846154,0.28475,0.859
"GO:0007411","GO:0007411",1,"GO:0007409",8.69164281205907,252,"axon guidance","axonogenesis",0.589323076923077,0.2686875,0.927
"GO:1990138","GO:1990138",2,"GO:0048588",7.86583629427886,211,"neuron projection extension","developmental cell growth",0.504876923076923,0.209416666666667,0.973
"GO:0061387","GO:0061387",3,"GO:0061387",6.86742135101762,129,"regulation of extent of cell growth","regulation of extent of cell growth",0.590969230769231,0.287,0
"GO:0016049","GO:0016049",2,"GO:0048588",6.50581224739805,556,"cell growth","developmental cell growth",0.753384615384615,0.2145,0.95
"GO:0050771","GO:0050771",4,"GO:0050771",6.37275979810784,71,"negative regulation of axonogenesis","negative regulation of axonogenesis",0.549923076923077,0.294,0
"GO:0048675","GO:0048675",2,"GO:0048588",6.32730564435833,143,"axon extension","developmental cell growth",0.509123076923077,0.228916666666667,0.946
"GO:0010977","GO:0010977",1,"GO:0007409",6.05255007656779,165,"negative regulation of neuron projection development","axonogenesis",0.594969230769231,0.3309375,0.72
"GO:0099173","GO:0099173",5,"GO:0099173",6.02502282420471,252,"postsynapse organization","postsynapse organization",0.796138461538462,0.43325,0
"GO:0050807","GO:0050807",6,"GO:0050807",5.97933417077786,309,"regulation of synapse organization","regulation of synapse organization",0.6996,0.482,0
"GO:0048813","GO:0048813",1,"GO:0007409",5.7882148453259,192,"dendrite morphogenesis","axonogenesis",0.617215384615385,0.3260625,0.83
"GO:0008361","GO:0008361",3,"GO:0061387",5.74734169908614,222,"regulation of cell size","regulation of extent of cell growth",0.744907692307692,0.28725,0.962
"GO:0050803","GO:0050803",6,"GO:0050807",5.74513270019778,317,"regulation of synapse structure or activity","regulation of synapse organization",0.892369230769231,0.481666666666667,0.995
"GO:0031345","GO:0031345",1,"GO:0007409",5.6381540751727,221,"negative regulation of cell projection organization","axonogenesis",0.675276923076923,0.3768125,0.644
"GO:0048638","GO:0048638",2,"GO:0048588",5.62291629285389,405,"regulation of developmental growth","developmental cell growth",0.654553846153846,0.225083333333333,0.832
"GO:0008038","GO:0008038",7,"GO:0008038",4.85848154554498,47,"neuron recognition","neuron recognition",0.747415384615385,0.5445,0
"GO:0030516","GO:0030516",3,"GO:0061387",4.74951914901121,113,"regulation of axon extension","regulation of extent of cell growth",0.460923076923077,0.294,0.985
"GO:0031346","GO:0031346",1,"GO:0007409",4.50063960802005,463,"positive regulation of cell projection organization","axonogenesis",0.663276923076923,0.3575625,0.687
"GO:0050772","GO:0050772",1,"GO:0007409",4.42104010412572,101,"positive regulation of axonogenesis","axonogenesis",0.5462,0.2904375,0.831
"GO:0034329","GO:0034329",5,"GO:0099173",4.07035518298083,481,"cell junction assembly","postsynapse organization",0.790092307692308,0.3835,0.804
"GO:0043087","GO:0043087",8,"GO:0043087",3.47479532363281,345,"regulation of GTPase activity","regulation of GTPase activity",0.942323076923077,0.5165,0
"GO:1902284","GO:1902284",1,"GO:0007409",3.36919356977832,37,"neuron projection extension involved in neuron projection guidance","axonogenesis",0.545338461538462,0.3175,0.724
"GO:0048846","GO:0048846",1,"GO:0007409",3.36919356977832,37,"axon extension involved in axon guidance","axonogenesis",0.539523076923077,0.3030625,0.783
"GO:0032535","GO:0032535",3,"GO:0061387",3.35947679608953,411,"regulation of cellular component size","regulation of extent of cell growth",0.739707692307692,0.31575,0.905
"GO:0045216","GO:0045216",5,"GO:0099173",3.35145524784362,231,"cell-cell junction organization","postsynapse organization",0.801707692307692,0.37875,0.745
"GO:0051961","GO:0051961",4,"GO:0050771",3.13104596154621,183,"negative regulation of nervous system development","negative regulation of axonogenesis",0.711307692307692,0.2734,0.933
"GO:0050767","GO:0050767",4,"GO:0050771",3.02272916511426,494,"regulation of neurogenesis","negative regulation of axonogenesis",0.667415384615385,0.285,0.846
"GO:0060996","GO:0060996",1,"GO:0007409",2.82931286001366,134,"dendritic spine development","axonogenesis",0.649815384615385,0.396125,0.702
"GO:0001558","GO:0001558",2,"GO:0048588",2.75087113748319,459,"regulation of cell growth","developmental cell growth",0.600138461538462,0.193166666666667,0.926
"GO:0050768","GO:0050768",4,"GO:0050771",2.55086908646788,175,"negative regulation of neurogenesis","negative regulation of axonogenesis",0.679046153846154,0.2582,0.937
"GO:0048841","GO:0048841",1,"GO:0007409",2.52210492172817,33,"regulation of axon extension involved in axon guidance","axonogenesis",0.4918,0.3104375,0.766
"GO:0001764","GO:0001764",9,"GO:0001764",2.50890150579241,206,"neuron migration","neuron migration",0.734692307692308,0.55475,0
