"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0099173","GO:0099173",1,"GO:0099173",3.86966334909889,252,"postsynapse organization","postsynapse organization",0.861923076923077,0.591,0
"GO:0050807","GO:0050807",2,"GO:0050807",2.83785779132569,309,"regulation of synapse organization","regulation of synapse organization",0.695615384615385,0.482,0
"GO:0050803","GO:0050803",2,"GO:0050807",2.69261733576641,317,"regulation of synapse structure or activity","regulation of synapse organization",0.838692307692308,0.481666666666667,0.995
"GO:0098742","GO:0098742",3,"GO:0098742",2.66729579044291,211,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.985692307692308,1,0
"GO:0042391","GO:0042391",2,"GO:0050807",2.45026848036089,491,"regulation of membrane potential","regulation of synapse organization",0.870384615384615,0.627,0.559
"GO:0032412","GO:0032412",4,"GO:0032412",2.15233087088666,283,"regulation of monoatomic ion transmembrane transporter activity","regulation of monoatomic ion transmembrane transporter activity",0.676384615384615,0.29975,0
"GO:0034765","GO:0034765",5,"GO:0034765",2.14704308281212,490,"regulation of monoatomic ion transmembrane transport","regulation of monoatomic ion transmembrane transport",0.756615384615385,1,0
"GO:0022898","GO:0022898",4,"GO:0032412",2.00446417808994,294,"regulation of transmembrane transporter activity","regulation of monoatomic ion transmembrane transporter activity",0.675923076923077,0.2995,0.995
"GO:2000310","GO:2000310",4,"GO:0032412",1.86950099046882,28,"regulation of NMDA receptor activity","regulation of monoatomic ion transmembrane transporter activity",0.713,0.39125,0.814
"GO:0032409","GO:0032409",4,"GO:0032412",1.81008722314553,307,"regulation of transporter activity","regulation of monoatomic ion transmembrane transporter activity",0.748923076923077,0.301,0.992
"GO:0007626","GO:0007626",6,"GO:0007626",1.48311315105603,273,"locomotory behavior","locomotory behavior",0.985,1,0
"GO:0007416","GO:0007416",1,"GO:0099173",1.4133932708143,222,"synapse assembly","postsynapse organization",0.847153846153846,0.591,0.818
"GO:1990806","GO:1990806",7,"GO:1990806",1.38665012198043,32,"ligand-gated ion channel signaling pathway","ligand-gated ion channel signaling pathway",0.924538461538462,1,0
