"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",9.15805030681891,501,"axonogenesis","axonogenesis",0.690913793103448,0.311,0
"GO:0050807","GO:0050807",2,"GO:0050807",7.92299756167723,309,"regulation of synapse organization","regulation of synapse organization",0.701603448275862,0.482,0
"GO:0050803","GO:0050803",2,"GO:0050807",7.67805516147999,317,"regulation of synapse structure or activity","regulation of synapse organization",0.880758620689655,0.481666666666667,0.995
"GO:0031345","GO:0031345",3,"GO:0031345",6.40309257863318,221,"negative regulation of cell projection organization","negative regulation of cell projection organization",0.74,0.347333333333333,0
"GO:0010977","GO:0010977",3,"GO:0031345",5.65534876470001,165,"negative regulation of neuron projection development","negative regulation of cell projection organization",0.677206896551724,0.3255,0.978
"GO:0099173","GO:0099173",4,"GO:0099173",5.28192202253269,252,"postsynapse organization","postsynapse organization",0.807620689655172,0.289714285714286,0
"GO:0031346","GO:0031346",3,"GO:0031345",5.14892080883281,463,"positive regulation of cell projection organization","negative regulation of cell projection organization",0.730310344827586,0.336166666666667,0.823
"GO:0032412","GO:0032412",5,"GO:0032412",5.10915465216085,283,"regulation of monoatomic ion transmembrane transporter activity","regulation of monoatomic ion transmembrane transporter activity",0.775603448275862,0.337666666666667,0
"GO:0022898","GO:0022898",5,"GO:0032412",4.8864730383075,294,"regulation of transmembrane transporter activity","regulation of monoatomic ion transmembrane transporter activity",0.775086206896552,0.336666666666667,0.995
"GO:0050770","GO:0050770",1,"GO:0007409",4.8699593481106,186,"regulation of axonogenesis","axonogenesis",0.656827586206897,0.3552,0.882
"GO:0042391","GO:0042391",2,"GO:0050807",4.85423785823382,491,"regulation of membrane potential","regulation of synapse organization",0.899637931034483,0.627,0.559
"GO:0007416","GO:0007416",4,"GO:0099173",4.68197542180972,222,"synapse assembly","postsynapse organization",0.717620689655172,0.249142857142857,0.818
"GO:0032409","GO:0032409",5,"GO:0032412",4.59368621978338,307,"regulation of transporter activity","regulation of monoatomic ion transmembrane transporter activity",0.902672413793103,0.337666666666667,0.992
