"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",6.56349364303092,501,"axonogenesis","axonogenesis",0.641414634146341,0.32475,0
"GO:0050807","GO:0050807",2,"GO:0050807",6.12192730015938,309,"regulation of synapse organization","regulation of synapse organization",0.636780487804878,0.4855,0
"GO:0050803","GO:0050803",2,"GO:0050807",5.85630247468243,317,"regulation of synapse structure or activity","regulation of synapse organization",0.884512195121951,0.485,0.995
"GO:0016358","GO:0016358",1,"GO:0007409",5.50587733726737,327,"dendrite development","axonogenesis",0.663341463414634,0.305125,0.762
"GO:0034329","GO:0034329",3,"GO:0034329",5.41679096778407,481,"cell junction assembly","cell junction assembly",0.723390243902439,0.308428571428571,0
"GO:0050806","GO:0050806",4,"GO:0050806",4.85223268929285,348,"positive regulation of synaptic transmission","positive regulation of synaptic transmission",0.896,0.410333333333333,0
"GO:0010977","GO:0010977",5,"GO:0010977",4.84890962176427,165,"negative regulation of neuron projection development","negative regulation of neuron projection development",0.651926829268293,0.405666666666667,0
"GO:0099173","GO:0099173",3,"GO:0034329",4.38312776092881,252,"postsynapse organization","cell junction assembly",0.722073170731707,0.276285714285714,0.804
"GO:0042391","GO:0042391",2,"GO:0050807",4.2669318001768,491,"regulation of membrane potential","regulation of synapse organization",0.902512195121951,0.5885,0.559
"GO:0060560","GO:0060560",6,"GO:0060560",4.24869289588526,292,"developmental growth involved in morphogenesis","developmental growth involved in morphogenesis",0.828414634146341,0.2896,0
"GO:0031345","GO:0031345",5,"GO:0010977",4.20661768472157,221,"negative regulation of cell projection organization","negative regulation of neuron projection development",0.708170731707317,0.399666666666667,0.978
"GO:0007416","GO:0007416",3,"GO:0034329",4.20661768472157,222,"synapse assembly","cell junction assembly",0.660682926829268,0.305285714285714,0.948
"GO:1990138","GO:1990138",6,"GO:0060560",3.96829578940178,211,"neuron projection extension","developmental growth involved in morphogenesis",0.624048780487805,0.2324,0.968
"GO:1902414","GO:1902414",7,"GO:1902414",3.74169417072005,133,"protein localization to cell junction","protein localization to cell junction",0.896024390243902,0.27225,0
"GO:0048167","GO:0048167",4,"GO:0050806",3.06933382697752,393,"regulation of synaptic plasticity","positive regulation of synaptic transmission",0.850243902439024,0.415333333333333,0.806
"GO:0048588","GO:0048588",6,"GO:0060560",3.06611516536871,291,"developmental cell growth","developmental growth involved in morphogenesis",0.782780487804878,0.2612,0.825
"GO:0007626","GO:0007626",8,"GO:0007626",3.01093343835307,273,"locomotory behavior","locomotory behavior",0.939487804878049,1,0
"GO:0035418","GO:0035418",7,"GO:1902414",2.89106114417259,100,"protein localization to synapse","protein localization to cell junction",0.895756097560976,0.26475,0.985
"GO:0060291","GO:0060291",4,"GO:0050806",2.83332810353274,260,"long-term synaptic potentiation","positive regulation of synaptic transmission",0.846951219512195,0.363,0.963
"GO:1901888","GO:1901888",3,"GO:0034329",2.35971917922943,246,"regulation of cell junction assembly","cell junction assembly",0.706536585365854,0.342,0.93
"GO:0098742","GO:0098742",9,"GO:0098742",2.18340660576961,211,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.958829268292683,0.5535,0
"GO:1903539","GO:1903539",7,"GO:1902414",2.11166463323009,67,"protein localization to postsynaptic membrane","protein localization to cell junction",0.896707317073171,0.266,0.962
"GO:0062237","GO:0062237",7,"GO:1902414",2.05019639160509,68,"protein localization to postsynapse","protein localization to cell junction",0.896536585365854,0.265,0.964
