"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0030900","GO:0030900","forebrain development","34/372","380/17643",1.22457432935593e-12,5.15300877792974e-09,3.73688524295035e-09,"Tuba1a/Zswim6/Ntrk2/Tubb2a/Fgfr3/Tubb2b/Tcf7l2/Ccdc141/Gli2/App/Zeb2/Setd2/Herc1/Hes5/Zmiz1/Trappc9/Atp1b2/Large1/Dbi/Robo1/Fgfr2/Chd7/Slc7a11/Ncam1/Rtn4/Arid1a/Arhgap35/Ophn1/Adgrg1/Hnrnpk/Notch1/Aplp2/Slc1a2/Nrp1",34,8.28793911773625,0.0913978494623656,0.0215382871393754,4.24350594227504,35.1699188953275,"Astrocytes","24hrvs1hr_PTZ"
"GO:0050807","GO:0050807","regulation of synapse organization","28/372","298/17643",4.09526477188995e-11,1.72328741601129e-07,4.46478847369864e-08,"Sparcl1/Gpm6a/Tuba1a/Ntrk2/Prnp/Apoe/Mycbp2/Nedd4/Farp1/Agrn/App/Hspa8/Marcks/Malat1/Ephb1/Ube3a/Pik3r1/Dag1/Stau2/Robo1/Slc7a11/Ywhaz/Tanc2/Ncan/Mdga2/Hnrnpk/Cask/Hnrnpm",28,6.7636422833309,0.0752688172043011,0.0168905514935102,4.45626759038753,30.1405999001822,"Astrocytes","24hrvs1hr_PTZ"
"GO:0007409","GO:0007409","axonogenesis","35/372","456/17643",4.38932292171132e-11,1.84702708545612e-07,4.46478847369864e-08,"Ntrk2/Apoe/Fgfr3/Tubb2b/Mycbp2/Gli2/Klf7/Map1b/Agrn/App/Zeb2/Sema6a/Actb/Nptn/Bcl2/Mt3/Ephb1/Dag1/Robo1/Fgfr2/Ncam1/Plxna2/Ptch1/Eif4g2/Cdh11/Ank3/Rtn4/Arhgap35/Tiam2/Ptprz1/Notch1/Aplp2/Ntng1/Nrp1/Cacna1a",35,6.73352673586572,0.0940860215053763,0.0258459445672505,3.64026245048104,24.5118045358822,"Astrocytes","24hrvs1hr_PTZ"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","28/372","306/17643",7.64075772629499e-11,3.21523085122493e-07,5.8290938548761e-08,"Sparcl1/Gpm6a/Tuba1a/Ntrk2/Prnp/Apoe/Mycbp2/Nedd4/Farp1/Agrn/App/Hspa8/Marcks/Malat1/Ephb1/Ube3a/Pik3r1/Dag1/Stau2/Robo1/Slc7a11/Ywhaz/Tanc2/Ncan/Mdga2/Hnrnpk/Cask/Hnrnpm",28,6.49278783959393,0.0752688172043011,0.017343989117497,4.33976386253426,28.1771660333716,"Astrocytes","24hrvs1hr_PTZ"
"GO:0099173","GO:0099173","postsynapse organization","25/372","248/17643",1.04506820130103e-10,4.39764699107473e-07,6.3782162433088e-08,"Prnp/Apoe/Gphn/Ctnnd2/Farp1/Cadm1/Agrn/App/Hspa8/Actb/Marcks/Ephb1/Ube3a/Stau2/Slc7a11/Tanc2/Ncan/Nrxn3/Ophn1/Dlg2/Hnrnpk/Cask/Nrp1/Hnrnpm/Nrxn2",25,6.35677963536209,0.0672043010752688,0.0140565663435924,4.78098985431842,30.3916989428041,"Astrocytes","24hrvs1hr_PTZ"
"GO:0034329","GO:0034329","cell junction assembly","30/372","431/17643",1.11052103845316e-08,4.67307252981092e-05,5.64807103592232e-06,"Gpm6a/Gja1/Ntrk2/Ctnnd2/Mycbp2/Farp1/Cadm1/Agrn/Cd9/App/Actb/Nptn/Bcl2/Ephb1/Pik3r1/Large1/Stau2/Robo1/Itgav/Clasp1/Ptprj/Nrxn3/Cdh11/Dlg1/Ophn1/Mdga2/Nrp1/Cdh10/Cacna1a/Nrxn2",30,4.33039747832681,0.0806451612903226,0.0244289519922916,3.3012124840955,14.2955622165481,"Astrocytes","24hrvs1hr_PTZ"
"GO:0050890","GO:0050890","cognition","26/372","343/17643",1.96875609809599e-08,8.28452566078794e-05,8.58259237350418e-06,"Tuba1a/Ntrk2/Prnp/Syt11/Apoe/Ctnnd2/Slc1a4/App/Slc6a1/Gnas/Shc3/Nptn/Grm5/Btbd9/Ube3a/Large1/Dbi/Chd7/Slc7a11/Ncam1/Nrxn3/Pja2/Ptprz1/Ap1s2/Hmgcr/Nrxn2",26,4.0817323525192,0.0698924731182796,0.0194411381284362,3.59508135051255,14.6741598583255,"Astrocytes","24hrvs1hr_PTZ"
"GO:0021953","GO:0021953","central nervous system neuron differentiation","18/372","178/17643",4.31039557733831e-08,0.000181381445894396,1.64418904982944e-05,"Zswim6/Psap/Ntrk2/Mycbp2/Gli2/Rora/Zeb2/Herc1/Hes5/Zmiz1/Ephb1/Fgfr2/Ptch1/Cdh11/Arhgap35/Ophn1/Nrp1/Cacna1a",18,3.74140714041707,0.0483870967741935,0.0100889871337074,4.79603117071403,17.9439052677723,"Astrocytes","24hrvs1hr_PTZ"
"GO:0048638","GO:0048638","regulation of developmental growth","26/372","363/17643",6.17983988426952e-08,0.000260047662330061,2.07842690867329e-05,"Gja1/Apoe/Fgfr3/Tcf7l2/Mycbp2/Map1b/Agrn/App/Gnas/Sema6a/Bcl2/Mt3/Gpam/Fgfr2/Chd7/Ncam1/Ptch1/Eif4g2/Dlg1/Rtn4/Rps6kb1/Hnrnpk/Itsn2/Notch1/Wwc1/Nrp1",26,3.58494704591421,0.0698924731182796,0.0205747321884033,3.3970052430463,12.1780839110139,"Astrocytes","24hrvs1hr_PTZ"
"GO:0010720","GO:0010720","positive regulation of cell development","31/372","494/17643",6.81098848996077e-08,0.000286606395657549,2.07842690867329e-05,"Gja1/Ntrk2/Apoe/Map1b/Zeb2/Gnas/Actb/Marcks/Nptn/Grm5/Bcl2/Zmiz1/Dag1/Stau2/Robo1/Vcan/Plxna2/Arid2/Ncan/Eif4g2/Rtn4/Arid1a/Tiam2/Cux1/Add1/Ptprz1/Notch1/Cask/Nrp1/Asxl2/Smarca2",31,3.54271412249488,0.0833333333333333,0.027999773281188,2.97621457489879,10.543877406069,"Astrocytes","24hrvs1hr_PTZ"
