"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007409","GO:0007409","axonogenesis","40/433","456/17643",3.00692183362287e-12,1.20487357873269e-08,9.46072564284081e-09,"Hsp90aa1/Tubb2b/Tenm2/Actb/Actg1/Ank3/Cntnap2/Hsp90ab1/Sema6d/Klf7/Cntn1/Gli3/Aplp2/Bmpr1b/Pax6/Nfib/Mycbp2/Gli2/Bcl2/Chl1/Epha5/Sema6a/Map1b/Ephb1/Fgfr3/Trak1/Map2/Ptprm/Mapt/Etv4/Mgll/Lama2/Agrn/Plxna4/Sema3c/App/Sipa1l1/Nptn/Ext1/Stxbp5",40,7.91905851901367,0.092378752886836,0.0258459445672505,3.57420687978607,28.3043534400871,"Astrocytes","24hrvs1hr_SAL"
"GO:0099173","GO:0099173","postsynapse organization","27/433","248/17643",9.77108389639646e-11,3.91527331728606e-07,1.53714577717521e-07,"Dlg2/Hspa8/Actb/Ptprd/Cntnap2/Ppfia2/Grin2b/Ctnnd2/Shisa6/Lrrtm4/Cadm1/Hnrnpk/Epha5/Il1rapl1/Ncan/Hnrnpm/Ephb1/Abl2/Agrn/Dgkb/Rps6ka5/Ube3a/App/Sorbs1/Sipa1l1/Myo9a/Itsn1",27,6.40723791533121,0.0623556581986143,0.0140565663435924,4.436051925799,28.4228400933574,"Astrocytes","24hrvs1hr_SAL"
"GO:0007411","GO:0007411","axon guidance","25/433","222/17643",2.3831409060478e-10,9.54924561053354e-07,1.87452846530971e-07,"Tubb2b/Tenm2/Ank3/Sema6d/Klf7/Cntn1/Gli3/Bmpr1b/Pax6/Nfib/Mycbp2/Gli2/Chl1/Epha5/Sema6a/Ephb1/Ptprm/Etv4/Lama2/Agrn/Plxna4/Sema3c/App/Nptn/Ext1",25,6.02003093628258,0.0577367205542725,0.0125828940656351,4.58850883215779,27.6229651209958,"Astrocytes","24hrvs1hr_SAL"
"GO:0097485","GO:0097485","neuron projection guidance","25/433","222/17643",2.3831409060478e-10,9.54924561053354e-07,1.87452846530971e-07,"Tubb2b/Tenm2/Ank3/Sema6d/Klf7/Cntn1/Gli3/Bmpr1b/Pax6/Nfib/Mycbp2/Gli2/Chl1/Epha5/Sema6a/Ephb1/Ptprm/Etv4/Lama2/Agrn/Plxna4/Sema3c/App/Nptn/Ext1",25,6.02003093628258,0.0577367205542725,0.0125828940656351,4.58850883215779,27.6229651209958,"Astrocytes","24hrvs1hr_SAL"
"GO:0030900","GO:0030900","forebrain development","32/433","380/17643",1.36998175411754e-09,5.48951688874899e-06,8.62079044854176e-07,"Ubb/Tuba1a/Nrg3/Tubb2a/Tubb2b/Cntnap2/Nrg1/Gli3/Large1/Aplp2/Tcf7l2/Pax6/Atp1b2/Dbi/Nfib/Gli2/Hnrnpk/Epha5/Rfx4/Fgfr3/Trappc9/Dmxl2/Hes5/Phactr1/Chd7/Plxna4/Herc1/Ywhae/Bmpr1a/App/Dync2h1/Ext1",32,5.26046587445384,0.0739030023094688,0.0215382871393754,3.43123860459463,18.0499135865787,"Astrocytes","24hrvs1hr_SAL"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","28/433","306/17643",2.41577533164363e-09,9.68001175389601e-06,1.26679867829523e-06,"Tuba1a/Hspa8/Ptprd/Ppfia2/Grin2b/Nrg1/Tubb5/Ptprt/Lrrtm4/Mycbp2/Hnrnpk/Il1rapl1/Ncan/Nedd4/Hnrnpm/Cttnbp2/Ephb1/Sparcl1/Ywhaz/Agrn/Clstn1/Sybu/Dgkb/Rps6ka5/Ube3a/App/Sipa1l1/Itsn1",28,5.01412411535183,0.0646651270207852,0.017343989117497,3.72838835303174,18.6946019523333,"Astrocytes","24hrvs1hr_SAL"
"GO:0050807","GO:0050807","regulation of synapse organization","27/433","298/17643",5.80335890526136e-09,2.32540591333823e-05,2.60845710794379e-06,"Tuba1a/Hspa8/Ptprd/Ppfia2/Grin2b/Nrg1/Tubb5/Ptprt/Lrrtm4/Mycbp2/Hnrnpk/Il1rapl1/Ncan/Nedd4/Hnrnpm/Cttnbp2/Ephb1/Sparcl1/Ywhaz/Agrn/Clstn1/Dgkb/Rps6ka5/Ube3a/App/Sipa1l1/Itsn1",27,4.63350122748966,0.0623556581986143,0.0168905514935102,3.6917479114032,17.1057184790691,"Astrocytes","24hrvs1hr_SAL"
"GO:0050890","GO:0050890","cognition","29/433","343/17643",7.57716045543413e-09,3.03616819449246e-05,2.9800174475385e-06,"Tuba1a/Gabrb3/Cntnap2/Grm7/Grin2b/Nrg1/Large1/Ctnnd2/Pax6/Specc1/Dbi/Thra/Chl1/Syt11/Shc3/Crebbp/Mapt/Abl2/Synj1/Prkn/Chd7/Atxn1/Ube3a/Pde4d/Hmgcr/App/Nptn/Slc1a4/Zzef1",29,4.51767417351547,0.0669745958429561,0.0194411381284362,3.44499356984628,15.5633584784214,"Astrocytes","24hrvs1hr_SAL"
"GO:0007626","GO:0007626","locomotory behavior","24/433","250/17643",1.34983591499666e-08,5.40879251139163e-05,4.71890005839185e-06,"Tuba1a/Npas3/Cntnap2/Gnao1/Nrg1/Prex2/Cntn1/Fgf14/Pcdh15/Large1/Aplp2/Hipk2/Chl1/Adam22/Mapt/Abl2/Prkce/Prkn/Chd7/Atxn1/Ube3a/Kcnd2/App/Gigyf2",24,4.26689967836308,0.0554272517321016,0.0141699257495891,3.91161200923788,16.6904560240983,"Astrocytes","24hrvs1hr_SAL"
"GO:0016358","GO:0016358","dendrite development","27/433","317/17643",2.16078511331447e-08,8.6582659490511e-05,6.79851231968102e-06,"Ptprd/Csmd3/Cntnap2/Ppfia2/Prex2/Klf7/Ppp3ca/Ctnnd2/Cux1/Nr3c1/Hnrnpk/Epha5/Map1b/Il1rapl1/Nedd4/Ephb1/Arid1b/Trak1/Map2/Crebbp/Phactr1/Abl2/Ube3a/App/Sipa1l1/Prex1/Itsn1",27,4.06256907844069,0.0623556581986143,0.0179674658504789,3.4704759545683,14.0990483005011,"Astrocytes","24hrvs1hr_SAL"
"GO:0007611","GO:0007611","learning or memory","26/433","308/17643",4.74440021646502e-08,0.000190108116673753,1.35703466478602e-05,"Tuba1a/Gabrb3/Cntnap2/Grm7/Grin2b/Nrg1/Large1/Ctnnd2/Pax6/Specc1/Dbi/Thra/Syt11/Shc3/Crebbp/Mapt/Abl2/Synj1/Prkn/Atxn1/Ube3a/Pde4d/Hmgcr/App/Nptn/Zzef1",26,3.72099934051819,0.0600461893764434,0.0174573485234937,3.43959389340452,12.7987266090086,"Astrocytes","24hrvs1hr_SAL"
"GO:0021953","GO:0021953","central nervous system neuron differentiation","19/433","178/17643",8.35374218458959e-08,0.000334734449336505,2.19029257804722e-05,"Ubb/Hsp90aa1/Rora/Hsp90ab1/Gli3/Bmpr1b/Tulp3/Pax6/Nfib/Mycbp2/Gli2/Ephb1/Atxn2/Hes5/Plxna4/Herc1/Bmpr1a/Dync2h1/Gigyf2",19,3.47529958974304,0.0438799076212471,0.0100889871337074,4.34928769753743,15.1150777509263,"Astrocytes","24hrvs1hr_SAL"
"GO:0030534","GO:0030534","adult behavior","19/433","180/17643",9.98859899634682e-08,0.000400243161783617,2.41748359514823e-05,"Tuba1a/Cntnap2/Grm7/Prex2/Fgf14/Pcdh15/Rnf180/Hipk2/Chl1/Adam22/Crebbp/Unc79/Mapt/Abl2/Prkn/Chd7/Atxn1/App/Gigyf2",19,3.39767607933374,0.0438799076212471,0.0102023465397041,4.3009622786759,14.6132766523738,"Astrocytes","24hrvs1hr_SAL"
"GO:0021537","GO:0021537","telencephalon development","23/433","260/17643",1.22782213045245e-07,0.000491988327672298,2.75936868264841e-05,"Tuba1a/Nrg3/Tubb2a/Tubb2b/Nrg1/Gli3/Large1/Pax6/Atp1b2/Dbi/Nfib/Hnrnpk/Epha5/Rfx4/Trappc9/Dmxl2/Hes5/Phactr1/Chd7/Plxna4/Herc1/Ywhae/Ext1",23,3.30804520066281,0.0531177829099307,0.0147367227795726,3.60445016876888,11.9236840818241,"Astrocytes","24hrvs1hr_SAL"
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","16/433","132/17643",1.53097314953748e-07,0.000613460941019669,3.21128332910002e-05,"Dlg2/Hsp90aa1/Nbea/Cntnap2/Gpc6/Lrrc7/Nrg1/Ctnnd2/Shisa6/Adam22/Nedd4/Eps15/Synj1/Clstn1/Prkn/Ywhae",16,3.21221308353133,0.0369515011547344,0.00748172079578303,4.93890405206802,15.8648122143588,"Astrocytes","24hrvs1hr_SAL"
"GO:0008344","GO:0008344","adult locomotory behavior","14/433","103/17643",2.19580235108613e-07,0.000879858002080213,4.31792975486609e-05,"Tuba1a/Prex2/Fgf14/Pcdh15/Hipk2/Chl1/Adam22/Mapt/Abl2/Prkn/Chd7/Atxn1/App/Gigyf2",14,3.05558741181464,0.0323325635103926,0.0058380094088307,5.53828561178502,16.9227157984044,"Astrocytes","24hrvs1hr_SAL"
"GO:0055074","GO:0055074","calcium ion homeostasis","25/433","312/17643",2.34518260502983e-07,0.000939714669835453,4.34040297612023e-05,"Grin2b/Atp1b1/Slc8a1/Calm1/Atp2b1/Tmtc2/Dbi/Grik2/Bcl2/Plce1/Akap6/Fgfr3/Plcb4/Fam20a/Prkce/Clstn1/Itpr2/Sgcd/Chd7/Thada/Pde4d/Ywhae/App/Nptn/Slc24a3",25,3.0270039933438,0.0577367205542725,0.0176840673354872,3.2649005151892,9.88286689734794,"Astrocytes","24hrvs1hr_SAL"
"GO:0042391","GO:0042391","regulation of membrane potential","31/433","455/17643",3.22647236598928e-07,0.0012928474770519,5.63972274967366e-05,"Ubb/Ank3/Gabrb3/Cntnap2/Grin2b/Atp1b1/Slc8a1/Kcnh7/Cacna2d1/Dpp6/Fgf14/Calm1/Ppp3ca/Atp1b2/Grik2/Bcl2/Nedd4/Akap6/Gabrb1/Mapt/Prkce/Agrn/Prkn/Pclo/Atxn1/Slc4a4/Kcnd2/Ywhae/App/Gabra2/Cacnb2",31,2.88845270774286,0.0715935334872979,0.0257892648642521,2.77609826662944,8.01862855520609,"Astrocytes","24hrvs1hr_SAL"
"GO:0001967","GO:0001967","suckling behavior","6/433","15/17643",8.75635631995475e-07,0.00350867197740587,0.000145001379724902,"Grin2b/Phf21a/Aplp2/Gls/Unc79/App",6,2.45485723168813,0.0138568129330254,0.000850195544975344,16.2983833718245,40.0102042851489,"Astrocytes","24hrvs1hr_SAL"
"GO:0034329","GO:0034329","cell junction assembly","29/433","431/17643",1.00698785210544e-06,0.00403500032338649,0.000158415088944376,"Nrg3/Actb/Ptprd/Actg1/Gabrb3/Cntnap2/Nrg1/Large1/Ctnnd2/Lrrtm4/Mycbp2/Cadm1/Ptprk/Bcl2/Il1rapl1/Map4k4/Ephb1/Mapt/Agrn/Clstn1/Pard3/Pclo/Ptpra/App/Sorbs1/Sipa1l1/Nptn/Gabra2/Myo9a",29,2.39415642613523,0.0669745958429561,0.0244289519922916,2.74160741173382,6.56383700274249,"Astrocytes","24hrvs1hr_SAL"
"GO:0007528","GO:0007528","neuromuscular junction development","10/433","58/17643",1.30081733118723e-06,0.00521237504606723,0.00018411053860574,"Cntnap2/Large1/Pdzrn3/Mycbp2/Tnc/Nedd4/Agrn/App/Sorbs1/Cacnb2",10,2.28296434304053,0.023094688221709,0.00328742277390466,7.02516524647607,16.0382017616724,"Astrocytes","24hrvs1hr_SAL"
"GO:0007416","GO:0007416","synapse assembly","19/433","213/17643",1.36242503108915e-06,0.00545923709957421,0.00018411053860574,"Nrg3/Ptprd/Gabrb3/Cntnap2/Nrg1/Large1/Lrrtm4/Mycbp2/Cadm1/Il1rapl1/Ephb1/Mapt/Agrn/Clstn1/Pclo/App/Sipa1l1/Nptn/Gabra2",19,2.26286804348472,0.0438799076212471,0.0120727767386499,3.63461601014865,8.22465641970333,"Astrocytes","24hrvs1hr_SAL"
"GO:0036465","GO:0036465","synaptic vesicle recycling","12/433","87/17643",1.37791091665334e-06,0.00552128904302995,0.00018411053860574,"Syt1/Actb/Actg1/Fgf14/Dennd1a/Syt11/Ston2/Synj1/Prkn/Pclo/Canx/Itsn1",12,2.25795951666948,0.0277136258660508,0.004931134160857,5.62013219718086,12.6900309795651,"Astrocytes","24hrvs1hr_SAL"
"GO:0050905","GO:0050905","neuromuscular process","17/433","174/17643",1.40438952164967e-06,0.00562738881325023,0.00018411053860574,"Tuba1a/Npas3/Cntnap2/Grin2b/Rbfox1/Fgf14/Pcdh15/Large1/Aplp2/Mycbp2/Hipk2/Atxn2/Abl2/Prkn/Herc1/App/Gigyf2",17,2.24969307709491,0.0392609699769053,0.00986226832171399,3.98092697300311,8.95586385158548,"Astrocytes","24hrvs1hr_SAL"
"GO:0007612","GO:0007612","learning","17/433","182/17643",2.61440647237142e-06,0.0104759267347923,0.000329029934564975,"Tuba1a/Gabrb3/Cntnap2/Grm7/Grin2b/Ctnnd2/Specc1/Syt11/Abl2/Synj1/Prkn/Atxn1/Ube3a/Hmgcr/App/Nptn/Zzef1",17,1.97980754754985,0.0392609699769053,0.0103157059457008,3.80594117199198,7.53503105784045,"Astrocytes","24hrvs1hr_SAL"
"GO:0010959","GO:0010959","regulation of metal ion transport","27/433","407/17643",3.11870565088213e-06,0.0124966535430847,0.000377401262772741,"Ank3/Kcnip4/Gnao1/Atp1b1/Slc8a1/Nkain2/Cacna2d1/Dpp6/Cntn1/Fgf14/Calm1/Atp2b1/Ppp3ca/Atp1b2/Dbi/Bcl2/Nedd4/Akap6/Plcb4/Prkce/Agrn/Chd7/Akt3/Pde4d/Pde4b/Ywhae/Cacnb2",27,1.90320627037991,0.0623556581986143,0.023068639120331,2.7030488393075,5.14445950011318,"Astrocytes","24hrvs1hr_SAL"
"GO:0098771","GO:0098771","inorganic ion homeostasis","30/433","483/17643",3.36464389198356e-06,0.0134821280751781,0.000392082674196446,"Ckb/Ank3/Grin2b/Atp1b1/Slc8a1/Calm1/Atp2b1/Aplp2/Tmtc2/Atp1b2/Dbi/Grik2/Bcl2/Plce1/Akap6/Fgfr3/Plcb4/Fam20a/Prkce/Clstn1/Itpr2/Sgcd/Chd7/Thada/Pde4d/Ywhae/App/Nptn/Ext1/Slc24a3",30,1.87024155154236,0.069284064665127,0.0273762965482061,2.53080487140132,4.73321642934056,"Astrocytes","24hrvs1hr_SAL"
"GO:0099545","GO:0099545","trans-synaptic signaling by trans-synaptic complex","5/433","11/17643",3.55828994140395e-06,0.0142580677952056,0.000396923814048966,"Tenm2/Ptprd/Cadm1/Il1rapl1/Nptn",5,1.84593932460594,0.0115473441108545,0.000623476732981919,18.5208901952551,34.1884395381299,"Astrocytes","24hrvs1hr_SAL"
"GO:0048638","GO:0048638","regulation of developmental growth","25/433","363/17643",3.76272332324522e-06,0.0150772323562436,0.000396923814048966,"Syt1/Sema6d/Nrg1/Tcf7l2/Nr3c1/Mycbp2/Hnrnpk/Bcl2/Sgip1/Sema6a/Map1b/Akap6/Wwc1/Fgfr3/Atxn2/Map2/Mapt/Mgll/Agrn/Prkn/Chd7/Plxna4/Sema3c/Bmpr1a/App",25,1.82167837217475,0.0577367205542725,0.0205747321884033,2.80619548412956,5.11198562153327,"Astrocytes","24hrvs1hr_SAL"
"GO:0048813","GO:0048813","dendrite morphogenesis","17/433","187/17643",3.78465329554886e-06,0.0151651057552643,0.000396923814048966,"Ptprd/Cntnap2/Ppfia2/Prex2/Klf7/Ppp3ca/Ctnnd2/Cux1/Epha5/Il1rapl1/Nedd4/Ephb1/Trak1/Phactr1/Abl2/Ube3a/Sipa1l1",17,1.81915455675012,0.0392609699769053,0.0105991044606926,3.70417803905102,6.73847235875337,"Astrocytes","24hrvs1hr_SAL"
"GO:0060541","GO:0060541","respiratory system development","19/433","233/17643",5.14385443130518e-06,0.0206114247062399,0.000522070658579667,"Meg3/Pou2f1/Gli3/Cux1/Tulp3/Nfib/Gli2/Hipk2/Thra/Eya1/Tnc/Thrb/Fgfr3/Ywhaz/Phf14/Chd7/Atxn1/Bmpr1a/Ext1",19,1.68589198780966,0.0438799076212471,0.013206370798617,3.32263180326894,5.60159833557265,"Astrocytes","24hrvs1hr_SAL"
"GO:0099175","GO:0099175","regulation of postsynapse organization","14/433","138/17643",7.70913329425836e-06,0.0308904971100933,0.000751052352830206,"Hspa8/Ptprd/Ppfia2/Grin2b/Hnrnpk/Il1rapl1/Ncan/Hnrnpm/Dgkb/Rps6ka5/Ube3a/App/Sipa1l1/Itsn1",14,1.51017510269132,0.0323325635103926,0.00782179901377317,4.13364795662215,6.24253222738163,"Astrocytes","24hrvs1hr_SAL"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","20/433","262/17643",7.87738081673702e-06,0.0315646649326652,0.000751052352830206,"Syt1/Actb/Actg1/Ppfia2/Nrg1/Fgf14/Dennd1a/Syt11/Nedd4/Ston2/Eps15/Synj1/Clstn1/Prkn/Pclo/Canx/Syn2/Itsn1/Stxbp5/Cspg5",20,1.50079881646389,0.046189376443418,0.0148500821855693,3.11037850607337,4.66805238066963,"Astrocytes","24hrvs1hr_SAL"
"GO:0006874","GO:0006874","intracellular calcium ion homeostasis","21/433","287/17643",9.00949689768943e-06,0.0361010540690416,0.00082308574700191,"Grin2b/Atp1b1/Slc8a1/Calm1/Atp2b1/Dbi/Grik2/Bcl2/Plce1/Akap6/Plcb4/Prkce/Clstn1/Itpr2/Chd7/Thada/Pde4d/Ywhae/App/Nptn/Slc24a3",21,1.44248011749364,0.0484988452655889,0.0162670747605283,2.98141159240692,4.30062694411204,"Astrocytes","24hrvs1hr_SAL"
"GO:1901841","GO:1901841","regulation of high voltage-gated calcium channel activity","5/433","13/17643",9.51694643476934e-06,0.0381344043641208,0.00082308574700191,"Cacna2d1/Fgf14/Calm1/Pde4b/Cacnb2",5,1.41868303263428,0.0115473441108545,0.000736836138978632,15.6715224729082,22.2329230278615,"Astrocytes","24hrvs1hr_SAL"
"GO:0048592","GO:0048592","eye morphogenesis","15/433","160/17643",9.66872021397921e-06,0.0387425618974147,0.00082308574700191,"Pou2f1/Rorb/Gli3/Large1/Zhx2/Zeb1/Pax6/Hipk2/Bcl2/Thrb/Ephb1/Fgfr3/Ptprm/Ppp2r3a/Ahi1",15,1.41181166443459,0.0346420323325635,0.00906875247973701,3.81993360277136,5.39302681775826,"Astrocytes","24hrvs1hr_SAL"
"GO:0061448","GO:0061448","connective tissue development","20/433","266/17643",9.8605567489193e-06,0.0395112508929196,0.00082308574700191,"Ubb/Klf7/Gli3/Large1/Bmpr1b/Zeb1/Nfib/Trps1/Gli2/Thra/Csgalnact1/Thrb/Fgfr3/Hes5/Mboat2/Chst11/Bmpr1a/Tbl1xr1/Ext1/Rb1",20,1.40327922070345,0.046189376443418,0.0150768009975628,3.06360589695949,4.2990944956278,"Astrocytes","24hrvs1hr_SAL"
"GO:0070588","GO:0070588","calcium ion transmembrane transport","22/433","312/17643",9.94091517790865e-06,0.03983324711788,0.00082308574700191,"Grin2b/Atp1b1/Slc8a1/Cacna2d1/Fgf14/Calm1/Atp2b1/Ppp3ca/Trpm3/Dbi/Bcl2/Plce1/Akap6/Plcb4/Prkce/Itpr2/Chd7/Pde4d/Pde4b/Ywhae/Cacnb2/Slc24a3",22,1.39975428942554,0.0508083140877598,0.0176840673354872,2.87311245336649,4.02165148060167,"Astrocytes","24hrvs1hr_SAL"
"GO:0035264","GO:0035264","multicellular organism growth","17/433","204/17643",1.21046625279021e-05,0.0485033827493038,0.000976540790712536,"Meg3/Cntnap2/Pcdh15/Large1/Tcf7l2/Bcl2/Sgip1/Atxn2/Unc79/Kdm2a/Abl2/Chd7/Pde4d/App/Tbl1xr1/Ext1/Gigyf2",17,1.31422797153948,0.0392609699769053,0.0115626594116647,3.39549653579677,4.46245652460952,"Astrocytes","24hrvs1hr_SAL"
