"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007409","GO:0007409","axonogenesis","9/29","456/17643",3.00939376500458e-08,3.44876525469525e-05,2.3093137417772e-05,"Actg1/Tubb2b/Hsp90ab1/Actb/Tubb3/Hsp90aa1/Ptprm/Auts2/Cck",9,4.46233636552245,0.310344827586207,0.0258459445672505,12.0074863883848,53.5814431694052,"CGE","24hrvs1hr_SAL"
"GO:0032414","GO:0032414","positive regulation of ion transmembrane transporter activity","5/29","116/17643",1.17937609116068e-06,0.00135156500047014,0.000387232362567379,"Cfl1/Atp1b1/Calm1/Hcn1/Fgf14",5,2.86916306304947,0.172413793103448,0.00657484554780933,26.2232461355529,75.2387692053833,"CGE","24hrvs1hr_SAL"
"GO:0032411","GO:0032411","positive regulation of transporter activity","5/29","122/17643",1.51387137629222e-06,0.00173489659723089,0.000387232362567379,"Cfl1/Atp1b1/Calm1/Hcn1/Fgf14",5,2.76072640478682,0.172413793103448,0.00691492376579947,24.9335782928208,68.8347879588098,"CGE","24hrvs1hr_SAL"
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","6/29","262/17643",3.61128748333215e-06,0.00413853545589864,0.00069279699351293,"Cfl1/Atp1b1/Actb/Calm1/Hcn1/Fgf14",6,2.38315331973657,0.206896551724138,0.0148500821855693,13.9323506185838,33.2029276284119,"CGE","24hrvs1hr_SAL"
"GO:0032409","GO:0032409","regulation of transporter activity","6/29","273/17643",4.5758058045716e-06,0.00524387345203906,0.000702265775059515,"Cfl1/Atp1b1/Actb/Calm1/Hcn1/Fgf14",6,2.28034779748239,0.206896551724138,0.0154735589185513,13.3709738537325,30.4904707775534,"CGE","24hrvs1hr_SAL"
"GO:0034767","GO:0034767","positive regulation of monoatomic ion transmembrane transport","5/29","176/17643",9.1272903393802e-06,0.0104598747289297,0.00116733239603652,"Cfl1/Atp1b1/Calm1/Hcn1/Fgf14",5,1.98047351669822,0.172413793103448,0.00997562772771071,17.2835031347962,34.2295202342347,"CGE","24hrvs1hr_SAL"
"GO:0021954","GO:0021954","central nervous system neuron development","4/29","88/17643",1.24759308917292e-05,0.0142974168019216,0.00126879732671175,"Ubb/Hsp90ab1/Hsp90aa1/Agbl4",4,1.84474242197636,0.137931034482759,0.00498781386385535,27.653605015674,51.013778292992,"CGE","24hrvs1hr_SAL"
"GO:0001764","GO:0001764","neuron migration","5/29","190/17643",1.32275167119469e-05,0.0151587341518911,0.00126879732671175,"Tuba1a/Tubb2b/Hsp90aa1/Auts2/Cck",5,1.81933706346662,0.172413793103448,0.0107691435696877,16.0099818511797,29.127553367279,"CGE","24hrvs1hr_SAL"
"GO:0010592","GO:0010592","positive regulation of lamellipodium assembly","3/29","30/17643",1.5733947089639e-05,0.0180311033647263,0.00134152601501132,"Cfl1/Hsp90aa1/Auts2",3,1.74397769698527,0.103448275862069,0.00170039108995069,60.8379310344828,106.099994854866,"CGE","24hrvs1hr_SAL"
"GO:1902745","GO:1902745","positive regulation of lamellipodium organization","3/29","37/17643",2.98794855191833e-05,0.0342418904049841,0.00208441578406551,"Cfl1/Hsp90aa1/Auts2",3,1.46544226707344,0.103448275862069,0.00209714901093918,49.3280521901212,72.287412631808,"CGE","24hrvs1hr_SAL"
"GO:1903421","GO:1903421","regulation of synaptic vesicle recycling","3/29","37/17643",2.98794855191833e-05,0.0342418904049841,0.00208441578406551,"Actg1/Actb/Fgf14",3,1.46544226707344,0.103448275862069,0.00209714901093918,49.3280521901212,72.287412631808,"CGE","24hrvs1hr_SAL"
"GO:0010591","GO:0010591","regulation of lamellipodium assembly","3/29","39/17643",3.50663875329642e-05,0.040186080112777,0.00209746991213362,"Cfl1/Hsp90aa1/Auts2",3,1.395924354306,0.103448275862069,0.0022105084169359,46.7984084880637,65.3270381512488,"CGE","24hrvs1hr_SAL"
"GO:0043270","GO:0043270","positive regulation of monoatomic ion transport","5/29","234/17643",3.60083063524112e-05,0.0412655190798632,0.00209746991213362,"Cfl1/Atp1b1/Calm1/Hcn1/Fgf14",5,1.38441268752053,0.172413793103448,0.0132630505016154,12.999557913351,17.996752907401,"CGE","24hrvs1hr_SAL"
"GO:0034764","GO:0034764","positive regulation of transmembrane transport","5/29","237/17643",3.8266597848254e-05,0.0438535211340991,0.00209746991213362,"Cfl1/Atp1b1/Calm1/Hcn1/Fgf14",5,1.35799553005814,0.172413793103448,0.0134330896106104,12.8350065473592,17.4298815195808,"CGE","24hrvs1hr_SAL"
