"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007409","GO:0007409","axonogenesis","38/268","456/17643",1.01241431263186e-17,3.2154278569188e-14,2.62481731790767e-14,"Efna5/Epha3/Bcl11a/Cck/Rufy3/Dpysl5/Auts2/Epha6/Trim46/L1cam/Ntrk2/Dcc/Mark2/Dab1/Lgi1/Ptprs/Fgf13/Slit1/Cobl/Dclk1/Ntng2/Ctnna2/Sema6a/Lrrc4c/Lhx2/Cacna1a/Numb/Nfix/Lrp1/Ulk2/Foxp1/Dnm2/Robo1/Ephb2/Ncam1/Nrn1/Kif5a/Sema6d",38,13.4927612300382,0.141791044776119,0.0258459445672505,5.48600746268657,74.0213888002373,"ExN","23_24hrvs1hr_PTZ"
"GO:0048588","GO:0048588","developmental cell growth","24/268","270/17643",3.72060670351001e-12,1.18166468903478e-08,4.07398216276962e-09,"Rims2/Efna5/Rasal1/Bcl11a/Rufy3/Auts2/Trim46/L1cam/Ptprs/Fgf13/Slit1/Cobl/Dclk1/Sema6a/Lhx2/Tmem108/Nfix/Lrp1/Ulk2/Foxp1/Dnm2/Robo1/Nrn1/Sema6d",24,7.92750574203443,0.0895522388059701,0.0153035198095562,5.85174129353234,46.3897127053776,"ExN","23_24hrvs1hr_PTZ"
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","24/268","273/17643",4.71410847092709e-12,1.49720085036644e-08,4.07398216276962e-09,"Rims2/Efna5/Rasal1/Bcl11a/Rufy3/Auts2/Trim46/L1cam/Fmn1/Ptprs/Fgf13/Slit1/Cobl/Dclk1/Sema6a/Lhx2/Tmem108/Nfix/Lrp1/Ulk2/Dnm2/Robo1/Nrn1/Sema6d",24,7.82471993489094,0.0895522388059701,0.0154735589185513,5.78743644415286,45.2850693164772,"ExN","23_24hrvs1hr_PTZ"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","30/268","440/17643",6.35256021954184e-12,2.01757312572649e-08,4.11746205808725e-09,"Efna5/Epha3/Bcl11a/Grip1/Rufy3/Dpysl3/Auts2/L1cam/Ntrk2/Dmd/Dcc/Mark2/Ahi1/Nrxn1/Ptk2b/Cobl/Tox/Met/Numb/Lrp1/Atp7a/Dnm2/Robo1/Ephb2/Arpc2/Rala/Magi2/Cx3cl1/Tmem30a/Lrp8",30,7.6951707155779,0.111940298507463,0.0249390693192768,4.48855156037992,34.5401705227971,"ExN","23_24hrvs1hr_PTZ"
"GO:0050770","GO:0050770","regulation of axonogenesis","19/268","181/17643",4.01694916437299e-11,1.27578305460486e-07,2.08289385091593e-08,"Efna5/Bcl11a/Rufy3/Trim46/L1cam/Ntrk2/Mark2/Dab1/Ptprs/Fgf13/Slit1/Sema6a/Lrrc4c/Cacna1a/Lrp1/Ulk2/Robo1/Ephb2/Sema6d",19,6.89422317059791,0.0708955223880597,0.0102590262427025,6.91055083697534,47.6428797018702,"ExN","23_24hrvs1hr_PTZ"
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","22/268","254/17643",5.07685943441978e-11,1.61241055637172e-07,2.1937376819256e-08,"Asic2/Plcb1/Grip1/Homer1/Dlg1/Prrt1/Fhl1/Dmd/Atp1b1/Nrxn1/Ptk2b/Taco1/Fgf13/Hecw2/Cacna1a/Neto1/Atp7a/Dnm2/Ephb2/Ank2/Pde4d/Calm1",22,6.7925243672053,0.082089552238806,0.0143966445615825,5.70199200846163,38.7309196590855,"ExN","23_24hrvs1hr_PTZ"
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","22/268","262/17643",9.28270422427382e-11,2.94818686162936e-07,2.8283152502086e-08,"Asic2/Plcb1/Grip1/Homer1/Dlg1/Prrt1/Fhl1/Dmd/Atp1b1/Nrxn1/Ptk2b/Taco1/Fgf13/Hecw2/Cacna1a/Neto1/Atp7a/Dnm2/Ephb2/Ank2/Pde4d/Calm1",22,6.53044499353936,0.082089552238806,0.0148500821855693,5.52788538224906,36.0995514193678,"ExN","23_24hrvs1hr_PTZ"
"GO:0031345","GO:0031345","negative regulation of cell projection organization","20/268","213/17643",9.30542141573877e-11,2.95540184163863e-07,2.8283152502086e-08,"Epha3/Bcl11a/Rufy3/Dpysl5/Dpysl3/Trim46/Dab1/Nrxn1/Dync1i2/Ptprs/Fgf13/Slit1/Sema6a/Lrrk2/Itm2c/Lrp1/Ulk2/Dnm2/Ephb2/Sema6d",20,6.52938346038636,0.0746268656716418,0.0120727767386499,6.18141685936515,40.3608410032922,"ExN","23_24hrvs1hr_PTZ"
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","28/268","430/17643",9.81814672727711e-11,3.11824340058321e-07,2.8283152502086e-08,"Asic2/Plcb1/Dpp10/Grip1/Homer1/Dlg1/Kcnq5/Dpp6/Fhl1/Dmd/Atp1b1/Ptk2b/Taco1/Fgf13/Kcnh1/Hecw2/Cacna1a/Cacna1b/Neto1/Kcnh5/Atp7a/Dnm2/Ephb2/Ank2/Cx3cl1/Kcnma1/Pde4d/Calm1",28,6.50608998811945,0.104477611940299,0.0243722722892932,4.2867407150295,27.8899208477174,"ExN","23_24hrvs1hr_PTZ"
"GO:0032409","GO:0032409","regulation of transporter activity","22/268","273/17643",2.05267466403603e-10,6.51929473297843e-07,5.32182915528499e-08,"Asic2/Plcb1/Grip1/Homer1/Dlg1/Prrt1/Fhl1/Dmd/Atp1b1/Nrxn1/Ptk2b/Taco1/Fgf13/Hecw2/Cacna1a/Neto1/Atp7a/Dnm2/Ephb2/Ank2/Pde4d/Calm1",22,6.18579938435133,0.082089552238806,0.0154735589185513,5.30515007380679,32.8165940604455,"ExN","23_24hrvs1hr_PTZ"
"GO:1990138","GO:1990138","neuron projection extension","19/268","200/17643",2.27760712227598e-10,7.23368022034852e-07,5.36817831786196e-08,"Rims2/Rasal1/Bcl11a/Rufy3/Auts2/Trim46/L1cam/Ptprs/Slit1/Dclk1/Sema6a/Lhx2/Tmem108/Lrp1/Ulk2/Dnm2/Robo1/Nrn1/Sema6d",19,6.14064069402722,0.0708955223880597,0.0113359405996713,6.25404850746269,38.4038647673456,"ExN","23_24hrvs1hr_PTZ"
"GO:0010977","GO:0010977","negative regulation of neuron projection development","17/268","160/17643",3.62965060151181e-10,1.15277703104015e-06,7.84195564168735e-08,"Epha3/Bcl11a/Rufy3/Dpysl3/Trim46/Dab1/Dync1i2/Ptprs/Fgf13/Slit1/Sema6a/Lrrk2/Itm2c/Lrp1/Ulk2/Ephb2/Sema6d",17,5.93825468537927,0.0634328358208955,0.00906875247973701,6.99465951492537,41.5360696371383,"ExN","23_24hrvs1hr_PTZ"
"GO:0042391","GO:0042391","regulation of membrane potential","27/268","455/17643",1.67016467264905e-09,5.30444300033337e-06,3.33086282488632e-07,"Asic2/Rims2/Cck/Dlg1/Dpp6/Fhl1/Ntrk2/Dmd/Rimbp2/Atp1b1/Unc13b/Nrxn1/Ptk2b/Fgf13/Met/Kcnh1/Cacna1a/Tmem108/Lrrk2/Neto1/Kcnh5/Foxp1/Ank2/Cx3cl1/Kcnma1/Sez6/Calm1",27,5.27536021300332,0.100746268656716,0.0257892648642521,3.90651959980318,20.6082980681194,"ExN","23_24hrvs1hr_PTZ"
"GO:0010976","GO:0010976","positive regulation of neuron projection development","19/268","231/17643",2.61199518894305e-09,8.29569672008312e-06,4.83710086493739e-07,"Epha3/Bcl11a/Dpysl3/Ntrk2/Dmd/Dcc/Mark2/Ahi1/Nrxn1/Ptk2b/Cobl/Tox/Met/Lrp1/Ephb2/Magi2/Cx3cl1/Tmem30a/Lrp8",19,5.081147133572,0.0708955223880597,0.0130930113926203,5.41476061252181,27.5131953652937,"ExN","23_24hrvs1hr_PTZ"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","20/268","262/17643",3.59422938197466e-09,1.14152725171515e-05,6.21234173179199e-07,"Rims2/Grip1/Snap25/Prkcg/Rimbp2/Unc13b/Nrxn1/Kcnh1/Cacna1a/Lrrk2/Cacna1b/Unc13c/Numb/Mapk10/Dnm2/Rala/Magi2/Trim9/Atp6v0a1/Stxbp5l",20,4.94251371612448,0.0746268656716418,0.0148500821855693,5.02535034749915,24.8378630208454,"ExN","23_24hrvs1hr_PTZ"
"GO:1904062","GO:1904062","regulation of monoatomic cation transmembrane transport","22/268","321/17643",4.32037768565383e-09,1.37215195296366e-05,7.00071726300355e-07,"Asic2/Plcb1/Dpp10/Grip1/Homer1/Dlg1/Dpp6/Fhl1/Dmd/Atp1b1/Ptk2b/Taco1/Fgf13/Hecw2/Cacna1a/Neto1/Atp7a/Dnm2/Ank2/Cx3cl1/Pde4d/Calm1",22,4.86259779192411,0.082089552238806,0.0181941846624724,4.51185660482634,21.9393439641068,"ExN","23_24hrvs1hr_PTZ"
"GO:0050771","GO:0050771","negative regulation of axonogenesis","11/268","69/17643",6.77375647282727e-09,2.15134505576994e-05,1.03305029056183e-06,"Bcl11a/Rufy3/Trim46/Dab1/Ptprs/Fgf13/Slit1/Sema6a/Ulk2/Ephb2/Sema6d",11,4.66728992722367,0.041044776119403,0.00391089950688658,10.494970798183,48.9830714928661,"ExN","23_24hrvs1hr_PTZ"
"GO:0016049","GO:0016049","cell growth","27/268","494/17643",9.68823274554018e-09,3.07698271998356e-05,1.39544545334886e-06,"Rims2/Efna5/Rasal1/Bcl11a/Rufy3/Auts2/Trim46/Fhl1/L1cam/Ptk2b/Lgi1/Ptprs/Fgf13/Slit1/Cobl/Dclk1/Sema6a/Lhx2/Tmem108/Nfix/Lrp1/Ulk2/Foxp1/Dnm2/Robo1/Nrn1/Sema6d",27,4.51187494269855,0.100746268656716,0.027999773281188,3.59811015771346,16.2342230616565,"ExN","23_24hrvs1hr_PTZ"
"GO:0048668","GO:0048668","collateral sprouting","8/268","31/17643",1.48865099001644e-08,4.72795554429222e-05,2.03132819302521e-06,"Efna5/Bcl11a/Ptprs/Fgf13/Cobl/Nfix/Lrp1/Ulk2",8,4.32532661566304,0.0298507462686567,0.00175707079294904,16.9889263360616,73.4826552529062,"ExN","23_24hrvs1hr_PTZ"
"GO:0010959","GO:0010959","regulation of metal ion transport","24/268","407/17643",1.59100987861389e-08,5.05304737447772e-05,2.0624512268558e-06,"Jph4/Plcb1/Dpp10/Grip1/Homer1/Dlg1/Dpp6/Fhl1/Dmd/Atp1b1/Ptk2b/Per1/Fgf13/Gnao1/Hecw2/Cacna1a/Cacna1b/Neto1/Atp7a/Dnm2/Ank2/Cx3cl1/Pde4d/Calm1",24,4.29644663004639,0.0895522388059701,0.023068639120331,3.88199053870696,16.6787651678995,"ExN","23_24hrvs1hr_PTZ"
"GO:0016358","GO:0016358","dendrite development","21/268","317/17643",1.78288665457252e-08,5.66244801492231e-05,2.20112773444216e-06,"Bcl11a/Grip1/Dpysl5/Ntrk2/Dab1/Ptprs/Cobl/Dclk1/Ctnna2/Met/Hecw2/D16Ertd472e/Cacna1a/Lrrk2/Numb/Atp7a/Robo1/Ephb2/Cpeb3/Sez6/Lrp8",21,4.24699577207598,0.0783582089552239,0.0179674658504789,4.36111634257733,18.5216426684574,"ExN","23_24hrvs1hr_PTZ"
"GO:0035418","GO:0035418","protein localization to synapse","12/268","99/17643",3.37745715622704e-08,0.000107268039281771,3.67284078595051e-06,"Asic2/Grip1/Homer1/Snap25/Dlg1/Nrxn1/Lgi1/Neto1/Mapk10/Nptxr/Magi2/Kif5a",12,3.96952965763516,0.0447761194029851,0.00561129059683727,7.97964721845319,31.6754462911159,"ExN","23_24hrvs1hr_PTZ"
