"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007409","GO:0007409","axonogenesis","35/205","456/17643",4.83523276346424e-19,1.44476754972312e-15,1.17623399119641e-15,"Tubb2b/Nfib/Actb/Hsp90aa1/Actg1/Hsp90ab1/Map2/Ctnna2/Uchl1/Tubb3/Cdh4/Stmn1/Auts2/Klf7/Epha6/Unc5c/Kalrn/Ncam1/Ptprs/Gap43/Robo1/Cdh2/Cdkl5/L1cam/Sema3c/Sema6d/Ndn/Nfix/Eif4g2/Lgi1/Epha4/Cdh11/Lmo4/Chl1/Slit3",35,14.8402020214149,0.170731707317073,0.0258459445672505,6.60574454428755,98.0305835390864,"ExN_45","24hrvs1hr_SAL"
"GO:0050807","GO:0050807","regulation of synapse organization","23/205","298/17643",7.42692702330913e-13,2.21916579456477e-09,9.03348860571968e-10,"Tuba1a/Tubb5/Ctnna2/Marcks/Lrfn5/Ctnnb1/Cfl1/Adgrl3/Hspa8/Kalrn/Ywhaz/Ptprs/Robo1/Cdh2/Cdkl5/Hnrnpk/Fyn/Cttnbp2/Negr1/Epha4/Clstn2/Caprin1/Ptprt",23,8.65381025028046,0.11219512195122,0.0168905514935102,6.64247831068915,57.4827468923074,"ExN_45","24hrvs1hr_SAL"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","23/205","306/17643",1.29024550212375e-12,3.85525356034577e-09,1.04623065102035e-09,"Tuba1a/Tubb5/Ctnna2/Marcks/Lrfn5/Ctnnb1/Cfl1/Adgrl3/Hspa8/Kalrn/Ywhaz/Ptprs/Robo1/Cdh2/Cdkl5/Hnrnpk/Fyn/Cttnbp2/Negr1/Epha4/Clstn2/Caprin1/Ptprt",23,8.41394705308965,0.11219512195122,0.017343989117497,6.468818747011,54.4282984333843,"ExN_45","24hrvs1hr_SAL"
"GO:0007411","GO:0007411","axon guidance","19/205","222/17643",1.34760064065653e-11,4.02663071428171e-08,6.55643174854155e-09,"Tubb2b/Nfib/Tubb3/Cdh4/Klf7/Epha6/Unc5c/Kalrn/Ncam1/Gap43/Robo1/L1cam/Sema3c/Sema6d/Lgi1/Epha4/Lmo4/Chl1/Slit3",19,7.3950581980816,0.0926829268292683,0.0125828940656351,7.36578773895847,54.4704290043137,"ExN_45","24hrvs1hr_SAL"
"GO:0097485","GO:0097485","neuron projection guidance","19/205","222/17643",1.34760064065653e-11,4.02663071428171e-08,6.55643174854155e-09,"Tubb2b/Nfib/Tubb3/Cdh4/Klf7/Epha6/Unc5c/Kalrn/Ncam1/Gap43/Robo1/L1cam/Sema3c/Sema6d/Lgi1/Epha4/Lmo4/Chl1/Slit3",19,7.3950581980816,0.0926829268292683,0.0125828940656351,7.36578773895847,54.4704290043137,"ExN_45","24hrvs1hr_SAL"
"GO:0048588","GO:0048588","developmental cell growth","20/205","270/17643",5.3128660845064e-11,1.58748438605051e-07,2.15404096864812e-08,"Hsp90aa1/Hsp90ab1/Map2/Ctnnb1/Cdh4/Auts2/Nr3c1/Ptprs/Slc25a4/Robo1/Cdkl5/L1cam/Sema3c/Sema6d/Hnrnpk/Ndn/Nfix/Eif4g2/Camk2d/Slit3",20,6.79929053758588,0.0975609756097561,0.0153035198095562,6.37506775067751,43.3459378336505,"ExN_45","24hrvs1hr_SAL"
"GO:0001764","GO:0001764","neuron migration","17/205","190/17643",8.33134046061475e-11,2.48940452963169e-07,2.89529741420762e-08,"Tuba1a/Tubb2b/Hsp90aa1/Kirrel3/Ctnna2/Ctnnb1/Adgrl3/Auts2/Large1/Unc5c/Phactr1/Cdkl5/Astn2/Ndn/Fyn/Ywhae/Chl1",17,6.60390452455992,0.0829268292682927,0.0107691435696877,7.7004107830552,50.8527776111882,"ExN_45","24hrvs1hr_SAL"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","24/205","440/17643",3.39721660665222e-10,1.01508832206768e-06,1.03302204973333e-07,"Tubb2b/Hsp90aa1/Tenm1/Marcks/Grip1/Cfl1/Stmn2/Dpysl3/Cdh4/Enc1/Auts2/Kalrn/Robo1/Cdkl5/L1cam/Hnrnpk/Fyn/Eif4g2/Negr1/Epha4/Ahi1/Lrrc7/Pacsin1/Caprin1",24,5.99349616847211,0.117073170731707,0.0249390693192768,4.69436807095344,28.1356770466572,"ExN_45","24hrvs1hr_SAL"
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","19/205","273/17643",4.7564618656896e-10,1.42123080546805e-06,1.28563548205949e-07,"Hsp90aa1/Hsp90ab1/Map2/Ctnnb1/Cfl1/Cdh4/Auts2/Ptprs/Robo1/Cdkl5/L1cam/Sema3c/Cadm1/Sema6d/Hnrnpk/Ndn/Nfix/Eif4g2/Slit3",19,5.84733538765907,0.0926829268292683,0.0154735589185513,5.98976145805414,35.0241441373164,"ExN_45","24hrvs1hr_SAL"
"GO:1990138","GO:1990138","neuron projection extension","16/205","200/17643",1.59071719432515e-09,4.75306297664356e-06,3.86962888008993e-07,"Hsp90aa1/Hsp90ab1/Map2/Ctnnb1/Cdh4/Auts2/Ptprs/Robo1/Cdkl5/L1cam/Sema3c/Sema6d/Hnrnpk/Ndn/Eif4g2/Slit3",16,5.32302643139689,0.0780487804878049,0.0113359405996713,6.88507317073171,36.6494264699065,"ExN_45","24hrvs1hr_SAL"
