"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007409","GO:0007409","axonogenesis","26/129","456/17643",2.78664639247974e-16,6.18356834491254e-13,4.91036427474851e-13,"Tubb2b/Auts2/Stmn1/Ncam1/Gap43/Chl1/Dpysl5/Nfib/Sema6d/Robo1/Tiam2/Sema6a/Unc5d/Zeb2/Mef2c/Ptk2/Kalrn/Nfix/Tubb3/Neo1/Fgf13/Ank3/Nptx1/Macf1/Unc5c/Grin1",26,12.2087608347375,0.201550387596899,0.0258459445672505,7.79814361485108,95.2056703486519,"ExN","56_PTZvsSAL_1hr"
"GO:0007411","GO:0007411","axon guidance","16/129","222/17643",6.97338919467294e-12,1.54739506229792e-08,4.09594860066053e-09,"Tubb2b/Ncam1/Gap43/Chl1/Dpysl5/Nfib/Sema6d/Robo1/Sema6a/Unc5d/Mef2c/Kalrn/Tubb3/Neo1/Ank3/Unc5c",16,7.81039879329992,0.124031007751938,0.0125828940656351,9.85711292688037,76.9879829095274,"ExN","56_PTZvsSAL_1hr"
"GO:0097485","GO:0097485","neuron projection guidance","16/129","222/17643",6.97338919467294e-12,1.54739506229792e-08,4.09594860066053e-09,"Tubb2b/Ncam1/Gap43/Chl1/Dpysl5/Nfib/Sema6d/Robo1/Sema6a/Unc5d/Mef2c/Kalrn/Tubb3/Neo1/Ank3/Unc5c",16,7.81039879329992,0.124031007751938,0.0125828940656351,9.85711292688037,76.9879829095274,"ExN","56_PTZvsSAL_1hr"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","17/129","306/17643",9.19023289746442e-11,2.03931267994735e-07,4.04853943956722e-08,"Tuba1a/Homer1/Tubb5/Robo1/Asap1/Sybu/Mef2c/Malat1/Ptk2/Ngef/Kalrn/Grin2b/Itsn1/Gpr158/Lrfn5/Cask/Grin1",17,6.69051618041866,0.131782945736434,0.017343989117497,7.59819121447029,50.8358212623283,"ExN","56_PTZvsSAL_1hr"
"GO:0050807","GO:0050807","regulation of synapse organization","16/129","298/17643",5.62900628223534e-10,1.24907649402802e-06,1.98378031925515e-07,"Tuba1a/Homer1/Tubb5/Robo1/Asap1/Mef2c/Malat1/Ptk2/Ngef/Kalrn/Grin2b/Itsn1/Gpr158/Lrfn5/Cask/Grin1",16,5.90341096441448,0.124031007751938,0.0168905514935102,7.3432183549243,43.3500357505498,"ExN","56_PTZvsSAL_1hr"
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","10/129","100/17643",3.04575939847228e-09,6.75854010520999e-06,8.94491444393439e-07,"Stxbp5l/Cacna1b/Mef2c/Cacnb4/Atp2a2/Prkcb/Rims2/Grm8/Gpr158/Cask",10,5.17014710475711,0.0775193798449612,0.00566797029983563,13.6767441860465,70.7107793559919,"ExN","56_PTZvsSAL_1hr"
"GO:0099173","GO:0099173","postsynapse organization","14/129","248/17643",3.78482359334926e-09,8.39852355364202e-06,9.52751081994988e-07,"Homer1/Tmem108/Cnksr2/Gap43/Asap1/Ngef/Kalrn/Grin2b/Itsn1/Cadm1/Nptx1/Nos1ap/Cask/Grin1",14,5.07579705546965,0.108527131782946,0.0140565663435924,7.72074268567142,39.1889229899698,"ExN","56_PTZvsSAL_1hr"
"GO:0001764","GO:0001764","neuron migration","12/129","190/17643",1.4991746808168e-08,3.32666861673248e-05,3.26088059959339e-06,"Tuba1a/Tubb2b/Auts2/Chl1/Sema6a/Unc5d/Nav1/Mef2c/Ptk2/Neo1/Fgf13/Unc5c",12,4.47799045885236,0.0930232558139535,0.0107691435696877,8.63794369645043,38.6806294568089,"ExN","56_PTZvsSAL_1hr"
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","10/129","119/17643",1.66550353205039e-08,3.69575233761981e-05,3.26088059959339e-06,"Stxbp5l/Cacna1b/Mef2c/Cacnb4/Atp2a2/Prkcb/Rims2/Grm8/Gpr158/Cask",10,4.43229713972707,0.0775193798449612,0.0067448846568044,11.4930623412156,50.9406673416746,"ExN","56_PTZvsSAL_1hr"
"GO:0007269","GO:0007269","neurotransmitter secretion","11/129","165/17643",3.52041470806346e-08,7.81180023719283e-05,5.63940116870645e-06,"Stxbp5l/Cacna1b/Nr4a1/Mef2c/Cacnb4/Atp2a2/Prkcb/Rims2/Grm8/Gpr158/Cask",11,4.10724887099019,0.0852713178294574,0.00935215099472879,9.11782945736434,37.4491947446407,"ExN","56_PTZvsSAL_1hr"
"GO:0099643","GO:0099643","signal release from synapse","11/129","165/17643",3.52041470806346e-08,7.81180023719283e-05,5.63940116870645e-06,"Stxbp5l/Cacna1b/Nr4a1/Mef2c/Cacnb4/Atp2a2/Prkcb/Rims2/Grm8/Gpr158/Cask",11,4.10724887099019,0.0852713178294574,0.00935215099472879,9.11782945736434,37.4491947446407,"ExN","56_PTZvsSAL_1hr"
"GO:0031345","GO:0031345","negative regulation of cell projection organization","12/129","213/17643",5.33067916159905e-08,0.000118287770595883,7.8276815057165e-06,"Dpysl3/Stmn2/Dpysl5/Sema6d/Sema6a/Crmp1/Ptprg/Ptk2/Ngef/Grin2b/Neo1/Fgf13",12,3.92706015340476,0.0930232558139535,0.0120727767386499,7.70520799213888,30.2588152796245,"ExN","56_PTZvsSAL_1hr"
"GO:0010977","GO:0010977","negative regulation of neuron projection development","10/129","160/17643",2.76620973000653e-07,0.000613821939088449,3.74950209557161e-05,"Dpysl3/Stmn2/Sema6d/Sema6a/Crmp1/Ptprg/Ptk2/Ngef/Neo1/Fgf13",10,3.21195759316914,0.0775193798449612,0.00906875247973701,8.54796511627907,27.4557014613775,"ExN","56_PTZvsSAL_1hr"
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","11/129","209/17643",3.88927924166054e-07,0.000863031063724474,4.89522815830056e-05,"Stxbp5l/Cacna1b/Nr4a1/Mef2c/Cacnb4/Atp2a2/Prkcb/Rims2/Grm8/Gpr158/Cask",11,3.06397357211639,0.0852713178294574,0.0118460579266565,7.19828641370869,22.0553593361279,"ExN","56_PTZvsSAL_1hr"
"GO:0006836","GO:0006836","neurotransmitter transport","11/129","217/17643",5.65294507257958e-07,0.00125438851160541,6.64072284315665e-05,"Stxbp5l/Cacna1b/Nr4a1/Mef2c/Cacnb4/Atp2a2/Prkcb/Rims2/Grm8/Gpr158/Cask",11,2.90156793215424,0.0852713178294574,0.0122994955506433,6.93291179937842,20.1163145535301,"ExN","56_PTZvsSAL_1hr"
"GO:0021543","GO:0021543","pallium development","10/129","175/17643",6.33700991253222e-07,0.0014061824995909,6.97904907472299e-05,"Tuba1a/Tubb2b/Tmem108/Tubb2a/Robo1/Zeb2/Nfix/Fgf13/Plcb1/Grin1",10,2.85195831130637,0.0775193798449612,0.00991894802471235,7.81528239202658,22.2888595731465,"ExN","56_PTZvsSAL_1hr"
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","12/129","273/17643",7.76594793680019e-07,0.00172326384717596,8.0496574899093e-05,"Auts2/Tmem108/Sema6d/Robo1/Fmn1/Sema6a/Zeb2/Nfix/Rims2/Fgf13/Cadm1/Macf1",12,2.76364822307434,0.0930232558139535,0.0154735589185513,6.01175568617429,16.6143779196526,"ExN","56_PTZvsSAL_1hr"
"GO:0042391","GO:0042391","regulation of membrane potential","15/129","455/17643",1.19894840936852e-06,0.00266046652038874,0.000117370739022392,"Tmem108/Ryr2/Mef2c/Cacnb4/Kcnk10/Atp2a2/Cacna1d/Ubb/Rims2/Grin2b/Fgf13/Ank3/Rgs7bp/Nos1ap/Grin1",15,2.5750422019157,0.116279069767442,0.0257892648642521,4.50881676463072,11.6103934496291,"ExN","56_PTZvsSAL_1hr"
"GO:0007215","GO:0007215","glutamate receptor signaling pathway","6/129","48/17643",1.29703361533863e-06,0.00287811759243641,0.000120289987372679,"Homer1/Kalrn/Grin2b/Grm8/Plcb1/Grin1",6,2.54089146588831,0.0465116279069767,0.0027206257439211,17.0959302325581,43.438903229329,"ExN","56_PTZvsSAL_1hr"
"GO:0050890","GO:0050890","cognition","13/129","343/17643",1.40036361871418e-06,0.00310740686992676,0.000123379405143554,"Tuba1a/Slc24a2/Ncam1/Chl1/Csmd1/Mef2c/Kalrn/Nfix/Grin2b/Fgf13/Gpr158/Plcb1/Grin1",13,2.50760187844915,0.10077519379845,0.0194411381284362,5.18360566818089,12.9984193106701,"ExN","56_PTZvsSAL_1hr"
"GO:0021987","GO:0021987","cerebral cortex development","8/129","117/17643",2.29761038443783e-06,0.00509839744306755,0.000192791969100197,"Tuba1a/Tubb2b/Tubb2a/Robo1/Nfix/Fgf13/Plcb1/Grin1",8,2.29256631233416,0.062015503875969,0.00663152525080769,9.35161995627112,21.439208877499,"ExN","56_PTZvsSAL_1hr"
"GO:0007613","GO:0007613","memory","9/129","158/17643",2.41740582044241e-06,0.00536422351556171,0.000193623796335914,"Tuba1a/Slc24a2/Csmd1/Kalrn/Nfix/Grin2b/Fgf13/Plcb1/Grin1",9,2.27049313433411,0.0697674418604651,0.00895539307374029,7.7905504857227,17.6883913905167,"ExN","56_PTZvsSAL_1hr"
"GO:0021537","GO:0021537","telencephalon development","11/129","260/17643",3.30878055757049e-06,0.00734218405724891,0.000253496505875194,"Tuba1a/Tubb2b/Tmem108/Tubb2a/Nfib/Robo1/Zeb2/Nfix/Fgf13/Plcb1/Grin1",11,2.13417473260163,0.0852713178294574,0.0147367227795726,5.78631484794276,12.3490069433571,"ExN","56_PTZvsSAL_1hr"
"GO:2000300","GO:2000300","regulation of synaptic vesicle exocytosis","6/129","57/17643",3.63471549225275e-06,0.00806543367730886,0.000266864637457505,"Stxbp5l/Cacnb4/Atp2a2/Prkcb/Rims2/Cask",6,2.09337227568996,0.0465116279069767,0.00323074307090631,14.3965728274174,30.137386421867,"ExN","56_PTZvsSAL_1hr"
"GO:0030900","GO:0030900","forebrain development","13/129","380/17643",4.31934894656804e-06,0.00958463531243447,0.000304445900486522,"Tuba1a/Tubb2b/Tmem108/Ncam1/Tubb2a/Nfib/Robo1/Zeb2/Ubb/Nfix/Fgf13/Plcb1/Grin1",13,2.01842440702279,0.10077519379845,0.0215382871393754,4.67888616891065,9.44397804101062,"ExN","56_PTZvsSAL_1hr"
"GO:0050770","GO:0050770","regulation of axonogenesis","9/129","181/17643",7.35115056156682e-06,0.0163122030961168,0.000498211580569346,"Sema6d/Robo1/Tiam2/Sema6a/Zeb2/Ptk2/Fgf13/Macf1/Grin1",9,1.78748737998533,0.0697674418604651,0.0102590262427025,6.80059103173584,12.1559706456692,"ExN","56_PTZvsSAL_1hr"
"GO:0099175","GO:0099175","regulation of postsynapse organization","8/129","138/17643",7.86514251440917e-06,0.0174527512394739,0.000513304037782493,"Homer1/Asap1/Ngef/Kalrn/Grin2b/Itsn1/Cask/Grin1",8,1.75813610143033,0.062015503875969,0.00782179901377317,7.92854735422986,13.9394653353715,"ExN","56_PTZvsSAL_1hr"
"GO:0006816","GO:0006816","calcium ion transport","13/129","413/17643",1.05805036497184e-05,0.0234781375987251,0.000665855756001076,"Trpm3/Slc24a2/Homer1/Ryr2/Cacna1b/Cacnb4/Atp2a2/Cacna1d/Prkcb/Grin2b/Plcb1/Cask/Grin1",13,1.62933635643107,0.10077519379845,0.0234087173383211,4.30502843628583,7.01433934671011,"ExN","56_PTZvsSAL_1hr"
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","7/129","110/17643",1.61644891106178e-05,0.0358690013364608,0.000919802480400278,"Stxbp5l/Cacna1b/Cacnb4/Atp2a2/Prkcb/Rims2/Cask",7,1.44528071476819,0.0542635658914729,0.00623476732981919,8.70338266384778,12.578831117307,"ExN","56_PTZvsSAL_1hr"
"GO:0007611","GO:0007611","learning or memory","11/129","308/17643",1.64182944213198e-05,0.0364321953209087,0.000919802480400278,"Tuba1a/Slc24a2/Ncam1/Csmd1/Mef2c/Kalrn/Nfix/Grin2b/Fgf13/Plcb1/Grin1",11,1.43851465837569,0.0852713178294574,0.0174573485234937,4.88455149501661,7.02649892517227,"ExN","56_PTZvsSAL_1hr"
"GO:0034329","GO:0034329","cell junction assembly","13/129","431/17643",1.66208405438096e-05,0.0368816451667134,0.000919802480400278,"Gap43/Robo1/Fmn1/Cdh13/Mef2c/Ptk2/Cdh10/Fgf13/Cadm1/Nptx1/Macf1/Lrfn5/Grin1",13,1.43318971476348,0.10077519379845,0.0244289519922916,4.12523606539686,5.91224589989814,"ExN","56_PTZvsSAL_1hr"
"GO:0071526","GO:0071526","semaphorin-plexin signaling pathway","5/129","44/17643",1.67037009582846e-05,0.0370655124264335,0.000919802480400278,"Ncam1/Sema6d/Sema6a/Crmp1/Mef2c",5,1.43102999142962,0.0387596899224806,0.00249390693192768,15.541754756871,22.2407171765265,"ExN","56_PTZvsSAL_1hr"
