"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0002181","GO:0002181","cytoplasmic translation","27/288","135/17643",6.35289467918625e-22,1.95478569278561e-18,1.71528156338029e-18,"Rps10/Rpl19/Rpl13/Rpl24/Rplp1/Rps25/Rps14/Rps19/Rpl27/Rpsa/Fau/Rpl23/Rpl8/Rpl13a/Rpl18a/Eif2s3y/Eif4a2/Rps23/Rps3/Rps17/Rpl7/Rpl17/Rps15/Rpl12/Rpl21/Rps5/Pkm",27,17.7089008482642,0.09375,0.0076517599047781,12.2520833333333,216.97092893467,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0140236","GO:0140236","translation at presynapse","12/288","47/17643",8.94492932313055e-12,2.75235475272727e-08,7.93426071963787e-09,"Rps10/Rpl13/Rpl24/Rps14/Rpl27/Rpl23/Rpl8/Rpl13a/Rpl7/Rpl17/Rpl12/Rps5",12,7.56029559034112,0.0416666666666667,0.00266394604092275,15.6409574468085,118.250261613819,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0140241","GO:0140241","translation at synapse","12/288","48/17643",1.17544603253894e-11,3.61684744212233e-08,7.93426071963787e-09,"Rps10/Rpl13/Rpl24/Rps14/Rpl27/Rpl23/Rpl8/Rpl13a/Rpl7/Rpl17/Rpl12/Rps5",12,7.44166980930355,0.0416666666666667,0.0027206257439211,15.3151041666667,113.969948303422,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0140242","GO:0140242","translation at postsynapse","12/288","48/17643",1.17544603253894e-11,3.61684744212233e-08,7.93426071963787e-09,"Rps10/Rpl13/Rpl24/Rps14/Rpl27/Rpl23/Rpl8/Rpl13a/Rpl7/Rpl17/Rpl12/Rps5",12,7.44166980930355,0.0416666666666667,0.0027206257439211,15.3151041666667,113.969948303422,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0032409","GO:0032409","regulation of transporter activity","21/288","273/17643",4.56850395835716e-09,1.4057286679865e-05,2.46699213751287e-06,"Taco1/Prrt1/Fhl1/Cfl1/Nlgn1/Calm3/Calm1/Fgf14/Atp1b1/Cacna1d/Actb/Dnm2/Wnk2/Ywhah/Ndfip1/Ephb2/Dmd/Hpca/Homer1/Prnp/Slc25a4",21,4.85209849821233,0.0729166666666667,0.0154735589185513,4.71233974358974,22.8647365929381,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0000028","GO:0000028","ribosomal small subunit assembly","7/288","19/17643",1.22342958448458e-08,3.76449283145906e-05,4.34924801814029e-06,"Rps25/Rps14/Rps19/Rpsa/Fau/Rps15/Rps5",7,4.42429352552843,0.0243055555555556,0.00107691435696877,22.5696271929825,99.8546554635026,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","20/288","262/17643",1.22548186787693e-08,3.77080770745731e-05,4.34924801814029e-06,"Taco1/Prrt1/Fhl1/Cfl1/Nlgn1/Calm3/Calm1/Fgf14/Atp1b1/Cacna1d/Actb/Dnm2/Wnk2/Ywhah/Ephb2/Dmd/Hpca/Homer1/Prnp/Slc25a4",20,4.42356561390027,0.0694444444444444,0.0148500821855693,4.67636768447837,20.6862192870129,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0022618","GO:0022618","protein-RNA complex assembly","16/288","165/17643",1.28866607944898e-08,3.9652255264645e-05,4.34924801814029e-06,"Hsp90aa1/Ptbp2/Rpl24/Rps25/Rps14/Rps19/Rpsa/Fau/Rpl13a/Celf5/Eif2s3y/Rbm5/Srpk2/Rps15/Usp4/Rps5",16,4.40173210667837,0.0555555555555556,0.00935215099472879,5.94040404040404,26.1480671912884,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0071826","GO:0071826","protein-RNA complex organization","16/288","173/17643",2.53460084860785e-08,7.79896681116635e-05,7.60380254582355e-06,"Hsp90aa1/Ptbp2/Rpl24/Rps25/Rps14/Rps19/Rpsa/Fau/Rpl13a/Celf5/Eif2s3y/Rbm5/Srpk2/Rps15/Usp4/Rps5",16,4.10796292781334,0.0555555555555556,0.00980558861871564,5.66570327552986,23.2744990158673,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0007409","GO:0007409","axonogenesis","26/288","456/17643",3.43667084848157e-08,0.000105746362007778,9.27901129090024e-06,"Hsp90aa1/Tubb2b/Actg1/Rab3a/Rufy3/Hsp90ab1/Rpl24/Bcl11a/Nptx1/Lrp1/Uchl1/Cck/Ndn/Actb/Olfm1/Aplp1/Nefl/Dnm2/Mark2/Ephb2/Ntng2/Plxna1/Trim46/Zeb2/Ifrd1/Lmo4",26,3.97573456472951,0.0902777777777778,0.0258459445672505,3.49291849415205,13.8869167889833,"ExN","CA3_24hrvs1hr_PTZ"
