"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","65/1281","262/17643",5.49122805508762e-19,2.86916665878328e-15,2.45428992862127e-15,"Actg1/Actb/Snap25/Nrg1/Rims2/Cacna1e/Cltc/Clstn1/Trim9/Magi2/Syt4/Syndig1/Dnm1/Nsg1/Dtnbp1/Bsn/Atp6v1b2/Sv2b/Rimbp2/Rab27b/Sptbn2/Ap2a2/Ctnnb1/Ppp3cc/Unc13c/Ppp3r1/Atp2a2/Stxbp1/Pfn2/Atp6v1h/Btbd9/Nlgn3/Dnm2/Canx/Syp/Gripap1/Caly/Prkcg/Rapgef4/Prkar1b/Atp6v1a/Ap3d1/Cspg5/Scamp5/Prkca/Vps35/Nlgn2/Ppp3cb/Cadps/Stx2/Atp6ap1/Fmr1/Pip5k1c/Myo6/Rnf216/Pacsin1/Sv2a/Cacnb4/Stx3/Plaa/Syt11/Unc13b/Camk2a/Sh3glb2/Atp6ap2",65,14.5422442245362,0.0507416081186573,0.0148500821855693,3.41692439708958,49.6897490792529,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0050807","GO:0050807","regulation of synapse organization","69/1281","298/17643",2.47454609040717e-18,1.29295033223775e-14,4.19088888813227e-15,"Tuba1a/Lrrtm4/Tubb5/Lrrtm3/Hspa8/Cfl1/Negr1/Flrt2/Epha7/Nrg1/Marcks/Il1rapl2/Chd4/Clstn1/Magi2/Ephb2/Prnp/Syndig1/Dgkb/Ptk2b/Rps6ka5/Epha4/Ywhaz/Dtnbp1/Plxnc1/Hnrnpk/Pgrmc1/Kif1a/Ctnnb1/Slit2/Wasl/Nrg2/Nlgn3/Gripap1/Rapgef4/Vcp/Neurl1a/Actr2/Baiap2/Caprin1/Prkca/Eif4g1/Neurod2/Lrrc4b/Vps35/Nlgn2/Hnrnpm/Cdc42/Mapk14/Adnp/Ptprs/Lrfn2/Ptpro/Slitrk5/Psd/Camkv/Adgrb1/Fmr1/Actr3/St8sia2/Asap1/Efnb3/Rheb/Ptprf/Abi2/Sema4d/Itpka/Dab2ip/Ntng2",69,13.8884181579111,0.053864168618267,0.0168905514935102,3.18901183534256,44.290329879765,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","70/1281","306/17643",2.81300832104969e-18,1.46979684774846e-14,4.19088888813227e-15,"Tuba1a/Lrrtm4/Tubb5/Lrrtm3/Hspa8/Cfl1/Negr1/Flrt2/Epha7/Nrg1/Marcks/Il1rapl2/Chd4/Clstn1/Magi2/Ephb2/Prnp/Syndig1/Dgkb/Ptk2b/Rps6ka5/Epha4/Ywhaz/Dtnbp1/Plxnc1/Hnrnpk/Pgrmc1/Kif1a/Ctnnb1/Slit2/Wasl/Nrg2/Nlgn3/Gripap1/Rapgef4/Vcp/Sybu/Neurl1a/Actr2/Baiap2/Caprin1/Prkca/Eif4g1/Neurod2/Lrrc4b/Vps35/Nlgn2/Hnrnpm/Cdc42/Mapk14/Adnp/Ptprs/Lrfn2/Ptpro/Slitrk5/Psd/Camkv/Adgrb1/Fmr1/Actr3/St8sia2/Asap1/Efnb3/Rheb/Ptprf/Abi2/Sema4d/Itpka/Dab2ip/Ntng2",70,13.8327426883803,0.0546448087431694,0.017343989117497,3.15064823743705,43.5821063700657,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0099504","GO:0099504","synaptic vesicle cycle","56/1281","222/17643",6.96177132455014e-17,3.63752551707745e-13,7.77886343264208e-14,"Actg1/Actb/Snap25/Rims2/Cacna1e/Cltc/Trim9/Magi2/Syt4/Syndig1/Dnm1/Dtnbp1/Bsn/Atp6v1b2/Sv2b/Rimbp2/Rab27b/Sptbn2/Ctnnb1/Ppp3cc/Unc13c/Ppp3r1/Atp2a2/Stxbp1/Pfn2/Atp6v1h/Btbd9/Nlgn3/Dnm2/Canx/Syp/Gripap1/Prkcg/Rapgef4/Prkar1b/Atp6v1a/Ap3d1/Cspg5/Scamp5/Prkca/Nlgn2/Ppp3cb/Cadps/Stx2/Atp6ap1/Fmr1/Pip5k1c/Pacsin1/Sv2a/Cacnb4/Stx3/Plaa/Syt11/Unc13b/Camk2a/Atp6ap2",56,12.4391939514391,0.0437158469945355,0.0125828940656351,3.47422832668734,43.2165999872478,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0007409","GO:0007409","axonogenesis","85/1281","456/17643",4.34747195323961e-16,2.2715540955677e-12,3.88618229756956e-13,"Tubb2b/Actg1/Actb/Hsp90aa1/Hsp90ab1/Slit3/Tubb3/Uchl1/Trpc5/Epha6/Tnr/Sema3c/Zeb2/Flrt2/Epha7/Etv1/Chl1/Robo2/Olfm1/Nfib/Arhgef28/Matn2/Bcl11a/Unc5d/Ptprz1/Slit1/Stmn1/Ephb2/Epha4/Epha3/Neo1/Dpysl5/Epha5/Plxnc1/Brsk2/Gdi1/Mt3/Prickle1/Map3k13/Dixdc1/Slit2/Stxbp1/Bsg/Sema6a/Tbce/Ttc3/Nr4a2/Ablim1/Nlgn3/Dnm2/Sema6d/Aplp2/Slc9a6/Eif4g2/Adcy1/Thy1/Nova2/Arhgap35/Fgfr2/Prkca/Plxna1/Cck/Map6/Cntn6/Adnp/D130043K22Rik/Smurf1/Ptprs/Ptpro/Slitrk5/B4galt6/Aplp1/Megf9/Shtn1/Actr3/Pak1/Cdkl3/Pip5k1c/Unc5c/Efnb3/Foxg1/Celsr3/Afg3l2/Sema4d/Ntng2",85,11.6436769162886,0.0663544106167057,0.0258459445672505,2.56730453182136,29.8928645142514,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0031345","GO:0031345","negative regulation of cell projection organization","52/1281","213/17643",3.88191486744914e-15,2.02830051824218e-11,2.89168605740159e-12,"Cfl1/Trpc5/Ntm/Tnr/Sema3c/Rit2/Ywhah/Epha7/Stmn2/Flna/Bcl11a/Ptprz1/Slit1/Ephb2/Prnp/Epha4/Dtnbp1/Epha3/Neo1/Dpysl5/Dleu2/Fat3/Gdi1/Mt3/Rap1gap2/Mylip/Slit2/Sema6a/Pfn2/Ttc3/Dync1i2/Nlgn3/Dnm2/Sema6d/Gdi2/Mphosph9/Thy1/Dpysl3/Xylt1/Tsc1/D130043K22Rik/Ptprs/Crmp1/Actr3/Cdkl3/Limk2/Rap1gap/Wdr44/Efnb3/Ptprf/Sema4d/Gak",52,10.6928676983795,0.0405932864949258,0.0120727767386499,3.36238194192477,35.953505256422,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0002181","GO:0002181","cytoplasmic translation","39/1281","135/17643",3.12341386575765e-14,1.63198374485837e-10,1.99428801112887e-11,"Rpl19/Pkm/Eif4a1/Rps29/Rpl38/Rplp2/Eif4a2/Fau/Rpl5/Rpl23/Dhx9/Rplp1/Rpl3/Rpl41/Rpl37a/Hnrnpd/Hnrnpu/Ncbp1/Rpl6/Mcts1/Cpeb1/Rps26/Eif3a/Rpsa/Eif5/Rps14/Rpl15/Csde1/Rpl10a/Rpl27a/Rps15/Rps8/Rpl13/Fmr1/Rps2/Rpl17/Zc3h15/Rps20/Rpl13a",39,9.78728417128894,0.0304449648711944,0.0076517599047781,3.97881863127765,38.9418286103332,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0016358","GO:0016358","dendrite development","60/1281","317/17643",5.17962820762986e-12,2.7063557384866e-08,2.89377649599953e-09,"Cfl1/Csmd3/Trpc5/Ywhah/Marcks/Matn2/Bcl11a/Ptprz1/Ephb2/Epha4/Dgkg/Camk1d/Dtnbp1/Dpysl5/Epha5/Fat3/Hnrnpk/Pbrm1/Kif1a/Prickle1/Crebbp/Wasl/Nlgn3/Dynlt1a/Slc9a6/Mpdz/Actl6b/Eif4g2/Rapgef4/Nr3c1/Neurl1a/Actr2/Nck2/Baiap2/Caprin1/Slc12a5/Map6/Nlgn2/Cdc42/D130043K22Rik/Ptprs/Slitrk5/Fmr1/Actr3/Pak1/Cdkl3/Myo6/Pacsin1/Asap1/Hecw1/Ptprf/Abi2/Prmt3/Mink1/Camk2a/Ankrd27/Sema4d/Itpka/Dab2ip/Iqgap1",60,7.56761511789825,0.0468384074941452,0.0179674658504789,2.60684549974512,19.7276034138962,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0099173","GO:0099173","postsynapse organization","51/1281","248/17643",8.63337207859702e-12,4.51093691106694e-08,4.2874032568097e-09,"Actb/Lrrtm4/Hspa8/Cfl1/Epha7/Marcks/Nos1ap/Magi2/Ephb2/Prnp/Dgkb/Ptk2b/Rps6ka5/Epha4/Dtnbp1/Epha5/Hnrnpk/Sptbn2/Kif1a/Wasl/Nptxr/Nlgn3/Cadm1/Rapgef4/Actr2/Tmem108/Baiap2/Caprin1/Stk38/Cpne6/Frrs1l/Nrxn3/Lrrc4b/Vps35/Nlgn2/Hnrnpm/Cdc42/Sorbs2/Ptprs/Lrfn2/Psd/Adgrb1/Actr3/Asap1/Rheb/Iqsec3/Ptprf/Abi2/Prmt3/Itpka/Ntng2",51,7.34573324680322,0.0398126463700234,0.0140565663435924,2.8323166125255,20.8054423061016,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
"GO:0010977","GO:0010977","negative regulation of neuron projection development","39/1281","160/17643",1.12933828260834e-11,5.90079252662856e-08,5.04754773468947e-09,"Ntm/Tnr/Sema3c/Rit2/Epha7/Stmn2/Flna/Bcl11a/Ptprz1/Slit1/Ephb2/Epha4/Dtnbp1/Epha3/Neo1/Dleu2/Fat3/Gdi1/Mt3/Rap1gap2/Mylip/Slit2/Sema6a/Ttc3/Dync1i2/Nlgn3/Sema6d/Thy1/Dpysl3/Xylt1/Tsc1/D130043K22Rik/Ptprs/Crmp1/Actr3/Cdkl3/Efnb3/Sema4d/Gak",39,7.2290896549974,0.0304449648711944,0.00906875247973701,3.35712822014052,24.2689808867176,"ExcitatoryNeuronsCA1","24hrvs1hr_SAL"
