"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007409","GO:0007409","axonogenesis","28/345","456/17643",9.90448202001531e-08,0.000349826304946941,0.000322052052208708,"Cacna1a/Tubb2b/Hsp90ab1/Slit3/Sema3c/Arhgef25/Lrp1/Dab1/Plxnc1/Chl1/Dvl1/Tiam2/Sema4d/Tubb3/Gdi1/Nrp2/Hsp90aa1/Actb/Nfix/Actg1/Lgi1/Ptpn11/Sema4g/Bdnf/Aplp2/Agrn/Ryk/Vcl",28,3.45614753715643,0.0811594202898551,0.0258459445672505,3.14012204424104,10.8527250695743,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","14/345","132/17643",3.13957149761201e-07,0.00110889665295656,0.000510428229269658,"Cpt1c/Vamp2/Nptxr/Hsp90aa1/Neto2/Gpc6/Ywhae/Lgi1/Rdx/Rap1a/Ppp3r1/Prkcz/Ap2a2/Eps8",14,2.95510892737846,0.0405797101449275,0.00748172079578303,5.42384716732543,16.0280591848997,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:0050807","GO:0050807","regulation of synapse organization","20/345","298/17643",1.81820050430113e-06,0.00642188418119159,0.00126682239422759,"Camk2b/Tuba1a/Negr1/Hspa8/Rps6ka5/Pdlim5/Ppp1r9a/Camkv/Tubb5/Plxnc1/Dvl1/Sema4d/Nrp2/Frmpd4/Asic2/Adgrb2/Kif1a/Bdnf/Agrn/Caprin1",20,2.19233753120847,0.0579710144927536,0.0168905514935102,3.43215640501897,7.52444529970062,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:1902414","GO:1902414","protein localization to cell junction","13/345","132/17643",1.93923613787802e-06,0.00684938203898518,0.00126682239422759,"Vamp2/Nptxr/Shank1/Neto2/Actb/Gpc6/Klc1/Actg1/Lgi1/Asic2/Rap1a/Prkcz/Vcl",13,2.16434860940759,0.0376811594202899,0.00748172079578303,5.03642951251647,10.9005892117943,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:1990138","GO:1990138","neuron projection extension","16/345","200/17643",2.10765854229246e-06,0.00744424997137697,0.00126682239422759,"Hsp90ab1/Slit3/Sema3c/Lrp1/Dvl1/Sema4d/Gdi1/Nrp2/Hsp90aa1/Rasal1/Sema4g/Bdnf/Ryk/Prkcz/Vcl/Slc23a2",16,2.12817905206909,0.0463768115942029,0.0113359405996713,4.09113043478261,8.70665809058664,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:0048675","GO:0048675","axon extension","13/345","135/17643",2.49894023894133e-06,0.00882625692394078,0.00126682239422759,"Hsp90ab1/Slit3/Sema3c/Lrp1/Dvl1/Sema4d/Gdi1/Nrp2/Hsp90aa1/Sema4g/Bdnf/Ryk/Vcl",13,2.05422343480569,0.0376811594202899,0.0076517599047781,4.92450885668277,10.1160414983059,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","20/345","306/17643",2.72721557837924e-06,0.00963252542283548,0.00126682239422759,"Camk2b/Tuba1a/Negr1/Hspa8/Rps6ka5/Pdlim5/Ppp1r9a/Camkv/Tubb5/Plxnc1/Dvl1/Sema4d/Nrp2/Frmpd4/Asic2/Adgrb2/Kif1a/Bdnf/Agrn/Caprin1",20,2.01625983609305,0.0579710144927536,0.017343989117497,3.34242682580278,6.73920096394613,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:0048588","GO:0048588","developmental cell growth","18/345","270/17643",6.5656477681981e-06,0.0231898679172757,0.00222776909429293,"Hsp90ab1/Slit3/Sema3c/Lrp1/Pdlim5/Dvl1/Sema4d/Gdi1/Nrp2/Hsp90aa1/Rasal1/Nfix/Sema4g/Bdnf/Ryk/Prkcz/Vcl/Slc23a2",18,1.63470172496967,0.0521739130434783,0.0153035198095562,3.40927536231884,5.57314831567922,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","18/345","273/17643",7.64607664186676e-06,0.0270059426990734,0.00222776909429293,"Hsp90ab1/Slit3/Sema3c/Lrp1/Dvl1/Sema4d/Gdi1/Nrp2/Hsp90aa1/Rasal1/Nfix/Ppp2r3a/Sema4g/Bdnf/Ryk/Prkcz/Vcl/Slc23a2",18,1.56854065815839,0.0521739130434783,0.0154735589185513,3.37181079789775,5.2888223281201,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
"GO:0007411","GO:0007411","axon guidance","16/345","222/17643",8.08273783356199e-06,0.0285482300281409,0.00222776909429293,"Tubb2b/Slit3/Sema3c/Arhgef25/Lrp1/Plxnc1/Chl1/Dvl1/Sema4d/Tubb3/Nrp2/Lgi1/Sema4g/Bdnf/Agrn/Ryk",16,1.5444208125614,0.0463768115942029,0.0125828940656351,3.68570309439875,5.69227656791136,"ExcitatoryNeuronsCA3","PTZvsSAL_24hr"
