"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007409","GO:0007409","axonogenesis","35/225","456/17643",1.04609475437396e-17,3.33704226645293e-14,2.71434059950717e-14,"Tubb2b/Actg1/Zeb2/Chl1/Olfm1/Hsp90ab1/Actb/Eif4g2/Mef2c/Dbn1/Rufy3/Aplp1/Islr2/Ntrk3/Cdh11/Dcx/Ephb1/Cntn5/Slit3/Tenm2/App/Shtn1/Ttc3/Nfix/Robo1/Epha7/Cntn1/Tnr/Braf/Cdh2/Sema3c/Bcl11a/Usp9x/Top2b/Tiam1",35,13.4766382926047,0.155555555555556,0.0258459445672505,6.01856725146199,81.1100538876693,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:0048588","GO:0048588","developmental cell growth","26/225","270/17643",1.01564300330764e-15,3.23990118055136e-12,1.14876686690461e-12,"Zeb2/Sh3gl2/Olfm1/Ctnnb1/Hsp90ab1/Eif4g2/Dbn1/Nedd4l/Rufy3/Islr2/Tmem108/Ntrk3/Hnrnpk/Dcx/Slit3/App/Shtn1/Ttc3/Nfix/Robo1/Epha7/Tnr/Sema3c/Bcl11a/Usp9x/Tiam1",26,11.4894682359032,0.115555555555556,0.0153035198095562,7.55091358024691,86.7559817322969,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","26/225","273/17643",1.32818887248606e-15,4.23692250323053e-12,1.14876686690461e-12,"Zeb2/Sh3gl2/Olfm1/Ctnnb1/Hsp90ab1/Eif4g2/Dbn1/Nedd4l/Rufy3/Islr2/Tmem108/Ntrk3/Hnrnpk/Dcx/Slit3/App/Shtn1/Ttc3/Nfix/Robo1/Epha7/Tnr/Sema3c/Bcl11a/Usp9x/Tiam1",26,11.3729494795268,0.115555555555556,0.0154735589185513,7.46793650793651,84.9324646210755,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:1990138","GO:1990138","neuron projection extension","22/225","200/17643",1.14964319490551e-14,3.66736179174857e-11,7.4575538827423e-12,"Sh3gl2/Olfm1/Ctnnb1/Hsp90ab1/Eif4g2/Dbn1/Nedd4l/Rufy3/Islr2/Tmem108/Ntrk3/Hnrnpk/Dcx/Slit3/Shtn1/Ttc3/Robo1/Tnr/Sema3c/Bcl11a/Usp9x/Tiam1",22,10.4356462440046,0.0977777777777778,0.0113359405996713,8.62546666666667,90.0123188227872,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:0006397","GO:0006397","mRNA processing","30/225","454/17643",1.44878446490226e-13,4.6216224430382e-10,7.51842885470329e-11,"Cwc22/Ptbp2/Hspa8/Hnrnph1/Pabpn1/Ddx5/Ahcyl1/Aplp1/Snrnp70/Prpf4b/Plcb1/Rbm25/Rbm39/Hnrnpk/Cpsf6/Tra2a/Rsrc1/App/Hnrnpa1/Srsf5/Dhx15/Thoc2/Hnrnpc/Srrm4/Hnrnpu/Rsrp1/Luc7l2/Fam172a/Prpf40a/Srek1",30,9.33520553648621,0.133333333333333,0.0257325851612538,5.18149779735683,48.3703469251766,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:0016049","GO:0016049","cell growth","29/225","494/17643",7.17719018195992e-12,2.28952366804521e-08,3.1038199646546e-09,"Zeb2/Sh3gl2/Clstn1/Olfm1/Ctnnb1/Igfbpl1/Hsp90ab1/Eif4g2/Dbn1/Nedd4l/Rufy3/Islr2/Tmem108/Ntrk3/Hnrnpk/Dcx/Slit3/App/Shtn1/Ttc3/Nfix/Robo1/Epha7/Tnr/Rerg/Sema3c/Bcl11a/Usp9x/Tiam1",29,7.64025486257599,0.128888888888889,0.027999773281188,4.60321187584345,35.1697119178805,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:0008380","GO:0008380","RNA splicing","26/225","406/17643",1.39385372119523e-11,4.44639337061279e-08,5.16669086127255e-09,"Cwc22/Ptbp2/Hspa8/Hnrnph1/Ddx5/Supt20/Snrnp70/Prpf4b/Rbm25/Rbm39/Hnrnpk/Tra2a/Rsrc1/Hnrnpa1/Srsf5/Dhx15/Thoc2/Hnrnpc/Srrm4/Hnrnpu/Rsrp1/Luc7l2/Fam172a/Prpf40a/Fus/Srek1",26,7.35199211808119,0.115555555555556,0.0230119594173327,5.02154351395731,36.9183483352159,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:0021543","GO:0021543","pallium development","17/225","175/17643",9.80449004842756e-11,3.12763232544839e-07,3.18000894333867e-08,"Tuba1a/Tubb2b/Zeb2/Ctnnb1/Tubb2a/Fat4/Tmem108/Plcb1/Hnrnpk/Dcx/Lrp8/Nfix/Robo1/Bmerb1/Cdh2/Usp9x/Large1",17,6.50478430689551,0.0755555555555556,0.00991894802471235,7.61729523809524,49.5488625257518,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:0050770","GO:0050770","regulation of axonogenesis","17/225","181/17643",1.67097357305442e-10,5.33040569804359e-07,4.12142083141579e-08,"Zeb2/Eif4g2/Dbn1/Rufy3/Islr2/Ntrk3/Dcx/Shtn1/Ttc3/Robo1/Epha7/Tnr/Braf/Cdh2/Sema3c/Bcl11a/Tiam1",17,6.27323973549191,0.0755555555555556,0.0102590262427025,7.36478821362799,46.2010820652136,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","20/225","264/17643",1.90605263603002e-10,6.08030790893577e-07,4.12142083141579e-08,"Cwc22/Ptbp2/Hspa8/Ddx5/Snrnp70/Prpf4b/Rbm25/Rbm39/Hnrnpk/Tra2a/Rsrc1/Hnrnpa1/Srsf5/Hnrnpc/Srrm4/Hnrnpu/Rsrp1/Luc7l2/Fam172a/Prpf40a",20,6.21607442734473,0.0888888888888889,0.0149634415915661,5.94040404040404,36.9259936436509,"ExcitatoryNeuronsImmatureDG","24hrvs1hr_PTZ"
