"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0050807","GO:0050807","regulation of synapse organization","83/1101","298/17643",2.7772254396515e-32,1.40166567939211e-28,9.68389062688488e-29,"Robo1/Tanc1/Sparcl1/Ctnna2/Myo5b/Negr1/Ppfia2/Ntrk3/Ptpro/Mycbp2/C1ql3/Il1rapl1/Il1rap/Mef2c/Nrxn1/Nrg1/Ptprs/Lrrtm4/Grid1/Ephb2/Sema4d/Grid2/Ptk2b/Cttnbp2/Epha4/Prnp/Shank2/Il1rapl2/Gsk3b/Grin2b/Dnm3/Snca/Tanc2/Rock2/Zmynd8/Lingo2/Nrp2/Adgrl3/Icam5/Dvl1/Kalrn/Itsn1/Nrg2/Gpr158/Magi2/Lrfn2/Adgrb1/Neurod2/Adgrb2/Gpm6a/Nrcam/Lrfn5/Zfp804a/Camkv/Agrn/Adgrl1/Srcin1/Cdh2/Abi2/Bhlhb9/Epha7/Cask/Nedd4/Hnrnpm/Cfl1/Fyn/Actr3/Cdkl5/Mdga2/Ogt/Rock1/Pgrmc1/Mark2/Dctn1/Ywhaz/Tubb5/Baiap2/App/Setd5/Eif4g1/Gripap1/Cyfip1/Opa1",83,27.8533555604845,0.075386012715713,0.0168905514935102,4.46320611524605,124.315266867677,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0007409","GO:0007409","axonogenesis","104/1101","456/17643",4.94076052392086e-32,2.49360183642286e-28,9.68389062688488e-29,"Robo1/Slit1/Dab1/Ctnna2/Myo5b/Ntng1/Cntnap2/Unc5d/Dcc/Sema6d/Slit3/Nptx1/Ntrk3/Ptpro/Mycbp2/Mef2c/Dscaml1/Cacna1a/Ptprs/Olfm1/Ncam1/Dscam/Prkg1/Ephb2/Sema4d/Adcy1/L1cam/Macf1/Sema3e/Epha4/Clasp2/Ank3/Kif5c/Cdh11/Gsk3b/Sema6a/Nfix/Fgf13/Robo2/Cntn5/Aplp1/Dpysl5/Nrp2/Mapt/Ptprz1/Kif5a/Dvl1/Lrp1/Nrn1/Kalrn/Hsp90aa1/Bcl11b/Shtn1/Raph1/Plxna4/Plxna2/Atp8a2/Dcx/Rufy3/Nfasc/Trim46/Ablim1/Nrcam/Prickle1/Apc/Fstl4/Tenm2/Agrn/Klf7/Bcl11a/Dock7/Cdh2/Epha7/Dip2b/Unc5a/Apbb2/Nrp1/Actr3/Neo1/Nptn/Islr2/Cdkl5/Lrrc4c/Unc5c/Stxbp1/Map2k1/Wdr47/Sema5a/Evl/Fgfr2/Mark2/Map2/Bsg/Atl1/Gdi1/Chl1/Cyfip2/App/Usp33/Arhgef25/Ep300/Cyfip1/Ust/Eif4g2",104,27.6031728908932,0.0944595821980018,0.0258459445672505,3.65471580859506,100.88175233173,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","83/1101","306/17643",2.24357294793764e-31,1.13233126682413e-27,2.93160198530518e-28,"Robo1/Tanc1/Sparcl1/Ctnna2/Myo5b/Negr1/Ppfia2/Ntrk3/Ptpro/Mycbp2/C1ql3/Il1rapl1/Il1rap/Mef2c/Nrxn1/Nrg1/Ptprs/Lrrtm4/Grid1/Ephb2/Sema4d/Grid2/Ptk2b/Cttnbp2/Epha4/Prnp/Shank2/Il1rapl2/Gsk3b/Grin2b/Dnm3/Snca/Tanc2/Rock2/Zmynd8/Lingo2/Nrp2/Adgrl3/Icam5/Dvl1/Kalrn/Itsn1/Nrg2/Gpr158/Magi2/Lrfn2/Adgrb1/Neurod2/Adgrb2/Gpm6a/Nrcam/Lrfn5/Zfp804a/Camkv/Agrn/Adgrl1/Srcin1/Cdh2/Abi2/Bhlhb9/Epha7/Cask/Nedd4/Hnrnpm/Cfl1/Fyn/Actr3/Cdkl5/Mdga2/Ogt/Rock1/Pgrmc1/Mark2/Dctn1/Ywhaz/Tubb5/Baiap2/App/Setd5/Eif4g1/Gripap1/Cyfip1/Opa1",83,26.9460265004381,0.075386012715713,0.017343989117497,4.34652098805008,117.121469728708,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0099173","GO:0099173","postsynapse organization","72/1101","248/17643",2.26082352560882e-29,1.14103763337477e-25,2.21560705509665e-26,"Tanc1/Cnksr2/Myo5b/Grin2a/Cntnap2/Dock10/Ppfia2/Ctnnd2/Nptx1/Ntrk3/C1ql3/Il1rapl1/Il1rap/Cadm1/Nrxn1/Ptprs/Lrrtm4/Grid1/Ephb2/Grid2/Ptk2b/Dlg2/Epha4/Prnp/Shank2/Sorbs1/Grin2b/Dnm3/Arhgap39/Tanc2/Rock2/Zmynd8/Nrp2/Nrxn3/Adgrl3/Dvl1/Kalrn/Itsn1/Magi2/Lrfn2/Adgrb1/Nrcam/Zfp804a/Agrn/Nos1ap/Dock7/Srcin1/Nrxn2/Cdh2/Abi2/Bhlhb9/Epha7/Shank1/Cask/Nptxr/Hnrnpm/Cfl1/Fyn/Nrp1/Actr3/Frrs1l/Rph3a/Cdkl5/Sh3gl2/Cpne6/Gphn/Glrb/Mark2/Baiap2/App/Ckap5/Opa1",72,24.94270003157,0.0653950953678474,0.0140565663435924,4.65228091764085,116.040447391313,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0007416","GO:0007416","synapse assembly","62/1101","213/17643",1.65316948137325e-25,8.3435463724908e-22,1.29608487339663e-22,"Robo1/Cntnap2/Negr1/Nptx1/Nrg3/Ntrk3/Mycbp2/C1ql3/Il1rapl1/Il1rap/Cadm1/Mef2c/Nrxn1/Cacna1a/Nrg1/Ptprs/Lrrtm4/Ephb2/Sema4d/Grid2/Ptk2b/Shank2/Il1rapl2/Gsk3b/Dnm3/Snca/Fgf13/Cntn5/Lingo2/Mapt/Nrxn3/Adgrl3/Icam5/Dvl1/Nrg2/Magi2/Adgrb1/Adgrb2/Gpm6a/Srgap2/Lrfn5/Agrn/Adgrl1/Dock7/Srcin1/Nrxn2/Cdh2/Bhlhb9/Epha7/Nptxr/Pcdh17/Actr3/Nptn/Large1/Mdga2/Ogt/Gabrg2/Bsn/App/Setd5/Eif4g1/Gabra1",62,21.0786493159525,0.0563124432334242,0.0120727767386499,4.66441519233475,98.3195721032255,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0034329","GO:0034329","cell junction assembly","87/1101","431/17643",5.33995543215065e-23,2.69507550660643e-19,3.48877088233842e-20,"Robo1/Cntnap2/Negr1/Ctnnd2/Nptx1/Nrg3/Cdh13/Ntrk3/Ptpro/Mycbp2/C1ql3/Il1rapl1/Il1rap/Cadm1/Mef2c/Nrxn1/Cacna1a/Nrg1/Ptprs/Lrrtm4/Ephb2/Sema4d/Grid2/Ptk2b/Macf1/Clasp2/Shank2/Cdh12/Sorbs1/Il1rapl2/Cdh11/Gsk3b/Rapgef2/Dnm3/Snca/Map4k4/Fgf13/Cntn5/Rock2/Lingo2/Mapt/Nrxn3/Adgrl3/Icam5/Dvl1/Lrp1/Nrg2/Magi2/Adgrb1/Hdac7/Adgrb2/Nfasc/Gpm6a/Srgap2/Dlg1/Ptprk/Lrfn5/Mpdz/Clasp1/Agrn/Adgrl1/Dock7/Srcin1/Nrxn2/Cdh2/Abi2/Bhlhb9/Epha7/Nptxr/Pcdh17/Cfl1/Nrp1/Actr3/Nptn/Large1/Mdga2/Nedd4l/Ogt/Gabrg2/Rock1/Bsn/Dmtn/App/Setd5/Eif4g1/Gabra1/Pkn2",87,18.5694290628917,0.0790190735694823,0.0244289519922916,3.23464852665052,60.0655763590239,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0016358","GO:0016358","dendrite development","72/1101","317/17643",2.58742867271325e-22,1.30587525111837e-18,1.44896005671942e-19,"Robo1/Dab1/Ctnna2/Myo5b/Cntnap2/Hecw1/Dock10/Ppfia2/Ctnnd2/Grip1/Il1rapl1/Mef2c/Cacna1a/Ptprs/Dscam/Prkg1/Ephb2/Sema4d/Csmd3/Ppp3ca/Trpc6/Epha4/Gsk3b/Rapgef2/Dnm3/Tanc2/Rock2/Zmynd8/Rere/Fat3/Dpysl5/Ptprz1/Dvl1/Kalrn/Itsn1/Dcx/Ywhah/Srgap2/Prickle1/Spire1/Fstl4/Mpdz/Phactr1/Klf7/Bcl11a/Srcin1/Abi2/Camsap2/Bhlhb9/Abi1/Shank1/Cask/Nedd4/Slc12a5/Cfl1/Fyn/Nrp1/Actr3/Cdkl5/Nedd4l/Mapk8/Map2/Clip1/Parp6/Nsmf/Baiap2/App/Cyfip1/Iqsec1/Eif4g2/Celsr2/Opa1",72,17.884098308772,0.0653950953678474,0.0179674658504789,3.63963932988937,65.0916675842145,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","64/1101","273/17643",9.99438963053656e-21,5.0441684465318e-17,4.89725091896291e-18,"Robo1/Slit1/Myo5b/Sema6d/Syt1/Kif26b/Slit3/Ntrk3/Cadm1/Ptprs/Olfm1/Rims2/Dscam/Prkg1/Sema4d/L1cam/Macf1/Sema3e/Clasp2/Gsk3b/Sema6a/Nfix/Wasf1/Fgf13/Unc13a/Nrp2/Spag9/Mapt/Dvl1/Lrp1/Nrn1/Hsp90aa1/Shtn1/Raph1/Plxna4/Dcx/Rufy3/Rims1/Trim46/Prickle1/Fstl4/Bcl11a/Epha7/Cfl1/Dip2b/Nrp1/Actr3/Islr2/Cdkl5/Impact/Nedd4l/Sh3gl2/Sema5a/Cpne6/Fgfr2/Map2/Lrp6/Gdi1/Kdm5b/Cyfip2/App/Ep300/Cyfip1/Eif4g2",64,16.2972104188916,0.0581289736603088,0.0154735589185513,3.75666477028875,61.2231562346329,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0048167","GO:0048167","regulation of synaptic plasticity","59/1101","248/17643",1.56196819998228e-19,7.88325350531059e-16,6.80323927103395e-17,"Erc2/Grin2a/Sorcs2/Ctnnd2/Grip1/Cpeb1/Jph4/Grik2/Mef2c/Rims2/Ephb2/Ncdn/Adcy1/Grid2/Ptk2b/Rasgrf1/Grm5/Epha4/Prnp/Shank2/Gsk3b/Rapgef2/Grin2b/Snca/Unc13a/Prrt1/Slc24a2/Slc4a10/Mir124a-1hg/Mapt/Shisa9/Fgf14/Adgrb1/Neurod2/Rims1/Gnal/Syt7/Mapk1/Kcnn2/Atp2b2/Erc1/Slc8a2/Cfl1/Kcnq3/Nptn/Large1/Stxbp1/Kmt2a/Rab3gap1/Neto1/Unc13b/Rasgrf2/Nsmf/Fxr1/Baiap2/App/Nrgn/Lnpep/Ckap5",59,15.1032945074106,0.0535876475930972,0.0140565663435924,3.8122857519557,57.5780744581921,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","82/1101","440/17643",1.88109541144669e-19,9.49388854157146e-16,7.37389401287103e-17,"Robo1/Myo5b/Eps8/Dcc/Negr1/Grip1/Cpeb1/Ntrk3/Il1rapl1/Ahi1/Nrxn1/Nrg1/Dscam/Ephb2/Sema4d/L1cam/Ptk2b/Macf1/Epha4/Fgfr1/Dpysl3/Gsk3b/Tgfbr1/Rapgef2/Dnm3/Robo2/Tenm1/Zmynd8/Mapt/Tmem30a/Ptprz1/Dvl1/Lrp1/Kalrn/Tenm3/Hsp90aa1/Shtn1/Plxna4/Magi2/Plxna2/Atp8a2/Dcx/Stmn2/Rreb1/Rufy3/Gpm6a/Ccdc88a/Apc/Zfp804a/Prkd1/Acsl6/Agrn/Bcl11a/Plppr5/Abi2/Bhlhb9/Cask/Cfl1/Dock11/Fyn/Nrp1/Actr3/Nptn/Islr2/Cdkl5/Map2k1/Sema5a/Arpc2/Lrrc7/Mark2/Clip1/Lrp6/Ndrg4/Parp6/Gdi1/Baiap2/Ep300/Cyfip1/Hap1/Eif4g2/Opa1/Nckap1",82,15.022555871213,0.0744777475022707,0.0249390693192768,2.98638840723309,44.8631867008021,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
