"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0050807","GO:0050807","regulation of synapse organization","27/310","298/17643",3.20185386587859e-12,1.11104329145987e-08,8.84246611658176e-09,"Malat1/Tuba1a/Camk2b/Ywhaz/Hspa8/Camkv/Dvl1/Dhx36/Tubb5/Negr1/Adgrb2/Ptprs/Hnrnpk/Sema4d/Caprin1/Cdkl5/Kif1a/Lrrtm3/Adgrl3/Ctnnb1/Baiap2/Frmpd4/Eif4g1/Sparcl1/Gripap1/Srcin1/Grin1",27,7.95426901857863,0.0870967741935484,0.0168905514935102,5.15653821173414,41.0164921407137,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","27/310","306/17643",5.96403465442149e-12,2.06952002508426e-08,8.84246611658176e-09,"Malat1/Tuba1a/Camk2b/Ywhaz/Hspa8/Camkv/Dvl1/Dhx36/Tubb5/Negr1/Adgrb2/Ptprs/Hnrnpk/Sema4d/Caprin1/Cdkl5/Kif1a/Lrrtm3/Adgrl3/Ctnnb1/Baiap2/Frmpd4/Eif4g1/Sparcl1/Gripap1/Srcin1/Grin1",27,7.68413036692376,0.0870967741935484,0.017343989117497,5.02172675521822,38.5876030541658,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0050684","GO:0050684","regulation of mRNA processing","16/310","124/17643",5.51869022970903e-10,1.91498550970903e-06,5.45478960599661e-07,"Malat1/Ddx5/Hspa8/Dhx36/Celf5/Hnrnpl/Snrnp70/Safb/Hnrnpk/Hnrnpa2b1/Srsf2/Ahcyl1/Tia1/Srsf7/Celf3/Son",16,5.71783450789756,0.0516129032258065,0.00702828317179618,7.34360041623309,41.9894918721485,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","22/310","264/17643",1.71095563046386e-09,5.93701603770959e-06,8.45572282634507e-07,"Cwc22/Malat1/Ddx5/Hspa8/Luc7l3/Srrm2/Celf5/Prpf4b/Hnrnpl/Snrnp70/Srsf5/Hnrnpk/Hnrnpa2b1/Srsf2/Tia1/Srsf7/Luc7l/Celf3/Paxbp1/Son/Rsrp1/Sf3b1",22,5.22643177790915,0.0709677419354839,0.0149634415915661,4.74274193548387,24.7876171660352,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","22/310","264/17643",1.71095563046386e-09,5.93701603770959e-06,8.45572282634507e-07,"Cwc22/Malat1/Ddx5/Hspa8/Luc7l3/Srrm2/Celf5/Prpf4b/Hnrnpl/Snrnp70/Srsf5/Hnrnpk/Hnrnpa2b1/Srsf2/Tia1/Srsf7/Luc7l/Celf3/Paxbp1/Son/Rsrp1/Sf3b1",22,5.22643177790915,0.0709677419354839,0.0149634415915661,4.74274193548387,24.7876171660352,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","22/310","264/17643",1.71095563046386e-09,5.93701603770959e-06,8.45572282634507e-07,"Cwc22/Malat1/Ddx5/Hspa8/Luc7l3/Srrm2/Celf5/Prpf4b/Hnrnpl/Snrnp70/Srsf5/Hnrnpk/Hnrnpa2b1/Srsf2/Tia1/Srsf7/Luc7l/Celf3/Paxbp1/Son/Rsrp1/Sf3b1",22,5.22643177790915,0.0709677419354839,0.0149634415915661,4.74274193548387,24.7876171660352,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0006397","GO:0006397","mRNA processing","29/310","454/17643",2.20447760206784e-09,7.64953727917541e-06,9.33836602259415e-07,"Cwc22/Malat1/Ddx5/Hspa8/Pabpc1/Luc7l3/Srrm2/Dhx36/Celf5/Prpf4b/Hnrnpl/Snrnp70/Safb/Srsf5/Hnrnpk/Hnrnpa2b1/Srsf2/Ahcyl1/Cstf2/Tia1/Srsf7/Luc7l/Celf3/Paxbp1/Son/Hnrnph1/Cstf3/Rsrp1/Sf3b1",29,5.11636483454293,0.0935483870967742,0.0257325851612538,3.63540571266165,18.6000619475585,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","22/310","275/17643",3.66195733650796e-09,1.27069919576826e-05,1.35733339696618e-06,"Malat1/Ddx5/Hspa8/Pabpc1/Dhx36/Dicer1/Celf5/Dcp1b/Hnrnpl/Snrnp70/Safb/Pum2/Hnrnpk/Hnrnpa2b1/Srsf2/Caprin1/Ahcyl1/Tia1/Srsf7/Celf3/Cnot1/Son",22,4.89595724494501,0.0709677419354839,0.015586918324548,4.55303225806452,22.2914512703393,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0048813","GO:0048813","dendrite morphogenesis","18/310","187/17643",5.61951082830107e-09,1.94997025742047e-05,1.8514809360613e-06,"Camk2b/Camk2a/Epha5/Dvl1/Dhx36/Cntnap2/Celsr2/Nsmf/Mink1/Sema4d/Caprin1/Cdkl5/Kif1a/Dpysl5/Baiap2/Klf7/Srcin1/Grin1",18,4.70997201281014,0.0580645161290323,0.0105991044606926,5.47824736932896,25.8023917887902,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0016358","GO:0016358","dendrite development","23/310","317/17643",1.03326138488719e-08,3.58541700555855e-05,3.06389191708127e-06,"Camk2b/Camk2a/Epha5/Dvl1/Ezh2/Dhx36/Cntnap2/Camk1d/Celsr2/Ptprs/Nsmf/Mink1/Hnrnpk/Sema4d/Crebbp/Caprin1/Cdkl5/Kif1a/Dpysl5/Baiap2/Klf7/Srcin1/Grin1",23,4.44546032599872,0.0741935483870968,0.0179674658504789,4.12932736338659,18.356760966996,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
