"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0007409","GO:0007409","axonogenesis","138/1610","456/17643",1.00348084578084e-38,5.50007851572477e-35,4.38362685262155e-35,"Efna5/Epha3/Bcl11a/Cck/Rufy3/Dpysl5/Auts2/Epha6/Trim46/L1cam/Ntrk2/Dcc/Mark2/Dab1/Lgi1/Ptprs/Fgf13/Slit1/Cobl/Dclk1/Ntng2/Ctnna2/Sema6a/Lrrc4c/Lhx2/Cacna1a/Numb/Nfix/Lrp1/Ulk2/Foxp1/Dnm2/Robo1/Ephb2/Ncam1/Nrn1/Kif5a/Sema6d/Ntf3/Cntn6/Gap43/Mapt/Clasp2/Cttn/Dst/Dvl1/Kif5c/Syngap1/Ptprz1/Macf1/Alcam/Kalrn/Cdh11/Arhgap32/Cntnap2/Fgfr2/Slit2/Cyfip2/Ptch1/Tnr/Map1b/Ext1/Stxbp1/Epha7/Rab3a/Fn1/Nectin1/Ryk/Dbn1/Slit3/Nrcam/Fstl4/Hsp90aa1/Nova2/Tiam2/Dscam/Dscaml1/Prkca/Sema4d/Olfm1/D130043K22Rik/Ank3/Lmo4/Skil/Vcl/Gsk3b/Bmpr2/Plxna2/Ptpn11/Epha10/Ptk2/Adcy1/Snap91/Unc5c/Nptn/Plxnc1/Abl1/Chn1/Atl1/Brsk2/Shtn1/Raph1/Tubb3/Plppr4/Dixdc1/Rac3/Foxg1/Nrp2/Cdh4/Smurf1/Dag1/Ptpro/Trpc5/Wdr47/Plxna1/Nr4a3/Agrn/Map3k13/Zfyve27/Nr4a2/Pten/Aplp2/Prickle1/App/Creb1/Thy1/Map6/Ephb1/Ndel1/Efnb2/Gdi1/Scn1b/Slitrk4/Picalm/Stmn1/Slc25a46/Nrp1/Celsr3",138,34.2596311107416,0.0857142857142857,0.0258459445672505,3.31635338345865,113.617043550153,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","99/1610","306/17643",1.38581578654842e-30,7.59565632607187e-27,3.02691342851365e-27,"Asic2/Gpr158/Efna5/Homer1/Lrfn2/Ntrk2/Mark2/Nrxn1/Ptk2b/Ptprs/Ntng2/Ctnna2/Lrrk2/Numb/Frmpd4/Robo1/Ephb2/Magi2/Lrp8/Sybu/Shank2/Malat1/Grin2b/Lrrtm4/Dvl1/Cfl1/Syngap1/Ube3a/Il1rapl2/Kalrn/Slit2/Prnp/Fmr1/Epha7/Hspa8/Etv5/Clstn1/Mdga1/Nectin1/Rock1/Gpm6a/Dbn1/Rock2/Camkv/Nrcam/Nrg1/Bhlhb9/Dlg4/Sparcl1/Abi2/Stau2/Prkca/Dctn1/Pgrmc1/Sema4d/Negr1/Nrg2/Itpka/Camk2b/Gsk3b/Chd4/Tuba1a/Ptk2/Rps6ka5/Snap91/Plxnc1/Hnrnpm/Abl1/Il1rapl1/Rbmx/Cux2/Ngef/Adgrl2/Adgrb1/Zfp804a/Nrp2/Arhgap44/Cdh8/Itsn1/Dag1/Ptpro/Marcks/Tubb5/Clstn2/Mapk14/Agrn/Pten/Dlg5/App/Ephb1/Slitrk4/Dgkb/Ube2v2/Snca/Picalm/Farp1/Caprin1/Elavl2/Dtnbp1",99,26.1194346936279,0.0614906832298137,0.017343989117497,3.54535988308367,92.6027959316121,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0050807","GO:0050807","regulation of synapse organization","97/1610","298/17643",3.18091104045461e-30,1.74345734127317e-26,4.63185291855672e-27,"Asic2/Gpr158/Efna5/Homer1/Lrfn2/Ntrk2/Mark2/Nrxn1/Ptk2b/Ptprs/Ntng2/Ctnna2/Lrrk2/Numb/Frmpd4/Robo1/Ephb2/Magi2/Lrp8/Shank2/Malat1/Grin2b/Lrrtm4/Dvl1/Cfl1/Ube3a/Il1rapl2/Kalrn/Slit2/Prnp/Fmr1/Epha7/Hspa8/Etv5/Clstn1/Mdga1/Nectin1/Rock1/Gpm6a/Dbn1/Rock2/Camkv/Nrcam/Nrg1/Bhlhb9/Dlg4/Sparcl1/Abi2/Stau2/Prkca/Dctn1/Pgrmc1/Sema4d/Negr1/Nrg2/Itpka/Camk2b/Gsk3b/Chd4/Tuba1a/Ptk2/Rps6ka5/Snap91/Plxnc1/Hnrnpm/Abl1/Il1rapl1/Rbmx/Cux2/Ngef/Adgrl2/Adgrb1/Zfp804a/Nrp2/Arhgap44/Cdh8/Itsn1/Dag1/Ptpro/Marcks/Tubb5/Clstn2/Mapk14/Agrn/Pten/Dlg5/App/Ephb1/Slitrk4/Dgkb/Ube2v2/Snca/Picalm/Farp1/Caprin1/Elavl2/Dtnbp1",97,25.7585886744287,0.0602484472049689,0.0168905514935102,3.56699112093043,91.8806570893862,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","117/1610","440/17643",2.89879081037445e-27,1.58882724316624e-23,3.16578470080368e-24,"Efna5/Epha3/Bcl11a/Grip1/Rufy3/Dpysl3/Auts2/L1cam/Ntrk2/Dmd/Dcc/Mark2/Ahi1/Nrxn1/Ptk2b/Cobl/Tox/Met/Numb/Lrp1/Atp7a/Dnm2/Robo1/Ephb2/Arpc2/Rala/Magi2/Cx3cl1/Tmem30a/Lrp8/Rit2/Stmn2/Mapt/Dynlt1a/Dvl1/Cfl1/Fut9/Rapgef1/Tenm1/Ptprz1/Macf1/Kalrn/Arhgap32/Parp6/Cpeb1/Hdac4/Plppr5/Camk1d/Fmr1/Map1b/Fn1/Flna/Gpm6a/Dbn1/Nrg1/Hsp90aa1/Bhlhb9/Ccdc88a/Dlg4/Pacsin1/Abi2/Tiam2/Dscam/Stau2/Ndrg4/Rapgef2/Sema4d/Negr1/Skil/Palm/Itpka/Camk2b/Kidins220/Gsk3b/Bmpr2/Plxna2/Itpr1/Snap91/Nptn/Plxnc1/Abl1/Il1rapl1/Abl2/Cux2/Shtn1/Dixdc1/Ezh2/Zfp804a/Kdm1a/Cdh4/Smurf1/Acsl6/Nckap1/Trpc5/Marcks/Plxna1/Eps8/Agrn/Dzip1/Map3k13/Zfyve27/Sh3glb1/Dynll1/Enc1/Map6/Ndel1/Vldlr/Fez1/Gdi1/Scn1b/Iqgap1/Ube2v2/Picalm/Pias2/Caprin1/Elavl4/Nrp1",117,22.7989233220616,0.0726708074534162,0.0249390693192768,2.91393421795596,66.4345628007094,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0034329","GO:0034329","cell junction assembly","109/1610","431/17643",1.54612873372876e-23,8.47433158956733e-20,1.35082826209986e-20,"Asic2/Efna5/Epha3/Dlg1/Ntrk2/Fmn1/Nrxn1/Ptk2b/Ptprs/Fgf13/Ntng2/Cacna1a/Numb/Lrp1/Pard3/Sorbs1/Nptxr/Robo1/Ephb2/Magi2/Cdh9/Map4k4/Shank2/Gap43/Mapt/Clasp2/Smad3/Cttn/Dst/Lrrtm4/Dvl1/Cfl1/Rapgef1/Macf1/Il1rapl2/Cdh11/Cntnap2/Slit2/Gabra2/Fbf1/Epha7/Nrxn2/Nrxn3/Cdh13/Clstn1/Mdga1/Bsn/Arhgef9/Mpdz/Gpm6b/Fn1/Nectin1/Gria1/Rock1/Pcdh17/Gabrb3/Gpm6a/Rock2/Nrg1/Bhlhb9/Dlg4/Sptbn2/Abi2/Stau2/Zdhhc2/Prkca/Rapgef2/Sema4d/Negr1/Nrg2/Ptpra/Vcl/Gsk3b/Peak1/Chd4/Ptpn11/Ptk2/Hdac7/Nptn/Abl1/Il1rapl1/Cux2/Adgrl2/Cbln4/Adgrb1/Cdh8/Cdh4/Ptpro/Clstn2/Agrn/Pten/Dlg5/App/Thy1/Ephb1/Bcr/Efnb2/Slitrk4/Iqgap1/Ube2v2/Snca/Farp1/Gabra1/Tbcd/Elavl2/Srgap2/Slc25a46/Nrp1/Pip5k1a",109,19.0718945466246,0.0677018633540373,0.0244289519922916,2.77137813261086,52.8554314939758,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0016358","GO:0016358","dendrite development","90/1610","317/17643",2.40380078797935e-23,1.31752321189148e-19,1.75013566142356e-20,"Bcl11a/Grip1/Dpysl5/Ntrk2/Dab1/Ptprs/Cobl/Dclk1/Ctnna2/Met/Hecw2/D16Ertd472e/Cacna1a/Lrrk2/Numb/Atp7a/Robo1/Ephb2/Cpeb3/Sez6/Lrp8/Dynlt1a/Dvl1/Cfl1/Syngap1/Ube3a/Ptprz1/Kalrn/Cntnap2/Parp6/Camk1d/Fmr1/Map1b/Mpdz/Dbn1/Rock2/Shank1/Fstl4/Bhlhb9/Dlg4/Pacsin1/Abi2/Dscam/Stau2/Nsmf/Rapgef2/Sema4d/D130043K22Rik/Palm/Ywhah/Kndc1/Itpka/Camk2b/Kidins220/Gsk3b/Abl1/Il1rapl1/Slc12a5/Abl2/Cux2/Ngef/Rere/Cit/Ezh2/Arhgap44/Plk2/Itsn1/Trpc5/Marcks/Dgkg/Pten/Sh3glb1/Dlg5/Prickle1/Actl6b/App/Map6/Ephb1/Vldlr/Iqgap1/Picalm/Farp1/Camk2a/Pias2/Caprin1/Srgap2/Elavl4/Dtnbp1/Slc25a46/Nrp1",90,18.8802417247245,0.0559006211180124,0.0179674658504789,3.11121343339146,58.7404616796407,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099173","GO:0099173","postsynapse organization","77/1610","248/17643",9.03630590107355e-23,4.95279926437841e-19,5.63919841946695e-20,"Cnksr2/Homer1/Lrfn2/Mark2/Nrxn1/Ptk2b/Ptprs/Ntng2/Tmem108/Lrrk2/Numb/Frmpd4/Sorbs1/Nptxr/Ephb2/Magi2/Lrp8/Cpne6/Shank2/Gap43/Grin2b/Cttn/Lrrtm4/Dvl1/Cfl1/Sorbs2/Syngap1/Ube3a/Kalrn/Cntnap2/Prnp/Epha7/Nrxn2/Hspa8/Nrxn3/Etv5/Arhgef9/Dbn1/Rock2/Shank1/Nrcam/Bhlhb9/Dlg4/Sptbn2/Abi2/Stau2/Zdhhc2/Frrs1l/Itpka/Camk2b/Rps6ka5/Sh3gl2/Hnrnpm/Il1rapl1/Rbmx/Abl2/Cux2/Ngef/Shisa6/Adgrb1/Zfp804a/Rac3/Nrp2/Arhgap44/Itsn1/Marcks/Agrn/Pten/Dlg5/App/Ephb1/Insr/Dgkb/Farp1/Caprin1/Dtnbp1/Nrp1",77,18.3051492734994,0.0478260869565217,0.0140565663435924,3.40240182328191,62.2814732636017,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0007416","GO:0007416","synapse assembly","70/1610","213/17643",2.13374562704645e-22,1.16950597818416e-18,1.16513741476879e-19,"Asic2/Efna5/Ntrk2/Nrxn1/Ptk2b/Ptprs/Fgf13/Ntng2/Cacna1a/Numb/Nptxr/Robo1/Ephb2/Magi2/Cdh9/Shank2/Gap43/Mapt/Lrrtm4/Dvl1/Il1rapl2/Cntnap2/Slit2/Gabra2/Epha7/Nrxn2/Nrxn3/Clstn1/Mdga1/Bsn/Arhgef9/Nectin1/Gria1/Pcdh17/Gabrb3/Gpm6a/Nrg1/Bhlhb9/Dlg4/Sptbn2/Stau2/Zdhhc2/Prkca/Sema4d/Negr1/Nrg2/Gsk3b/Chd4/Ptk2/Nptn/Il1rapl1/Cux2/Adgrl2/Cbln4/Adgrb1/Clstn2/Agrn/Pten/Dlg5/App/Ephb1/Efnb2/Slitrk4/Ube2v2/Snca/Farp1/Gabra1/Elavl2/Srgap2/Slc25a46",70,17.9319975538585,0.0434782608695652,0.0120727767386499,3.60134721371708,64.5793494269697,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0048588","GO:0048588","developmental cell growth","80/1610","270/17643",3.64447533068164e-22,1.99753692874661e-18,1.76895586226068e-19,"Rims2/Efna5/Rasal1/Bcl11a/Rufy3/Auts2/Trim46/L1cam/Ptprs/Fgf13/Slit1/Cobl/Dclk1/Sema6a/Lhx2/Tmem108/Nfix/Lrp1/Ulk2/Foxp1/Dnm2/Robo1/Nrn1/Sema6d/Cpne6/Mapt/Clasp2/Cttn/Dvl1/Sorbs2/Camk2d/Macf1/Arhgap32/Slit2/Cyfip2/Tnr/Map1b/Ext1/Epha7/Fn1/Ryk/Syt1/Dbn1/Slit3/Fstl4/Hsp90aa1/Unc13a/Cpne5/Dscam/Sema4d/Rbm10/Olfm1/D130043K22Rik/Vcl/Gsk3b/Bmpr2/Sh3gl2/Abl1/Shtn1/Raph1/Prmt2/Kdm1a/Nrp2/Cdh4/Smurf1/Trpc5/Plxna1/Map3k13/Zfyve27/Pten/Sh3glb1/Prickle1/App/Ndel1/Itsn2/Gdi1/Iqgap1/Picalm/Akap13/Nrp1",80,17.6995051830765,0.0496894409937888,0.0153035198095562,3.24692891649413,57.4690351865688,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:1990138","GO:1990138","neuron projection extension","66/1610","200/17643",2.66550760125212e-21,1.46096471624629e-17,1.16440595212592e-18,"Rims2/Rasal1/Bcl11a/Rufy3/Auts2/Trim46/L1cam/Ptprs/Slit1/Dclk1/Sema6a/Lhx2/Tmem108/Lrp1/Ulk2/Dnm2/Robo1/Nrn1/Sema6d/Cpne6/Mapt/Clasp2/Cttn/Dvl1/Macf1/Arhgap32/Slit2/Cyfip2/Tnr/Map1b/Fn1/Ryk/Syt1/Dbn1/Slit3/Hsp90aa1/Unc13a/Cpne5/Dscam/Sema4d/Olfm1/D130043K22Rik/Vcl/Gsk3b/Bmpr2/Sh3gl2/Abl1/Shtn1/Raph1/Kdm1a/Nrp2/Cdh4/Smurf1/Trpc5/Plxna1/Map3k13/Zfyve27/Pten/Sh3glb1/Prickle1/Ndel1/Itsn2/Gdi1/Iqgap1/Picalm/Nrp1",66,16.8353602725836,0.0409937888198758,0.0113359405996713,3.61626708074534,60.8811591462318,"L23ExcitatoryNeurons","24hrvs1hr_PTZ"
