"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","44/517","440/17643",1.13334763351159e-12,4.72492628410982e-09,4.08720946569548e-09,"Camk1d/Cdh4/Zmynd8/Zeb2/Il1rapl1/Parp6/Ptn/Ntrk2/Shoc2/Nin/Entr1/Tenm1/Sgk1/Cbfa2t2/Epha4/Fyn/Dpysl3/Apc/Plxna4/Cnr1/Nrg1/Mapt/Atp8a2/Ephb2/Hsp90aa1/Rufy3/Ptprf/Mtor/L1cam/Cobl/Stmn2/Zfp804a/Efna5/Dscam/Caprin1/Fez1/Carmil1/Trpc5/Dixdc1/Dlg4/Ptprd/Itpr1/Cfl1/Arsb",44,8.32560496274288,0.0851063829787234,0.0249390693192768,3.41257253384913,28.4117308235344,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0007409","GO:0007409","axonogenesis","44/517","456/17643",3.83704673418875e-12,1.59966478348329e-08,6.91880111122666e-09,"Nfib/Unc5c/Cdh4/Ntng1/Chl1/Dpysl5/Cntnap2/Mapk8ip3/Cdh2/Tbce/Unc5d/Zeb2/Lmo4/Enah/Ntrk2/Actb/Prkg1/Nin/Epha4/Apc/Plxna4/Mapt/Atp8a2/Ephb2/Ndn/Nlgn3/Hsp90aa1/Prkca/Rufy3/Actg1/Ncam1/L1cam/Cobl/Lrrc4c/Ptprs/Efna5/Dscam/Trpc5/Kif13b/Dixdc1/Nfix/Stmn1/Lgi1/Ablim1",44,7.79597101605415,0.0851063829787234,0.0258459445672505,3.29283314669653,25.6708317723485,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","25/517","192/17643",4.27737316669149e-10,1.78323687319368e-06,5.1418527961702e-07,"Cdh4/Igsf21/Ntng1/Nectin3/Pcdh15/Cdh20/Cdh12/Cxadr/Cdh2/Unc5d/Il1rapl1/Wnk1/Tenm1/Cdh6/Nrg1/Cdh18/Fat3/Ptprf/Map2k5/L1cam/Lrrc4c/Ptprs/Efna5/Dscam/Ptprd",25,5.74879096423454,0.0483558994197292,0.0108825029756844,4.44345382011605,25.5444871710766,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0016358","GO:0016358","dendrite development","32/517","317/17643",1.19190379625807e-09,4.96904692659989e-06,1.07459536999477e-06,"Camk1d/Dpysl5/Cntnap2/Zmynd8/Il1rapl1/Parp6/Ptn/Ntrk2/Prkg1/Sgk1/Epha4/Nr3c1/Fyn/Nsmf/Ephb2/Nlgn3/Fat3/Ptprf/Mtor/Actl6b/Cobl/Sdk1/Ptprs/Hecw1/Dscam/Caprin1/Trpc5/Dlg4/Ptprd/Sez6/Cfl1/Plk2",32,5.30372690185234,0.0618955512572534,0.0179674658504789,3.44486817297073,18.2706400023198,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0042391","GO:0042391","regulation of membrane potential","39/517","455/17643",2.14606554370047e-09,8.94694725168728e-06,1.54787801109849e-06,"Cacna1d/Celf4/Pex5l/Fgf14/Rims2/Kcnh5/Prkn/Cntnap2/Oga/Nalcn/Cxadr/Zmynd8/Cacnb4/Ubb/Kcnh7/Gabra3/Ptn/Hnrnpa1/Ntrk2/Kcnip2/Tmem135/Cnr1/Calm3/Mapt/Nlgn3/Mtor/Kcnd2/Cacna1h/Ryr2/Kcnh1/Trpc5/Kcnd3/Dlg4/Sez6/Usp53/Kcnmb4/Slc4a8/Plk2/Pank2",39,5.04832512310922,0.0754352030947776,0.0257892648642521,2.92506217187068,14.7666648489112,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0048588","GO:0048588","developmental cell growth","28/517","270/17643",7.29257975103993e-09,3.04027649820855e-05,4.3832242503619e-06,"Cdh4/Rims2/Sh3gl2/Prkn/Zeb2/Ctnnb1/Prkg1/Nin/Nr3c1/Plxna4/Mapt/Ndn/Slc25a4/Nlgn3/Hsp90aa1/Rufy3/Sorbs2/Mtor/Slc23a2/L1cam/Cobl/Ptprs/Efna5/Dscam/Ddx39b/Trpc5/Nfix/Cpne6",28,4.51708691764597,0.0541586073500967,0.0153035198095562,3.53896410917688,15.9858084795815,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0050773","GO:0050773","regulation of dendrite development","19/517","138/17643",2.16055998488283e-08,9.00737457697651e-05,1.11309451251257e-05,"Camk1d/Dpysl5/Il1rapl1/Parp6/Ptn/Ntrk2/Sgk1/Epha4/Nsmf/Ephb2/Fat3/Ptprf/Cobl/Hecw1/Caprin1/Trpc5/Dlg4/Ptprd/Sez6",19,4.04540177648891,0.0367504835589942,0.00782179901377317,4.69846943066185,19.0071965815783,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0007626","GO:0007626","locomotory behavior","25/517","250/17643",9.5813734671037e-08,0.000399447459843553,4.31918230240754e-05,"Npas3/Cacna1b/Fgf14/Prkn/Chl1/Cntnap2/Pcdh15/Cacnb4/Tbce/Clcn3/Slc1a1/Epha4/Nrg1/Mapt/Mtor/Kcnd2/Sez6l2/Dscam/Pbx3/Dlg4/Abhd12/Pum1/Sez6/Sobp/Rcan2",25,3.39854033625137,0.0483558994197292,0.0141699257495891,3.41257253384913,11.5977654066698,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","26/517","273/17643",1.41006141817752e-07,0.000587854605238207,5.65014084055693e-05,"Cdh4/Rims2/Sh3gl2/Prkn/Kif26b/Zeb2/Ctnnb1/Prkg1/Nin/Plxna4/Mapt/Ndn/Nlgn3/Hsp90aa1/Rufy3/Slc23a2/L1cam/Cobl/Ptprs/Fmn1/Efna5/Dscam/Trpc5/Nfix/Cfl1/Cpne6",26,3.23073007520083,0.0502901353965184,0.0154735589185513,3.25006907985631,10.5000959227721,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0010720","GO:0010720","positive regulation of cell development","37/517","494/17643",1.86066430187398e-07,0.000775710947451261,6.71014305075815e-05,"Cdh4/Zeb2/Il1rapl1/Ctnnb1/Parp6/Ptn/Ntrk2/Rfx3/Actb/Nin/Sgk1/Epha4/Asxl2/Plxna4/Nrg1/Mapt/Ephb2/Gnas/Hsp90aa1/Prkca/Rufy3/Ptprf/Mtor/Actl6b/L1cam/Akap11/Efna5/Dscam/Dicer1/Caprin1/Trpc5/Dixdc1/Cdon/Dlg4/Ptprd/Atp11c/Zfp609",37,3.11030007940263,0.0715667311411992,0.027999773281188,2.5559753796036,7.94985042613225,"L45ExcitatoryNeurons","PTZvsSAL_1hr"
