"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0050807","GO:0050807","regulation of synapse organization","63/1071","298/17643",1.36466485584309e-18,6.87108754916997e-15,5.69855314013637e-15,"Tuba1a/Tubb5/Ptprt/Marcks/Grid1/Ephb2/Hspa8/Cfl1/Hnrnpk/Fyn/Ephb1/Nrcam/Cntnap4/Ntrk3/Lrrtm3/Cask/Eef2k/Flrt2/Srcin1/Prnp/Lrfn2/Pak3/Lingo2/Magi2/Clstn1/Ywhaz/Clstn3/Agrn/Pik3r1/Cdc42/Epha4/Ncan/Sema4d/Kif1a/Pgrmc1/Ptprs/Snca/Nlgn2/Nrg2/Adgrb2/Ptprf/Dctn1/Setd5/Slitrk1/Chd4/Rapgef4/Camk1/Mef2c/Actr3/Lrrc4b/Psd/Caprin1/Ctnnb1/Plxnc1/Asap1/Abi2/Dbn1/Epha7/Vps35/Rps6ka5/Ptk2b/Eif4g1/Mapk14",63,14.1629745177843,0.0588235294117647,0.0168905514935102,3.48262929332807,49.3243899362948,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","63/1071","306/17643",5.53018186494687e-18,2.78444656900075e-14,1.15464376096022e-14,"Tuba1a/Tubb5/Ptprt/Marcks/Grid1/Ephb2/Hspa8/Cfl1/Hnrnpk/Fyn/Ephb1/Nrcam/Cntnap4/Ntrk3/Lrrtm3/Cask/Eef2k/Flrt2/Srcin1/Prnp/Lrfn2/Pak3/Lingo2/Magi2/Clstn1/Ywhaz/Clstn3/Agrn/Pik3r1/Cdc42/Epha4/Ncan/Sema4d/Kif1a/Pgrmc1/Ptprs/Snca/Nlgn2/Nrg2/Adgrb2/Ptprf/Dctn1/Setd5/Slitrk1/Chd4/Rapgef4/Camk1/Mef2c/Actr3/Lrrc4b/Psd/Caprin1/Ctnnb1/Plxnc1/Asap1/Abi2/Dbn1/Epha7/Vps35/Rps6ka5/Ptk2b/Eif4g1/Mapk14",63,13.5552611114107,0.0588235294117647,0.017343989117497,3.39158016147636,45.9737546690925,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0099173","GO:0099173","postsynapse organization","54/1071","248/17643",1.06480305191967e-16,5.36128336641555e-13,1.482131125251e-13,"Actb/Marcks/Grid1/Ephb2/Hspa8/Cfl1/Hnrnpk/Fyn/Ephb1/Nrcam/Gap43/Ntrk3/Cask/Nrp1/Eef2k/Dip2a/Srcin1/Prnp/Lrfn2/Pak3/Magi2/Nrxn3/Grin2a/Arhgef7/Igf1r/Agrn/Cdc42/Epha4/Shank1/Ophn1/Ncan/Kif1a/Shisa7/Ptprs/Frrs1l/Nlgn2/Ptprf/Stk38/Rapgef4/Actr3/Lrrc4b/Psd/Caprin1/Asap1/Cntnap2/Abi2/Dbn1/Cnksr2/Epha7/Vps35/Rps6ka5/Ptk2b/Arhgap39/Rph3a",54,12.2707312378748,0.0504201680672269,0.0140565663435924,3.58694768229873,44.0144709738056,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0007409","GO:0007409","axonogenesis","75/1071","456/17643",1.89420577102943e-15,9.53732605713317e-12,1.77148792109465e-12,"Actb/Tubb2b/Hsp90aa1/Actg1/Hsp90ab1/Ptprz1/Neo1/Stmn1/Uchl1/Ephb2/Tubb3/Ndn/Unc5c/Zeb2/Ephb1/Nrcam/Gap43/Atp8a2/Auts2/Ttc3/Ntrk3/Ank3/Nrp1/Unc5d/Epha6/Cobl/Flrt2/Chl1/Pak3/Pip5k1c/Pak2/Cntn5/Islr2/L1cam/Igf1r/Agrn/Gdi1/Epha4/Sema4d/Map6/Foxg1/Ptprs/Pak1/Aplp1/Kif5b/Arhgap32/Fgfr2/Stk25/Kif5a/Nr4a2/Slit3/Prickle1/Cacna1a/Slitrk1/Kif13b/Brsk2/Mef2c/Actr3/Plxna3/Ep300/Plxnc1/Rab10/Wdr36/Map3k13/Eif4g2/Slc25a46/Cntnap2/Rufy3/Dbn1/Epha7/Alcam/Lgi1/Olfm1/Dcc/Map2k1",75,11.0205733696783,0.0700280112044818,0.0258459445672505,2.7094390387734,29.859571717473,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0016358","GO:0016358","dendrite development","60/1071","317/17643",2.12114132220812e-15,1.06799465573179e-11,1.77148792109465e-12,"Marcks/Ptprz1/Ephb2/Cfl1/Hnrnpk/Fyn/Sgk1/Ephb1/Csmd3/Cask/Nrp1/Eef2k/Spire1/Dip2a/Tbc1d24/Hecw2/Cobl/Srcin1/Pak3/Abi1/Mark1/Pak2/Elavl4/Cdc42/Palm/Epha4/Shank1/Sema4d/Kif1a/Map6/Ptprs/Pak1/Nlgn2/Ptprf/Prickle1/Hecw1/Cacna1a/Rapgef4/Iqgap1/Camk1/Pbrm1/Mef2c/Actr3/Tet1/Mtor/Nck2/Caprin1/Pacsin1/Eif4g2/Asap1/Celsr2/Slc25a46/Cntnap2/Abi2/Dbn1/Vldlr/Nsmf/Sez6/Actl6b/Ppp3ca",60,10.9714309205209,0.0560224089635854,0.0179674658504789,3.11799167616573,34.2088302858117,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","72/1071","440/17643",9.26859421692578e-15,4.66673718822213e-11,6.45061636114817e-12,"Tubb2b/Marcks/Hsp90aa1/Ptprz1/Ephb2/Cfl1/Hnrnpk/Zeb2/Fyn/Sgk1/Stmn2/Atp8a2/Dpysl3/Enc1/Auts2/Ntrk3/Ahi1/Cask/Nrp1/Lrrc7/Eef2k/Tbc1d24/Cobl/Pak3/Nckap1/Magi2/Elavl4/Rapgef1/Islr2/L1cam/Igf1r/Agrn/Pik3r1/Gdi1/Entr1/Cdc42/Dynll1/Palm/Epha4/Sema4d/Coro1c/Map6/Flna/Pak1/Arhgap32/Stk25/Serpini1/Tmem30a/Ptprf/Slitrk1/Iqgap1/Camk1/Actr3/Kif3c/Plxna3/Mtor/Shoc2/Caprin1/Pacsin1/Ep300/Plxnc1/Map3k13/Eif4g2/Abi2/Rufy3/Ndrg4/Dbn1/Prkci/Ptk2b/Vldlr/Dcc/Map2k1",72,10.3309866561362,0.0672268907563025,0.0249390693192768,2.69564553093965,27.8486780098107,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0007416","GO:0007416","synapse assembly","42/1071","213/17643",8.94961409955555e-12,4.50613069912622e-08,5.33881490720855e-09,"Kirrel3/Ephb2/Ephb1/Gap43/Cdh9/Ntrk3/Lrrtm3/Eef2k/Flrt2/Srcin1/Lingo2/Magi2/Sdk2/Cntn5/Clstn1/Nrxn3/Clstn3/Agrn/Pik3r1/Sema4d/Sdcbp/Ptprs/Snca/Nlgn2/Nrg2/Adgrb2/Setd5/Cacna1a/Slitrk1/Chd4/Gria1/Mef2c/Actr3/Lrrc4b/Psd/Ctnnb1/Slc25a46/Cntnap2/Epha7/Vps35/Ptk2b/Eif4g1",42,7.3461962158332,0.0392156862745098,0.0120727767386499,3.24827395747031,23.8624578543579,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0060996","GO:0060996","dendritic spine development","32/1071","133/17643",1.16671018960563e-11,5.87438580466436e-08,6.08992016074413e-09,"Marcks/Ephb2/Cfl1/Hnrnpk/Ephb1/Cask/Eef2k/Spire1/Dip2a/Srcin1/Pak3/Pak2/Cdc42/Palm/Epha4/Shank1/Kif1a/Ptprs/Pak1/Nlgn2/Camk1/Pbrm1/Mef2c/Actr3/Mtor/Nck2/Caprin1/Eif4g2/Asap1/Cntnap2/Abi2/Dbn1",32,7.23103753426289,0.0298786181139122,0.00753840049878139,3.96352225100567,28.6603781649081,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0099175","GO:0099175","regulation of postsynapse organization","32/1071","138/17643",3.32526693261125e-11,1.67427190056976e-07,1.5428460727098e-08,"Marcks/Grid1/Ephb2/Hspa8/Cfl1/Hnrnpk/Fyn/Nrcam/Cask/Eef2k/Srcin1/Prnp/Lrfn2/Pak3/Cdc42/Epha4/Ncan/Kif1a/Ptprs/Ptprf/Rapgef4/Actr3/Lrrc4b/Psd/Caprin1/Asap1/Abi2/Dbn1/Epha7/Vps35/Rps6ka5/Ptk2b",32,6.77617401149921,0.0298786181139122,0.00782179901377317,3.81991637234604,25.8844180483916,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:1903829","GO:1903829","positive regulation of protein localization","69/1071","492/17643",5.58141070560515e-11,2.81024029027219e-07,2.33067960727744e-08,"Hsp90aa1/Hsp90ab1/Cacnb4/Ephb2/Cfl1/Hnrnpk/Ubr5/Fyn/Ywhae/Ppia/Ppp3cb/Cep295/Ank3/Cask/Cacna1d/Oga/Prnp/Ice1/Fermt2/Gnas/Tmem132a/Prkar1a/Clstn3/Mtcl1/Pik3r1/Entr1/Cdc42/Dynll1/Kif3a/Cct4/Flna/Pgrmc1/Pak1/Kif5b/Snca/Clip3/Tmem30a/Nlgn2/Limk2/Tfrc/Rapgef4/Iqgap1/Camk1/Adam22/Kcnb1/Mcu/Actr3/Atp13a2/Agap2/Asph/Ctdspl2/Prkcz/Tomm70a/Ep300/Oxct1/Syt11/Rufy3/Cacna1c/Camk4/Gnai1/Pik3ca/Vps35/Prkci/Prkcb/Myo18a/Gnl3l/Eif4g1/Mapk14/Ipo5",69,6.55125654405306,0.0644257703081232,0.0278864138751913,2.31029240964679,15.1353182673746,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0034329","GO:0034329","cell junction assembly","62/1071","431/17643",1.90427864537106e-10,9.5880429794433e-07,7.22896974754737e-08,"Actb/Kirrel3/Actg1/Ephb2/Cfl1/Cdh10/Ephb1/Gap43/Ptprk/Cdh9/Ntrk3/Lrrtm3/Nrp1/Eef2k/Flrt2/Srcin1/Lingo2/Fermt2/Peak1/Magi2/Sdk2/Pak2/Cntn5/Clstn1/Nrxn3/Rapgef1/Clstn3/Vmp1/Agrn/Pik3r1/Cdc42/Ophn1/Sema4d/Sdcbp/Coro1c/Ptprs/Snca/Nlgn2/Jam3/Nrg2/Adgrb2/Pip5k1a/Limch1/Setd5/Cacna1a/Slitrk1/Chd4/Gria1/Iqgap1/Mef2c/Actr3/Lrrc4b/Psd/Ctnnb1/Ptprj/Slc25a46/Cntnap2/Abi2/Epha7/Vps35/Ptk2b/Eif4g1",62,6.01827002786187,0.057889822595705,0.0244289519922916,2.36972190268219,14.26162630128,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
