"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0050807","GO:0050807","regulation of synapse organization","29/570","298/17643",1.35473199712935e-07,0.000583347597963897,0.00021608871918435,"Tuba1a/Tubb5/Hspa8/Cfl1/Hnrnpk/Camkv/Ywhaz/Sparcl1/Camk2b/Grid2/Agrn/Rbmx/Chd4/Lrfn5/Nrg2/Marcks/App/Clstn1/Psd/Stau2/Pak3/Gpm6a/Cdh2/Gripap1/Epha4/Abi2/Nlgn3/Prnp/Clstn3",29,3.23407258607692,0.0508771929824561,0.0168905514935102,3.01216884493112,9.74157268602671,"MGE","24hrvs1hr_SAL"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","29/570","306/17643",2.38264257879341e-07,0.00102596589442844,0.00021608871918435,"Tuba1a/Tubb5/Hspa8/Cfl1/Hnrnpk/Camkv/Ywhaz/Sparcl1/Camk2b/Grid2/Agrn/Rbmx/Chd4/Lrfn5/Nrg2/Marcks/App/Clstn1/Psd/Stau2/Pak3/Gpm6a/Cdh2/Gripap1/Epha4/Abi2/Nlgn3/Prnp/Clstn3",29,2.98886707597637,0.0508771929824561,0.017343989117497,2.93341933264534,8.76760046337622,"MGE","24hrvs1hr_SAL"
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","18/570","132/17643",2.52657265228697e-07,0.00108794218407477,0.00021608871918435,"Hsp90aa1/Nbea/Nsg1/Ap2a2/Sst/Caly/Prkn/Clstn1/Cacng2/Erbin/Gripap1/Pacsin1/Ctnnd1/Ywhae/Cacng8/Slc9a6/Erbb4/Myo6",18,2.96339418350223,0.0315789473684211,0.00748172079578303,4.22081339712919,12.5079338707009,"MGE","24hrvs1hr_SAL"
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","27/570","273/17643",2.65189730761463e-07,0.00114190698065886,0.00021608871918435,"Hsp90aa1/Hsp90ab1/Cfl1/Slit3/Hnrnpk/Dnm2/Cadm1/Wasf1/Sema3c/Dscam/App/Fgf1/Pum2/Gdi1/Prkn/Syt4/Prickle1/Nrp1/Rufy3/Eif4g2/Ryk/Olfm1/Slc9a6/Slc23a2/Ppp2r3a/Nlgn3/Clstn3",27,2.94236927212512,0.0473684210526316,0.0154735589185513,3.06124927703875,9.00732580707407,"MGE","24hrvs1hr_SAL"
"GO:0007409","GO:0007409","axonogenesis","37/570","456/17643",2.85672534407365e-07,0.00123010593315811,0.00021608871918435,"Actb/Tubb2b/Actg1/Hsp90aa1/Hsp90ab1/Uchl1/Tubb3/Slit3/Dnm2/Agrn/Sema3c/Stmn1/Dscam/Nfib/App/Brsk2/Cacna1a/Gdi1/Slc25a46/Lrrc4c/Prickle1/Pak3/Nrp1/Dscaml1/Cdh2/Zdhhc17/Bsg/Rufy3/Eif4g2/Ryk/Olfm1/Epha4/Ablim1/Epha5/Slc9a6/Aplp1/Nlgn3",37,2.91005748676792,0.0649122807017544,0.0258459445672505,2.51150738688827,7.30863087428715,"MGE","24hrvs1hr_SAL"
"GO:0006605","GO:0006605","protein targeting","27/570","285/17643",6.24842669525483e-07,0.00269057253497673,0.000393870124842993,"Hspa8/Hsp90aa1/Ywhab/Nbea/Ywhaz/Zdhhc20/Gdi1/Ywhag/Pex5l/Arpc2/Tomm70a/Cacng2/Vps13d/Immp1l/Hps4/Erbin/Dnajc19/Ywhae/Ywhaq/Synj2bp/Pard3/Sec62/Myo6/Kcnq3/Kcnb1/Prnp/Oga",27,2.57015529534188,0.0473684210526316,0.0161537153545315,2.93235457063712,7.53660662754297,"MGE","24hrvs1hr_SAL"
"GO:0048588","GO:0048588","developmental cell growth","26/570","270/17643",7.38135864297832e-07,0.00317841303166647,0.00039881536246949,"Hsp90aa1/Hsp90ab1/Slit3/Slc25a4/Hnrnpk/Dnm2/Wasf1/Sema3c/Mtor/Dscam/App/Pum2/Gdi1/Prkn/Syt4/Prickle1/Nrp1/Tomm70a/Rufy3/Eif4g2/Ryk/Olfm1/Slc9a6/Slc23a2/Nlgn3/Clstn3",26,2.49778966731802,0.0456140350877193,0.0153035198095562,2.98062378167641,7.44497128403372,"MGE","24hrvs1hr_SAL"
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","25/570","262/17643",1.42458273170468e-06,0.00613425324272035,0.00059865798304268,"Actb/Cfl1/Ndufa4/Calm1/Slc25a4/Calm2/Atp1b1/Cacna1d/Dnm2/Agrn/Cacnb2/Taco1/App/Cacna1a/Ahcyl1/Kcnc1/Dapk1/Cacng2/Ywhae/Cacng8/Rph3a/Grin2a/Nlgn3/Prnp/Prrt1",25,2.21223829883841,0.043859649122807,0.0148500821855693,2.95349537967055,6.53383559434947,"MGE","24hrvs1hr_SAL"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","25/570","262/17643",1.42458273170468e-06,0.00613425324272035,0.00059865798304268,"Actb/Actg1/Nsg1/Dnajc6/Dnm2/Atp6v1a/Ap2a2/Caly/Cltc/Cacna1a/Prkn/Syt4/Clstn1/Rap1b/Trim9/Ap3s1/Cdh2/Gripap1/Amph/Clcn3/Pacsin1/Rph3a/Myo6/Nlgn3/Diaph1",25,2.21223829883841,0.043859649122807,0.0148500821855693,2.95349537967055,6.53383559434947,"MGE","24hrvs1hr_SAL"
"GO:0099173","GO:0099173","postsynapse organization","24/570","248/17643",1.80002129452592e-06,0.00775089169422862,0.000680787001182278,"Actb/Hspa8/Cfl1/Hnrnpk/Camk2b/Grid2/Agrn/Cadm1/Rbmx/Marcks/App/Psd/Stau2/Pak3/Nrp1/Cdh2/Epha4/Epha5/Abl2/Rph3a/Grin2a/Abi2/Nlgn3/Prnp",24,2.110648331609,0.0421052631578947,0.0140565663435924,2.99541595925297,6.32226969687227,"MGE","24hrvs1hr_SAL"
"GO:1990138","GO:1990138","neuron projection extension","21/570","200/17643",2.17267831270831e-06,0.00935555281452198,0.000747027098331192,"Hsp90aa1/Hsp90ab1/Slit3/Hnrnpk/Dnm2/Wasf1/Sema3c/Dscam/Gdi1/Prkn/Syt4/Prickle1/Nrp1/Rufy3/Eif4g2/Ryk/Olfm1/Slc9a6/Slc23a2/Nlgn3/Clstn3",21,2.02893054518128,0.0368421052631579,0.0113359405996713,3.25002631578947,6.59407766474825,"MGE","24hrvs1hr_SAL"
