"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0016358","GO:0016358","dendrite development","19/179","317/17643",5.80150853466466e-10,1.5327585548584e-06,1.38686588233931e-06,"Ptprd/Numb/Csmd3/Cux1/Epha5/Map6/Dbn1/Nck2/Ntrk2/Igsf9/Hnrnpk/Il1rapl1/Rbfox2/Lrp8/Hecw1/Robo1/Pias2/Klhl1/Grip1",19,5.81452625124547,0.106145251396648,0.0179674658504789,5.90763618419893,34.3501056758323,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0050773","GO:0050773","regulation of dendrite development","12/179","138/17643",1.64943729341504e-08,4.35781332920254e-05,1.91329215022181e-05,"Ptprd/Numb/Csmd3/Cux1/Dbn1/Ntrk2/Il1rapl1/Lrp8/Hecw1/Robo1/Pias2/Grip1",12,4.36073137708049,0.0670391061452514,0.00782179901377317,8.57080398348312,37.3749738575813,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0010770","GO:0010770","positive regulation of cell morphogenesis","9/179","67/17643",2.40109318720042e-08,6.34368820058352e-05,1.91329215022181e-05,"Ptprd/Numb/Cux1/Dbn1/Mapk9/Il1rapl1/Lrp8/Pias2/Grip1",9,4.19765817122857,0.0502793296089385,0.00379754010088987,13.2399733177687,55.57688218418,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0048814","GO:0048814","regulation of dendrite morphogenesis","10/179","96/17643",4.77028835820723e-08,0.000126031018423835,2.85087496354964e-05,"Ptprd/Numb/Cux1/Dbn1/Il1rapl1/Lrp8/Hecw1/Robo1/Pias2/Grip1",10,3.89952255430757,0.0558659217877095,0.0054412514878422,10.2671089385475,40.0368228733988,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0048813","GO:0048813","dendrite morphogenesis","13/179","187/17643",6.0288534976473e-08,0.000159282309407842,2.88242658803306e-05,"Ptprd/Numb/Cux1/Epha5/Map6/Dbn1/Il1rapl1/Rbfox2/Lrp8/Hecw1/Robo1/Pias2/Grip1",13,3.79783245617118,0.0726256983240224,0.0105991044606926,6.85205986914827,26.0229753626794,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0007409","GO:0007409","axonogenesis","19/179","456/17643",2.03823760059146e-07,0.000538502374076264,8.12076770340914e-05,"Tubb2b/Hsp90ab1/Tenm2/Smurf1/Numb/Actb/Epha5/Actg1/Map6/Dbn1/Ntrk2/Lrp1/Lhx1/Ephb6/Nrn1/Chn1/Ank3/Robo1/Nfix",19,3.26881237770314,0.106145251396648,0.0258459445672505,4.10684357541899,13.4245011126202,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0050775","GO:0050775","positive regulation of dendrite morphogenesis","8/179","64/17643",2.61746102929685e-07,0.000691533203940228,8.93872781583933e-05,"Ptprd/Numb/Cux1/Dbn1/Il1rapl1/Lrp8/Pias2/Grip1",8,3.16018696242117,0.0446927374301676,0.0036275009918948,12.320530726257,38.9351805712267,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0050807","GO:0050807","regulation of synapse organization","15/179","298/17643",3.95438733283336e-07,0.00104474913333457,0.000118163337274534,"Tuba1a/Grin2b/Ptprd/Numb/Dbn1/Lrfn5/Hnrnpm/Ntrk2/Igsf9/Cntnap4/Hnrnpk/Il1rapl1/Tubb5/Lrp8/Robo1",15,2.98098798045059,0.0837988826815642,0.0168905514935102,4.96128754077462,14.7895385266084,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","15/179","306/17643",5.53658549780076e-07,0.00146276588851896,0.000135633852719459,"Tuba1a/Grin2b/Ptprd/Numb/Dbn1/Lrfn5/Hnrnpm/Ntrk2/Igsf9/Cntnap4/Hnrnpk/Il1rapl1/Tubb5/Lrp8/Robo1",15,2.83482517589806,0.0837988826815642,0.017343989117497,4.83158067696352,13.6966865424388,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","18/179","440/17643",5.67380713709759e-07,0.00149901984562118,0.000135633852719459,"Tubb2b/Smurf1/Ptprd/Numb/Cux1/Map6/Dbn1/Ntrk2/Lrrc7/Lrp1/Nckap1/Scarb2/Hnrnpk/Il1rapl1/Lrp8/Robo1/Pias2/Grip1",18,2.82419261746078,0.100558659217877,0.0249390693192768,4.03217369222956,11.3876351739143,"NdnfRelnInhibitoryInterneurons","24hrvs1hr_SAL"
