"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0030900","GO:0030900",1,"GO:0030900",8.28793911773625,425,"forebrain development","forebrain development",0.755318181818182,0.439,0
"GO:0050807","GO:0050807",2,"GO:0050807",6.7636422833309,309,"regulation of synapse organization","regulation of synapse organization",0.817159090909091,0.5025,0
"GO:0007409","GO:0007409",3,"GO:0007409",6.73352673586572,501,"axonogenesis","axonogenesis",0.648113636363636,0.330166666666667,0
"GO:0050803","GO:0050803",2,"GO:0050807",6.49278783959393,317,"regulation of synapse structure or activity","regulation of synapse organization",0.947636363636364,0.5025,0.995
"GO:0099173","GO:0099173",4,"GO:0099173",6.35677963536209,252,"postsynapse organization","postsynapse organization",0.880090909090909,0.459333333333333,0
"GO:0034329","GO:0034329",4,"GO:0099173",4.33039747832681,481,"cell junction assembly","postsynapse organization",0.874590909090909,0.416,0.804
"GO:0050890","GO:0050890",5,"GO:0050890",4.0817323525192,371,"cognition","cognition",0.883363636363636,0.506,0
"GO:0021953","GO:0021953",1,"GO:0030900",3.74140714041707,212,"central nervous system neuron differentiation","forebrain development",0.747022727272727,0.517666666666667,0.742
"GO:0048638","GO:0048638",6,"GO:0048638",3.58494704591421,405,"regulation of developmental growth","regulation of developmental growth",0.815181818181818,0.602,0
"GO:0010720","GO:0010720",7,"GO:0010720",3.54271412249488,560,"positive regulation of cell development","positive regulation of cell development",0.741727272727273,0.3645,0
"GO:0071407","GO:0071407",8,"GO:0071407",3.28969740517658,589,"cellular response to organic cyclic compound","cellular response to organic cyclic compound",0.970954545454545,0.6575,0
"GO:0021537","GO:0021537",1,"GO:0030900",3.16578958580713,281,"telencephalon development","forebrain development",0.767,0.451333333333333,0.941
"GO:0007611","GO:0007611",5,"GO:0050890",3.13854973656694,331,"learning or memory","cognition",0.884272727272727,0.506,0.988
"GO:0006898","GO:0006898",9,"GO:0006898",2.83095938143225,272,"receptor-mediated endocytosis","receptor-mediated endocytosis",0.945704545454545,0.5915,0
"GO:0008037","GO:0008037",10,"GO:0008037",2.73498721674633,160,"cell recognition","cell recognition",0.967113636363636,0.5445,0
"GO:0001525","GO:0001525",11,"GO:0001525",2.58502234331185,561,"angiogenesis","angiogenesis",0.792477272727273,0.6435,0
"GO:1902430","GO:1902430",12,"GO:1902430",2.44234581950672,19,"negative regulation of amyloid-beta formation","negative regulation of amyloid-beta formation",0.946818181818182,0.511,0
"GO:0051962","GO:0051962",7,"GO:0010720",2.39976010336127,391,"positive regulation of nervous system development","positive regulation of cell development",0.715204545454545,0.33925,0.737
"GO:0003007","GO:0003007",11,"GO:0001525",2.35997089812778,294,"heart morphogenesis","angiogenesis",0.791272727272727,0.6435,0.713
"GO:0016358","GO:0016358",3,"GO:0007409",2.33064505512275,327,"dendrite development","axonogenesis",0.678022727272727,0.377166666666667,0.762
"GO:0097485","GO:0097485",3,"GO:0007409",2.30229273317819,252,"neuron projection guidance","axonogenesis",0.666136363636364,0.3445,0.859
"GO:0007411","GO:0007411",3,"GO:0007409",2.30229273317819,252,"axon guidance","axonogenesis",0.664931818181818,0.331,0.927
"GO:0042886","GO:0042886",13,"GO:0042886",2.25376097984438,432,"amide transport","amide transport",0.962227272727273,0.7175,0
"GO:0030100","GO:0030100",9,"GO:0006898",2.23857572390881,344,"regulation of endocytosis","receptor-mediated endocytosis",0.829590909090909,0.5915,0.817
"GO:0050767","GO:0050767",7,"GO:0010720",2.21474918402726,494,"regulation of neurogenesis","positive regulation of cell development",0.688454545454545,0.31525,0.861
"GO:0035264","GO:0035264",6,"GO:0048638",2.16878432164891,230,"multicellular organism growth","regulation of developmental growth",0.867431818181818,0.602,0.796
"GO:0071396","GO:0071396",8,"GO:0071407",2.0392131905337,696,"cellular response to lipid","cellular response to organic cyclic compound",0.970886363636364,0.6575,0.685
"GO:0050769","GO:0050769",7,"GO:0010720",2.030948265421,329,"positive regulation of neurogenesis","positive regulation of cell development",0.691909090909091,0.2815,0.944
"GO:0043113","GO:0043113",14,"GO:0043113",2.02105126087683,75,"receptor clustering","receptor clustering",0.9615,1,0
