"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",10.7482131508971,501,"axonogenesis","axonogenesis",0.626692307692308,0.300909090909091,0
"GO:0031345","GO:0031345",1,"GO:0007409",9.80087224735779,221,"negative regulation of cell projection organization","axonogenesis",0.682512820512821,0.358727272727273,0.644
"GO:0050807","GO:0050807",2,"GO:0050807",8.89778273065506,309,"regulation of synapse organization","regulation of synapse organization",0.627,0.490333333333333,0
"GO:0050803","GO:0050803",2,"GO:0050807",8.61413905452991,317,"regulation of synapse structure or activity","regulation of synapse organization",0.842128205128205,0.49,0.995
"GO:0010977","GO:0010977",1,"GO:0007409",7.7440607438559,165,"negative regulation of neuron projection development","axonogenesis",0.618794871794872,0.317454545454545,0.72
"GO:0031346","GO:0031346",1,"GO:0007409",6.2201196944684,463,"positive regulation of cell projection organization","axonogenesis",0.662410256410256,0.335181818181818,0.687
"GO:0097485","GO:0097485",1,"GO:0007409",5.96353097624405,252,"neuron projection guidance","axonogenesis",0.647410256410256,0.336636363636364,0.859
"GO:0007411","GO:0007411",1,"GO:0007409",5.96353097624405,252,"axon guidance","axonogenesis",0.643333333333333,0.321,0.927
"GO:0010976","GO:0010976",1,"GO:0007409",4.86530537768434,239,"positive regulation of neuron projection development","axonogenesis",0.612384615384615,0.319636363636364,0.729
"GO:0099003","GO:0099003",3,"GO:0099003",4.65731845620861,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.928666666666667,0.509,0
"GO:0007626","GO:0007626",4,"GO:0007626",4.27889944730242,273,"locomotory behavior","locomotory behavior",0.921564102564103,1,0
"GO:0099504","GO:0099504",3,"GO:0099003",3.64160074708807,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.929384615384615,0.509,0.982
"GO:0099173","GO:0099173",5,"GO:0099173",3.61592151964492,252,"postsynapse organization","postsynapse organization",0.753692307692308,0.318166666666667,0
"GO:0022898","GO:0022898",6,"GO:0022898",3.24089529635284,294,"regulation of transmembrane transporter activity","regulation of transmembrane transporter activity",0.848230769230769,0.336666666666667,0
"GO:0032409","GO:0032409",6,"GO:0022898",2.96414182976519,307,"regulation of transporter activity","regulation of transmembrane transporter activity",0.906461538461538,0.337666666666667,0.995
"GO:0042391","GO:0042391",7,"GO:0042391",2.85265106232209,491,"regulation of membrane potential","regulation of membrane potential",0.862051282051282,0.577,0
"GO:0099175","GO:0099175",5,"GO:0099173",2.53916818769352,139,"regulation of postsynapse organization","postsynapse organization",0.649666666666667,0.329,0.937
"GO:0007416","GO:0007416",5,"GO:0099173",2.46159955450177,222,"synapse assembly","postsynapse organization",0.666358974358974,0.271333333333333,0.818
"GO:0060560","GO:0060560",8,"GO:0060560",2.31190397156952,292,"developmental growth involved in morphogenesis","developmental growth involved in morphogenesis",0.847128205128205,0.402333333333333,0
"GO:0048167","GO:0048167",9,"GO:0048167",2.24823727782629,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.841564102564103,0.597,0
"GO:0032412","GO:0032412",6,"GO:0022898",2.10646296249554,283,"regulation of monoatomic ion transmembrane transporter activity","regulation of transmembrane transporter activity",0.848666666666667,0.337666666666667,0.995
"GO:0060047","GO:0060047",10,"GO:0060047",2.06018969552701,239,"heart contraction","heart contraction",0.877923076923077,0.344666666666667,0
"GO:0016358","GO:0016358",1,"GO:0007409",1.98998121899495,327,"dendrite development","axonogenesis",0.663974358974359,0.363636363636364,0.762
"GO:0050770","GO:0050770",1,"GO:0007409",1.93148496634448,186,"regulation of axonogenesis","axonogenesis",0.600179487179487,0.285181818181818,0.882
"GO:0086001","GO:0086001",7,"GO:0042391",1.75436911538125,60,"cardiac muscle cell action potential","regulation of membrane potential",0.87825641025641,0.577,0.846
