"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0099003","GO:0099003",1,"GO:0099003",14.4464425081258,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.817576923076923,0.341545454545455,0
"GO:0002181","GO:0002181",2,"GO:0002181",12.6518468787339,148,"cytoplasmic translation","cytoplasmic translation",0.948961538461538,0.534,0
"GO:0099504","GO:0099504",1,"GO:0099003",11.4869310941013,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.804538461538462,0.344,0.982
"GO:0050803","GO:0050803",3,"GO:0050803",10.8855791632902,317,"regulation of synapse structure or activity","regulation of synapse structure or activity",0.892630769230769,0.491666666666667,0
"GO:0050807","GO:0050807",3,"GO:0050803",10.0562198562184,309,"regulation of synapse organization","regulation of synapse structure or activity",0.743184615384615,0.492,0.995
"GO:0007409","GO:0007409",4,"GO:0007409",9.99817575677527,501,"axonogenesis","axonogenesis",0.770076923076923,0.35925,0
"GO:0099173","GO:0099173",5,"GO:0099173",8.41514835740493,252,"postsynapse organization","postsynapse organization",0.853438461538462,0.3376,0
"GO:1990138","GO:1990138",6,"GO:1990138",8.02513264695969,211,"neuron projection extension","neuron projection extension",0.745976923076923,0.19725,0
"GO:0048588","GO:0048588",6,"GO:1990138",7.82396936333239,291,"developmental cell growth","neuron projection extension",0.853223076923077,0.204916666666667,0.973
"GO:0060560","GO:0060560",6,"GO:1990138",7.06054474424692,292,"developmental growth involved in morphogenesis","neuron projection extension",0.881230769230769,0.23725,0.968
"GO:0048167","GO:0048167",7,"GO:0048167",6.53227674691826,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.850646153846154,0.34275,0
"GO:0042391","GO:0042391",8,"GO:0042391",6.40739662582217,491,"regulation of membrane potential","regulation of membrane potential",0.892615384615385,0.577,0
"GO:0099072","GO:0099072",9,"GO:0099072",6.35249257645679,133,"regulation of postsynaptic membrane neurotransmitter receptor levels","regulation of postsynaptic membrane neurotransmitter receptor levels",0.901661538461539,1,0
"GO:0016079","GO:0016079",10,"GO:0016079",5.81191415708048,115,"synaptic vesicle exocytosis","synaptic vesicle exocytosis",0.701930769230769,0.21225,0
"GO:0016049","GO:0016049",6,"GO:1990138",5.55880638791502,556,"cell growth","neuron projection extension",0.903169230769231,0.212333333333333,0.926
"GO:0001505","GO:0001505",3,"GO:0050803",5.52740185574809,220,"regulation of neurotransmitter levels","regulation of synapse structure or activity",0.883838461538462,0.647,0.53
"GO:0031346","GO:0031346",11,"GO:0031346",5.49093079189861,463,"positive regulation of cell projection organization","positive regulation of cell projection organization",0.763461538461538,0.355384615384615,0
"GO:0140236","GO:0140236",2,"GO:0002181",5.4551578510446,47,"translation at presynapse","cytoplasmic translation",0.9478,0.379,0.612
"GO:0030100","GO:0030100",1,"GO:0099003",5.41490730585622,344,"regulation of endocytosis","vesicle-mediated transport in synapse",0.657646153846154,0.320727272727273,0.653
"GO:0048638","GO:0048638",6,"GO:1990138",5.32981976123091,405,"regulation of developmental growth","neuron projection extension",0.847576923076923,0.233416666666667,0.812
"GO:0140242","GO:0140242",2,"GO:0002181",5.3102520514833,48,"translation at postsynapse","cytoplasmic translation",0.947838461538462,0.3795,0.611
"GO:0140241","GO:0140241",2,"GO:0002181",5.3102520514833,48,"translation at synapse","cytoplasmic translation",0.945615384615385,0.362,0.641
"GO:0099175","GO:0099175",5,"GO:0099173",5.18948646990349,139,"regulation of postsynapse organization","postsynapse organization",0.758369230769231,0.3666,0.937
"GO:0006836","GO:0006836",12,"GO:0006836",5.10820673707441,230,"neurotransmitter transport","neurotransmitter transport",0.8551,0.33625,0
"GO:0016358","GO:0016358",11,"GO:0031346",5.07325976863001,327,"dendrite development","positive regulation of cell projection organization",0.789992307692308,0.329153846153846,0.64
"GO:0031623","GO:0031623",1,"GO:0099003",5.05410700627725,150,"receptor internalization","vesicle-mediated transport in synapse",0.8321,0.306545454545455,0.608
