"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0097485","GO:0097485",1,"GO:0097485",4.90051312139564,252,"neuron projection guidance","neuron projection guidance",0.58795,0.322285714285714,0
"GO:0007411","GO:0007411",1,"GO:0097485",4.90051312139564,252,"axon guidance","neuron projection guidance",0.5841,0.310428571428571,0.995
"GO:0051963","GO:0051963",2,"GO:0051963",4.81384946463037,144,"regulation of synapse assembly","regulation of synapse assembly",0.43265,0.2808,0
"GO:1901888","GO:1901888",2,"GO:0051963",4.7490635731602,246,"regulation of cell junction assembly","regulation of synapse assembly",0.59025,0.2922,0.968
"GO:0007416","GO:0007416",2,"GO:0051963",4.04571070740246,222,"synapse assembly","regulation of synapse assembly",0.52035,0.2794,0.949
"GO:0007409","GO:0007409",1,"GO:0097485",3.93177039111175,501,"axonogenesis","neuron projection guidance",0.5763,0.320142857142857,0.859
"GO:0050807","GO:0050807",3,"GO:0050807",3.48893599284318,309,"regulation of synapse organization","regulation of synapse organization",0.4991,0.5025,0
"GO:0034329","GO:0034329",2,"GO:0051963",3.40359587502439,481,"cell junction assembly","regulation of synapse assembly",0.5879,0.2836,0.9
"GO:0050803","GO:0050803",3,"GO:0050807",3.36480526524508,317,"regulation of synapse structure or activity","regulation of synapse organization",0.8469,0.5025,0.995
"GO:0043954","GO:0043954",4,"GO:0043954",3.10900076208069,86,"cellular component maintenance","cellular component maintenance",0.7182,0.364333333333333,0
"GO:0042551","GO:0042551",1,"GO:0097485",2.61320025741347,66,"neuron maturation","neuron projection guidance",0.76745,0.5,0.6
"GO:0031290","GO:0031290",1,"GO:0097485",2.18587972221447,22,"retinal ganglion cell axon guidance","neuron projection guidance",0.65145,0.414142857142857,0.812
"GO:0034331","GO:0034331",4,"GO:0043954",1.75183567890917,53,"cell junction maintenance","cellular component maintenance",0.6146,0.354666666666667,0.97
"GO:0060078","GO:0060078",5,"GO:0060078",1.7183043282681,130,"regulation of postsynaptic membrane potential","regulation of postsynaptic membrane potential",0.88095,0.569,0
"GO:0042391","GO:0042391",5,"GO:0060078",1.5739182096118,491,"regulation of membrane potential","regulation of postsynaptic membrane potential",0.8702,0.569,0.862
"GO:0048813","GO:0048813",1,"GO:0097485",1.55780970793962,192,"dendrite morphogenesis","neuron projection guidance",0.60735,0.351857142857143,0.763
"GO:0099173","GO:0099173",2,"GO:0051963",1.53284798465296,252,"postsynapse organization","regulation of synapse assembly",0.61405,0.3692,0.779
"GO:0007626","GO:0007626",6,"GO:0007626",1.50506732742579,273,"locomotory behavior","locomotory behavior",0.91525,1,0
"GO:0016358","GO:0016358",1,"GO:0097485",1.48960519323234,327,"dendrite development","neuron projection guidance",0.6101,0.382857142857143,0.715
"GO:0099558","GO:0099558",4,"GO:0043954",1.37967283106402,28,"maintenance of synapse structure","cellular component maintenance",0.6187,0.365666666666667,0.937
