"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0050807","GO:0050807",1,"GO:0050807",27.8533555604845,309,"regulation of synapse organization","regulation of synapse organization",0.730021818181818,0.492,0
"GO:0007409","GO:0007409",2,"GO:0007409",27.6031728908932,501,"axonogenesis","axonogenesis",0.749978181818182,0.35925,0
"GO:0050803","GO:0050803",1,"GO:0050807",26.9460265004381,317,"regulation of synapse structure or activity","regulation of synapse organization",0.891745454545455,0.491666666666667,0.995
"GO:0099173","GO:0099173",3,"GO:0099173",24.94270003157,252,"postsynapse organization","postsynapse organization",0.821385454545455,0.260423076923077,0
"GO:0007416","GO:0007416",3,"GO:0099173",21.0786493159525,222,"synapse assembly","postsynapse organization",0.750338181818182,0.244538461538462,0.818
"GO:0034329","GO:0034329",3,"GO:0099173",18.5694290628917,481,"cell junction assembly","postsynapse organization",0.809123636363636,0.2655,0.804
"GO:0016358","GO:0016358",4,"GO:0016358",17.884098308772,327,"dendrite development","dendrite development",0.768774545454545,0.3183125,0
"GO:0060560","GO:0060560",5,"GO:0060560",16.2972104188916,292,"developmental growth involved in morphogenesis","developmental growth involved in morphogenesis",0.902181818181818,0.223733333333333,0
"GO:0048167","GO:0048167",6,"GO:0048167",15.1032945074106,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.857970909090909,0.325,0
"GO:0031346","GO:0031346",4,"GO:0016358",15.022555871213,463,"positive regulation of cell projection organization","dendrite development",0.756814545454545,0.2778125,0.64
"GO:1990138","GO:1990138",5,"GO:0060560",14.7460394275126,211,"neuron projection extension","developmental growth involved in morphogenesis",0.746563636363636,0.192,0.968
"GO:0048813","GO:0048813",4,"GO:0016358",14.621487146747,192,"dendrite morphogenesis","dendrite development",0.771458181818182,0.3236875,0.95
"GO:0050890","GO:0050890",7,"GO:0050890",14.5474533703864,371,"cognition","cognition",0.920443636363636,0.298285714285714,0
"GO:0048588","GO:0048588",5,"GO:0060560",14.5276297926643,291,"developmental cell growth","developmental growth involved in morphogenesis",0.874170909090909,0.197333333333333,0.825
"GO:0099003","GO:0099003",8,"GO:0099003",13.873949420593,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.882669090909091,0.379,0
"GO:0048638","GO:0048638",5,"GO:0060560",13.7384226962719,405,"regulation of developmental growth","developmental growth involved in morphogenesis",0.860610909090909,0.238,0.837
"GO:0097485","GO:0097485",2,"GO:0007409",13.3153679155894,252,"neuron projection guidance","axonogenesis",0.764196363636364,0.35375,0.859
"GO:0007411","GO:0007411",2,"GO:0007409",13.3153679155894,252,"axon guidance","axonogenesis",0.762745454545455,0.33725,0.927
"GO:0001764","GO:0001764",9,"GO:0001764",12.8217880136033,206,"neuron migration","neuron migration",0.871978181818182,0.480333333333333,0
"GO:0099504","GO:0099504",8,"GO:0099003",12.6254091258729,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.872003636363636,0.374,0.982
"GO:0050770","GO:0050770",4,"GO:0016358",12.266437201435,186,"regulation of axonogenesis","dendrite development",0.716094545454545,0.2783125,0.681
"GO:0007611","GO:0007611",7,"GO:0050890",12.2109426490758,331,"learning or memory","cognition",0.91128,0.295428571428571,0.988
"GO:0031345","GO:0031345",4,"GO:0016358",12.0605986084042,221,"negative regulation of cell projection organization","dendrite development",0.776316363636364,0.32625,0.602
"GO:0008361","GO:0008361",10,"GO:0008361",11.6446469949676,222,"regulation of cell size","regulation of cell size",0.815094545454546,0.2646,0
"GO:0099175","GO:0099175",3,"GO:0099173",11.6086375668898,139,"regulation of postsynapse organization","postsynapse organization",0.743378181818182,0.268192307692308,0.937
"GO:1990778","GO:1990778",11,"GO:1990778",11.0228293589178,400,"protein localization to cell periphery","protein localization to cell periphery",0.886723636363636,0.343,0
"GO:0061387","GO:0061387",10,"GO:0008361",10.7633415816766,129,"regulation of extent of cell growth","regulation of cell size",0.753134545454546,0.2694,0.962
"GO:0032535","GO:0032535",10,"GO:0008361",10.6608530440335,411,"regulation of cellular component size","regulation of cell size",0.806836363636364,0.2984,0.941
"GO:0042391","GO:0042391",12,"GO:0042391",10.4365904977958,491,"regulation of membrane potential","regulation of membrane potential",0.893385454545454,0.34725,0
"GO:0048675","GO:0048675",5,"GO:0060560",10.3885771600835,143,"axon extension","developmental growth involved in morphogenesis",0.751323636363636,0.208533333333333,0.941
"GO:1901888","GO:1901888",3,"GO:0099173",10.0642460468492,246,"regulation of cell junction assembly","postsynapse organization",0.760723636363636,0.287,0.753
"GO:0106027","GO:0106027",13,"GO:0106027",9.68240219801675,118,"neuron projection organization","neuron projection organization",0.848407272727273,0.2855,0
"GO:0051963","GO:0051963",3,"GO:0099173",9.30587057043203,144,"regulation of synapse assembly","postsynapse organization",0.684301818181818,0.238115384615385,0.779
