"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",16.7778525889846,501,"axonogenesis","axonogenesis",0.692669902912621,0.296181818181818,0
"GO:0007416","GO:0007416",2,"GO:0007416",15.2459144489811,222,"synapse assembly","synapse assembly",0.686572815533981,0.235,0
"GO:0050807","GO:0050807",3,"GO:0050807",13.8423528346172,309,"regulation of synapse organization","regulation of synapse organization",0.716155339805825,0.501333333333333,0
"GO:0050803","GO:0050803",3,"GO:0050807",13.3944761823988,317,"regulation of synapse structure or activity","regulation of synapse organization",0.889300970873786,0.501,0.995
"GO:0099173","GO:0099173",2,"GO:0007416",12.062452338934,252,"postsynapse organization","synapse assembly",0.797077669902913,0.27025,0.818
"GO:0034329","GO:0034329",2,"GO:0007416",10.4160544340898,481,"cell junction assembly","synapse assembly",0.791533980582524,0.2525625,0.948
"GO:0098742","GO:0098742",4,"GO:0098742",9.90376607804959,211,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.967621359223301,0.411,0
"GO:0035418","GO:0035418",5,"GO:0035418",8.08793451607722,100,"protein localization to synapse","protein localization to synapse",0.87695145631068,0.230571428571429,0
"GO:0030900","GO:0030900",6,"GO:0030900",7.9768804460574,425,"forebrain development","forebrain development",0.807,0.311666666666667,0
"GO:0051963","GO:0051963",2,"GO:0007416",7.69385930362925,144,"regulation of synapse assembly","synapse assembly",0.633067961165048,0.23825,0.949
"GO:1902414","GO:1902414",5,"GO:0035418",7.26527495121521,133,"protein localization to cell junction","protein localization to synapse",0.876407766990291,0.237714285714286,0.985
"GO:0060560","GO:0060560",7,"GO:0060560",7.13278363113156,292,"developmental growth involved in morphogenesis","developmental growth involved in morphogenesis",0.852165048543689,0.260142857142857,0
"GO:1901888","GO:1901888",2,"GO:0007416",7.08572771112582,246,"regulation of cell junction assembly","synapse assembly",0.754883495145631,0.270125,0.888
"GO:0048167","GO:0048167",8,"GO:0048167",6.21415912984709,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.867077669902913,0.4534,0
"GO:0007626","GO:0007626",9,"GO:0007626",6.12771834692544,273,"locomotory behavior","locomotory behavior",0.898747572815534,0.43425,0
"GO:0048588","GO:0048588",7,"GO:0060560",5.94715879072739,291,"developmental cell growth","developmental growth involved in morphogenesis",0.815077669902913,0.241142857142857,0.825
"GO:0021987","GO:0021987",6,"GO:0030900",5.77142746781869,120,"cerebral cortex development","forebrain development",0.827029126213592,0.3335,0.862
"GO:0050890","GO:0050890",10,"GO:0050890",5.68947218567351,371,"cognition","cognition",0.893300970873786,0.368333333333333,0
"GO:1990138","GO:1990138",7,"GO:0060560",5.66266457515873,211,"neuron projection extension","developmental growth involved in morphogenesis",0.682941747572816,0.226,0.968
"GO:0016358","GO:0016358",1,"GO:0007409",5.41122594379516,327,"dendrite development","axonogenesis",0.716757281553398,0.332363636363636,0.762
"GO:0097485","GO:0097485",1,"GO:0007409",5.34161817906449,252,"neuron projection guidance","axonogenesis",0.710679611650485,0.329363636363636,0.859
"GO:0007411","GO:0007411",1,"GO:0007409",5.34161817906449,252,"axon guidance","axonogenesis",0.708640776699029,0.317,0.927
"GO:0030534","GO:0030534",9,"GO:0007626",5.21998698292864,191,"adult behavior","locomotory behavior",0.900699029126214,0.431,0.718
"GO:0048638","GO:0048638",7,"GO:0060560",5.03177234690394,405,"regulation of developmental growth","developmental growth involved in morphogenesis",0.823330097087379,0.280428571428571,0.837
"GO:0042391","GO:0042391",11,"GO:0042391",5.00963176809283,491,"regulation of membrane potential","regulation of membrane potential",0.895456310679612,0.569,0
"GO:0021953","GO:0021953",6,"GO:0030900",4.61023523490669,212,"central nervous system neuron differentiation","forebrain development",0.792087378640777,0.383,0.742
"GO:0007611","GO:0007611",10,"GO:0050890",4.5468464161266,331,"learning or memory","cognition",0.873368932038835,0.365,0.988
"GO:0097106","GO:0097106",2,"GO:0007416",4.53681032886098,45,"postsynaptic density organization","synapse assembly",0.815019417475728,0.3395625,0.712
"GO:0021954","GO:0021954",6,"GO:0030900",4.41657517380222,98,"central nervous system neuron development","forebrain development",0.797834951456311,0.415333333333333,0.687
"GO:0031345","GO:0031345",1,"GO:0007409",4.40434141070535,221,"negative regulation of cell projection organization","axonogenesis",0.781135922330097,0.370181818181818,0.644
"GO:0031346","GO:0031346",1,"GO:0007409",4.39346964531098,463,"positive regulation of cell projection organization","axonogenesis",0.767650485436893,0.347,0.687
"GO:0099084","GO:0099084",2,"GO:0007416",4.36581533894254,56,"postsynaptic specialization organization","synapse assembly",0.811291262135922,0.3268125,0.728
"GO:0008344","GO:0008344",9,"GO:0007626",4.21723558533559,112,"adult locomotory behavior","locomotory behavior",0.902320388349515,0.38425,0.928
"GO:0010977","GO:0010977",1,"GO:0007409",4.06910260207914,165,"negative regulation of neuron projection development","axonogenesis",0.688407766990291,0.325636363636364,0.72
"GO:0001764","GO:0001764",12,"GO:0001764",4.06482906882685,206,"neuron migration","neuron migration",0.808097087378641,0.748,0
"GO:0099072","GO:0099072",3,"GO:0050807",4.05405543995345,133,"regulation of postsynaptic membrane neurotransmitter receptor levels","regulation of synapse organization",0.906407766990291,0.665666666666667,0.501
"GO:0021537","GO:0021537",6,"GO:0030900",3.85221666802995,281,"telencephalon development","forebrain development",0.814155339805825,0.3045,0.941
"GO:0099003","GO:0099003",13,"GO:0099003",3.78238647018717,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.890446601941748,0.509,0
"GO:0030705","GO:0030705",14,"GO:0030705",3.64505407278749,214,"cytoskeleton-dependent intracellular transport","cytoskeleton-dependent intracellular transport",0.884970873786408,0.361666666666667,0
