"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",21.6095639116396,501,"axonogenesis","axonogenesis",0.735668539325843,0.35925,0
"GO:0050803","GO:0050803",2,"GO:0050803",16.5791632067668,317,"regulation of synapse structure or activity","regulation of synapse structure or activity",0.891219101123595,0.501,0
"GO:0050807","GO:0050807",2,"GO:0050803",16.0346966058824,309,"regulation of synapse organization","regulation of synapse structure or activity",0.733286516853933,0.501333333333333,0.995
"GO:0048167","GO:0048167",3,"GO:0048167",14.9072705774046,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.841455056179775,0.305071428571429,0
"GO:0099173","GO:0099173",4,"GO:0099173",13.6006609170847,252,"postsynapse organization","postsynapse organization",0.830786516853933,0.2909375,0
"GO:0016358","GO:0016358",5,"GO:0016358",12.0648905833666,327,"dendrite development","dendrite development",0.753955056179775,0.2785,0
"GO:0031346","GO:0031346",6,"GO:0031346",11.7442152540672,463,"positive regulation of cell projection organization","positive regulation of cell projection organization",0.758303370786517,0.311285714285714,0
"GO:0060560","GO:0060560",7,"GO:0060560",11.4371365377487,292,"developmental growth involved in morphogenesis","developmental growth involved in morphogenesis",0.902516853932584,0.252714285714286,0
"GO:0048588","GO:0048588",7,"GO:0060560",10.5084829715953,291,"developmental cell growth","developmental growth involved in morphogenesis",0.870275280898876,0.232428571428571,0.825
"GO:1990138","GO:1990138",7,"GO:0060560",10.3621978022949,211,"neuron projection extension","developmental growth involved in morphogenesis",0.740960674157303,0.217285714285714,0.968
"GO:1990778","GO:1990778",8,"GO:1990778",9.98609834983973,400,"protein localization to cell periphery","protein localization to cell periphery",0.887280898876404,0.344,0
"GO:0050770","GO:0050770",6,"GO:0031346",9.56930378651033,186,"regulation of axonogenesis","positive regulation of cell projection organization",0.708550561797753,0.334285714285714,0.814
"GO:0034329","GO:0034329",4,"GO:0099173",9.37296565378804,481,"cell junction assembly","postsynapse organization",0.812994382022472,0.238125,0.804
"GO:0099003","GO:0099003",9,"GO:0099003",8.84826040446808,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.89026404494382,0.3754,0
"GO:0007626","GO:0007626",10,"GO:0007626",8.61526528917814,273,"locomotory behavior","locomotory behavior",0.921286516853933,0.331666666666667,0
"GO:0060291","GO:0060291",3,"GO:0048167",8.04827232033753,260,"long-term synaptic potentiation","regulation of synaptic plasticity",0.837803370786517,0.3195,0.948
"GO:0007416","GO:0007416",4,"GO:0099173",8.02073443653136,222,"synapse assembly","postsynapse organization",0.749101123595506,0.244875,0.818
"GO:1901888","GO:1901888",4,"GO:0099173",7.9332256324742,246,"regulation of cell junction assembly","postsynapse organization",0.766752808988764,0.24275,0.753
"GO:0099504","GO:0099504",9,"GO:0099003",7.89668512277935,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.876084269662921,0.3756,0.982
"GO:0099175","GO:0099175",4,"GO:0099173",7.85248079430261,139,"regulation of postsynapse organization","postsynapse organization",0.74838202247191,0.312125,0.937
"GO:0050890","GO:0050890",11,"GO:0050890",7.24556087687408,371,"cognition","cognition",0.918089887640449,0.333,0
