"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",8.91529844751338,501,"axonogenesis","axonogenesis",0.851602409638554,0.330666666666667,0
"GO:0099003","GO:0099003",2,"GO:0099003",8.3008882596455,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.820578313253012,0.509,0
"GO:0099504","GO:0099504",2,"GO:0099003",8.19073013981384,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.812939759036145,0.509,0.982
"GO:0051588","GO:0051588",3,"GO:0051588",8.17720244738956,126,"regulation of neurotransmitter transport","regulation of neurotransmitter transport",0.795927710843374,0.289,0
"GO:0046928","GO:0046928",3,"GO:0051588",7.6008928858469,106,"regulation of neurotransmitter secretion","regulation of neurotransmitter transport",0.69055421686747,0.28925,0.987
"GO:0002181","GO:0002181",4,"GO:0002181",6.76770939889897,148,"cytoplasmic translation","cytoplasmic translation",0.897132530120482,0.3658,0
"GO:0006836","GO:0006836",3,"GO:0051588",6.5837298084637,230,"neurotransmitter transport","regulation of neurotransmitter transport",0.840542168674699,0.33625,0.905
"GO:0099643","GO:0099643",5,"GO:0099643",5.97088446745836,174,"signal release from synapse","signal release from synapse",0.754421686746988,0.281222222222222,0
"GO:0007269","GO:0007269",5,"GO:0099643",5.97088446745836,174,"neurotransmitter secretion","signal release from synapse",0.702963855421687,0.281222222222222,0.998
"GO:0050807","GO:0050807",6,"GO:0050807",5.86153970064505,309,"regulation of synapse organization","regulation of synapse organization",0.798638554216867,0.492,0
"GO:0016079","GO:0016079",5,"GO:0099643",5.84391754352734,115,"synaptic vesicle exocytosis","signal release from synapse",0.685192771084337,0.204555555555556,0.97
"GO:0001505","GO:0001505",6,"GO:0050807",5.81271961053072,220,"regulation of neurotransmitter levels","regulation of synapse organization",0.868349397590361,0.647,0.529
"GO:0050803","GO:0050803",6,"GO:0050807",5.50060860060879,317,"regulation of synapse structure or activity","regulation of synapse organization",0.887734939759036,0.491666666666667,0.995
"GO:0048167","GO:0048167",7,"GO:0048167",5.4951906882911,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.832168674698795,0.3158,0
"GO:0050684","GO:0050684",8,"GO:0050684",5.44216409522891,139,"regulation of mRNA processing","regulation of mRNA processing",0.84278313253012,0.308,0
"GO:0050890","GO:0050890",9,"GO:0050890",4.97013754554084,371,"cognition","cognition",0.943963855421687,0.294,0
"GO:0007611","GO:0007611",9,"GO:0050890",4.89538861453223,331,"learning or memory","cognition",0.937060240963855,0.289,0.988
"GO:1903311","GO:1903311",8,"GO:0050684",4.76559290546744,304,"regulation of mRNA metabolic process","regulation of mRNA processing",0.849409638554217,0.331,0.92
"GO:0031346","GO:0031346",1,"GO:0007409",4.70500010983376,463,"positive regulation of cell projection organization","axonogenesis",0.836325301204819,0.409444444444444,0.687
"GO:0016358","GO:0016358",1,"GO:0007409",4.52484291270982,327,"dendrite development","axonogenesis",0.865204819277108,0.375777777777778,0.762
"GO:0006397","GO:0006397",8,"GO:0050684",4.24639800571035,496,"mRNA processing","regulation of mRNA processing",0.870734939759036,0.3595,0.863
"GO:0010976","GO:0010976",1,"GO:0007409",4.0933117991123,239,"positive regulation of neuron projection development","axonogenesis",0.813180722891566,0.391333333333333,0.729
