"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0002181","GO:0002181","cytoplasmic translation","41/665","135/17643",3.37755516370893e-26,1.49558142649031e-22,1.28489309069938e-22,"Rpl13/Rpl9/Eif4a2/Rpl19/Pkm/Rps19/Rps23/Rps10/Rplp1/Rpl28/Rps13/Rps3/Rpl17/Csde1/Rpl7a/Rps3a1/Rps14/Rps7/Rpl4/Rpl18a/Rpl8/Ncbp1/Fau/Hnrnpu/Rpl24/Rps24/Rpl11/Rps15/Rpl13a/Eif2s3y/Cpeb1/Rpl27a/Rpl18/Rpsa/Rpl3/Rpl36/Rpl35a/Rps16/Dhx9/Rplp2/Rps9",41,21.8251899369538,0.0616541353383459,0.0076517599047781,8.0575104427736,175.856695832523,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","47/665","262/17643",2.78661864015926e-19,1.23391473386252e-15,5.30044198186082e-16,"Magi2/Syt1/Rims2/Stxbp5l/Nrg1/Prkcg/Rimbp2/Mapk10/Atp2a2/Ppfia2/Btbd9/Syt4/Snap25/Prepl/Hpca/Ap2b1/Rab3a/Ppp3r1/Actg1/Cltc/Atp6v1a/Atp6v0a1/Nsg1/Actb/Snca/Cacna1a/Slc17a7/Ppp3cb/Trim9/Caly/Atp6v1h/Vamp2/Rims1/Braf/Rap1a/Unc13b/Clcn3/Atp6v1e1/Hip1/Pfn2/Eps15/Atp6ap2/Dvl1/Snap47/Dnm2/Cacna1b/Dtnbp1",47,14.9087148499401,0.0706766917293233,0.0148500821855693,4.7593468403834,70.9557449152394,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0099504","GO:0099504","synaptic vesicle cycle","40/665","222/17643",1.17987132943791e-16,5.22447024675106e-13,1.4961596437153e-13,"Magi2/Syt1/Rims2/Stxbp5l/Prkcg/Rimbp2/Atp2a2/Ppfia2/Btbd9/Syt4/Snap25/Prepl/Ap2b1/Rab3a/Ppp3r1/Actg1/Cltc/Atp6v1a/Atp6v0a1/Actb/Snca/Cacna1a/Slc17a7/Ppp3cb/Trim9/Atp6v1h/Vamp2/Rims1/Braf/Rap1a/Unc13b/Clcn3/Atp6v1e1/Pfn2/Atp6ap2/Dvl1/Snap47/Dnm2/Cacna1b/Dtnbp1",40,12.281957739777,0.0601503759398496,0.0125828940656351,4.78032920138183,58.7118012335938,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0007409","GO:0007409","axonogenesis","55/665","456/17643",2.04185882731186e-14,9.04135088733692e-11,1.94191521102765e-11,"Hsp90aa1/Slit3/Cck/Cntnap2/Chl1/Slit1/Nfix/Dpysl5/Bcl11a/Zeb2/Rufy3/Rab3a/L1cam/Plxna4/Hsp90ab1/Foxp1/Actg1/Etv1/Nefl/Megf9/Actb/Rpl4/Vcl/Ephb2/Cacna1a/Pak3/Mapt/Aplp1/Plxna1/Actr3/Ndn/Uchl1/Flrt2/D130043K22Rik/Adcy1/Map2/Aplp2/Braf/Rpl24/Eif4g2/Nfib/Bsg/Tubb2b/Tubb3/Olfm1/Dvl1/Ptk2/Thy1/Ifrd1/Dnm2/Plxna2/Skil/Bcl11b/Macf1/Kif5a",55,10.0437666758205,0.0827067669172932,0.0258459445672505,3.19999010684606,32.1399539980959,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0140236","GO:0140236","translation at presynapse","17/665","47/17643",4.87484791697847e-13,2.15858265763806e-09,3.70898955199162e-10,"Rpl13/Rpl9/Rps10/Rpl28/Rpl17/Rpl7a/Rps14/Rpl4/Rpl8/Rpl24/Rps24/Rpl13a/Rpl27a/Rpl36/Rpl35a/Rps16/Rplp2",17,8.66583131644539,0.0255639097744361,0.00266394604092275,9.59625659894417,83.1595409557761,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0140241","GO:0140241","translation at synapse","17/665","48/17643",7.28657114974192e-13,3.22649370510572e-09,3.95995009551388e-10,"Rpl13/Rpl9/Rps10/Rpl28/Rpl17/Rpl7a/Rps14/Rpl4/Rpl8/Rpl24/Rps24/Rpl13a/Rpl27a/Rpl36/Rpl35a/Rps16/Rplp2",17,8.49126917786525,0.0255639097744361,0.0027206257439211,9.39633458646617,79.7868062589693,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0140242","GO:0140242","translation at postsynapse","17/665","48/17643",7.28657114974192e-13,3.22649370510572e-09,3.95995009551388e-10,"Rpl13/Rpl9/Rps10/Rpl28/Rpl17/Rpl7a/Rps14/Rpl4/Rpl8/Rpl24/Rps24/Rpl13a/Rpl27a/Rpl36/Rpl35a/Rps16/Rplp2",17,8.49126917786525,0.0255639097744361,0.0027206257439211,9.39633458646617,79.7868062589693,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","24/665","110/17643",2.24376580901517e-12,9.93539500231916e-09,1.06696968865537e-09,"Syt1/Rims2/Stxbp5l/Prkcg/Rimbp2/Atp2a2/Ppfia2/Syt4/Snap25/Prepl/Rab3a/Snca/Cacna1a/Trim9/Vamp2/Rims1/Braf/Rap1a/Unc13b/Pfn2/Dvl1/Snap47/Cacna1b/Dtnbp1",24,8.00281486192937,0.0360902255639098,0.00623476732981919,5.78854408749146,46.32464665231,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","50/665","440/17643",3.176446193918e-12,1.40653037466689e-08,1.33544164693594e-09,"Dmd/Magi2/Hsp90aa1/Gpm6a/Ahi1/Nrg1/Cfl1/Ror1/Bcl11a/Zeb2/Rufy3/L1cam/Tmem30a/Cx3cl1/Plxna4/Enc1/Nme1/Nefl/Rpl4/Ephb2/Pak3/Mapt/Plxna1/Actr3/Ptn/Actr2/Hnrnpk/Wasl/Braf/Rap1a/Dpysl3/Eif4g2/Dynll1/Cpeb1/Arpc2/Nckap1/Tubb2b/Pum2/Hspa5/Il1rapl1/Dvl1/Zfp804a/Eps8/Ndrg4/Dnm2/Plxna2/Skil/Tox/Macf1/Camk1d",50,7.85185088460949,0.075187969924812,0.0249390693192768,3.01486671223513,23.6722838614431,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0048167","GO:0048167","regulation of synaptic plasticity","36/665","248/17643",3.51043044988694e-12,1.55441860320994e-08,1.33544164693594e-09,"Rims2/Prrt1/Prkcg/Slc4a10/Cfl1/Ncdn/Nr3c1/Kcnn2/Syt4/Snap25/Jph4/Rab3a/Prnp/Kcnq3/Nsg1/Snca/Mir124a-1hg/Rasgrf1/Ephb2/Mapt/Chrd/Ptn/Vamp2/Hnrnpk/Adcy1/Rims1/Braf/Shank2/Adgrb1/Unc13b/Arf1/Cpeb1/Ywhag/Snap47/Nrgn/Sorcs3",36,7.8084320147609,0.0541353383458647,0.0140565663435924,3.85124909046811,30.07221669483,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
