"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0050807","GO:0050807","regulation of synapse organization","54/564","298/17643",1.24386901952591e-25,5.31629618945375e-22,4.26581606906887e-22,"Tanc1/Robo1/Sparcl1/Ctnna2/Ppfia2/Il1rap/Myo5b/Il1rapl1/Mycbp2/Cttnbp2/Lrrtm4/Ptk2b/Nrxn1/Kalrn/Prnp/Ptpro/Lingo2/Ntrk3/Nrcam/Ptprs/Negr1/Gpr158/Nrg1/C1ql3/Sema4d/Magi2/Adgrb1/Mdga2/Icam5/Zfp804a/Grin2b/Ephb2/Adgrl3/Epha4/Neurod2/Lrfn5/Gpm6a/Grid1/Tanc2/Adgrb2/Il1rapl2/Dgkb/Actr3/Grid2/Nrp2/Bhlhb9/Ywhaz/Dnm3/Mef2c/Hnrnpm/Pgrmc1/Snca/Epha7/Zmynd8",54,21.2743908309908,0.0957446808510638,0.0168905514935102,5.66853491360845,120.594627191223,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","54/564","306/17643",4.7482719220623e-25,2.02941141948943e-21,8.1420368010942e-22,"Tanc1/Robo1/Sparcl1/Ctnna2/Ppfia2/Il1rap/Myo5b/Il1rapl1/Mycbp2/Cttnbp2/Lrrtm4/Ptk2b/Nrxn1/Kalrn/Prnp/Ptpro/Lingo2/Ntrk3/Nrcam/Ptprs/Negr1/Gpr158/Nrg1/C1ql3/Sema4d/Magi2/Adgrb1/Mdga2/Icam5/Zfp804a/Grin2b/Ephb2/Adgrl3/Epha4/Neurod2/Lrfn5/Gpm6a/Grid1/Tanc2/Adgrb2/Il1rapl2/Dgkb/Actr3/Grid2/Nrp2/Bhlhb9/Ywhaz/Dnm3/Mef2c/Hnrnpm/Pgrmc1/Snca/Epha7/Zmynd8",54,20.6926299001814,0.0957446808510638,0.017343989117497,5.520337922403,114.230309552222,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0007416","GO:0007416","synapse assembly","45/564","213/17643",2.15277863304988e-24,9.2009758776552e-21,2.46096588999176e-21,"Robo1/Cntnap2/Il1rap/Il1rapl1/Nrg3/Nptx1/Mycbp2/Lrrtm4/Ptk2b/Nrxn1/Lingo2/Ntrk3/Cadm1/Nrxn3/Ptprs/Negr1/Nrg1/C1ql3/Sema4d/Cacna1a/Magi2/Adgrb1/Mdga2/Icam5/Ephb2/Adgrl3/Nptn/Large1/Lrfn5/Gpm6a/Adgrb2/Fgf13/Il1rapl2/Actr3/Grid2/Pcdh17/Nptxr/Bhlhb9/Cntn5/Bsn/Dnm3/Mef2c/Gabrg2/Snca/Epha7",45,20.0361661078931,0.0797872340425532,0.0120727767386499,6.60885525921486,132.416121756652,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0099173","GO:0099173","postsynapse organization","48/564","248/17643",3.48040141468354e-24,1.48752356463575e-20,2.98398626553657e-21,"Tanc1/Cnksr2/Grin2a/Dock10/Cntnap2/Ppfia2/Il1rap/Myo5b/Il1rapl1/Nptx1/Dlg2/Lrrtm4/Ptk2b/Ctnnd2/Arhgap39/Nrxn1/Kalrn/Prnp/Ntrk3/Cadm1/Nrxn3/Nrcam/Ptprs/C1ql3/Magi2/Adgrb1/Zfp804a/Grin2b/Ephb2/Nos1ap/Adgrl3/Epha4/Gphn/Grid1/Tanc2/Dgkb/Actr3/Grid2/Nrp2/Nptxr/Bhlhb9/Dnm3/Frrs1l/Glrb/Hnrnpm/Cpne6/Epha7/Zmynd8",48,19.8275361456598,0.0851063829787234,0.0140565663435924,6.05456417295813,120.047089985544,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0007409","GO:0007409","axonogenesis","61/564","456/17643",1.23294996992215e-21,5.26962817144727e-18,8.45673895159235e-19,"Robo1/Slit1/Ctnna2/Ntng1/Unc5d/Dab1/Cntnap2/Myo5b/Nptx1/Mycbp2/Sema6d/Adcy1/Olfm1/Dcc/Kalrn/Robo2/Ptpro/Ntrk3/Slit3/Nrcam/Ptprs/L1cam/Ank3/Ptprz1/Sema3e/Sema4d/Prickle1/Cacna1a/Dscam/Prkg1/Ablim1/Nrn1/Ncam1/Unc5c/Ephb2/Hsp90aa1/Epha4/Nptn/Macf1/Lrrc4c/Aplp1/Sema6a/Fgf13/Dscaml1/Dpysl5/Actr3/Cdh11/Nrp2/Map2/Clasp2/Cntn5/Nfix/Mef2c/Ust/Cyfip2/Kif5a/Epha7/Unc5a/Tnr/Dcx/Map2k1",61,17.2782200278208,0.108156028368794,0.0258459445672505,4.18464212392684,72.3031673548953,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0007611","GO:0007611","learning or memory","49/564","308/17643",8.64574747794247e-21,3.69519247207261e-17,4.94172724265554e-18,"Tanc1/Grin2a/Cacna1c/Itga8/Cntnap2/Csmd1/Brinp1/Adcy1/Ctnnd2/Nrxn1/Grm5/Kalrn/Prnp/Btbd9/Pja2/Slc24a2/Plcb1/Jph4/Pde8b/Nrxn3/Specc1/Nrg1/Ptprz1/Grin2b/Ncam1/Ephb2/Neurod2/Nptn/Pde4d/Large1/Camk4/Cacna1e/Fgf13/Atp1a3/Cyp7b1/Slc12a5/Prrt1/Bhlhb9/Grm7/Kmt2a/Nfix/Synj1/Mef2c/Snap25/Pias1/Pgrmc1/Slc8a2/Tnr/Syt11",49,16.4323629355149,0.0868794326241135,0.0174573485234937,4.97666827852998,81.7784193624687,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0034329","GO:0034329","cell junction assembly","57/564","431/17643",5.01222284634989e-20,2.14222404452994e-16,2.45561233585082e-17,"Robo1/Cntnap2/Il1rap/Il1rapl1/Nrg3/Nptx1/Mycbp2/Cdh12/Lrrtm4/Ptk2b/Ctnnd2/Rapgef2/Nrxn1/Ptpro/Lingo2/Ntrk3/Cadm1/Nrxn3/Ptprs/Negr1/Nrg1/C1ql3/Sema4d/Cacna1a/Magi2/Adgrb1/Mdga2/Dlg1/Cdh13/Icam5/Ephb2/Adgrl3/Nedd4l/Nptn/Large1/Lrfn5/Gpm6a/Macf1/Mpdz/Adgrb2/Fgf13/Il1rapl2/Actr3/Grid2/Cdh11/Pcdh17/Nptxr/Clasp2/Bhlhb9/Cntn5/Bsn/Dnm3/Mef2c/Map4k4/Gabrg2/Snca/Epha7",57,15.6691351104347,0.101063829787234,0.0244289519922916,4.13705138964309,64.8240171831292,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0050890","GO:0050890","cognition","50/564","343/17643",1.66623267221633e-19,7.12147844105259e-16,7.1428763764221e-17,"Tanc1/Grin2a/Cacna1c/Itga8/Cntnap2/Csmd1/Brinp1/Adcy1/Ctnnd2/Nrxn1/Grm5/Kalrn/Prnp/Btbd9/Pja2/Slc24a2/Plcb1/Jph4/Pde8b/Nrxn3/Gpr158/Specc1/Nrg1/Ptprz1/Grin2b/Ncam1/Ephb2/Neurod2/Nptn/Pde4d/Large1/Camk4/Cacna1e/Fgf13/Atp1a3/Cyp7b1/Slc12a5/Prrt1/Bhlhb9/Grm7/Kmt2a/Nfix/Synj1/Mef2c/Snap25/Pias1/Pgrmc1/Slc8a2/Tnr/Syt11",50,15.1474298361191,0.0886524822695035,0.0194411381284362,4.56004590285962,69.0729753630485,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0048167","GO:0048167","regulation of synaptic plasticity","41/564","248/17643",3.44087857320452e-18,1.47063150218761e-14,1.31115583526319e-15,"Erc2/Grin2a/Rims2/Sorcs2/Cpeb1/Grik2/Rasgrf1/Ptk2b/Adcy1/Ctnnd2/Ncdn/Rapgef2/Grm5/Slc4a10/Prnp/Slc24a2/Jph4/Rims1/Grip1/Adgrb1/Fgf14/Grin2b/Mapk1/Ephb2/Epha4/Neurod2/Nptn/Large1/Syt7/Kcnq3/Atp2b2/Rasgrf2/Grid2/Prrt1/Kmt2a/Mef2c/Snap25/Unc13a/Snca/Slc8a2/Tnr",41,13.8324961353045,0.0726950354609929,0.0140565663435924,5.17160689773507,71.5362324262345,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0007612","GO:0007612","learning","32/564","182/17643",2.99817980698666e-15,1.2814220495061e-11,1.02821787485921e-12,"Tanc1/Grin2a/Cacna1c/Cntnap2/Csmd1/Ctnnd2/Nrxn1/Grm5/Kalrn/Slc24a2/Jph4/Pde8b/Nrxn3/Specc1/Grin2b/Ephb2/Neurod2/Nptn/Cacna1e/Fgf13/Atp1a3/Slc12a5/Grm7/Kmt2a/Nfix/Synj1/Snap25/Pias1/Pgrmc1/Slc8a2/Tnr/Syt11",32,10.8923078073487,0.0567375886524823,0.0103157059457008,5.50011690437222,59.9089662988239,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
