"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0050807","GO:0050807","regulation of synapse organization","25/164","298/17643",4.82852094736503e-17,1.1375995351992e-13,9.00945575527377e-14,"Malat1/Tuba1a/Nrxn1/Tubb5/Cfl1/Ctnna2/Mycbp2/Lrfn5/Marcks/Kalrn/Hspa8/Prkca/Ephb2/Ywhaz/Mdga2/Cask/Pgrmc1/Ppfia2/Ptprt/Dtnbp1/Pak3/Cdh8/Chd4/Cdkl5/Clstn2",25,12.9440105940585,0.152439024390244,0.0168905514935102,9.02510640039286,116.82107285919,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","25/164","306/17643",9.05233523797999e-17,2.13273018206809e-13,9.00945575527377e-14,"Malat1/Tuba1a/Nrxn1/Tubb5/Cfl1/Ctnna2/Mycbp2/Lrfn5/Marcks/Kalrn/Hspa8/Prkca/Ephb2/Ywhaz/Mdga2/Cask/Pgrmc1/Ppfia2/Ptprt/Dtnbp1/Pak3/Cdh8/Chd4/Cdkl5/Clstn2",25,12.6710640849402,0.152439024390244,0.017343989117497,8.78915590626494,111.367957740814,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0007409","GO:0007409","axonogenesis","23/164","456/17643",4.09268040474619e-11,9.64235503358203e-08,2.7155293492544e-08,"Tubb2b/Actg1/Cacna1a/Ctnna2/Mycbp2/Kalrn/Prkca/Ephb2/Hsp90aa1/Tubb3/Uchl1/Ndn/Neo1/Pak3/Rufy3/Bcl11a/Ank3/Alcam/Eif4g2/Prkg1/Cdkl5/Actb/Klf7",23,7.01581688174257,0.140243902439024,0.0258459445672505,5.4261473042362,38.0688558598823,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0007611","GO:0007611","learning or memory","17/164","308/17643",4.43393090139992e-09,1.04463412036982e-05,2.20646403540717e-06,"Tuba1a/Nrxn1/Grm5/Tafa2/Csmd1/Prrt1/Pja2/Kalrn/Syt4/Prkca/Ephb2/Meis2/Pgrmc1/Rcan1/Itga8/Jph4/Clstn2",17,4.98103579312057,0.103658536585366,0.0174573485234937,5.93781675641432,29.5764777966908,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0016358","GO:0016358","dendrite development","17/164","317/17643",6.82235239618973e-09,1.6073462245423e-05,2.34033814337654e-06,"Cacna1a/Cfl1/Ctnna2/Marcks/Kalrn/Ephb2/Cask/Csmd3/Ppfia2/Dtnbp1/Pak3/Bcl11a/Eif4g2/Prkg1/Cdkl5/Klf7/Phactr1",17,4.79389056554355,0.103658536585366,0.0179674658504789,5.76923520812495,27.6570822346319,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0060998","GO:0060998","regulation of dendritic spine development","10/164","86/17643",7.05443015190180e-09,1.66202374378806e-05,2.34033814337654e-06,"Cfl1/Marcks/Kalrn/Ephb2/Cask/Ppfia2/Dtnbp1/Pak3/Eif4g2/Cdkl5",10,4.77936277614609,0.0609756097560976,0.00487445445785864,12.5092172433352,59.7860872515211,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0048813","GO:0048813","dendrite morphogenesis","13/164","187/17643",2.12762664410362e-08,5.01268837350813e-05,5.4502031316993e-06,"Cacna1a/Cfl1/Ctnna2/Marcks/Kalrn/Ephb2/Cask/Ppfia2/Dtnbp1/Pak3/Cdkl5/Klf7/Phactr1",13,4.29992929356619,0.0792682926829268,0.0105991044606926,7.47877266205817,32.1581936495059,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0050890","GO:0050890","cognition","17/164","343/17643",2.19045710211077e-08,5.16071693257297e-05,5.4502031316993e-06,"Tuba1a/Nrxn1/Grm5/Tafa2/Csmd1/Prrt1/Pja2/Kalrn/Syt4/Prkca/Ephb2/Meis2/Pgrmc1/Rcan1/Itga8/Jph4/Clstn2",17,4.2872899615061,0.103658536585366,0.0194411381284362,5.33191708739245,22.8594746043605,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099175","GO:0099175","regulation of postsynapse organization","11/164","138/17643",6.65357276087898e-08,0.000156758174246309,1.38597169806894e-05,"Nrxn1/Cfl1/Marcks/Kalrn/Hspa8/Ephb2/Cask/Ppfia2/Dtnbp1/Pak3/Cdkl5",11,3.80476980336803,0.0670731707317073,0.00782179901377317,8.57515906680806,32.6265062764689,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0061001","GO:0061001","regulation of dendritic spine morphogenesis","8/164","59/17643",6.96284036576146e-08,0.00016404451901734,1.38597169806894e-05,"Cfl1/Marcks/Kalrn/Ephb2/Cask/Ppfia2/Dtnbp1/Pak3",8,3.78503827549,0.0487804878048781,0.00334410247690302,14.5870194295163,55.2124268660357,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0060999","GO:0060999","positive regulation of dendritic spine development","8/164","66/17643",1.706787058289e-07,0.000402119030932889,3.08854959543015e-05,"Cfl1/Marcks/Kalrn/Ephb2/Cask/Pak3/Eif4g2/Cdkl5",8,3.39564537272261,0.0487804878048781,0.00374086039789152,13.039911308204,44.2789144944161,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0060996","GO:0060996","dendritic spine development","10/164","133/17643",4.62525045602845e-07,0.0010897090074403,7.15170421380676e-05,"Cfl1/Marcks/Kalrn/Ephb2/Cask/Ppfia2/Dtnbp1/Pak3/Eif4g2/Cdkl5",10,2.96268945924749,0.0609756097560976,0.00753840049878139,8.08866678892353,23.964207834909,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0060997","GO:0060997","dendritic spine morphogenesis","8/164","75/17643",4.67073226020695e-07,0.00110042452050476,7.15170421380676e-05,"Cfl1/Marcks/Kalrn/Ephb2/Cask/Ppfia2/Dtnbp1/Pak3",8,2.95843974089117,0.0487804878048781,0.00425097772487672,11.4751219512195,33.9484568120604,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099173","GO:0099173","postsynapse organization","13/164","248/17643",5.70660375106665e-07,0.0013444758437513,8.11367495734364e-05,"Nrxn1/Cfl1/Marcks/Kalrn/Hspa8/Ephb2/Gphn/Cask/Ppfia2/Dtnbp1/Pak3/Cdkl5/Actb",13,2.87144699635608,0.0792682926829268,0.0140565663435924,5.6392358379229,16.1927668085473,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0007612","GO:0007612","learning","11/164","182/17643",1.08789650482474e-06,0.00256308416536709,0.000144365774780603,"Tuba1a/Nrxn1/Grm5/Tafa2/Csmd1/Kalrn/Ephb2/Meis2/Pgrmc1/Jph4/Clstn2",11,2.59123713242116,0.0670731707317073,0.0103157059457008,6.5020436880193,16.8483370410203,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
