"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0016358","GO:0016358","dendrite development","52/1176","317/17643",1.32809208030875e-09,6.66436605898932e-06,5.07694515134547e-06,"Phactr1/Nr3c1/Kalrn/Prickle1/Epha4/Asap1/Pacsin1/Cacna1a/Iqsec1/Numb/Cfl1/Map2/Cit/Marcks/Ankrd27/Nlgn1/D130043K22Rik/Dtnbp1/Map6/Hecw2/Ptprs/Tet1/Cpeb3/Csmd3/Sgk1/Lzts1/Mtor/Sh3glb1/Rapgef4/Dscam/Fbxw8/Ctnna2/Fat3/Ngef/Nedd4l/Opa1/Camk2a/Mark1/Ephb2/Crk/Actr2/Nck2/Epha5/Ptprd/Trpc5/Ppp1r9a/Prex1/Bcl11a/Carm1/Il1rapl1/Ephb1/Vldlr",52,5.17624115610414,0.0442176870748299,0.0179674658504789,2.46098628725938,12.7386585047199,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:1990778","GO:1990778","protein localization to cell periphery","58/1176","379/17643",2.24905474179445e-09,1.12857566943245e-05,5.07694515134547e-06,"Actb/Dpp10/Kalrn/Cacng3/Nbea/Lrrc7/Pacsin1/Rab11fip2/Numb/Grin2a/Lgi1/Pip5k1a/Arl13b/Dlg2/Efr3a/Ttc8/Lin7a/Ttc7b/Nrxn3/Kcnb1/Efr3b/Nectin3/Bbip1/Stx8/Cnih3/Pias1/Nsf/Rab40c/Rapgef4/Numa1/Kif13a/Epb41l3/Actn2/Rab8b/Map7/Tspan5/Cacnb2/Sptbn4/Pacs2/Golga4/Camk2a/C2cd5/Ppil2/Ppfia1/Ephb2/Nsg1/Zdhhc2/Arl3/Ank3/Rabep1/Prkcz/Lztfl1/Kcnip4/Rab40b/Gpr158/Snap25/Zdhhc23/Gga2",58,4.94746931676767,0.0493197278911565,0.021481607436377,2.29590490549782,11.3589190741668,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0007409","GO:0007409","axonogenesis","65/1176","456/17643",4.59137455995403e-09,2.30395175418493e-05,6.90961596057643e-06,"Tubb2b/Actb/Actg1/Hsp90aa1/Cdh11/Kalrn/Prickle1/Tubb3/Sema3c/Hsp90ab1/Epha4/Cacna1a/Numb/Lgi1/Uchl1/Map2/Prkca/Stmn1/Ncam1/D130043K22Rik/Ablim1/Plxna2/Ttc8/Auts2/Sema6d/Map6/Flrt2/Nfix/Dip2b/Ptprs/Rtn4rl1/Atg7/Ndn/Lmo4/Tbce/Dixdc1/Adarb1/Dscam/Ece1/Sema6a/Ctnna2/Nfib/Trim46/Cyfip2/Sptbn4/Bcl2/Ulk2/Map3k13/Golga4/Ephb2/Ext1/Ank3/Dnm2/Rufy3/Creb1/Shtn1/Wdr36/Epha5/Trpc5/Chl1/Nrcam/Bcl11a/L1cam/Ephb1/Col25a1",65,4.63752661948087,0.0552721088435374,0.0258459445672505,2.13852152703187,9.91745050794316,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:1990138","GO:1990138","neuron projection extension","37/1176","200/17643",1.26172730348419e-08,6.33134760888365e-05,1.42409168543255e-05,"Hsp90aa1/Prickle1/Sema3c/Hsp90ab1/Map2/D130043K22Rik/Auts2/Sema6d/Dip2b/Impact/Ptprs/Rims2/Ndn/Sh3glb1/Rims1/Cpne1/Dscam/Sema6a/Syt1/Slc23a2/Trim46/Cyfip2/Ulk2/Nedd4l/Map3k13/Golga4/Itsn2/Dnm2/Rufy3/Shtn1/Prkcz/Wdr36/Trpc5/Bcl11a/Tmem108/L1cam/Wasf1",37,4.19850384182906,0.0314625850340136,0.0113359405996713,2.77547193877551,11.6528295978377,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0050773","GO:0050773","regulation of dendrite development","29/1176","138/17643",2.58191691680268e-08,0.000129560590885158,2.33133508550878e-05,"Kalrn/Epha4/Pacsin1/Numb/Cit/Marcks/Ankrd27/D130043K22Rik/Hecw2/Csmd3/Sgk1/Lzts1/Sh3glb1/Rapgef4/Fbxw8/Fat3/Nedd4l/Opa1/Mark1/Ephb2/Crk/Actr2/Ptprd/Trpc5/Prex1/Bcl11a/Carm1/Il1rapl1/Vldlr",29,3.88752707997663,0.0246598639455782,0.00782179901377317,3.1527099970423,12.256245488815,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0042391","GO:0042391","regulation of membrane potential","62/1176","455/17643",5.72955000668132e-08,0.000287508819335268,4.31123508397477e-05,"Ubb/Kcnh1/Ryr2/Gabra4/Atxn1/Cacna1a/Grin2a/Scn8a/Kcnh7/Pank2/Kcnh5/Cacna1i/Nlgn1/Gabrb1/Kcnma1/Trpc4/Kcnb1/Nalcn/Akap7/Rimbp2/Kcnj6/Cnih3/Rims2/Kcnmb4/Kcnip2/Rims4/Mtor/Rapgef4/Rgs7bp/Rims1/Gabra1/Usp53/Actn2/Rab3gap1/Cacnb2/Grik2/Fgf14/Sumo1/Bcl2/Nedd4l/Kcnn2/Ank3/Fgf12/Shtn1/Prkcz/Ano6/Gabrb2/Asic2/Kcnk9/Slc17a7/Slc25a27/Trpc5/Ppp1r9a/Kcnj9/Nrcam/Dgki/Tmem108/Parp1/Ndufs1/Tspan9/Gabrg3/Slc8a1",62,3.54134882878341,0.0527210884353742,0.0257892648642521,2.04430365552815,7.23959235618225,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0031345","GO:0031345","negative regulation of cell projection organization","37/1176","213/17643",7.02254725531911e-08,0.000352391421271913,4.52927897414491e-05,"Ntm/Dleu2/Sema3c/Epha4/Mylip/Cfl1/Map2/Cit/Rap1gap2/Stmn2/Nlgn1/D130043K22Rik/Dtnbp1/Sema6d/Mphosph9/Dip2b/Crmp1/Ptprs/Rtn4rl1/Dpysl3/Tbc1d30/Sema6a/Fat3/Trim46/Ngef/Wdr44/Ulk2/Lrig2/Ephb2/Map4/Dnm2/Rufy3/Trpc5/Bcl11a/Dennd5a/Carm1/Spock1",37,3.45297467273337,0.0314625850340136,0.0120727767386499,2.60607693781738,8.99871766147795,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","42/1176","262/17643",9.91600283980329e-08,0.000497585022501329,5.59601791841004e-05,"Actb/Actg1/Kcnh1/Pacsin1/Cacna1a/Iqsec1/Numb/Prkca/Syndig1/Nlgn1/Dtnbp1/Rab27b/Trim9/Rimbp2/Fbxl20/Sptbn2/Rims2/Rims4/Rapgef4/Bsn/Rims1/Syt1/Usp46/Rab3gap1/Fgf14/Pls3/Camk2a/Itsn2/Eps15/Nsg1/Dnm2/Stxbp5l/Aak1/Ppp3cc/Slc17a7/Rph3a/Ap3b2/Cadps2/Snap25/Prkcb/Hip1/Otof",42,3.3031327005498,0.0357142857142857,0.0148500821855693,2.40498909487459,7.94399812374592,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0048588","GO:0048588","developmental cell growth","42/1176","270/17643",2.32476174841206e-07,0.00116656544535317,0.000109484378257065,"Hsp90aa1/Nr3c1/Prickle1/Sema3c/Hsp90ab1/Map2/D130043K22Rik/Auts2/Sema6d/Nfix/Dip2b/Impact/Ptprs/Rims2/Ndn/Mtor/Sh3glb1/Rims1/Cpne1/Dscam/Sema6a/Syt1/Slc23a2/Trim46/Cyfip2/Ulk2/Nedd4l/Map3k13/Golga4/Itsn2/Ext1/Map2k4/Dnm2/Rufy3/Shtn1/Prkcz/Wdr36/Trpc5/Bcl11a/Tmem108/L1cam/Wasf1",42,2.93309089188226,0.0357142857142857,0.0153035198095562,2.33373015873016,6.84504267268236,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0048813","GO:0048813","dendrite morphogenesis","33/1176","187/17643",2.42504451723507e-07,0.00121688733874856,0.000109484378257065,"Phactr1/Kalrn/Epha4/Cacna1a/Numb/Cfl1/Cit/Marcks/Ankrd27/Nlgn1/Dtnbp1/Map6/Hecw2/Tet1/Sgk1/Lzts1/Sh3glb1/Dscam/Fbxw8/Ctnna2/Ngef/Nedd4l/Opa1/Camk2a/Ephb2/Actr2/Epha5/Ptprd/Trpc5/Ppp1r9a/Il1rapl1/Ephb1/Vldlr",33,2.91474962754206,0.0280612244897959,0.0105991044606926,2.64750900360144,7.71682588216155,"L45ExcitatoryNeurons","24hrvs1hr_SAL"
