"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0035418","GO:0035418","protein localization to synapse","14/296","99/17643",1.09054245683669e-09,3.56825491876965e-06,3.1648690036829e-06,"Homer1/Mapk10/Cacng3/Nrxn3/Camk2a/Grin2a/Kalrn/Bsn/Rapgef4/Nptx1/Snap25/Neto1/Grin1/Clstn3",14,5.4475441268687,0.0472972972972973,0.00561129059683727,8.42895167895168,45.9170862143333,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0042391","GO:0042391","regulation of membrane potential","28/296","455/17643",3.43737840279269e-09,1.12471021339377e-05,3.87824224960574e-06,"Rgs7bp/Nos1ap/Kcnd2/Pex5l/Scn1a/Igsf9b/Scn8a/Cacnb4/Ryr2/Grin2a/Atp2a2/Kcnb1/Rapgef4/Tmem108/Rims2/Nr3c2/Kcnma1/Sumo1/Neto1/Ubb/Rims1/Grin1/Grin2b/Adora1/Slc4a4/Cx3cl1/Usp53/Gabra4",28,4.94895936105118,0.0945945945945946,0.0257892648642521,3.66798336798337,18.1527006251613,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0050890","GO:0050890","cognition","24/296","343/17643",4.00906434942923e-09,1.31176585513324e-05,3.87824224960574e-06,"Tuba1a/Slc24a2/Csmd1/Gpr158/Nrxn3/Brinp1/Plcb1/Cpeb3/Grin2a/Zzef1/Kalrn/Specc1/Ncam1/Rcan2/Clstn2/Snap25/Pde8b/Neto1/Grin1/Grin2b/Adora1/Clstn3/Syt11/Paip2",24,4.88214367784031,0.0810810810810811,0.0194411381284362,4.17059333385864,20.3614358777409,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:1902414","GO:1902414","protein localization to cell junction","15/296","132/17643",6.10066643042205e-09,1.99613805603409e-05,4.42619403912463e-06,"Homer1/Mapk10/Cacng3/Nrxn3/Camk2a/Grin2a/Vcl/Kalrn/Bsn/Rapgef4/Nptx1/Snap25/Neto1/Grin1/Clstn3",15,4.6998094255234,0.0506756756756757,0.00748172079578303,6.77326474201474,31.8330534760862,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:1903539","GO:1903539","protein localization to postsynaptic membrane","11/296","66/17643",1.16580091268861e-08,3.81450058631712e-05,5.69724143940712e-06,"Mapk10/Cacng3/Nrxn3/Camk2a/Grin2a/Kalrn/Rapgef4/Nptx1/Snap25/Neto1/Grin1",11,4.41856231401431,0.0371621621621622,0.00374086039789152,9.93412162162162,43.894535420132,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0007611","GO:0007611","learning or memory","22/296","308/17643",1.25524203883683e-08,4.1071519510741e-05,5.69724143940712e-06,"Tuba1a/Slc24a2/Csmd1/Nrxn3/Brinp1/Plcb1/Cpeb3/Grin2a/Zzef1/Kalrn/Specc1/Ncam1/Rcan2/Clstn2/Snap25/Pde8b/Neto1/Grin1/Grin2b/Clstn3/Syt11/Paip2",22,4.38645922938588,0.0743243243243243,0.0174573485234937,4.2574806949807,18.6752654884303,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0062237","GO:0062237","protein localization to postsynapse","11/296","67/17643",1.3741986061682e-08,4.49637783938236e-05,5.69724143940712e-06,"Mapk10/Cacng3/Nrxn3/Camk2a/Grin2a/Kalrn/Rapgef4/Nptx1/Snap25/Neto1/Grin1",11,4.34713720129485,0.0371621621621622,0.00379754010088987,9.78585114965712,42.5404375790085,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0007269","GO:0007269","neurotransmitter secretion","16/296","165/17643",1.89530984588739e-08,6.20145381574354e-05,6.11154297673863e-06,"Stxbp5l/Nr4a1/Trim9/Rph3a/Gpr158/Nrxn3/Cacnb4/Camk2a/Prepl/Atp2a2/Prkcb/Rims2/Snap25/Rims1/Syt11/Ica1",16,4.20750648628542,0.0540540540540541,0.00935215099472879,5.77985257985258,24.3187672195033,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0099643","GO:0099643","signal release from synapse","16/296","165/17643",1.89530984588739e-08,6.20145381574354e-05,6.11154297673863e-06,"Stxbp5l/Nr4a1/Trim9/Rph3a/Gpr158/Nrxn3/Cacnb4/Camk2a/Prepl/Atp2a2/Prkcb/Rims2/Snap25/Rims1/Syt11/Ica1",16,4.20750648628542,0.0540540540540541,0.00935215099472879,5.77985257985258,24.3187672195033,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0006836","GO:0006836","neurotransmitter transport","18/296","217/17643",2.83618574805364e-08,9.27999976763152e-05,8.23090958671989e-06,"Stxbp5l/Nr4a1/Trim9/Rph3a/Gpr158/Slc1a2/Nrxn3/Cacnb4/Camk2a/Prepl/Atp2a2/Prkcb/Rims2/Snap25/Rims1/Syt11/Ica1/Slc6a17",18,4.03245203465574,0.0608108108108108,0.0122994955506433,4.944171129655,19.9371329314635,"L56ExcitatoryNeurons","PTZvsSAL_1hr"
