"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",5.88303138644704,501,"axonogenesis","axonogenesis",0.758181818181818,0.4412,0
"GO:0016358","GO:0016358",1,"GO:0007409",5.63275930669442,327,"dendrite development","axonogenesis",0.773772727272727,0.4144,0.762
"GO:0050803","GO:0050803",2,"GO:0050803",3.26268564644835,317,"regulation of synapse structure or activity","regulation of synapse structure or activity",0.870272727272727,0.492333333333333,0
"GO:0050807","GO:0050807",2,"GO:0050803",3.13004682499049,309,"regulation of synapse organization","regulation of synapse structure or activity",0.742818181818182,0.492666666666667,0.995
"GO:0031346","GO:0031346",1,"GO:0007409",3.12952015773074,463,"positive regulation of cell projection organization","axonogenesis",0.758318181818182,0.4128,0.687
"GO:0099072","GO:0099072",3,"GO:0099072",3.02453266733074,133,"regulation of postsynaptic membrane neurotransmitter receptor levels","regulation of postsynaptic membrane neurotransmitter receptor levels",0.8965,1,0
"GO:0007265","GO:0007265",4,"GO:0007265",2.9030432048634,342,"Ras protein signal transduction","Ras protein signal transduction",0.774136363636364,0.2628,0
"GO:0051056","GO:0051056",4,"GO:0007265",2.67420933819156,230,"regulation of small GTPase mediated signal transduction","Ras protein signal transduction",0.767090909090909,0.2534,0.912
"GO:0046578","GO:0046578",4,"GO:0007265",2.5798171855472,199,"regulation of Ras protein signal transduction","Ras protein signal transduction",0.766590909090909,0.2474,0.942
"GO:0043087","GO:0043087",5,"GO:0043087",2.56257595124065,345,"regulation of GTPase activity","regulation of GTPase activity",0.950409090909091,1,0
"GO:0031345","GO:0031345",1,"GO:0007409",2.50167148716512,221,"negative regulation of cell projection organization","axonogenesis",0.760454545454545,0.4376,0.644
"GO:1990138","GO:1990138",6,"GO:1990138",2.11144658472815,211,"neuron projection extension","neuron projection extension",0.692227272727273,0.28325,0
"GO:0050773","GO:0050773",1,"GO:0007409",2.08365106911102,145,"regulation of dendrite development","axonogenesis",0.723590909090909,0.3692,0.701
"GO:0018105","GO:0018105",7,"GO:0018105",2.02772403042151,331,"peptidyl-serine phosphorylation","peptidyl-serine phosphorylation",0.937,0.5025,0
"GO:0048588","GO:0048588",6,"GO:1990138",2.0046383566834,291,"developmental cell growth","neuron projection extension",0.792363636363636,0.313,0.973
"GO:0099003","GO:0099003",8,"GO:0099003",1.87123382985535,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.981454545454545,1,0
"GO:0007264","GO:0007264",4,"GO:0007265",1.76242927165075,428,"small GTPase mediated signal transduction","Ras protein signal transduction",0.774045454545454,0.2678,0.975
"GO:0018209","GO:0018209",7,"GO:0018105",1.60614872164349,343,"peptidyl-serine modification","peptidyl-serine phosphorylation",0.954772727272727,0.5025,0.995
"GO:0016049","GO:0016049",6,"GO:1990138",1.60526740221177,556,"cell growth","neuron projection extension",0.861318181818182,0.3265,0.926
"GO:0048167","GO:0048167",2,"GO:0050803",1.53009966361946,393,"regulation of synaptic plasticity","regulation of synapse structure or activity",0.808636363636364,0.648333333333333,0.528
"GO:0060560","GO:0060560",6,"GO:1990138",1.47552936795591,292,"developmental growth involved in morphogenesis","neuron projection extension",0.834454545454545,0.34725,0.968
"GO:0046580","GO:0046580",4,"GO:0007265",1.42443594704239,56,"negative regulation of Ras protein signal transduction","Ras protein signal transduction",0.774045454545454,0.2986,0.857
