"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0002181","GO:0002181",1,"GO:0002181",26.7003600254055,148,"cytoplasmic translation","cytoplasmic translation",0.942796610169492,0.534,0
"GO:0140236","GO:0140236",1,"GO:0002181",13.490276646841,47,"translation at presynapse","cytoplasmic translation",0.93464406779661,0.379,0.612
"GO:0140242","GO:0140242",1,"GO:0002181",13.3080496802724,48,"translation at postsynapse","cytoplasmic translation",0.934694915254237,0.3795,0.611
"GO:0140241","GO:0140241",1,"GO:0002181",13.3080496802724,48,"translation at synapse","cytoplasmic translation",0.932372881355932,0.362,0.641
"GO:0099003","GO:0099003",2,"GO:0099003",8.21987931713637,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.718627118644068,0.379,0
"GO:0099504","GO:0099504",2,"GO:0099003",7.4083823486655,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.711372881355932,0.374,0.982
"GO:0000028","GO:0000028",3,"GO:0000028",3.82558190684202,21,"ribosomal small subunit assembly","ribosomal small subunit assembly",0.842423728813559,0.3348,0
"GO:0051924","GO:0051924",4,"GO:0051924",3.79283465414656,296,"regulation of calcium ion transport","regulation of calcium ion transport",0.702745762711864,0.188555555555556,0
"GO:0048167","GO:0048167",5,"GO:0048167",3.48556226903693,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.806372881355932,0.648333333333333,0
"GO:2000300","GO:2000300",6,"GO:2000300",3.32174914852982,59,"regulation of synaptic vesicle exocytosis","regulation of synaptic vesicle exocytosis",0.603135593220339,0.3324,0
"GO:0031338","GO:0031338",6,"GO:2000300",3.20246822049137,33,"regulation of vesicle fusion","regulation of synaptic vesicle exocytosis",0.596966101694915,0.5186,0.66
"GO:0022613","GO:0022613",3,"GO:0000028",3.11294032336337,440,"ribonucleoprotein complex biogenesis","ribosomal small subunit assembly",0.82671186440678,0.3212,0.747
"GO:0016079","GO:0016079",7,"GO:0016079",3.09344063749121,115,"synaptic vesicle exocytosis","synaptic vesicle exocytosis",0.616254237288136,0.23025,0
"GO:0048791","GO:0048791",7,"GO:0016079",3.02509126784051,25,"calcium ion-regulated exocytosis of neurotransmitter","synaptic vesicle exocytosis",0.665457627118644,0.318625,0.862
"GO:0050807","GO:0050807",5,"GO:0048167",2.82146355042196,309,"regulation of synapse organization","regulation of synaptic plasticity",0.713677966101695,0.492666666666667,0.527
"GO:0031346","GO:0031346",8,"GO:0031346",2.70484555888296,463,"positive regulation of cell projection organization","positive regulation of cell projection organization",0.760779661016949,0.461333333333333,0
"GO:0046928","GO:0046928",6,"GO:2000300",2.6984303425722,106,"regulation of neurotransmitter secretion","regulation of synaptic vesicle exocytosis",0.626610169491525,0.3938,0.964
"GO:0042274","GO:0042274",3,"GO:0000028",2.65104776342398,104,"ribosomal small subunit biogenesis","ribosomal small subunit assembly",0.840949152542373,0.3252,0.882
"GO:0050803","GO:0050803",5,"GO:0048167",2.63273440172429,317,"regulation of synapse structure or activity","regulation of synaptic plasticity",0.856677966101695,0.492333333333333,0.528
"GO:0042254","GO:0042254",3,"GO:0000028",2.60961963377963,322,"ribosome biogenesis","ribosomal small subunit assembly",0.827847457627119,0.3088,0.767
"GO:0045055","GO:0045055",7,"GO:0016079",2.59045725958922,267,"regulated exocytosis","synaptic vesicle exocytosis",0.702779661016949,0.287,0.941
"GO:0046166","GO:0046166",9,"GO:0046166",2.38134042348096,12,"glyceraldehyde-3-phosphate biosynthetic process","glyceraldehyde-3-phosphate biosynthetic process",0.940762711864407,0.359666666666667,0
"GO:1901632","GO:1901632",10,"GO:1901632",2.38119149196124,19,"regulation of synaptic vesicle membrane organization","regulation of synaptic vesicle membrane organization",0.753847457627119,0.180833333333333,0
"GO:0031630","GO:0031630",10,"GO:1901632",2.38119149196124,19,"regulation of synaptic vesicle fusion to presynaptic active zone membrane","regulation of synaptic vesicle membrane organization",0.488881355932203,0.180833333333333,1
"GO:0034765","GO:0034765",4,"GO:0051924",2.35553590129782,490,"regulation of monoatomic ion transmembrane transport","regulation of calcium ion transport",0.687169491525424,0.233888888888889,0.889
"GO:0030100","GO:0030100",6,"GO:2000300",2.2594769850173,344,"regulation of endocytosis","regulation of synaptic vesicle exocytosis",0.584661016949153,0.4658,0.762
"GO:0010959","GO:0010959",4,"GO:0051924",2.24739536502776,461,"regulation of metal ion transport","regulation of calcium ion transport",0.699440677966102,0.221888888888889,0.943
"GO:0031629","GO:0031629",7,"GO:0016079",2.19528457795781,31,"synaptic vesicle fusion to presynaptic active zone membrane","synaptic vesicle exocytosis",0.529627118644068,0.239625,0.879
"GO:0032409","GO:0032409",11,"GO:0032409",2.18626114543709,307,"regulation of transporter activity","regulation of transporter activity",0.935610169491525,0.5025,0
"GO:0099072","GO:0099072",12,"GO:0099072",2.1755074925559,133,"regulation of postsynaptic membrane neurotransmitter receptor levels","regulation of postsynaptic membrane neurotransmitter receptor levels",0.87164406779661,1,0
"GO:0099173","GO:0099173",13,"GO:0099173",2.1719408157008,252,"postsynapse organization","postsynapse organization",0.858135593220339,1,0
"GO:1990138","GO:1990138",14,"GO:1990138",2.14411513948816,211,"neuron projection extension","neuron projection extension",0.829796610169492,0.438666666666667,0
"GO:0006816","GO:0006816",4,"GO:0051924",2.13638586243624,469,"calcium ion transport","regulation of calcium ion transport",0.760220338983051,0.252555555555556,0.923
"GO:0099500","GO:0099500",7,"GO:0016079",2.09533508711707,32,"vesicle fusion to plasma membrane","synaptic vesicle exocytosis",0.625898305084746,0.336375,0.731
"GO:1903169","GO:1903169",4,"GO:0051924",2.04292762278007,203,"regulation of calcium ion transmembrane transport","regulation of calcium ion transport",0.693118644067797,0.178777777777778,0.967
"GO:0042255","GO:0042255",3,"GO:0000028",2.02967101722559,66,"ribosome assembly","ribosomal small subunit assembly",0.834610169491525,0.3344,0.93
"GO:0043954","GO:0043954",15,"GO:0043954",1.96294021690459,86,"cellular component maintenance","cellular component maintenance",0.879,1,0
"GO:1901634","GO:1901634",10,"GO:1901632",1.95034810936827,13,"positive regulation of synaptic vesicle membrane organization","regulation of synaptic vesicle membrane organization",0.747966101694915,0.180666666666667,0.98
"GO:0099502","GO:0099502",10,"GO:1901632",1.95034810936827,13,"calcium-dependent activation of synaptic vesicle fusion","regulation of synaptic vesicle membrane organization",0.489847457627119,0.180666666666667,0.98
"GO:0031632","GO:0031632",10,"GO:1901632",1.95034810936827,13,"positive regulation of synaptic vesicle fusion to presynaptic active zone membrane","regulation of synaptic vesicle membrane organization",0.489847457627119,0.180666666666667,0.98
"GO:0070588","GO:0070588",4,"GO:0051924",1.9097116879804,354,"calcium ion transmembrane transport","regulation of calcium ion transport",0.748169491525424,0.238222222222222,0.886
"GO:0007409","GO:0007409",8,"GO:0031346",1.89942432663366,501,"axonogenesis","positive regulation of cell projection organization",0.828779661016949,0.528,0.687
"GO:0051588","GO:0051588",6,"GO:2000300",1.88591568882125,126,"regulation of neurotransmitter transport","regulation of synaptic vesicle exocytosis",0.705033898305085,0.3934,0.952
"GO:0022898","GO:0022898",11,"GO:0032409",1.83457981070555,294,"regulation of transmembrane transporter activity","regulation of transporter activity",0.704796610169492,0.5025,0.995
"GO:0048499","GO:0048499",10,"GO:1901632",1.816540139265,35,"synaptic vesicle membrane organization","regulation of synaptic vesicle membrane organization",0.799067796610169,0.197,0.975
"GO:0140029","GO:0140029",7,"GO:0016079",1.80513178877199,104,"exocytic process","synaptic vesicle exocytosis",0.714694915254237,0.304625,0.805
"GO:0099643","GO:0099643",7,"GO:0016079",1.7988347345462,174,"signal release from synapse","synaptic vesicle exocytosis",0.692152542372881,0.282375,0.97
"GO:0007269","GO:0007269",7,"GO:0016079",1.7988347345462,174,"neurotransmitter secretion","synaptic vesicle exocytosis",0.648,0.282375,0.97
"GO:1904062","GO:1904062",4,"GO:0051924",1.72382381929881,367,"regulation of monoatomic cation transmembrane transport","regulation of calcium ion transport",0.690220338983051,0.227666666666667,0.869
"GO:0051928","GO:0051928",4,"GO:0051924",1.62649492471881,151,"positive regulation of calcium ion transport","regulation of calcium ion transport",0.703203389830508,0.225888888888889,0.925
"GO:0046184","GO:0046184",9,"GO:0046166",1.60927930544451,28,"aldehyde biosynthetic process","glyceraldehyde-3-phosphate biosynthetic process",0.941745762711864,0.411666666666667,0.947
"GO:0019682","GO:0019682",9,"GO:0046166",1.59630355481877,16,"glyceraldehyde-3-phosphate metabolic process","glyceraldehyde-3-phosphate biosynthetic process",0.946457627118644,0.402666666666667,0.974
"GO:0036465","GO:0036465",2,"GO:0099003",1.57905485280148,90,"synaptic vesicle recycling","vesicle-mediated transport in synapse",0.736796610169492,0.407666666666667,0.881
"GO:1903522","GO:1903522",16,"GO:1903522",1.38938204945759,268,"regulation of blood circulation","regulation of blood circulation",0.935406779661017,1,0
