"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0050807","GO:0050807",1,"GO:0050807",21.2743908309908,309,"regulation of synapse organization","regulation of synapse organization",0.77124064171123,0.501333333333333,0
"GO:0050803","GO:0050803",1,"GO:0050807",20.6926299001814,317,"regulation of synapse structure or activity","regulation of synapse organization",0.885588235294118,0.501,0.995
"GO:0007416","GO:0007416",2,"GO:0007416",20.0361661078931,222,"synapse assembly","synapse assembly",0.773534759358289,0.214555555555556,0
"GO:0099173","GO:0099173",2,"GO:0007416",19.8275361456598,252,"postsynapse organization","synapse assembly",0.861540106951872,0.254833333333333,0.818
"GO:0007409","GO:0007409",3,"GO:0007409",17.2782200278208,501,"axonogenesis","axonogenesis",0.771288770053476,0.311,0
"GO:0007611","GO:0007611",4,"GO:0007611",16.4323629355149,331,"learning or memory","learning or memory",0.864609625668449,0.276333333333333,0
"GO:0034329","GO:0034329",2,"GO:0007416",15.6691351104347,481,"cell junction assembly","synapse assembly",0.85892513368984,0.237111111111111,0.948
"GO:0050890","GO:0050890",4,"GO:0007611",15.1474298361191,371,"cognition","learning or memory",0.880737967914438,0.2805,0.988
"GO:0048167","GO:0048167",5,"GO:0048167",13.8324961353045,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.851021390374332,0.32925,0
"GO:0007612","GO:0007612",4,"GO:0007611",10.8923078073487,192,"learning","learning or memory",0.87120320855615,0.290333333333333,0.939
"GO:1990778","GO:1990778",6,"GO:1990778",10.5625870154245,400,"protein localization to cell periphery","protein localization to cell periphery",0.879791443850267,0.316222222222222,0
"GO:0098742","GO:0098742",7,"GO:0098742",10.2089500417538,211,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.976898395721925,0.396,0
"GO:0060560","GO:0060560",8,"GO:0060560",10.071515855968,292,"developmental growth involved in morphogenesis","developmental growth involved in morphogenesis",0.890342245989305,0.250111111111111,0
"GO:0051963","GO:0051963",2,"GO:0007416",9.89061973565078,144,"regulation of synapse assembly","synapse assembly",0.708893048128342,0.210888888888889,0.949
"GO:1990138","GO:1990138",8,"GO:0060560",9.69495837247319,211,"neuron projection extension","developmental growth involved in morphogenesis",0.764374331550802,0.214333333333333,0.968
"GO:0048588","GO:0048588",8,"GO:0060560",9.50847085029644,291,"developmental cell growth","developmental growth involved in morphogenesis",0.868352941176471,0.221444444444444,0.825
"GO:0016358","GO:0016358",9,"GO:0016358",9.324888503662,327,"dendrite development","dendrite development",0.789122994652406,0.323,0
"GO:0022898","GO:0022898",10,"GO:0022898",9.20292969948163,294,"regulation of transmembrane transporter activity","regulation of transmembrane transporter activity",0.805914438502674,0.371777777777778,0
"GO:0032412","GO:0032412",10,"GO:0022898",8.89786330889251,283,"regulation of monoatomic ion transmembrane transporter activity","regulation of transmembrane transporter activity",0.806363636363636,0.373111111111111,0.995
"GO:1901888","GO:1901888",2,"GO:0007416",8.76677732082396,246,"regulation of cell junction assembly","synapse assembly",0.819513368983957,0.252166666666667,0.888
"GO:0032409","GO:0032409",10,"GO:0022898",8.65610793321718,307,"regulation of transporter activity","regulation of transmembrane transporter activity",0.920021390374332,0.371,0.995
"GO:0099072","GO:0099072",1,"GO:0050807",8.59725811734409,133,"regulation of postsynaptic membrane neurotransmitter receptor levels","regulation of synapse organization",0.901989304812834,0.665666666666667,0.501
"GO:0099003","GO:0099003",11,"GO:0099003",8.49597060501735,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.88183422459893,0.379,0
"GO:0099504","GO:0099504",11,"GO:0099003",8.41107312689427,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.872213903743316,0.374,0.982
"GO:0097485","GO:0097485",3,"GO:0007409",8.41107312689427,252,"neuron projection guidance","axonogenesis",0.784898395721925,0.3294,0.859
"GO:0007411","GO:0007411",3,"GO:0007409",8.41107312689427,252,"axon guidance","axonogenesis",0.783502673796791,0.304,0.927
"GO:0007626","GO:0007626",12,"GO:0007626",8.38950392114319,273,"locomotory behavior","locomotory behavior",0.906117647058823,0.362,0
"GO:0042391","GO:0042391",13,"GO:0042391",8.24827744464042,491,"regulation of membrane potential","regulation of membrane potential",0.883705882352941,0.304666666666667,0
"GO:0048813","GO:0048813",9,"GO:0016358",8.14638004875477,192,"dendrite morphogenesis","dendrite development",0.790465240641711,0.341818181818182,0.95
"GO:0099175","GO:0099175",2,"GO:0007416",8.14352568743404,139,"regulation of postsynapse organization","synapse assembly",0.782048128342246,0.267055555555556,0.769
"GO:0001764","GO:0001764",14,"GO:0001764",7.96827111333549,206,"neuron migration","neuron migration",0.847395721925134,0.5505,0
"GO:0048638","GO:0048638",8,"GO:0060560",6.81897156672098,405,"regulation of developmental growth","developmental growth involved in morphogenesis",0.856032085561497,0.240666666666667,0.837
"GO:0031345","GO:0031345",9,"GO:0016358",6.71671243490806,221,"negative regulation of cell projection organization","dendrite development",0.836491978609626,0.375181818181818,0.602
"GO:0099172","GO:0099172",2,"GO:0007416",6.656730278093,63,"presynapse organization","synapse assembly",0.875235294117647,0.317111111111111,0.729
"GO:0099054","GO:0099054",2,"GO:0007416",6.57001184248434,55,"presynapse assembly","synapse assembly",0.793245989304813,0.245722222222222,0.881
"GO:0097106","GO:0097106",2,"GO:0007416",6.54661946411778,45,"postsynaptic density organization","synapse assembly",0.874636363636364,0.304444444444444,0.712
"GO:0099643","GO:0099643",15,"GO:0099643",6.37997601953467,174,"signal release from synapse","signal release from synapse",0.823374331550802,0.280875,0
"GO:0007269","GO:0007269",15,"GO:0099643",6.37997601953467,174,"neurotransmitter secretion","signal release from synapse",0.765064171122995,0.280875,0.998
"GO:0050770","GO:0050770",3,"GO:0007409",6.22863999549177,186,"regulation of axonogenesis","axonogenesis",0.751213903743316,0.3552,0.882
"GO:0099084","GO:0099084",2,"GO:0007416",6.19347170930987,56,"postsynaptic specialization organization","synapse assembly",0.872288770053476,0.293166666666667,0.728
"GO:1903539","GO:1903539",6,"GO:1990778",6.09592609277844,67,"protein localization to postsynaptic membrane","protein localization to cell periphery",0.879946524064171,0.175444444444445,0.885
"GO:0097120","GO:0097120",16,"GO:0097120",6.0948364947824,87,"receptor localization to synapse","receptor localization to synapse",0.916395721925134,0.5395,0
"GO:0007613","GO:0007613",4,"GO:0007611",6.02721489532211,164,"memory","learning or memory",0.874508021390374,0.3205,0.917
"GO:0030003","GO:0030003",17,"GO:0030003",5.99107387697801,543,"intracellular monoatomic cation homeostasis","intracellular monoatomic cation homeostasis",0.980106951871658,0.256,0
"GO:0062237","GO:0062237",6,"GO:1990778",5.99027922070401,68,"protein localization to postsynapse","protein localization to cell periphery",0.887336898395722,0.281777777777778,0.554
"GO:0035418","GO:0035418",6,"GO:1990778",5.91329786896211,100,"protein localization to synapse","protein localization to cell periphery",0.885663101604278,0.282444444444444,0.567
"GO:0034765","GO:0034765",18,"GO:0034765",5.71746593951153,490,"regulation of monoatomic ion transmembrane transport","regulation of monoatomic ion transmembrane transport",0.814754010695187,0.237071428571429,0
"GO:0006873","GO:0006873",17,"GO:0030003",5.67398101813413,554,"intracellular monoatomic ion homeostasis","intracellular monoatomic cation homeostasis",0.980144385026738,0.2574,0.993
"GO:0099560","GO:0099560",7,"GO:0098742",5.56994228014753,36,"synaptic membrane adhesion","cell-cell adhesion via plasma-membrane adhesion molecules",0.873604278074866,0.426,0.893
"GO:0016049","GO:0016049",8,"GO:0060560",5.42262110241527,556,"cell growth","developmental growth involved in morphogenesis",0.939636363636364,0.225444444444444,0.818
"GO:0031346","GO:0031346",9,"GO:0016358",5.41750958846884,463,"positive regulation of cell projection organization","dendrite development",0.82324064171123,0.353818181818182,0.64
"GO:0010959","GO:0010959",18,"GO:0034765",5.34824885850882,461,"regulation of metal ion transport","regulation of monoatomic ion transmembrane transport",0.830128342245989,0.229285714285714,0.938
"GO:0008038","GO:0008038",19,"GO:0008038",5.28031276465788,47,"neuron recognition","neuron recognition",0.854155080213904,0.5445,0
"GO:0048814","GO:0048814",9,"GO:0016358",5.27130515591846,99,"regulation of dendrite morphogenesis","dendrite development",0.762475935828877,0.300090909090909,0.895
"GO:0001508","GO:0001508",13,"GO:0042391",5.2059262887532,158,"action potential","regulation of membrane potential",0.89027807486631,0.270166666666667,0.903
"GO:0007215","GO:0007215",20,"GO:0007215",5.02800529757377,49,"glutamate receptor signaling pathway","glutamate receptor signaling pathway",0.925957219251337,1,0
"GO:0021953","GO:0021953",21,"GO:0021953",4.94999832822902,212,"central nervous system neuron differentiation","central nervous system neuron differentiation",0.837010695187166,0.408111111111111,0
"GO:0099645","GO:0099645",6,"GO:1990778",4.83333774365056,41,"neurotransmitter receptor localization to postsynaptic specialization membrane","protein localization to cell periphery",0.806994652406417,0.195222222222222,0.848
"GO:0099633","GO:0099633",6,"GO:1990778",4.83333774365056,41,"protein localization to postsynaptic specialization membrane","protein localization to cell periphery",0.884106951871658,0.195222222222222,0.848
"GO:0106027","GO:0106027",9,"GO:0016358",4.83092242902156,118,"neuron projection organization","dendrite development",0.894705882352941,0.456,0.58
"GO:0008361","GO:0008361",22,"GO:0008361",4.80861549978213,222,"regulation of cell size","regulation of cell size",0.838016042780749,0.28725,0
"GO:0006941","GO:0006941",23,"GO:0006941",4.76027855106609,178,"striated muscle contraction","striated muscle contraction",0.879390374331551,0.204714285714286,0
"GO:0050919","GO:0050919",24,"GO:0050919",4.69989533577752,43,"negative chemotaxis","negative chemotaxis",0.976101604278075,0.478,0
"GO:0051961","GO:0051961",25,"GO:0051961",4.64713406395916,183,"negative regulation of nervous system development","negative regulation of nervous system development",0.814978609625668,0.268333333333333,0
"GO:0060291","GO:0060291",5,"GO:0048167",4.63657203020075,260,"long-term synaptic potentiation","regulation of synaptic plasticity",0.84816577540107,0.32975,0.948
"GO:0048168","GO:0048168",5,"GO:0048167",4.63544838695765,73,"regulation of neuronal synaptic plasticity","regulation of synaptic plasticity",0.867775401069519,0.3935,0.875
"GO:0003015","GO:0003015",26,"GO:0003015",4.63376699974865,252,"heart process","heart process",0.872534759358289,0.208428571428571,0
"GO:0097061","GO:0097061",9,"GO:0016358",4.61952858207831,108,"dendritic spine organization","dendrite development",0.847026737967914,0.459818181818182,0.575
"GO:0060048","GO:0060048",23,"GO:0006941",4.57323139911902,134,"cardiac muscle contraction","striated muscle contraction",0.869032085561497,0.214714285714286,0.973
"GO:0060047","GO:0060047",26,"GO:0003015",4.50396596371536,239,"heart contraction","heart process",0.872732620320856,0.206857142857143,0.993
"GO:0050767","GO:0050767",25,"GO:0051961",4.48383069277605,494,"regulation of neurogenesis","negative regulation of nervous system development",0.785358288770053,0.2715,0.871
"GO:0048675","GO:0048675",8,"GO:0060560",4.32916402485845,143,"axon extension","developmental growth involved in morphogenesis",0.768791443850267,0.233444444444444,0.941
"GO:0016079","GO:0016079",15,"GO:0099643",4.28797501049496,115,"synaptic vesicle exocytosis","signal release from synapse",0.760882352941176,0.2085,0.97
"GO:0050768","GO:0050768",25,"GO:0051961",4.24488386176184,175,"negative regulation of neurogenesis","negative regulation of nervous system development",0.798213903743315,0.2275,0.995
"GO:0098771","GO:0098771",17,"GO:0030003",4.23773120111493,557,"inorganic ion homeostasis","intracellular monoatomic cation homeostasis",0.980775401069519,0.281,0.852
"GO:0001505","GO:0001505",27,"GO:0001505",4.20134964163415,220,"regulation of neurotransmitter levels","regulation of neurotransmitter levels",0.890475935828877,0.549,0
"GO:0030534","GO:0030534",12,"GO:0007626",4.16638177673977,191,"adult behavior","locomotory behavior",0.909320855614973,0.403333333333333,0.718
"GO:0050773","GO:0050773",9,"GO:0016358",4.16230403427467,145,"regulation of dendrite development","dendrite development",0.76116577540107,0.289636363636364,0.924
"GO:0061387","GO:0061387",22,"GO:0008361",4.14873401309043,129,"regulation of extent of cell growth","regulation of cell size",0.79275935828877,0.287,0.962
"GO:1904861","GO:1904861",2,"GO:0007416",4.11960128264846,38,"excitatory synapse assembly","synapse assembly",0.801577540106952,0.296833333333333,0.858
"GO:0050806","GO:0050806",5,"GO:0048167",4.11160785144017,348,"positive regulation of synaptic transmission","regulation of synaptic plasticity",0.886427807486631,0.352625,0.806
"GO:0070588","GO:0070588",18,"GO:0034765",3.98342810375456,354,"calcium ion transmembrane transport","regulation of monoatomic ion transmembrane transport",0.859893048128342,0.2565,0.801
"GO:0048791","GO:0048791",15,"GO:0099643",3.92419737526515,25,"calcium ion-regulated exocytosis of neurotransmitter","signal release from synapse",0.791652406417112,0.2825,0.835
"GO:0006836","GO:0006836",28,"GO:0006836",3.87229853006981,230,"neurotransmitter transport","neurotransmitter transport",0.898229946524064,1,0
"GO:0099068","GO:0099068",2,"GO:0007416",3.8672914634491,50,"postsynapse assembly","synapse assembly",0.791304812834225,0.237277777777778,0.884
"GO:0008306","GO:0008306",4,"GO:0007611",3.85552435302576,123,"associative learning","learning or memory",0.876187165775401,0.313166666666667,0.899
"GO:0019932","GO:0019932",29,"GO:0019932",3.76752885617989,328,"second-messenger-mediated signaling","second-messenger-mediated signaling",0.913320855614973,0.5205,0
"GO:1902414","GO:1902414",6,"GO:1990778",3.75451117654702,133,"protein localization to cell junction","protein localization to cell periphery",0.884673796791444,0.286111111111111,0.575
"GO:0010977","GO:0010977",9,"GO:0016358",3.74678448551609,165,"negative regulation of neuron projection development","dendrite development",0.76451871657754,0.347636363636364,0.674
"GO:0035249","GO:0035249",5,"GO:0048167",3.73817452131553,129,"synaptic transmission, glutamatergic","regulation of synaptic plasticity",0.909850267379679,0.401125,0.677
"GO:1904062","GO:1904062",18,"GO:0034765",3.69797247060126,367,"regulation of monoatomic cation transmembrane transport","regulation of monoatomic ion transmembrane transport",0.816491978609626,0.227142857142857,0.973
"GO:0006874","GO:0006874",17,"GO:0030003",3.68978754939725,327,"intracellular calcium ion homeostasis","intracellular monoatomic cation homeostasis",0.979513368983957,0.2338,0.951
"GO:0006936","GO:0006936",23,"GO:0006941",3.65667094458211,324,"muscle contraction","striated muscle contraction",0.875711229946524,0.213428571428571,0.946
"GO:0055074","GO:0055074",17,"GO:0030003",3.43847772319331,353,"calcium ion homeostasis","intracellular monoatomic cation homeostasis",0.979791443850267,0.2442,0.924
"GO:0072659","GO:0072659",6,"GO:1990778",3.42949554614281,315,"protein localization to plasma membrane","protein localization to cell periphery",0.879893048128342,0.329444444444444,0.971
"GO:0097107","GO:0097107",2,"GO:0007416",3.40704585279159,27,"postsynaptic density assembly","synapse assembly",0.79731550802139,0.232111111111111,0.839
"GO:0099587","GO:0099587",30,"GO:0099587",3.38569468574402,125,"inorganic ion import across plasma membrane","inorganic ion import across plasma membrane",0.884449197860963,0.361,0
"GO:0098659","GO:0098659",30,"GO:0099587",3.38569468574402,125,"inorganic cation import across plasma membrane","inorganic ion import across plasma membrane",0.884197860962567,0.360666666666667,0.998
"GO:0021954","GO:0021954",21,"GO:0021953",3.31291564504726,98,"central nervous system neuron development","central nervous system neuron differentiation",0.842106951871658,0.437222222222222,0.93
"GO:0031503","GO:0031503",16,"GO:0097120",3.29908397376838,244,"protein-containing complex localization","receptor localization to synapse",0.910893048128342,0.5395,0.921
"GO:0060078","GO:0060078",13,"GO:0042391",3.29363575712529,130,"regulation of postsynaptic membrane potential","regulation of membrane potential",0.895663101604278,0.367333333333333,0.862
"GO:0006935","GO:0006935",24,"GO:0050919",3.19062985988923,462,"chemotaxis","negative chemotaxis",0.971395721925134,0.407333333333333,0.783
"GO:0003012","GO:0003012",23,"GO:0006941",3.18217703167563,446,"muscle system process","striated muscle contraction",0.874171122994652,0.235,0.915
"GO:0086001","GO:0086001",13,"GO:0042391",3.17404001673948,60,"cardiac muscle cell action potential","regulation of membrane potential",0.895732620320856,0.285333333333333,0.846
"GO:0008344","GO:0008344",12,"GO:0007626",3.15186722610959,112,"adult locomotory behavior","locomotory behavior",0.910641711229947,0.345333333333333,0.928
"GO:0086003","GO:0086003",31,"GO:0086003",3.15083073299771,72,"cardiac muscle cell contraction","cardiac muscle cell contraction",0.861401069518717,0.5095,0
"GO:0032535","GO:0032535",22,"GO:0008361",3.14305241106463,411,"regulation of cellular component size","regulation of cell size",0.83055614973262,0.31575,0.941
"GO:0042330","GO:0042330",24,"GO:0050919",3.13514025147302,464,"taxis","negative chemotaxis",0.974331550802139,0.407333333333333,0.783
"GO:0050905","GO:0050905",4,"GO:0007611",3.11266837602567,204,"neuromuscular process","learning or memory",0.894090909090909,0.522833333333333,0.599
"GO:0043954","GO:0043954",32,"GO:0043954",3.10849293932804,86,"cellular component maintenance","cellular component maintenance",0.919299465240642,0.5315,0
"GO:0051965","GO:0051965",2,"GO:0007416",3.03769821730399,82,"positive regulation of synapse assembly","synapse assembly",0.697358288770053,0.247,0.89
"GO:1905606","GO:1905606",2,"GO:0007416",3.03262285045835,39,"regulation of presynapse assembly","synapse assembly",0.733069518716578,0.237888888888889,0.85
"GO:0098698","GO:0098698",2,"GO:0007416",3.03262285045835,38,"postsynaptic specialization assembly","synapse assembly",0.793064171122995,0.227555555555556,0.866
"GO:0050771","GO:0050771",25,"GO:0051961",2.99343844057272,71,"negative regulation of axonogenesis","negative regulation of nervous system development",0.747090909090909,0.267666666666667,0.933
"GO:0002028","GO:0002028",18,"GO:0034765",2.98561067315034,102,"regulation of sodium ion transport","regulation of monoatomic ion transmembrane transport",0.847491978609626,0.283928571428571,0.816
"GO:0006887","GO:0006887",15,"GO:0099643",2.90910686653686,395,"exocytosis","signal release from synapse",0.873021390374332,0.253125,0.785
"GO:0097479","GO:0097479",33,"GO:0097479",2.82565593142909,61,"synaptic vesicle localization","synaptic vesicle localization",0.923272727272727,0.545,0
"GO:0008016","GO:0008016",26,"GO:0003015",2.80865801545262,197,"regulation of heart contraction","heart process",0.830144385026738,0.195857142857143,0.969
"GO:0030516","GO:0030516",22,"GO:0008361",2.74898380186921,113,"regulation of axon extension","regulation of cell size",0.701732620320856,0.294,0.948
"GO:0048639","GO:0048639",8,"GO:0060560",2.69464905926092,221,"positive regulation of developmental growth","developmental growth involved in morphogenesis",0.854727272727273,0.262333333333333,0.79
"GO:0008037","GO:0008037",19,"GO:0008038",2.63124881127278,160,"cell recognition","neuron recognition",0.982090909090909,0.5445,0.911
"GO:0099174","GO:0099174",2,"GO:0007416",2.58952099507509,43,"regulation of presynapse organization","synapse assembly",0.800609625668449,0.318833333333333,0.699
"GO:0097553","GO:0097553",18,"GO:0034765",2.55883459518369,201,"calcium ion transmembrane import into cytosol","regulation of monoatomic ion transmembrane transport",0.866679144385027,0.294142857142857,0.754
"GO:2000310","GO:2000310",34,"GO:2000310",2.52774477290692,28,"regulation of NMDA receptor activity","regulation of NMDA receptor activity",0.816850267379679,0.404666666666667,0
"GO:0090659","GO:0090659",12,"GO:0007626",2.50681276793625,53,"walking behavior","locomotory behavior",0.916582887700535,0.4175,0.877
"GO:0008015","GO:0008015",26,"GO:0003015",2.48577926091967,541,"blood circulation","heart process",0.868919786096257,0.219571428571429,0.918
"GO:0019722","GO:0019722",29,"GO:0019932",2.47824100861858,214,"calcium-mediated signaling","second-messenger-mediated signaling",0.916368983957219,0.5205,0.959
"GO:0007156","GO:0007156",7,"GO:0098742",2.45076578673881,109,"homophilic cell adhesion via plasma membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.978229946524064,0.417333333333333,0.919
"GO:0051648","GO:0051648",33,"GO:0097479",2.43816085514818,214,"vesicle localization","synaptic vesicle localization",0.916374331550802,0.545,0.91
"GO:0006813","GO:0006813",18,"GO:0034765",2.38769938873203,249,"potassium ion transport","regulation of monoatomic ion transmembrane transport",0.88444385026738,0.326571428571429,0.678
"GO:0071805","GO:0071805",18,"GO:0034765",2.32018078634923,212,"potassium ion transmembrane transport","regulation of monoatomic ion transmembrane transport",0.867160427807487,0.307214285714286,0.772
"GO:0022604","GO:0022604",3,"GO:0007409",2.29842692290462,277,"regulation of cell morphogenesis","axonogenesis",0.864422459893048,0.4036,0.777
"GO:0021695","GO:0021695",21,"GO:0021953",2.2821452656196,71,"cerebellar cortex development","central nervous system neuron differentiation",0.862540106951872,0.250222222222222,0.624
"GO:0060079","GO:0060079",5,"GO:0048167",2.26869269371578,95,"excitatory postsynaptic potential","regulation of synaptic plasticity",0.770700534759358,0.410375,0.663
"GO:1903522","GO:1903522",26,"GO:0003015",2.25426413863806,268,"regulation of blood circulation","heart process",0.830352941176471,0.226714285714286,0.852
"GO:2001222","GO:2001222",14,"GO:0001764",2.25372025037592,58,"regulation of neuron migration","neuron migration",0.826288770053476,0.5505,0.899
"GO:1901890","GO:1901890",2,"GO:0007416",2.22899395761303,129,"positive regulation of cell junction assembly","synapse assembly",0.820775401069519,0.287111111111111,0.83
"GO:0003013","GO:0003013",26,"GO:0003015",2.22426430472355,574,"circulatory system process","heart process",0.868743315508021,0.221285714285714,0.922
