"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007409","GO:0007409",1,"GO:0007409",13.6466947257494,501,"axonogenesis","axonogenesis",0.776781818181818,0.3141,0
"GO:0042391","GO:0042391",2,"GO:0042391",12.9734195225051,491,"regulation of membrane potential","regulation of membrane potential",0.877745454545454,0.34725,0
"GO:0048167","GO:0048167",3,"GO:0048167",9.99200599632896,393,"regulation of synaptic plasticity","regulation of synaptic plasticity",0.814345454545454,0.2978125,0
"GO:0099173","GO:0099173",4,"GO:0099173",9.99200599632896,252,"postsynapse organization","postsynapse organization",0.848154545454545,0.238769230769231,0
"GO:0001508","GO:0001508",2,"GO:0042391",9.0489649579212,158,"action potential","regulation of membrane potential",0.885581818181818,0.34125,0.903
"GO:0050807","GO:0050807",5,"GO:0050807",8.49411626212609,309,"regulation of synapse organization","regulation of synapse organization",0.748545454545455,0.492,0
"GO:0016358","GO:0016358",1,"GO:0007409",8.4468453828431,327,"dendrite development","axonogenesis",0.792736363636364,0.3337,0.762
"GO:0050803","GO:0050803",5,"GO:0050807",8.17263937309746,317,"regulation of synapse structure or activity","regulation of synapse organization",0.889672727272727,0.491666666666667,0.995
"GO:0050890","GO:0050890",6,"GO:0050890",8.15480543260307,371,"cognition","cognition",0.873218181818182,0.335,0
"GO:0001764","GO:0001764",7,"GO:0001764",8.13809198527492,206,"neuron migration","neuron migration",0.848809090909091,1,0
"GO:0007611","GO:0007611",6,"GO:0050890",8.09400657227851,331,"learning or memory","cognition",0.845818181818182,0.333333333333333,0.988
"GO:0060078","GO:0060078",2,"GO:0042391",7.59244466239221,130,"regulation of postsynaptic membrane potential","regulation of membrane potential",0.887254545454545,0.39925,0.862
"GO:0031345","GO:0031345",1,"GO:0007409",6.99054836130261,221,"negative regulation of cell projection organization","axonogenesis",0.834536363636364,0.3656,0.644
"GO:0097485","GO:0097485",1,"GO:0007409",6.58426630288385,252,"neuron projection guidance","axonogenesis",0.788845454545455,0.3391,0.859
"GO:0007411","GO:0007411",1,"GO:0007409",6.58426630288385,252,"axon guidance","axonogenesis",0.787927272727273,0.3317,0.927
"GO:0007613","GO:0007613",6,"GO:0050890",6.57235927049487,164,"memory","cognition",0.856690909090909,0.373166666666667,0.907
"GO:0034329","GO:0034329",4,"GO:0099173",6.57075169630211,481,"cell junction assembly","postsynapse organization",0.849272727272727,0.263230769230769,0.804
"GO:0010977","GO:0010977",1,"GO:0007409",6.46348343006431,165,"negative regulation of neuron projection development","axonogenesis",0.761145454545455,0.3235,0.72
"GO:0031346","GO:0031346",1,"GO:0007409",6.31389697888657,463,"positive regulation of cell projection organization","axonogenesis",0.823454545454545,0.3436,0.687
"GO:0050806","GO:0050806",3,"GO:0048167",6.24902581377278,348,"positive regulation of synaptic transmission","regulation of synaptic plasticity",0.841836363636364,0.3235,0.806
"GO:0010976","GO:0010976",1,"GO:0007409",6.19893051511518,239,"positive regulation of neuron projection development","axonogenesis",0.758354545454546,0.3267,0.729
"GO:0007626","GO:0007626",8,"GO:0007626",6.14327526989445,273,"locomotory behavior","locomotory behavior",0.886954545454545,0.372,0
"GO:0034765","GO:0034765",9,"GO:0034765",6.00554292117988,490,"regulation of monoatomic ion transmembrane transport","regulation of monoatomic ion transmembrane transport",0.849527272727273,0.294166666666667,0
"GO:0006813","GO:0006813",9,"GO:0034765",5.72496065732953,249,"potassium ion transport","regulation of monoatomic ion transmembrane transport",0.916118181818182,0.371666666666667,0.678
