"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0050807","GO:0050807",1,"GO:0050807",12.9440105940585,309,"regulation of synapse organization","regulation of synapse organization",0.625,0.5025,0
"GO:0050803","GO:0050803",1,"GO:0050807",12.6710640849402,317,"regulation of synapse structure or activity","regulation of synapse organization",0.838083333333333,0.5025,0.995
"GO:0007409","GO:0007409",2,"GO:0007409",7.01581688174257,501,"axonogenesis","axonogenesis",0.558708333333333,0.408428571428571,0
"GO:0007611","GO:0007611",3,"GO:0007611",4.98103579312057,331,"learning or memory","learning or memory",0.778333333333333,0.3114,0
"GO:0016358","GO:0016358",4,"GO:0016358",4.79389056554355,327,"dendrite development","dendrite development",0.525416666666667,0.298166666666667,0
"GO:0060998","GO:0060998",4,"GO:0016358",4.77936277614609,86,"regulation of dendritic spine development","dendrite development",0.533541666666667,0.301,0.886
"GO:0048813","GO:0048813",4,"GO:0016358",4.29992929356619,192,"dendrite morphogenesis","dendrite development",0.529958333333333,0.321833333333333,0.95
"GO:0050890","GO:0050890",3,"GO:0007611",4.2872899615061,371,"cognition","learning or memory",0.778291666666667,0.3144,0.988
"GO:0099175","GO:0099175",5,"GO:0099175",3.80476980336803,139,"regulation of postsynapse organization","regulation of postsynapse organization",0.61925,0.5315,0
"GO:0061001","GO:0061001",2,"GO:0007409",3.78503827549,59,"regulation of dendritic spine morphogenesis","axonogenesis",0.385833333333333,0.240857142857143,0.749
"GO:0060999","GO:0060999",4,"GO:0016358",3.39564537272261,66,"positive regulation of dendritic spine development","dendrite development",0.54175,0.313666666666667,0.864
"GO:0060996","GO:0060996",4,"GO:0016358",2.96268945924749,134,"dendritic spine development","dendrite development",0.528583333333333,0.291666666666667,0.924
"GO:0060997","GO:0060997",2,"GO:0007409",2.95843974089117,76,"dendritic spine morphogenesis","axonogenesis",0.431416666666667,0.259428571428571,0.767
"GO:0099173","GO:0099173",5,"GO:0099175",2.87144699635608,252,"postsynapse organization","regulation of postsynapse organization",0.66775,0.5315,0.937
"GO:0007612","GO:0007612",3,"GO:0007611",2.59123713242116,192,"learning","learning or memory",0.788458333333333,0.34,0.939
"GO:0001764","GO:0001764",4,"GO:0016358",2.40768569487716,206,"neuron migration","dendrite development",0.750166666666667,0.545666666666667,0.587
"GO:0098742","GO:0098742",6,"GO:0098742",2.36322560728657,211,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.984041666666667,1,0
"GO:0031346","GO:0031346",2,"GO:0007409",2.07374771781549,463,"positive regulation of cell projection organization","axonogenesis",0.6385,0.437428571428571,0.687
"GO:0050905","GO:0050905",3,"GO:0007611",1.90106164001623,204,"neuromuscular process","learning or memory",0.828875,0.5358,0.599
"GO:0097061","GO:0097061",2,"GO:0007409",1.84265496628022,108,"dendritic spine organization","axonogenesis",0.571791666666667,0.282857142857143,0.612
"GO:0061003","GO:0061003",2,"GO:0007409",1.74081740681468,30,"positive regulation of dendritic spine morphogenesis","axonogenesis",0.402583333333333,0.257714285714286,0.708
"GO:0099550","GO:0099550",7,"GO:0099550",1.67020965617437,15,"trans-synaptic signaling, modulating synaptic transmission","trans-synaptic signaling, modulating synaptic transmission",0.96175,1,0
"GO:0106027","GO:0106027",2,"GO:0007409",1.57802761259114,118,"neuron projection organization","axonogenesis",0.6365,0.284714285714286,0.618
"GO:0007613","GO:0007613",3,"GO:0007611",1.39475886319788,164,"memory","learning or memory",0.792416666666667,0.3512,0.917
