"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0016358","GO:0016358",1,"GO:0016358",5.17624115610414,327,"dendrite development","dendrite development",0.766133333333333,0.348,0
"GO:1990778","GO:1990778",2,"GO:1990778",4.94746931676767,400,"protein localization to cell periphery","protein localization to cell periphery",0.867066666666667,0.7125,0
"GO:0007409","GO:0007409",1,"GO:0016358",4.63752661948087,501,"axonogenesis","dendrite development",0.7563,0.3905,0.762
"GO:1990138","GO:1990138",3,"GO:1990138",4.19850384182906,211,"neuron projection extension","neuron projection extension",0.6893,0.2766,0
"GO:0050773","GO:0050773",1,"GO:0016358",3.88752707997663,145,"regulation of dendrite development","dendrite development",0.741766666666667,0.328166666666667,0.924
"GO:0042391","GO:0042391",4,"GO:0042391",3.54134882878341,491,"regulation of membrane potential","regulation of membrane potential",0.9078,0.5885,0
"GO:0031345","GO:0031345",1,"GO:0016358",3.45297467273337,221,"negative regulation of cell projection organization","dendrite development",0.779666666666667,0.409833333333333,0.602
"GO:0099003","GO:0099003",5,"GO:0099003",3.3031327005498,270,"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",0.867433333333333,0.509,0
"GO:0048588","GO:0048588",3,"GO:1990138",2.93309089188226,291,"developmental cell growth","neuron projection extension",0.786733333333333,0.2966,0.973
"GO:0048813","GO:0048813",1,"GO:0016358",2.91474962754206,192,"dendrite morphogenesis","dendrite development",0.762466666666667,0.3535,0.95
"GO:0060560","GO:0060560",3,"GO:1990138",2.79924890916936,292,"developmental growth involved in morphogenesis","neuron projection extension",0.829033333333333,0.3234,0.968
"GO:0018105","GO:0018105",6,"GO:0018105",2.45481133616113,331,"peptidyl-serine phosphorylation","peptidyl-serine phosphorylation",0.916366666666667,0.5025,0
"GO:0010977","GO:0010977",1,"GO:0016358",2.44025588175895,165,"negative regulation of neuron projection development","dendrite development",0.7466,0.367333333333333,0.674
"GO:1902115","GO:1902115",7,"GO:1902115",2.30796614628803,229,"regulation of organelle assembly","regulation of organelle assembly",0.836966666666667,1,0
"GO:0099173","GO:0099173",8,"GO:0099173",2.19776887187163,252,"postsynapse organization","postsynapse organization",0.860566666666667,1,0
"GO:0099643","GO:0099643",9,"GO:0099643",2.15504904492279,174,"signal release from synapse","signal release from synapse",0.845266666666667,0.501,0
"GO:0007269","GO:0007269",9,"GO:0099643",2.15504904492279,174,"neurotransmitter secretion","signal release from synapse",0.756933333333333,0.501,0.998
"GO:0099504","GO:0099504",5,"GO:0099003",2.07241269866661,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.836333333333333,0.509,0.982
"GO:0070646","GO:0070646",10,"GO:0070646",2.05766042278631,127,"protein modification by small protein removal","protein modification by small protein removal",0.933466666666667,0.5055,0
"GO:1902414","GO:1902414",2,"GO:1990778",2.04266133120628,133,"protein localization to cell junction","protein localization to cell periphery",0.8755,0.7125,0.575
"GO:0018209","GO:0018209",6,"GO:0018105",1.97019999847247,343,"peptidyl-serine modification","peptidyl-serine phosphorylation",0.9334,0.5025,0.995
"GO:0050803","GO:0050803",4,"GO:0042391",1.86023981602314,317,"regulation of synapse structure or activity","regulation of membrane potential",0.895566666666667,0.485,0.56
"GO:0050807","GO:0050807",4,"GO:0042391",1.77892558320173,309,"regulation of synapse organization","regulation of membrane potential",0.7491,0.4855,0.559
"GO:0030705","GO:0030705",11,"GO:0030705",1.77221152364875,214,"cytoskeleton-dependent intracellular transport","cytoskeleton-dependent intracellular transport",0.8462,0.5065,0
"GO:0008361","GO:0008361",4,"GO:0042391",1.74794313402284,222,"regulation of cell size","regulation of membrane potential",0.819933333333333,0.616,0.527
"GO:0016579","GO:0016579",10,"GO:0070646",1.67294671358979,105,"protein deubiquitination","protein modification by small protein removal",0.9338,0.5055,0.989
"GO:0099111","GO:0099111",12,"GO:0099111",1.58570874269001,222,"microtubule-based transport","microtubule-based transport",0.8818,1,0
"GO:0010970","GO:0010970",11,"GO:0030705",1.46219275024535,180,"transport along microtubule","cytoskeleton-dependent intracellular transport",0.827033333333333,0.5065,0.987
"GO:0016049","GO:0016049",3,"GO:1990138",1.33542180176879,556,"cell growth","neuron projection extension",0.867266666666667,0.3004,0.926
"GO:0045927","GO:0045927",3,"GO:1990138",1.31064979435837,324,"positive regulation of growth","neuron projection extension",0.864266666666667,0.381,0.75
