"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0097060","GO:0097060","synaptic membrane","39/372","500/17673",1.82105341139528e-12,8.01263501013924e-10,5.6548500669643e-10,"Kcnn2/Gpm6a/Cpe/Grm3/Ntrk2/Syt11/Gphn/Farp1/Cadm1/Hspa8/Canx/Slc6a1/Marcks/Nptn/Grm5/Grik2/Dag1/Apba1/Hip1/Ncam1/Gabrg1/Nrxn3/Dlg1/Ank3/Rtn4/Dlg2/Gabbr1/Ptprz1/Itsn2/Sorcs2/Gria2/Clcn3/Slc1a2/Ntng1/Cask/Nrp1/Cdh10/Cacna1a/Nrxn2",39,9.09622463969909,0.104838709677419,0.028291744468964,3.70562903225806,33.7072341088101,"Astrocytes","24hrvs1hr_PTZ"
"GO:0044309","GO:0044309","neuron spine","24/372","210/17673",1.72061170362485e-11,7.57069149594933e-09,2.67147606615437e-09,"Slc1a3/Kcnn2/Grm3/Ntrk2/Syt11/Nedd4/Hspa8/Canx/Marcks/Grm5/Mt3/Apba2/Apba1/Fus/Tanc2/Ophn1/Gabbr1/Add1/Hnrnpk/Ptprz1/Eea1/Gria2/Aplp2/Slc1a2",24,8.12086445086194,0.0645161290322581,0.0118825326769649,5.4294930875576,44.0921774009472,"Astrocytes","24hrvs1hr_PTZ"
"GO:0043197","GO:0043197","dendritic spine","23/372","204/17673",6.05702802698387e-11,2.6650923318729e-08,6.26955532617628e-09,"Slc1a3/Kcnn2/Grm3/Ntrk2/Syt11/Nedd4/Hspa8/Canx/Marcks/Grm5/Mt3/Apba2/Apba1/Fus/Tanc2/Ophn1/Gabbr1/Add1/Hnrnpk/Ptprz1/Gria2/Aplp2/Slc1a2",23,7.57428774028533,0.0618279569892473,0.0115430317433373,5.35630139152435,40.5701679630962,"Astrocytes","24hrvs1hr_PTZ"
"GO:0097449","GO:0097449","astrocyte projection","9/372","23/17673",4.64032565840398e-10,2.04174328969775e-07,3.60235807691888e-08,"Grm3/Mlc1/App/Grm5/Mt3/Atp1b2/Slc7a11/Adgrg1/Slc1a2",9,6.68999886306995,0.0241935483870968,0.00130142024557234,18.5901122019635,124.367829495479,"Astrocytes","24hrvs1hr_PTZ"
"GO:0042734","GO:0042734","presynaptic membrane","23/372","231/17673",7.35430144299923e-10,3.23589263491966e-07,4.56740826459952e-08,"Gpm6a/Grm3/Syt11/Cadm1/Canx/Slc6a1/Marcks/Nptn/Grik2/Apba1/Hip1/Ncam1/Nrxn3/Dlg1/Gabbr1/Itsn2/Gria2/Slc1a2/Ntng1/Cask/Cdh10/Cacna1a/Nrxn2",23,6.49000589646504,0.0618279569892473,0.0130707859446613,4.73024018991761,30.6992867242612,"Astrocytes","24hrvs1hr_PTZ"
"GO:0045211","GO:0045211","postsynaptic membrane","28/372","344/17673",1.08797263330651e-09,4.78707958654866e-07,5.63073555834073e-08,"Kcnn2/Grm3/Ntrk2/Gphn/Farp1/Cadm1/Hspa8/Canx/Slc6a1/Marcks/Nptn/Grm5/Grik2/Dag1/Hip1/Ncam1/Gabrg1/Dlg1/Ank3/Rtn4/Dlg2/Gabbr1/Ptprz1/Sorcs2/Gria2/Clcn3/Nrp1/Cdh10",28,6.31992935218975,0.0752688172043011,0.0194647201946472,3.86693548387097,24.4387590675402,"Astrocytes","24hrvs1hr_PTZ"
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","17/372","142/17673",7.97761035436184e-09,3.51014855591921e-06,3.5389399316342e-07,"Syt11/Tubb2b/Cadm1/Actb/Nptn/Grm5/Apba2/Apba1/Hip1/Ncam1/Cdh11/Gabbr1/Syn2/Eea1/Gria2/Ntng1/Cask",17,5.45467450300691,0.0456989247311828,0.00803485542918576,5.68758518855066,31.023925911667,"Astrocytes","24hrvs1hr_PTZ"
"GO:0097386","GO:0097386","glial cell projection","10/372","44/17673",1.9857316788539e-08,8.73721938695715e-06,7.70777427976184e-07,"Grm3/Mlc1/App/Grm5/Mt3/Atp1b2/Slc7a11/Adgrg1/Glul/Slc1a2",10,5.05862675924661,0.0268817204301075,0.00248967351326883,10.7972873900293,54.6194469184784,"Astrocytes","24hrvs1hr_PTZ"
"GO:0099572","GO:0099572","postsynaptic specialization","29/372","425/17673",2.93592408769456e-08,1.29180659858561e-05,1.01297965598818e-06,"Grm3/Ntrk2/Prnp/Syt11/Gphn/Ctnnd2/Cadm1/Map1b/Hspa8/Nptn/Grm5/Grik2/Rtn3/Pcbp2/Ywhaz/Tanc2/Eif4g2/Hnrnph1/Dlg1/Rtn4/Dlg2/Syn2/Plcb4/Add1/Ptprz1/Sorcs2/Gria2/Cdh10/Hnrnpm",29,4.88880250139838,0.0779569892473118,0.0240479827986194,3.24172675521822,15.8481618697609,"Astrocytes","24hrvs1hr_PTZ"
"GO:0014069","GO:0014069","postsynaptic density","27/372","377/17673",3.31155616853648e-08,1.45708471415605e-05,1.02832533654554e-06,"Grm3/Ntrk2/Prnp/Syt11/Gphn/Ctnnd2/Cadm1/Map1b/Hspa8/Nptn/Grm5/Grik2/Rtn3/Pcbp2/Tanc2/Eif4g2/Hnrnph1/Dlg1/Rtn4/Dlg2/Syn2/Plcb4/Add1/Ptprz1/Sorcs2/Gria2/Hnrnpm",27,4.83651519783812,0.0725806451612903,0.0213319753295988,3.40243432874134,16.4559253406036,"Astrocytes","24hrvs1hr_PTZ"
