"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0098984","GO:0098984","neuron to neuron synapse","42/428","440/17673",3.04107280502052e-14,1.41713992713956e-11,9.25126358579925e-12,"Dlg2/Hspa8/Syt1/Ptprd/Grm3/Anks1b/Cntnap2/Grm7/Grin2b/Lrrc7/Nrg1/Slc8a1/Ptprt/Ctnnd2/Shisa6/Atp1b2/Rtn3/Lrrtm4/Dlgap1/Nr3c1/Grik2/Cadm1/Rtn1/Adam22/Map1b/Syt11/Il1rapl1/Hnrnpm/Map2/Plcb4/Mapt/Ywhaz/Sptbn1/Clstn1/Dgkb/Pclo/Plxna4/Pde4b/Syn2/Sipa1l1/Nptn/Stxbp5",42,10.8485872657834,0.0981308411214953,0.0248967351326883,3.94151444350043,42.7598633996599,"Astrocytes","24hrvs1hr_SAL"
"GO:0099572","GO:0099572","postsynaptic specialization","40/428","425/17673",2.04848181119947e-13,9.54592524018951e-11,3.11584864966656e-11,"Dlg2/Hspa8/Grm3/Gabrb3/Anks1b/Ppfia2/Grin2b/Lrrc7/Nrg1/Slc8a1/Ptprt/Ctnnd2/Shisa6/Rtn3/Lrrtm4/Dlgap1/Nr3c1/Grik2/Cadm1/Rtn1/Adam22/Map1b/Syt11/Il1rapl1/Hnrnpm/Gabrb1/Map2/Plcb4/Mapt/Ywhaz/Sptbn1/Clstn1/Dgkb/Pclo/Kcnd2/Pde4b/Syn2/Sipa1l1/Nptn/Gabra2",40,10.0201819711745,0.0934579439252336,0.0240479827986194,3.88631115997801,38.9415450195859,"Astrocytes","24hrvs1hr_SAL"
"GO:0097060","GO:0097060","synaptic membrane","43/428","500/17673",5.43550211487891e-13,2.53294398553357e-10,5.51178986385967e-11,"Dlg2/Hspa8/Tenm2/Syt1/Ptprd/Nbea/Ank3/Grm3/Gabrb3/Cntnap2/Grm7/Ppfia2/Grin2b/Lrrc7/Nrg1/Slc8a1/Cacna2d1/Cntn1/Ptprt/Atp2b1/Shisa6/Lrrtm4/Dlgap1/Grik2/Cadm1/Gabbr1/Adam22/Syt11/Il1rapl1/Gabrb1/Kcnq5/Synj1/Clstn1/Cpe/Dgkb/Ptpra/Kcnd2/Canx/Nptn/Gabra2/Itsn1/Stxbp5/Cspg5",43,9.59637441425314,0.100467289719626,0.028291744468964,3.55111682242991,34.0778466167903,"Astrocytes","24hrvs1hr_SAL"
"GO:0032279","GO:0032279","asymmetric synapse","37/428","400/17673",2.88822198637978e-12,1.34591144565298e-09,2.19656882648357e-10,"Dlg2/Hspa8/Grm3/Anks1b/Cntnap2/Grm7/Grin2b/Lrrc7/Nrg1/Slc8a1/Ptprt/Ctnnd2/Shisa6/Rtn3/Lrrtm4/Dlgap1/Nr3c1/Grik2/Cadm1/Rtn1/Adam22/Map1b/Syt11/Il1rapl1/Hnrnpm/Map2/Plcb4/Mapt/Sptbn1/Clstn1/Dgkb/Pclo/Plxna4/Pde4b/Syn2/Sipa1l1/Nptn",37,8.87098351361087,0.0864485981308411,0.0226333955751712,3.81951518691589,33.8828562531172,"Astrocytes","24hrvs1hr_SAL"
"GO:0014069","GO:0014069","postsynaptic density","34/428","377/17673",4.58833801634649e-11,2.13816551561747e-08,2.73801650136037e-09,"Dlg2/Hspa8/Grm3/Anks1b/Grin2b/Lrrc7/Nrg1/Slc8a1/Ptprt/Ctnnd2/Shisa6/Rtn3/Lrrtm4/Dlgap1/Nr3c1/Grik2/Cadm1/Rtn1/Adam22/Map1b/Syt11/Il1rapl1/Hnrnpm/Map2/Plcb4/Mapt/Sptbn1/Clstn1/Dgkb/Pclo/Pde4b/Syn2/Sipa1l1/Nptn",34,7.66995867904443,0.0794392523364486,0.0213319753295988,3.72395200674285,28.5625580144623,"Astrocytes","24hrvs1hr_SAL"
"GO:0044309","GO:0044309","neuron spine","25/428","210/17673",5.40024015839243e-11,2.51651191381087e-08,2.73801650136037e-09,"Hspa8/Tenm2/Grm3/Cntnap2/Ppfia2/Grin2b/Lrrc7/Slc8a1/Atp2b1/Ppp3ca/Aplp2/Shisa6/Nr3c1/Gabbr1/Hnrnpk/Syt11/Nedd4/Abl2/Lama2/Clstn1/Kcnd2/Pde4b/Canx/Sipa1l1/Itsn1",25,7.59920100920085,0.058411214953271,0.0118825326769649,4.91572096128171,37.3555516899217,"Astrocytes","24hrvs1hr_SAL"
"GO:0043197","GO:0043197","dendritic spine","24/428","204/17673",1.69156051066299e-10,7.88267197968952e-08,7.3512930463399e-09,"Hspa8/Tenm2/Grm3/Ppfia2/Grin2b/Lrrc7/Slc8a1/Atp2b1/Ppp3ca/Aplp2/Shisa6/Nr3c1/Gabbr1/Hnrnpk/Syt11/Nedd4/Abl2/Lama2/Clstn1/Kcnd2/Pde4b/Canx/Sipa1l1/Itsn1",24,7.10332654528473,0.0560747663551402,0.0115430317433373,4.85788894997251,34.5071715323851,"Astrocytes","24hrvs1hr_SAL"
"GO:0045211","GO:0045211","postsynaptic membrane","31/428","344/17673",3.4601550255285e-10,1.61243224189628e-07,1.31576947681281e-08,"Dlg2/Hspa8/Tenm2/Nbea/Ank3/Grm3/Gabrb3/Grm7/Grin2b/Lrrc7/Nrg1/Slc8a1/Cacna2d1/Cntn1/Ptprt/Shisa6/Lrrtm4/Dlgap1/Grik2/Cadm1/Gabbr1/Adam22/Il1rapl1/Gabrb1/Clstn1/Dgkb/Kcnd2/Canx/Nptn/Gabra2/Cspg5",31,6.79251852636019,0.0724299065420561,0.0194647201946472,3.72108644859813,25.2755486402906,"Astrocytes","24hrvs1hr_SAL"
"GO:0048786","GO:0048786","presynaptic active zone","17/428","118/17673",3.67324616467366e-09,1.71173271273793e-06,1.24160016560314e-07,"Grm3/Cntnap2/Grm7/Ppfia2/Grin2b/Nrg1/Cacna2d1/Atp2b1/Syt11/Gabrb1/Pnisr/Pclo/App/Canx/Nptn/Gabra2/Zzef1",17,5.76656404949858,0.0397196261682243,0.00667685169467549,5.94885553619515,34.3044564706836,"Astrocytes","24hrvs1hr_SAL"
"GO:0150034","GO:0150034","distal axon","30/428","379/17673",1.3962502625281e-08,6.50652622338096e-06,4.24754027232233e-07,"Hsp90aa1/Hspa8/Actb/Actg1/Gabrb3/Grm7/Hsp90ab1/Grin2b/Slc8a1/Calm1/Glul/Palld/Grik2/Hnrnpk/Map1b/Syt11/Kcnq5/Trak1/Map2/Mapt/Agrn/Prkn/Pard3/Pclo/Hnrnpr/Ywhae/App/Prex1/Myo9a/Itsn1",30,5.18665081552868,0.0700934579439252,0.0214451423074747,3.26850048085222,16.952570684568,"Astrocytes","24hrvs1hr_SAL"
