"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0097060","GO:0097060","synaptic membrane","22/152","500/17673",3.26045729274197e-10,9.4553261489517e-08,4.25475312216974e-08,"Kcnn2/Slc1a2/Cntnap2/Tenm2/Syt1/Nrg1/Dlg2/Cpe/Ptprd/Grin2b/Ntrk2/Shisa6/Gpm6a/Farp1/Ntng1/Grm7/Pcdh17/Gphn/Dgkb/Nrxn3/Bcan/Grip1",22,7.02432348614765,0.144736842105263,0.028291744468964,5.11586842105263,35.9355147020411,"Astrocytes","PTZvsSAL_1hr"
"GO:0044309","GO:0044309","neuron spine","15/152","210/17673",3.84953853910596e-10,1.11636617634073e-07,4.25475312216974e-08,"Slc1a3/Kcnn2/Slc1a2/Cntnap2/Tenm2/Atp1a2/Grin2b/Ntrk2/Shisa6/Mt3/Add1/Apba2/Cnn3/Grip1/Fus",15,6.95219333023707,0.0986842105263158,0.0118825326769649,8.30498120300752,57.7378349272931,"Astrocytes","PTZvsSAL_1hr"
"GO:0043197","GO:0043197","dendritic spine","14/152","204/17673",2.56333601502412e-09,7.43367444356994e-07,1.88877390580724e-07,"Slc1a3/Kcnn2/Slc1a2/Tenm2/Atp1a2/Grin2b/Ntrk2/Shisa6/Mt3/Add1/Apba2/Cnn3/Grip1/Fus",14,6.12879646267224,0.0921052631578947,0.0115430317433373,7.97929566563467,48.9034790501577,"Astrocytes","PTZvsSAL_1hr"
"GO:0098984","GO:0098984","neuron to neuron synapse","18/152","440/17673",4.58971160870348e-08,1.33101636652401e-05,2.53641957323087e-06,"Cntnap2/Syt1/Nrg1/Dlg2/Anks1b/Ptprd/Grin2b/Ntrk2/Shisa6/Pkp4/Add1/Grm7/Gphn/Dclk1/Dgkb/Mapt/Grip1/Hnrnpm",18,4.8758166042944,0.118421052631579,0.0248967351326883,4.75648923444976,23.1917691874777,"Astrocytes","PTZvsSAL_1hr"
"GO:0032279","GO:0032279","asymmetric synapse","16/152","400/17673",3.64293887241067e-07,0.00010564522729991,1.61056244885525e-05,"Cntnap2/Nrg1/Dlg2/Anks1b/Grin2b/Ntrk2/Shisa6/Pkp4/Add1/Grm7/Gphn/Dclk1/Dgkb/Mapt/Grip1/Hnrnpm",16,3.97615011814913,0.105263157894737,0.0226333955751712,4.65078947368421,18.4922371152762,"Astrocytes","PTZvsSAL_1hr"
"GO:0042734","GO:0042734","presynaptic membrane","12/152","231/17673",7.59315232551382e-07,0.000220201417439901,2.79747717255772e-05,"Slc1a2/Cntnap2/Syt1/Nrg1/Ptprd/Grin2b/Gpm6a/Ntng1/Grm7/Pcdh17/Nrxn3/Grip1",12,3.65717988979503,0.0789473684210526,0.0130707859446613,6.03998632946001,22.0893165387381,"Astrocytes","PTZvsSAL_1hr"
"GO:0098982","GO:0098982","GABA-ergic synapse","9/152","132/17673",2.0950488863707e-06,0.000607564177047504,6.61594385169696e-05,"Cntnap2/Nrg1/Grm7/Pcdh17/Gphn/Plcb1/Nrxn3/Bcan/Grip1",9,3.21640784074941,0.0592105263157895,0.00746902053980648,7.92748205741627,25.4980154468739,"Astrocytes","PTZvsSAL_1hr"
"GO:0014069","GO:0014069","postsynaptic density","14/152","377/17673",4.81368407735799e-06,0.00139596838243382,0.000133009691611208,"Nrg1/Dlg2/Anks1b/Grin2b/Ntrk2/Shisa6/Pkp4/Add1/Gphn/Dclk1/Dgkb/Mapt/Grip1/Hnrnpm",14,2.85512441802376,0.0921052631578947,0.0213319753295988,4.31770906044953,12.3275965684119,"Astrocytes","PTZvsSAL_1hr"
"GO:0044304","GO:0044304","main axon","7/152","84/17673",7.88880965031747e-06,0.00228775479859207,0.000177706506811146,"Slc1a2/Cntnap2/Dlg2/Sptan1/Mapt/Bcan/Robo1",7,2.64059052503854,0.0460526315789474,0.00475301307078594,9.68914473684211,25.5850637878323,"Astrocytes","PTZvsSAL_1hr"
"GO:0048786","GO:0048786","presynaptic active zone","8/152","118/17673",8.18974512761158e-06,0.00237502608700736,0.000177706506811146,"Cntnap2/Nrg1/Grin2b/Ntrk2/Gpm6a/Ntng1/Grm7/Grip1",8,2.62433161577338,0.0526315789473684,0.00667685169467549,7.88269402319358,20.6868031425347,"Astrocytes","PTZvsSAL_1hr"
