"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0014069","GO:0014069","postsynaptic density","14/153","377/17673",5.19757083657193e-06,0.00194908906371447,0.000661121504273048,"Hspa8/Grid1/Camk2b/Dvl1/Plppr4/Ctnna2/Lrrtm3/Lrfn5/Lrrc7/Hnrnph1/Tiam1/Bmpr2/Grin1/Dapk1",14,2.71016831532261,0.0915032679738562,0.0213319753295988,4.289488739793,11.6252364715201,"CGE","PTZvsSAL_24hr"
"GO:0150034","GO:0150034","distal axon","14/153","379/17673",5.52206389815061e-06,0.00207077396180648,0.000661121504273048,"Hspa8/Hsp90ab1/Lmtk2/Dvl1/Itsn1/Actb/Aak1/Actg1/Tiam1/App/Hcn1/Ptprn/Grin1/Calm1",14,2.68386730453375,0.0915032679738562,0.0214451423074747,4.2668529153086,11.4516670326513,"CGE","PTZvsSAL_24hr"
"GO:0043209","GO:0043209","myelin sheath","10/153","192/17673",6.77768448625247e-06,0.00254163168234468,0.000661121504273048,"Hspa8/Ckb/Tuba1a/Gpi1/Actb/Actg1/Cltc/Cox6a1/Serinc5/Calm1",10,2.59488738451168,0.065359477124183,0.0108640298760822,6.01613562091503,15.6111944262238,"CGE","PTZvsSAL_24hr"
"GO:0032279","GO:0032279","asymmetric synapse","14/153","400/17673",1.01863292809775e-05,0.00381987348036658,0.000745210405292568,"Hspa8/Grid1/Camk2b/Dvl1/Plppr4/Ctnna2/Lrrtm3/Lrfn5/Lrrc7/Hnrnph1/Tiam1/Bmpr2/Grin1/Dapk1",14,2.41795102129996,0.0915032679738562,0.0226333955751712,4.0428431372549,9.77539669268104,"CGE","PTZvsSAL_24hr"
"GO:0099572","GO:0099572","postsynaptic specialization","14/153","425/17673",2.00496190349568e-05,0.0075186071381088,0.00117343033509852,"Hspa8/Grid1/Camk2b/Dvl1/Plppr4/Ctnna2/Lrrtm3/Lrfn5/Lrrc7/Hnrnph1/Tiam1/Bmpr2/Grin1/Dapk1",14,2.12386260731548,0.0915032679738562,0.0240479827986194,3.80502883506344,8.08135846254841,"CGE","PTZvsSAL_24hr"
"GO:0098984","GO:0098984","neuron to neuron synapse","14/153","440/17673",2.93736730923723e-05,0.0110151274096396,0.00143261072275079,"Hspa8/Grid1/Camk2b/Dvl1/Plppr4/Ctnna2/Lrrtm3/Lrfn5/Lrrc7/Hnrnph1/Tiam1/Bmpr2/Grin1/Dapk1",14,1.95801047509211,0.0915032679738562,0.0248967351326883,3.675311942959,7.19629928354488,"CGE","PTZvsSAL_24hr"
"GO:0099634","GO:0099634","postsynaptic specialization membrane","8/153","151/17673",5.12940074321805e-05,0.0192352527870677,0.00214432091220243,"Hspa8/Grid1/Plppr4/Lrrtm3/Lrfn5/Lrrc7/Tiam1/Grin1",8,1.71590210188084,0.0522875816993464,0.00854410682962711,6.11972471107648,10.5008484946682,"CGE","PTZvsSAL_24hr"
"GO:0098839","GO:0098839","postsynaptic density membrane","7/153","114/17673",6.02660476232412e-05,0.0225997678587155,0.0022044685841133,"Grid1/Plppr4/Lrrtm3/Lrfn5/Lrrc7/Tiam1/Grin1",7,1.64589602183475,0.0457516339869281,0.00645051773892378,7.09270725834193,11.6738586605435,"CGE","PTZvsSAL_24hr"
"GO:0044304","GO:0044304","main axon","6/153","84/17673",8.89476775733911e-05,0.0333553790900217,0.00261125274945371,"Robo1/Lgi1/Kcnq3/Lrrc7/Tiam1/App",6,1.47683411914664,0.0392156862745098,0.00475301307078594,8.25070028011205,12.1849156805222,"CGE","PTZvsSAL_24hr"
"GO:0005874","GO:0005874","microtubule","13/153","427/17673",8.92334572655044e-05,0.0334625464745641,0.00261125274945371,"Tubb2a/Tubb2b/Hspa8/Tuba1a/Kif1a/Dvl1/Dync1i1/Eml5/Cyld/Cltc/Tiam1/Lrpprc/Calm1",13,1.47544101263332,0.0849673202614379,0.0241611497764952,3.51669192267071,5.18867149150468,"CGE","PTZvsSAL_24hr"
"GO:0044305","GO:0044305","calyx of Held","4/153","30/17673",0.000124203670317692,0.0465763763691344,0.00330417419601132,"Itsn1/Actb/Aak1/Actg1",4,1.33183430249317,0.0261437908496732,0.00169750466813784,15.4013071895425,20.5119892182673,"CGE","PTZvsSAL_24hr"
