"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0022626","GO:0022626","cytosolic ribosome","26/291","119/17673",4.24021894744324e-22,1.82753436634804e-19,1.36133345154757e-19,"Rps10/Rpl19/Rpl13/Rpl24/Ubb/Rplp1/Rps25/Rps14/Rps19/Rpl27/Rpsa/Fau/Rpl23/Rpl8/Rpl13a/Ddx3x/Rpl18a/Rps23/Rps3/Rps17/Rpl7/Rpl17/Rps15/Rpl12/Rpl21/Rps5",26,18.7381344474891,0.0893470790378007,0.00673343518361342,13.2691674607988,248.639443886695,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0043209","GO:0043209","myelin sheath","29/291","192/17673",8.69333957295983e-20,3.74682935594569e-17,1.39550977355408e-17,"Ppia/Hsp90aa1/Tuba1a/Aldoa/Gapdh/Actg1/Ckb/Calm3/Calm1/Gpi1/Ubb/Hspa8/Pacsin1/Mdh1/Uchl1/Atp1b1/Ubc/Actb/Cox5b/Tuba1b/Nefl/Cltc/Pgam1/Slc25a12/Nme1/Slc25a4/Pebp1/Mdh2/Pkm",29,16.426336085785,0.0996563573883162,0.0108640298760822,9.17305627147766,150.67970524911,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0044391","GO:0044391","ribosomal subunit","26/291","188/17673",7.03012060259149e-17,3.02998197971693e-14,7.52346239926458e-15,"Rps10/Rpl19/Rpl13/Rpl24/Ubb/Rplp1/Rps25/Rps14/Rps19/Rpl27/Rpsa/Fau/Rpl23/Rpl8/Rpl13a/Ddx3x/Rpl18a/Rps23/Rps3/Rps17/Rpl7/Rpl17/Rps15/Rpl12/Rpl21/Rps5",26,13.5185599543798,0.0893470790378007,0.0106376959203304,8.39910067997368,113.543746105096,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0005840","GO:0005840","ribosome","27/291","232/17673",1.46241775637298e-15,6.30302052996752e-13,1.17378267287831e-13,"Rps10/Rpl19/Rpl13/Rpl24/Ubb/Rplp1/Rps25/Rps14/Rps19/Rpl27/Rpsa/Fau/Rpl23/Rpl8/Rpl13a/Ddx3x/Rpl18a/Dmd/Rps23/Rps3/Rps17/Rpl7/Rpl17/Rps15/Rpl12/Rpl21/Rps5",27,12.200451278304,0.0927835051546392,0.0131273694335993,7.06794347671525,86.2321000254711,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","13/291","42/17673",8.3338512291996e-14,3.59188987978503e-11,5.35120973664395e-12,"Rps10/Ubb/Rps25/Rps14/Rps19/Rpsa/Fau/Ddx3x/Rps23/Rps3/Rps17/Rps15/Rps5",13,10.4446769864075,0.0446735395189003,0.00237650653539297,18.7979872361316,196.338904676006,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","13/291","59/17673",1.02931702781618e-11,4.43635638988772e-09,5.50774900849007e-10,"Rpl19/Rpl13/Rpl24/Rplp1/Rpl27/Rpl23/Rpl8/Rpl13a/Rpl18a/Rpl7/Rpl17/Rpl12/Rpl21",13,8.3529735725444,0.0446735395189003,0.00333842584733775,13.3816180325004,111.77630178336,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0015935","GO:0015935","small ribosomal subunit","13/291","77/17673",3.58637740078084e-10,1.54572865973654e-07,1.64487986050851e-08,"Rps10/Ubb/Rps25/Rps14/Rps19/Rpsa/Fau/Ddx3x/Rps23/Rps3/Rps17/Rps15/Rps5",13,6.81086674063865,0.0446735395189003,0.00435692864822045,10.2534475833445,69.8348651222828,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0099572","GO:0099572","postsynaptic specialization","27/291","425/17673",2.24165796708921e-09,9.66154583815449e-07,8.9961273679238e-08,"Prrt1/Gapdh/Gphn/Nlgn1/Prkcg/Gria2/Hspa8/Pacsin1/Rps25/Lrfn2/Rps14/Rps19/Tanc1/Ppfia2/Dnm2/Rpl23/Rpl8/Rpl18a/Ywhaz/Dmd/Dlgap4/Homer1/Rps3/Magi2/Prnp/Rpl7/Rpl12",27,6.01495338132054,0.0927835051546392,0.0240479827986194,3.85826561552456,23.2072878101322,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0098984","GO:0098984","neuron to neuron synapse","27/291","440/17673",4.72245837852053e-09,2.03537956114235e-06,1.68461965549563e-07,"Prrt1/Gapdh/Gphn/Nlgn1/Prkcg/Gria2/Hspa8/Pacsin1/Rps25/Lrfn2/Rps14/Rps19/Tanc1/Dnm2/Rpl23/Rpl8/Ywhah/Ephb2/Rpl18a/Ywhaz/Dmd/Homer1/Rps3/Magi2/Prnp/Rpl7/Rpl12",27,5.69135459089146,0.0927835051546392,0.0248967351326883,3.72673383317713,21.2101637104832,"ExN","CA3_24hrvs1hr_PTZ"
"GO:0150034","GO:0150034","distal axon","24/291","379/17673",1.93416056239942e-08,8.33623202394152e-06,6.20967338454552e-07,"Hsp90aa1/Cfl1/Actg1/Dynlt1a/Ptbp2/Rab3a/Prkcg/Calm3/Rufy3/Gria2/Hsp90ab1/Calm1/Hspa8/Pacsin1/Lrp1/Cacna1b/Cck/Actb/Olfm1/Tanc1/Nefl/Dnm2/Prnp/Pebp1",24,5.07903020607489,0.0824742268041237,0.0214451423074747,3.84582324619862,19.5330524346678,"ExN","CA3_24hrvs1hr_PTZ"
