"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0043209","GO:0043209","myelin sheath","23/101","192/17673",2.71056867519528e-24,8.13170602558585e-22,5.36407274670225e-22,"Tuba1a/Actb/Ubb/Hspa8/Hsp90aa1/Actg1/Gapdh/Ckb/Ppia/Aldoa/Tuba1b/Uchl1/Ubc/Ywhag/Nefl/Calm1/Nme1/Tubb4b/Calm3/Mdh1/Eef1a2/Slc25a4/Pebp1",23,21.0898183302029,0.227722772277228,0.0108640298760822,20.9611695544554,442.067257892046,"ExN","CA3_24hrvs1hr_SAL"
"GO:0150034","GO:0150034","distal axon","19/101","379/17673",4.12789680415001e-13,1.238369041245e-10,4.08444525884317e-11,"Actb/Hspa8/Hsp90aa1/Actg1/Hsp90ab1/Cfl1/Tanc1/Nefl/Rab3a/Rapgef4/Tubb3/Calm1/Unc13c/Calm3/Ywhae/Pcsk1/Crmp1/Pebp1/Gria4",19,9.90714991372233,0.188118811881188,0.0214451423074747,8.77209435983176,86.9064538801714,"ExN","CA3_24hrvs1hr_SAL"
"GO:0044306","GO:0044306","neuron projection terminus","11/101","209/17673",3.04942844513336e-08,9.14828533540009e-06,2.01155279889499e-06,"Actb/Hspa8/Actg1/Uchl1/Tanc1/Rab3a/Rapgef4/Unc13c/Pcsk1/Pebp1/Gria4",11,5.03866029819109,0.108910891089109,0.0118259491880269,9.20948410630537,46.4034619332627,"ExN","CA3_24hrvs1hr_SAL"
"GO:0043679","GO:0043679","axon terminus","10/101","187/17673",1.15467217222528e-07,3.46401651667585e-05,5.71258864153561e-06,"Actb/Hspa8/Actg1/Tanc1/Rab3a/Rapgef4/Unc13c/Pcsk1/Pebp1/Gria4",10,4.46042004590294,0.099009900990099,0.0105811124313925,9.35722984063112,41.7371755552722,"ExN","CA3_24hrvs1hr_SAL"
"GO:0008021","GO:0008021","synaptic vesicle","11/101","247/17673",1.6706126781995e-07,5.0118380345985e-05,6.6121091263475e-06,"Hspa8/Kirrel3/Atp6v0c/Rab3a/Calm1/Unc13c/Calm3/Gria1/Prrt1/Mt3/Pebp1",11,4.300002972358,0.108910891089109,0.0139761217676682,7.792640397643,33.5083768723819,"ExN","CA3_24hrvs1hr_SAL"
"GO:0030426","GO:0030426","growth cone","10/101","211/17673",3.54917957570738e-07,0.000106475387271221,1.02988292797452e-05,"Hsp90aa1/Hsp90ab1/Cfl1/Nefl/Rapgef4/Tubb3/Calm1/Calm3/Ywhae/Crmp1",10,3.97275077163976,0.099009900990099,0.0119391161659028,8.2929003800854,32.945626384116,"ExN","CA3_24hrvs1hr_SAL"
"GO:0070382","GO:0070382","exocytic vesicle","11/101","267/17673",3.64293695267583e-07,0.000109288108580275,1.02988292797452e-05,"Hspa8/Kirrel3/Atp6v0c/Rab3a/Calm1/Unc13c/Calm3/Gria1/Prrt1/Mt3/Pebp1",11,3.96142709019047,0.108910891089109,0.0151077915464268,7.20892201579708,28.5576189644491,"ExN","CA3_24hrvs1hr_SAL"
"GO:0030427","GO:0030427","site of polarized growth","10/101","218/17673",4.79329769391042e-07,0.000143798930817313,1.18571048217784e-05,"Hsp90aa1/Hsp90ab1/Cfl1/Nefl/Rapgef4/Tubb3/Calm1/Calm3/Ywhae/Crmp1",10,3.84224434303427,0.099009900990099,0.0123352005884683,8.02661458806431,30.8402144947065,"ExN","CA3_24hrvs1hr_SAL"
"GO:0030133","GO:0030133","transport vesicle","11/101","349/17673",4.95367721328077e-06,0.00148610316398423,0.000108922960946992,"Hspa8/Kirrel3/Atp6v0c/Rab3a/Calm1/Unc13c/Calm3/Gria1/Prrt1/Mt3/Pebp1",11,2.82795104118518,0.108910891089109,0.0197476376393368,5.51513518113989,15.5965322777816,"ExN","CA3_24hrvs1hr_SAL"
"GO:0030672","GO:0030672","synaptic vesicle membrane","7/101","142/17673",1.70823311421666e-05,0.00512469934264999,0.000307318493275342,"Atp6v0c/Rab3a/Calm1/Unc13c/Calm3/Gria1/Prrt1",7,2.29033160883967,0.0693069306930693,0.00803485542918576,8.62578440942686,19.7559066839468,"ExN","CA3_24hrvs1hr_SAL"
"GO:0099501","GO:0099501","exocytic vesicle membrane","7/101","142/17673",1.70823311421666e-05,0.00512469934264999,0.000307318493275342,"Atp6v0c/Rab3a/Calm1/Unc13c/Calm3/Gria1/Prrt1",7,2.29033160883967,0.0693069306930693,0.00803485542918576,8.62578440942686,19.7559066839468,"ExN","CA3_24hrvs1hr_SAL"
"GO:0060076","GO:0060076","excitatory synapse","6/101","98/17673",2.06463778359321e-05,0.00619391335077963,0.000340484125715371,"Rapgef4/Ywhah/Unc13c/Gria1/Chd4/Cntn6",6,2.2080348744622,0.0594059405940594,0.00554518191591694,10.7130733481511,23.6548395653892,"ExN","CA3_24hrvs1hr_SAL"
"GO:0005874","GO:0005874","microtubule","11/101","427/17673",3.24967424059832e-05,0.00974902272179497,0.000494687252819826,"Tuba1a/Tubb2b/Tubb2a/Hspa8/Tubb5/Tuba1b/Tubb3/Calm1/Tubb4b/Calm3/Mt3",11,2.01103891740957,0.108910891089109,0.0241611497764952,4.50768660004174,9.06513318016957,"ExN","CA3_24hrvs1hr_SAL"
"GO:0005882","GO:0005882","intermediate filament","5/101","71/17673",5.32762699127909e-05,0.0159828809738373,0.000753078101022909,"Hspa8/Nefl/Nme1/Pkp2/Upp2",5,1.7963449347675,0.0495049504950495,0.00401742771459288,12.3225491563241,22.1355487603863,"ExN","CA3_24hrvs1hr_SAL"
"GO:0030658","GO:0030658","transport vesicle membrane","7/101","185/17673",9.23285188417572e-05,0.0276985556525272,0.00119905731402704,"Atp6v0c/Rab3a/Calm1/Unc13c/Calm3/Gria1/Prrt1",7,1.55754287672948,0.0693069306930693,0.0104679454535167,6.62087235750602,10.3122925781686,"ExN","CA3_24hrvs1hr_SAL"
"GO:0032279","GO:0032279","asymmetric synapse","10/101","400/17673",9.69450594319738e-05,0.0290835178295921,0.00119905731402704,"Hspa8/Gapdh/Tanc1/Rapgef4/Ywhah/Kpna1/Gria1/Chd4/Prrt1/Gria4",10,1.53635306405854,0.099009900990099,0.0226333955751712,4.37450495049505,6.72078408443233,"ExN","CA3_24hrvs1hr_SAL"
"GO:0045171","GO:0045171","intercellular bridge","5/101","90/17673",0.000165072555165839,0.0495217665497517,0.00186261156692609,"Tubb2b/Tubb2a/Tubb5/Tubb3/Tubb4b",5,1.30520387147733,0.0495049504950495,0.00509251400441351,9.72112211221122,12.688046215962,"ExN","CA3_24hrvs1hr_SAL"
