"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0098984","GO:0098984","neuron to neuron synapse","140/1600","440/17673",1.87235354011411e-42,1.21890215461428e-39,8.31719151503319e-40,"Dmd/Prkcg/Tanc1/Magi2/Nrg1/Prrt1/Hspa8/Itga8/Gapdh/Lrfn5/Nr3c1/Ephb2/Syt1/Dnm2/Cnksr2/Plxna4/Shank2/Frmpd4/Cntnap2/Gria3/Cacna1c/Shank1/Cacng8/Slc16a7/Mapk10/Homer1/Unc13b/Rps19/Ablim1/Mapt/Dtnbp1/Dlgap1/Kpna1/Dvl1/Tmem108/Cnih2/Prnp/Map1b/Slc8a1/Pacsin1/Arhgef2/Rps3/Rps13/Rpl18a/Inpp4a/Ppp3r1/Chd4/Iqsec2/Ywhah/Igsf9b/Palm/Rps14/Exoc4/Nck2/Rapgef4/Rpl4/Rpl8/Lrfn2/Eps8/Rbmx/Macf1/Syngap1/Dlgap3/Ywhaz/Hnrnpa3/Dlg4/Add3/Slc8a3/Srcin1/Syndig1/Efnb2/Prkcz/Sorcs3/Elavl2/Grik5/Dtnb/Arf1/Capzb/Grm3/Rheb/Shank3/Camk2a/Epb41l1/Dgkb/Iqsec1/Eif4g2/Ptpro/Kcnab2/Map2k1/Adcy1/Adgrb1/Map2/Ptprt/Tiam1/Snap47/Dlg3/Chrm3/Pcbp2/Adam10/Pak3/Dbn1/Cpeb1/Rpl23/Rpl5/Rpl30/Pak2/Nr3c2/Pura/Rpl10a/Adcy8/Syn3/Pdpk1/C1ql3/Ntrk2/Psd/Ctnnb1/Sort1/Drp2/Rps6kc1/Ptprd/Mapk1/Il1rapl1/Tsc1/Rims1/Ptprz1/Mpdz/Grik2/Dmtn/Rgs7bp/Epha7/Cap2/Ptk2b/Nsmf/Lrrc4/Plekha5/Clstn2/Neto1/Rnf19a/Dlg1/Hnrnpm",140,38.9140311552648,0.0875,0.0248967351326883,3.51451704545455,136.764025802527,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0032279","GO:0032279","asymmetric synapse","131/1600","400/17673",2.83476966352548e-41,1.84543505095509e-38,6.29617262109344e-39,"Dmd/Prkcg/Tanc1/Magi2/Nrg1/Prrt1/Hspa8/Itga8/Gapdh/Lrfn5/Nr3c1/Dnm2/Cnksr2/Plxna4/Shank2/Frmpd4/Cntnap2/Gria3/Cacna1c/Shank1/Cacng8/Slc16a7/Mapk10/Homer1/Rps19/Ablim1/Mapt/Dtnbp1/Dlgap1/Kpna1/Dvl1/Tmem108/Cnih2/Prnp/Map1b/Slc8a1/Pacsin1/Arhgef2/Rps3/Rps13/Rpl18a/Inpp4a/Chd4/Iqsec2/Ywhah/Palm/Rps14/Exoc4/Nck2/Rapgef4/Rpl4/Rpl8/Lrfn2/Eps8/Rbmx/Macf1/Syngap1/Dlgap3/Hnrnpa3/Dlg4/Add3/Slc8a3/Srcin1/Syndig1/Efnb2/Prkcz/Sorcs3/Elavl2/Grik5/Dtnb/Arf1/Capzb/Grm3/Rheb/Shank3/Camk2a/Epb41l1/Dgkb/Iqsec1/Eif4g2/Ptpro/Kcnab2/Map2k1/Adcy1/Adgrb1/Map2/Ptprt/Tiam1/Snap47/Dlg3/Chrm3/Pcbp2/Adam10/Pak3/Dbn1/Cpeb1/Rpl23/Rpl5/Rpl30/Pak2/Nr3c2/Pura/Rpl10a/Adcy8/Syn3/Pdpk1/Ntrk2/Psd/Ctnnb1/Sort1/Drp2/Rps6kc1/Mapk1/Il1rapl1/Tsc1/Rims1/Ptprz1/Mpdz/Grik2/Dmtn/Rgs7bp/Epha7/Cap2/Ptk2b/Nsmf/Lrrc4/Plekha5/Clstn2/Neto1/Dlg1/Hnrnpm",131,37.7339012349485,0.081875,0.0226333955751712,3.6174421875,136.500206226261,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0014069","GO:0014069","postsynaptic density","125/1600","377/17673",4.93334780486768e-40,3.21160942096886e-37,7.30481674966373e-38,"Dmd/Prkcg/Tanc1/Magi2/Nrg1/Prrt1/Hspa8/Itga8/Gapdh/Lrfn5/Nr3c1/Dnm2/Cnksr2/Shank2/Frmpd4/Gria3/Cacna1c/Shank1/Cacng8/Slc16a7/Mapk10/Homer1/Rps19/Ablim1/Mapt/Dtnbp1/Dlgap1/Kpna1/Dvl1/Tmem108/Cnih2/Prnp/Map1b/Slc8a1/Pacsin1/Arhgef2/Rps3/Rps13/Rpl18a/Inpp4a/Iqsec2/Palm/Rps14/Exoc4/Nck2/Rapgef4/Rpl4/Rpl8/Lrfn2/Eps8/Rbmx/Macf1/Syngap1/Dlgap3/Hnrnpa3/Dlg4/Add3/Slc8a3/Srcin1/Syndig1/Efnb2/Prkcz/Sorcs3/Grik5/Dtnb/Arf1/Capzb/Grm3/Rheb/Shank3/Camk2a/Epb41l1/Dgkb/Iqsec1/Eif4g2/Ptpro/Kcnab2/Map2k1/Adcy1/Adgrb1/Map2/Ptprt/Tiam1/Snap47/Dlg3/Chrm3/Pcbp2/Adam10/Pak3/Dbn1/Cpeb1/Rpl23/Rpl5/Rpl30/Pak2/Nr3c2/Pura/Rpl10a/Adcy8/Syn3/Pdpk1/Ntrk2/Psd/Ctnnb1/Drp2/Rps6kc1/Mapk1/Il1rapl1/Tsc1/Rims1/Ptprz1/Mpdz/Grik2/Dmtn/Rgs7bp/Epha7/Cap2/Ptk2b/Nsmf/Lrrc4/Plekha5/Clstn2/Neto1/Dlg1/Hnrnpm",125,36.4932772767906,0.078125,0.0213319753295988,3.6623425066313,133.650880577072,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0099572","GO:0099572","postsynaptic specialization","131/1600","425/17673",4.37392003706389e-38,2.84742194412859e-35,4.85735330431832e-36,"Dmd/Prkcg/Tanc1/Magi2/Nrg1/Prrt1/Hspa8/Itga8/Gapdh/Lrfn5/Nr3c1/Dnm2/Cnksr2/Shank2/Frmpd4/Gria3/Cacna1c/Shank1/Cacng8/Slc16a7/Mapk10/Homer1/Ppfia2/Rps19/Ablim1/Mapt/Dtnbp1/Dlgap1/Kpna1/Dvl1/Tmem108/Cnih2/Prnp/Map1b/Slc8a1/Pacsin1/Arhgef2/Rps3/Rps13/Rpl18a/Inpp4a/Iqsec2/Igsf9b/Palm/Rps14/Exoc4/Nck2/Rapgef4/Rpl4/Gabra4/Rpl8/Lrfn2/Eps8/Rbmx/Macf1/Syngap1/Dlgap3/Ywhaz/Hnrnpa3/Dlg4/Add3/Slc8a3/Srcin1/Gabra2/Syndig1/Efnb2/Prkcz/Sorcs3/Grik5/Dtnb/Arf1/Capzb/Grm3/Rheb/Shank3/Camk2a/Epb41l1/Dgkb/Iqsec1/Eif4g2/Ptpro/Kcnab2/Map2k1/Adcy1/Adgrb1/Map2/Ptprt/Tiam1/Snap47/Dlg3/Chrm3/Pcbp2/Adam10/Pak3/Dbn1/Cpeb1/Rpl23/Rpl5/Rpl30/Pak2/Nr3c2/Pura/Rpl10a/Adcy8/Syn3/Pdpk1/Ntrk2/Psd/Ctnnb1/Drp2/Rps6kc1/Mapk1/Il1rapl1/Tsc1/Rims1/Ptprz1/Mpdz/Grik2/Dmtn/Rgs7bp/Epha7/Glrb/Cap2/Ptk2b/Nsmf/Lrrc4/Plekha5/Clstn2/Neto1/Dlg1/Hnrnpm",131,34.5455481723231,0.081875,0.0240479827986194,3.40465147058824,117.615551387177,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0097060","GO:0097060","synaptic membrane","119/1600","500/17673",1.84014540995019e-23,1.19793466187757e-20,1.63482392210311e-21,"Dmd/Prkcg/Magi2/Nrg1/Gpm6a/Prrt1/Cpe/Hspa8/Cacna1d/Itga8/Nbea/Lrfn5/Apba1/Ephb2/Rims2/Syt1/Cfl1/Dnm2/Cnksr2/Shank2/Cntnap2/Cacna1a/Gria3/Cacna1c/L1cam/Shank1/Cacng8/Slc16a7/Syne1/Ppfia2/Unc13b/Slc6a7/Dtnbp1/Dlgap1/Nrxn2/Atp2b1/Cnih2/Ap2b1/Kcnn2/Slc8a1/Pacsin1/Hip1/Iqsec2/Nsg1/Igsf9b/Palm/Farp1/Gabra4/Lrfn2/Dlg4/Unc13a/Slc8a3/Grm8/Igsf21/Gabra2/Ano6/Syndig1/Efnb2/Snap25/Sorcs3/Cltc/Grik5/Gabbr2/Cltb/Grm3/Itsn2/Shank3/Cacna2d1/Epb41l1/Dgkb/Pde2a/Lin7a/Clcn3/Ptpro/Kcnab2/Adcy1/Adgrb1/Ptprt/Tiam1/Dlg3/Cnr1/Olfm1/Atp6ap2/Chrm3/Adam10/Kcnc2/Dbn1/Ptpn5/Cyth1/Adcy8/Nrgn/Kctd16/Snph/Unc13c/Nrp2/Ntrk2/Ctnnb1/Marcks/Kcnj3/Napb/Flot2/Ptprd/Il1rapl1/Rims1/Ptprz1/Grik2/Rgs7bp/Cspg5/Epha7/Atad1/Glrb/Ntng1/Cacna1e/Lrrc4/Clstn2/Neto1/Clta/Dlg1/Synj1",119,19.9215668687246,0.074375,0.028291744468964,2.62885875,52.3709853765566,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0150034","GO:0150034","distal axon","99/1600","379/17673",7.67942763518877e-23,4.99930739050789e-20,5.68547098605204e-21,"Cck/Prkcg/Tanc1/Hsp90aa1/Gpm6a/Rimbp2/Hspa8/Rufy3/Cfl1/Rasgrf1/Dnm2/Shank2/Ror1/Gria3/L1cam/Actg1/Rab3a/Snca/Unc13b/Ptprn2/Mapt/Dtnbp1/Cacna1b/Actb/Slc4a10/Dvl1/Calm3/Prnp/Hsp90ab1/Trpc5/Map1b/Slc8a1/Pacsin1/Dpysl3/Nefl/Ptbp2/Lrp1/Kif5c/Kif5a/Exoc4/Rapgef4/Calm1/Hnrnpk/Arpc5/Calm2/Tubb3/Pebp1/Unc13a/Pafah1b1/Slc8a3/Flna/Snap25/Bin1/Grik5/Tnk2/Zfp804a/Shtn1/Map3k12/Lmtk2/Lrig2/Arpc3/Crtac1/Clcn3/Mapk8ip1/Kcnab2/Map2/Arpc2/Tiam1/Iqgap1/Dlg3/Cnr1/Olfm1/Chrm3/Kcnc2/Dbn1/Cpeb1/Setx/Thy1/Dixdc1/Crmp1/Ppp2ca/Arhgef7/Unc13c/Cbarp/Ap3d1/Ntrk2/Marcks/Ptprn/Pcdh9/Copg2/Ywhae/Tsc1/Kif3c/Ptprz1/Grik2/Atp6v0d1/Fkbp1a/Ptk2b/Agrn",99,19.3010901591272,0.061875,0.0214451423074747,2.8852687994723,55.6888332319314,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0022626","GO:0022626","cytosolic ribosome","50/1600","119/17673",7.25619203036204e-22,4.72378101176569e-19,4.60468125836509e-20,"Ubb/Rpl9/Rpl13/Rpl19/Rplp1/Rpl28/Rps19/Rps23/Rps10/Rnf25/Rpl17/Rps3/Rps3a1/Rps13/Fau/Rpl18a/Ddx3x/Rpl7a/Rps7/Rps14/Eef1a1/Rpl4/Rpl8/Rpl11/Rpl18/Rpl24/Rps15/Rpl35a/Rpl27a/Rps24/Rpsa/Rpl36/Rpl13a/Ascc2/Rpl3/Ascc3/Rps16/Rplp2/Rpl23/Rps9/Rpl37/Rpl5/Rpl30/Larp4/Rpl10a/Rnf14/Rpl10/Rps26/Rpl37a/Rps27a",50,18.3257102439091,0.03125,0.00673343518361342,4.64101890756303,85.0499677365036,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0030426","GO:0030426","growth cone","64/1600","211/17673",9.83639314207192e-19,6.40349193548882e-16,5.46178671836099e-17,"Hsp90aa1/Gpm6a/Rufy3/Cfl1/Rasgrf1/Dnm2/Shank2/L1cam/Snca/Mapt/Dtnbp1/Dvl1/Calm3/Hsp90ab1/Trpc5/Map1b/Dpysl3/Nefl/Ptbp2/Lrp1/Kif5c/Kif5a/Exoc4/Rapgef4/Calm1/Arpc5/Calm2/Tubb3/Pafah1b1/Flna/Snap25/Tnk2/Zfp804a/Shtn1/Map3k12/Lmtk2/Lrig2/Arpc3/Crtac1/Mapk8ip1/Map2/Arpc2/Tiam1/Iqgap1/Dlg3/Cnr1/Olfm1/Dbn1/Cpeb1/Setx/Thy1/Crmp1/Arhgef7/Cbarp/Ntrk2/Marcks/Pcdh9/Copg2/Ywhae/Tsc1/Kif3c/Ptprz1/Ptk2b/Agrn",64,15.1935831330873,0.04,0.0119391161659028,3.3503317535545,50.9035440210526,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0030427","GO:0030427","site of polarized growth","64/1600","218/17673",6.20899371223031e-18,4.04205490666193e-15,3.06455596089028e-16,"Hsp90aa1/Gpm6a/Rufy3/Cfl1/Rasgrf1/Dnm2/Shank2/L1cam/Snca/Mapt/Dtnbp1/Dvl1/Calm3/Hsp90ab1/Trpc5/Map1b/Dpysl3/Nefl/Ptbp2/Lrp1/Kif5c/Kif5a/Exoc4/Rapgef4/Calm1/Arpc5/Calm2/Tubb3/Pafah1b1/Flna/Snap25/Tnk2/Zfp804a/Shtn1/Map3k12/Lmtk2/Lrig2/Arpc3/Crtac1/Mapk8ip1/Map2/Arpc2/Tiam1/Iqgap1/Dlg3/Cnr1/Olfm1/Dbn1/Cpeb1/Setx/Thy1/Crmp1/Arhgef7/Cbarp/Ntrk2/Marcks/Pcdh9/Copg2/Ywhae/Tsc1/Kif3c/Ptprz1/Ptk2b/Agrn",64,14.3933977913902,0.04,0.0123352005884683,3.24275229357798,46.6742237004107,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
"GO:0043209","GO:0043209","myelin sheath","59/1600","192/17673",1.13336489096278e-17,7.37820544016769e-15,5.03452614722414e-16,"Atp1b1/Hsp90aa1/Hspa8/Gpi1/Aldoa/Ppia/Gapdh/Ubb/Tuba1a/Mdh1/Actg1/Tuba1b/Ckb/Ubc/Actb/Pkm/Calm3/Tubb4b/Sdha/Pacsin1/Mif/Nme1/Nefl/Sptan1/Plcb1/Exoc4/Calm1/Eef1a1/Slc25a12/Uchl1/Atp6v1a/Calm2/Gpm6b/Gnao1/Pebp1/Snap25/Prkcz/Cltc/Rap1a/Hspa5/Slc25a4/Prdx2/Dld/Hba-a1/Ywhag/Thy1/Uqcrc1/Gdi2/Cox5a/Jam3/Napb/Cnrip1/Mpdz/Rps27a/Cox6a1/Uqcrc2/Ndufv2/Dlg1/Pitpna",59,14.132049256362,0.036875,0.0108640298760822,3.394228515625,47.9674045701609,"ExcitatoryNeuronsCA1","24hrvs1hr_PTZ"
