"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0043209","GO:0043209","myelin sheath","28/387","192/17673",1.73265384783905e-15,8.55931000832492e-13,6.21931539066439e-13,"Actg1/Tuba1a/Gapdh/Ubb/Gpi1/Atp6v1b2/Eno2/Calm1/Stxbp1/Sptan1/Cox6a1/Hsp90aa1/Dnm1/Ppia/Actb/Uchl1/Slc25a4/Gdi1/Ckb/Slc25a3/Cox5a/Hspa8/Mdh1/Atp1a3/Sdha/Rap1a/Eef1a1/Myo1d",28,12.0675612436938,0.0723514211886305,0.0108640298760822,6.65972222222222,80.3666057826549,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0150034","GO:0150034","distal axon","36/387","379/17673",1.32688245877995e-13,6.55479934637295e-11,2.38140483391559e-11,"Actg1/Hsp90ab1/Prkcg/Brsk2/Grin1/Eno2/Calm1/Rimbp2/Hsp90aa1/Crmp1/Dvl1/L1cam/Actb/Cck/Ptk2b/Nrp1/Unc5c/Grik4/Lrp1/Hspa8/Ywhae/Atp1a3/Cnr1/Tnk2/Src/Grin2a/Ptprn/Pclo/Ppp2ca/Psen1/Olfm1/Dctn2/Syp/Tubb3/Stx3/Fkbp1a",36,10.1834405982678,0.0930232558139535,0.0214451423074747,4.3377308707124,44.1730246531724,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0098984","GO:0098984","neuron to neuron synapse","35/387","440/17673",4.6878332553633e-11,2.31578962814947e-08,5.60895136869785e-09,"Itga8/Gapdh/Camk2b/Prkcg/Shank1/Grin1/Dlgap1/Dvl1/Baiap2/Psd/Rnf112/Ptk2b/Cdh9/Grik4/Kcna4/Vti1a/Ctnnb1/Pip5k1c/Dgkz/Hspa8/Pcbp2/Atp1a3/Dmtn/Clstn1/Grin2a/Arhgef2/Ablim1/Tmem108/Srcin1/Pclo/Ptprs/Syt1/Eif3e/Syp/Igsf9b",35,7.63530089549881,0.0904392764857881,0.0248967351326883,3.63257575757576,27.7358089347854,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0099572","GO:0099572","postsynaptic specialization","32/387","425/17673",1.30420385500192e-09,6.4427670437095e-07,9.04830662217377e-08,"Itga8/Gapdh/Camk2b/Prkcg/Shank1/Grin1/Dlgap1/Dvl1/Baiap2/Psd/Rnf112/Ptk2b/Grik4/Ctnnb1/Pip5k1c/Dgkz/Hspa8/Pcbp2/Dmtn/Src/Clstn1/Grin2a/Arhgef2/Ablim1/Tmem108/Srcin1/Pclo/Ptprs/Nlgn2/Eif3e/Syp/Igsf9b",32,6.19092757150334,0.082687338501292,0.0240479827986194,3.43843137254902,21.2870795870358,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0097060","GO:0097060","synaptic membrane","35/387","500/17673",1.47817935692041e-09,7.30220602318681e-07,9.04830662217377e-08,"Itga8/Prkcg/Shank1/Grin1/Eno2/Dlgap1/Stxbp1/Dnm1/Baiap2/L1cam/Cltb/Nrp1/Cdh9/Grik4/Kcna4/Ctnnb1/Pip5k1c/Hspa8/Atp1a3/Cnr1/Src/Clstn1/Grin2a/Slc6a11/Gripap1/Ptprs/Nipsnap1/Nlgn2/Syt1/Apba1/Psen1/Olfm1/Syp/Igsf9b/Stx3",35,6.1365459181035,0.0904392764857881,0.028291744468964,3.19666666666667,19.6164917848709,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0030426","GO:0030426","growth cone","22/387","211/17673",1.51247354094987e-09,7.47161929229234e-07,9.04830662217377e-08,"Hsp90ab1/Grin1/Eno2/Calm1/Hsp90aa1/Crmp1/Dvl1/L1cam/Ptk2b/Nrp1/Unc5c/Lrp1/Ywhae/Cnr1/Tnk2/Src/Pclo/Psen1/Olfm1/Dctn2/Tubb3/Stx3",22,6.12658526518654,0.0568475452196382,0.0119391161659028,4.76145339652449,29.1714502200193,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0030427","GO:0030427","site of polarized growth","22/387","218/17673",2.79931154576179e-09,1.38285990360632e-06,1.43543644677409e-07,"Hsp90ab1/Grin1/Eno2/Calm1/Hsp90aa1/Crmp1/Dvl1/L1cam/Ptk2b/Nrp1/Unc5c/Lrp1/Ywhae/Cnr1/Tnk2/Src/Pclo/Psen1/Olfm1/Dctn2/Tubb3/Stx3",22,5.85922181567709,0.0568475452196382,0.0123352005884683,4.6085626911315,27.0025910587932,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0032279","GO:0032279","asymmetric synapse","30/387","400/17673",4.78322760869884e-09,2.36291443869723e-06,1.96692756029103e-07,"Itga8/Gapdh/Camk2b/Prkcg/Shank1/Grin1/Dlgap1/Dvl1/Baiap2/Psd/Rnf112/Ptk2b/Grik4/Kcna4/Ctnnb1/Pip5k1c/Dgkz/Hspa8/Pcbp2/Dmtn/Clstn1/Grin2a/Arhgef2/Ablim1/Tmem108/Srcin1/Pclo/Ptprs/Eif3e/Syp",30,5.62655200391753,0.0775193798449612,0.0226333955751712,3.425,19.2709406134175,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0014069","GO:0014069","postsynaptic density","29/387","377/17673",4.93173919075904e-09,2.43627916023497e-06,1.96692756029103e-07,"Itga8/Gapdh/Camk2b/Prkcg/Shank1/Grin1/Dlgap1/Dvl1/Baiap2/Psd/Rnf112/Ptk2b/Grik4/Ctnnb1/Pip5k1c/Dgkz/Hspa8/Pcbp2/Dmtn/Clstn1/Grin2a/Arhgef2/Ablim1/Tmem108/Srcin1/Pclo/Ptprs/Eif3e/Syp",29,5.61327294969953,0.0749354005167959,0.0213319753295988,3.51282051282051,19.718420361765,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
"GO:0008021","GO:0008021","synaptic vesicle","22/387","247/17673",2.79213888324908e-08,1.37931660832504e-05,1.00223090440835e-06,"Kif1a/Atp6v1b2/Grin1/Calm1/Dnm1/Rnf112/Cltb/Sv2a/Vti1a/Mt3/Hspa8/Slc17a7/Atp6v0c/Grin2a/Sptbn2/Clcn5/Mctp1/Ptprs/Syt1/Psen1/Syp/Stx3",22,4.86033603442874,0.0568475452196382,0.0139761217676682,4.06747638326586,19.7693020347749,"ExcitatoryNeuronsCA1","PTZvsSAL_24hr"
