"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0098984","GO:0098984","neuron to neuron synapse","118/1105","440/17673",8.66846203269193e-44,5.12306106132093e-41,3.59513056934802e-41,"Tanc1/Cacna1c/Ctnna2/Cnksr2/Grin2a/Cntnap2/Slc8a1/Sorcs2/Chrm3/Itga8/Eps8/Dcc/Syt1/Ctnnd2/Grip1/Cpeb1/Ptpro/C1ql3/Il1rapl1/Grik2/Cadm1/Nrxn1/Nrg1/Ptprs/Lrrtm4/Grid1/Ephb2/Adcy1/Grid2/Syn3/Ptk2b/Dlg2/Grm5/Macf1/Epha4/Prnp/Nr3c2/Shank2/Gsk3b/Grin2b/Dnm3/Tanc2/Prrt1/Pde4b/Grm7/Mapt/Ptprz1/Dvl1/Grm1/Shisa9/Kalrn/Plxna4/Gapdh/Magi2/Lrfn2/Adgrb1/Ywhah/Gria3/Rims1/Arhgef2/Exoc4/Ablim1/Srgap2/Nrcam/Sptbn1/Dlg1/Lrfn5/Atp1a3/Syt7/Hnrnpa2b1/Cap2/Rnf19a/Mpdz/Plekha5/Rps14/Mapk1/Dapk1/Atp1a1/Srcin1/Map4/Cdh2/Inpp4a/Atp2b2/Erc1/Epha7/Abi1/Shank1/Slc8a2/Hnrnpm/Kpna1/Fyn/Rpl6/Nptn/Cdkl5/Lrrc4c/Sh3gl2/Map2k1/Ogt/Lrrc7/Gphn/Sort1/Pcbp2/Eif3a/Neto1/Syt11/Map2/Bsn/Unc13b/Dmtn/Ywhaz/Hnrnpa3/Nsmf/Fxr1/Baiap2/Dtnb/Pura/Iqsec1/Eif4g2",118,40.2904704677745,0.106787330316742,0.0248967351326883,4.28921020156314,172.814296956157,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0099572","GO:0099572","postsynaptic specialization","112/1105","425/17673",9.24167624502592e-41,5.46183066081032e-38,1.91643181081064e-38,"Tanc1/Cacna1c/Ctnna2/Cnksr2/Grin2a/Slc8a1/Sorcs2/Chrm3/Itga8/Eps8/Dcc/Ppfia2/Ctnnd2/Grip1/Cpeb1/Ptpro/Il1rapl1/Grik2/Cadm1/Nrg1/Ptprs/Kcnd2/Lrrtm4/Grid1/Adcy1/Grid2/Syn3/Ptk2b/Dlg2/Grm5/Macf1/Epha4/Prnp/Nr3c2/Shank2/Gsk3b/Grin2b/Dnm3/Tanc2/Prrt1/Pde4b/Mapt/Ptprz1/Dvl1/Grm1/Shisa9/Kalrn/Gapdh/Magi2/Lrfn2/Adgrb1/Gria3/Rims1/Arhgef2/Exoc4/Ablim1/Srgap2/Nrcam/Sptbn1/Dlg1/Lrfn5/Hnrnpa2b1/Cap2/Mpdz/Gabra4/Plekha5/Rps14/Mapk1/Dapk1/Atp1a1/Dlgap4/Srcin1/Map4/Cdh2/Gabra5/Inpp4a/Atp2b2/Erc1/Epha7/Abi1/Shank1/Slc8a2/Hnrnpm/Kpna1/Fyn/Rpl6/Nptn/Cdkl5/Lrrc4c/Map2k1/Gabrg2/Lrrc7/Gphn/Glrb/Pcbp2/Eif3a/Neto1/Syt11/Map2/Bsn/Dmtn/Ywhaz/Hnrnpa3/Nsmf/Fxr1/Baiap2/Dtnb/Pura/Gabra1/Iqsec1/Kcnd3/Eif4g2",112,37.2626617689007,0.101357466063348,0.0240479827986194,4.21480117114719,157.054710463625,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0032279","GO:0032279","asymmetric synapse","108/1105","400/17673",2.21523645637419e-40,1.30920474571715e-37,3.06246724144362e-38,"Tanc1/Cacna1c/Ctnna2/Cnksr2/Grin2a/Cntnap2/Slc8a1/Sorcs2/Chrm3/Itga8/Eps8/Dcc/Ctnnd2/Grip1/Cpeb1/Ptpro/Il1rapl1/Grik2/Cadm1/Nrg1/Ptprs/Lrrtm4/Grid1/Adcy1/Grid2/Syn3/Ptk2b/Dlg2/Grm5/Macf1/Epha4/Prnp/Nr3c2/Shank2/Gsk3b/Grin2b/Dnm3/Tanc2/Prrt1/Pde4b/Grm7/Mapt/Ptprz1/Dvl1/Grm1/Shisa9/Kalrn/Plxna4/Gapdh/Magi2/Lrfn2/Adgrb1/Ywhah/Gria3/Rims1/Arhgef2/Exoc4/Ablim1/Srgap2/Nrcam/Sptbn1/Dlg1/Lrfn5/Hnrnpa2b1/Cap2/Mpdz/Plekha5/Rps14/Mapk1/Dapk1/Atp1a1/Srcin1/Map4/Cdh2/Inpp4a/Atp2b2/Erc1/Epha7/Abi1/Shank1/Slc8a2/Hnrnpm/Kpna1/Fyn/Rpl6/Nptn/Cdkl5/Lrrc4c/Map2k1/Ogt/Lrrc7/Gphn/Sort1/Pcbp2/Eif3a/Neto1/Syt11/Map2/Bsn/Dmtn/Hnrnpa3/Nsmf/Fxr1/Baiap2/Dtnb/Pura/Iqsec1/Eif4g2",108,36.8829924290935,0.097737556561086,0.0226333955751712,4.31828959276018,159.271442356407,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0097060","GO:0097060","synaptic membrane","121/1105","500/17673",6.43221330677613e-40,3.80143806430469e-37,6.66918958649946e-38,"Cacna1c/Erc2/Syne1/Ctnna2/Cnksr2/Ntng1/Grin2a/Cntnap2/Slc8a1/Sorcs2/Chrm3/Kctd16/Cacna2d1/Itga8/Nbea/Dcc/Syt1/Ppfia2/Grip1/Ntrk3/Ptpro/Il1rapl1/Grik2/Cadm1/Nrxn1/Lin7a/Cacna1a/Nrg1/Ptprs/Olfm1/Rims2/Kcnd2/Lrrtm4/Ncam1/Grid1/Ephb2/Adcy1/Grid2/Apba1/L1cam/Dlg2/Grm5/Epha4/Ank3/Shank2/Grin2b/Dnm3/Cacna1d/Unc13a/Cntn5/Prrt1/Grm7/Nrp2/Kcnj3/Ptprz1/Nrxn3/Adgrl3/Grm1/Shisa9/Itsn1/Gpr158/Gabrg3/Dnm1/Magi2/Lrfn2/Adgrb1/Slc1a2/Gria3/Rims1/Gpm6a/Srgap2/Nrcam/Dlg1/Lrfn5/Atp1a3/Syt7/Gabra4/Tenm2/Adgrl1/Nrxn2/Kcnn2/Cdh2/Gabra5/Atp2b2/Kcnc3/Adam23/Epha7/Atp2b3/Cnih3/Ap2b1/Shank1/Slc8a2/Cask/Cacna1e/Canx/Pcdh17/Cfl1/Nrp1/Rph3a/Nptn/Lrrc4c/Kcnq5/Stxbp1/Slc6a1/Gabrg2/Lrrc7/Gphn/Glrb/Neto1/Syt11/Cacna1h/Bsn/Cltc/Synj1/Unc13b/Baiap2/Nrgn/Gabra1/Gripap1/Kcnd3/Cyth1",121,36.4200520809499,0.109502262443439,0.028291744468964,3.87046696832579,140.962608564022,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0014069","GO:0014069","postsynaptic density","102/1105","377/17673",3.0714677513598e-38,1.81523744105364e-35,2.54770167165423e-36,"Tanc1/Cacna1c/Ctnna2/Cnksr2/Grin2a/Slc8a1/Sorcs2/Chrm3/Itga8/Eps8/Dcc/Ctnnd2/Grip1/Cpeb1/Ptpro/Il1rapl1/Grik2/Cadm1/Nrg1/Ptprs/Lrrtm4/Grid1/Adcy1/Grid2/Syn3/Ptk2b/Dlg2/Grm5/Macf1/Epha4/Prnp/Nr3c2/Shank2/Gsk3b/Grin2b/Dnm3/Tanc2/Prrt1/Pde4b/Mapt/Ptprz1/Dvl1/Grm1/Shisa9/Kalrn/Gapdh/Magi2/Lrfn2/Adgrb1/Gria3/Rims1/Arhgef2/Exoc4/Ablim1/Srgap2/Nrcam/Sptbn1/Dlg1/Lrfn5/Hnrnpa2b1/Cap2/Mpdz/Plekha5/Rps14/Mapk1/Dapk1/Atp1a1/Srcin1/Map4/Cdh2/Inpp4a/Atp2b2/Erc1/Epha7/Abi1/Shank1/Slc8a2/Hnrnpm/Kpna1/Fyn/Rpl6/Nptn/Cdkl5/Lrrc4c/Map2k1/Lrrc7/Gphn/Pcbp2/Eif3a/Neto1/Syt11/Map2/Bsn/Dmtn/Hnrnpa3/Nsmf/Fxr1/Baiap2/Dtnb/Pura/Iqsec1/Eif4g2",102,34.7410665592808,0.0923076923076923,0.0213319753295988,4.32719853091206,150.331492177638,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0045211","GO:0045211","postsynaptic membrane","81/1105","344/17673",4.93889701051312e-26,2.91888813321325e-23,3.41390424937223e-24,"Cacna1c/Syne1/Ctnna2/Cnksr2/Grin2a/Slc8a1/Sorcs2/Chrm3/Kctd16/Cacna2d1/Itga8/Nbea/Dcc/Grip1/Ntrk3/Ptpro/Il1rapl1/Grik2/Cadm1/Lin7a/Nrg1/Ptprs/Kcnd2/Lrrtm4/Ncam1/Grid1/Ephb2/Adcy1/Grid2/Dlg2/Grm5/Epha4/Ank3/Shank2/Grin2b/Dnm3/Prrt1/Grm7/Nrp2/Ptprz1/Adgrl3/Grm1/Shisa9/Gpr158/Gabrg3/Magi2/Lrfn2/Adgrb1/Gria3/Srgap2/Nrcam/Dlg1/Lrfn5/Gabra4/Tenm2/Kcnn2/Cdh2/Gabra5/Atp2b2/Kcnc3/Epha7/Cnih3/Shank1/Slc8a2/Cacna1e/Canx/Pcdh17/Nrp1/Rph3a/Nptn/Lrrc4c/Slc6a1/Gabrg2/Lrrc7/Gphn/Glrb/Neto1/Cacna1h/Nrgn/Gabra1/Kcnd3",81,22.5347825490884,0.0733031674208145,0.0194647201946472,3.76595022624434,84.8648694391067,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0042734","GO:0042734","presynaptic membrane","64/1105","231/17673",6.27390886795551e-25,3.70788014096171e-22,3.71717307364582e-23,"Cacna1c/Erc2/Ctnna2/Ntng1/Grin2a/Cntnap2/Chrm3/Kctd16/Cacna2d1/Syt1/Ppfia2/Grip1/Grik2/Cadm1/Nrxn1/Cacna1a/Nrg1/Ptprs/Rims2/Ncam1/Ephb2/Apba1/L1cam/Epha4/Grin2b/Cacna1d/Unc13a/Cntn5/Grm7/Kcnj3/Nrxn3/Grm1/Itsn1/Dnm1/Slc1a2/Gria3/Rims1/Gpm6a/Dlg1/Atp1a3/Syt7/Adgrl1/Nrxn2/Cdh2/Gabra5/Atp2b2/Kcnc3/Adam23/Atp2b3/Ap2b1/Cask/Cacna1e/Canx/Pcdh17/Nptn/Kcnq5/Stxbp1/Slc6a1/Syt11/Cacna1h/Cltc/Unc13b/Gripap1/Cyth1",64,21.4308743130821,0.0579185520361991,0.0130707859446613,4.43114532526297,94.963318528712,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0150034","GO:0150034","distal axon","82/1105","379/17673",9.84002500488909e-24,5.81545477788945e-21,5.10127612095566e-22,"Tanc1/Erc2/Grin2a/Slc8a1/Chrm3/Dcc/Ptprn2/Grip1/Cpeb1/Grik2/Nrxn1/Olfm1/Ncam1/Dscam/L1cam/Ptk2b/Rasgrf1/Epha4/Clasp2/Prnp/Kif5c/Shank2/Dpysl3/Gsk3b/Grin2b/Snca/Fgf13/Unc13a/Slc4a10/Cacna1b/Grm7/Mapt/Ptprz1/Kif5a/Dvl1/Lrp1/Hsp90aa1/Itsn1/Shtn1/Dcx/Stmn2/Rufy3/Gria3/Exoc4/Gpm6a/Klc1/Apc/Zfp804a/Atp1a3/Syt7/Crmp1/Agrn/Adgrl1/Cxadr/Prkcb/Crtac1/Kcnc3/Map3k12/Copg2/Slc8a2/Cfl1/Nrp1/Neo1/Cdkl5/Calm1/Kcnq5/Unc5c/Calm2/Wdr47/Arpc2/Slc2a13/Syt11/Map2/Cbl/Unc13b/Rimbp2/Hnrnpr/Fxr1/App/Cyfip1/Hap1/Tmod2",82,20.2354163170826,0.0742081447963801,0.0214451423074747,3.4603708258217,70.022044271989,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0030426","GO:0030426","growth cone","58/1105","211/17673",1.63640848864738e-22,9.671174167906e-20,6.91040116489358e-21,"Erc2/Dcc/Cpeb1/Nrxn1/Olfm1/Ncam1/Dscam/L1cam/Ptk2b/Rasgrf1/Epha4/Clasp2/Kif5c/Shank2/Dpysl3/Gsk3b/Snca/Fgf13/Mapt/Ptprz1/Kif5a/Dvl1/Lrp1/Hsp90aa1/Shtn1/Dcx/Stmn2/Rufy3/Exoc4/Gpm6a/Klc1/Apc/Zfp804a/Crmp1/Agrn/Adgrl1/Cxadr/Crtac1/Map3k12/Copg2/Cfl1/Nrp1/Neo1/Cdkl5/Calm1/Unc5c/Calm2/Wdr47/Arpc2/Slc2a13/Map2/Cbl/Hnrnpr/Fxr1/App/Cyfip1/Hap1/Tmod2",58,19.0145207954428,0.0524886877828054,0.0119391161659028,4.39636293452853,83.5947344429066,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0030427","GO:0030427","site of polarized growth","59/1105","218/17673",1.6662134788449e-22,9.84732165997335e-20,6.91040116489358e-21,"Erc2/Dcc/Cpeb1/Nrxn1/Olfm1/Ncam1/Dscam/L1cam/Ptk2b/Rasgrf1/Epha4/Clasp2/Kif5c/Shank2/Dpysl3/Gsk3b/Snca/Fgf13/Mapt/Ptprz1/Kif5a/Dvl1/Lrp1/Hsp90aa1/Shtn1/Dcx/Stmn2/Rufy3/Exoc4/Gpm6a/Klc1/Apc/Zfp804a/Crmp1/Agrn/Adgrl1/Cxadr/Crtac1/Map3k12/Copg2/Cfl1/Nrp1/Neo1/Cdkl5/Calm1/Unc5c/Calm2/Wdr47/Arpc2/Slc2a13/Map2/Cbl/Hnrnpr/Fxr1/App/Fry/Cyfip1/Hap1/Tmod2",59,19.0066818757426,0.053393665158371,0.0123352005884683,4.32856075387106,82.2715772286517,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
